[00:00:16.253 --> 00:00:17.033]  Infowars.
[00:00:17.374 --> 00:00:18.935]  Tomorrow's news, today.
[00:00:27.625 --> 00:00:36.735]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight, you better believe you've got one!
[00:00:38.877 --> 00:00:43.983]  From the front lines of the Information War, it's Alex Jones.
[00:01:03.707 --> 00:01:05.488]  This is Trucker Jack.
[00:01:05.508 --> 00:01:12.092]  There's talk of a trucker boycott of the city of New York to protest the persecution of President Trump.
[00:01:13.292 --> 00:01:16.994]  Now, liberals seem to think that this is a pretty funny idea.
[00:01:17.495 --> 00:01:18.695]  Let me tell you a quick story.
[00:01:18.715 --> 00:01:23.958]  A couple years ago, a Colorado's trucker was involved in a terrible accident.
[00:01:24.018 --> 00:01:24.718]  Loss of life.
[00:01:24.758 --> 00:01:25.699]  It was tragic.
[00:01:26.926 --> 00:01:33.071]  The Colorado judge sentenced that trucker to 110 years in prison.
[00:01:33.091 --> 00:01:44.820]  Now, you decide for yourself whether or not he deserved that prison sentence, but when truck drivers from around America heard about that sentence, they organized a boycott against the state of Colorado.
[00:01:45.721 --> 00:01:49.563]  And within a month, they brought the state of Colorado to its knees.
[00:01:50.444 --> 00:01:55.488]  That judge resentenced that trucker from 110 years to 10 years in prison.
[00:01:57.867 --> 00:02:03.593]  The point is, MAGA patriots make this country run.
[00:02:03.813 --> 00:02:06.015]  Liberals, they make our coffee.
[00:02:06.876 --> 00:02:07.897]  This is Trucker Jake.
[00:02:08.357 --> 00:02:09.498]  God bless President Trump.
[00:02:09.979 --> 00:02:11.420]  God bless MAGA America.
[00:02:11.760 --> 00:02:12.721]  God bless our truckers.
[00:02:12.761 --> 00:02:13.822]  Y'all have a blessed day.
[00:02:15.284 --> 00:02:16.125]  What's up, fam?
[00:02:16.205 --> 00:02:18.707]  So, you guys remember this movie?
[00:02:20.028 --> 00:02:20.689]  Kurt Russell.
[00:02:20.709 --> 00:02:22.511]  Remember how
[00:02:23.223 --> 00:02:25.825]  The area looked in the movie?
[00:02:27.787 --> 00:02:30.970]  That's what New York City is going to look like in the next few months.
[00:02:33.472 --> 00:02:42.820]  So there's reports now that the truckers all across this country on Monday will no longer be accepting any loads to New York.
[00:02:45.763 --> 00:02:49.887]  So, not only have you lost your residence...
[00:02:51.499 --> 00:02:55.782]  You also lost your businesses.
[00:02:56.683 --> 00:02:59.124]  We're soon to be losing almost all your businesses.
[00:03:00.826 --> 00:03:03.828]  And now, you done lost your supply chain.
[00:03:07.931 --> 00:03:08.391]  Good luck.
[00:03:08.791 --> 00:03:13.495]  I wish you guys the best of luck there in New York in the next coming months.
[00:03:14.155 --> 00:03:16.277]  New York, New York, New York.
[00:03:18.458 --> 00:03:18.918]  F***ing with Trump.
[00:03:18.938 --> 00:03:20.660]  F***ing with Trump.
[00:03:21.468 --> 00:03:24.749]  Now the truckers ain't trying to deliver y'all produce, y'all goods.
[00:03:26.910 --> 00:03:27.810]  For three years.
[00:03:30.071 --> 00:03:33.393]  You in New York, better get up out of there.
[00:03:33.513 --> 00:03:35.594]  Y'all think groceries are high now.
[00:03:36.934 --> 00:03:41.196]  Y'all better respect Trump's gangsters.
[00:03:42.016 --> 00:03:44.917]  And y'all better respect that MAGA crowd.
[00:03:45.397 --> 00:03:47.058]  They not playin'.
[00:03:47.098 --> 00:03:47.818]  They not playin'.
[00:03:47.978 --> 00:03:49.279]  As you can see, they not playin'.
[00:03:57.094 --> 00:03:58.535]  The people still have the power.
[00:03:58.555 --> 00:04:03.338]  Once the driverless cars and trucks are in place, the robots are in control, the real trouble starts.
[00:04:03.398 --> 00:04:04.979]  But humanity's waking up fast.
[00:04:05.460 --> 00:04:09.623]  That's why they're trying to take out the leadership that's battling the new world order.
[00:04:09.663 --> 00:04:13.385]  That's why they're trying to take out Trump, yours truly, Tucker Carlson, and others.
[00:04:13.405 --> 00:04:19.430]  And that's why, ladies and gentlemen, I thank you for your prayers, your support at InfoWarsStore.com, and most importantly...
[00:04:20.683 --> 00:04:23.084]  Your word of mouth, because I'm not doing this to lose.
[00:04:23.104 --> 00:04:26.686]  And you've got all the power when you decide to share this show and share the clips.
