[00:00:01.277 --> 00:00:01.598]  The End.
[00:00:50.998 --> 00:01:04.562]  Ladies and gentlemen, it is Friday, February 23rd, 2024, and I am your battle-hardened host, Alex Jones, coming to you from deep in the heart of Texas.
[00:01:05.342 --> 00:01:15.265]  The recognized broadcast is the tip of the spear, recognized by friend and foe as the most on-target operation bringing down the New World Order.
[00:01:20.376 --> 00:01:25.719]  Our species has fought long to have supremacy on this planet, and now we go off-world!
[00:01:27.159 --> 00:01:29.980]  Nothing will stop us if we simply follow God's plan.
[00:01:57.387 --> 00:01:59.570]  I was already fired up before I went on air.
[00:02:00.310 --> 00:02:02.713]  I was already glad to let my show rant.
[00:02:03.814 --> 00:02:08.459]  And then I guess they chose one of my favorite songs, Ride the Lightning, to bring us in.
[00:02:35.483 --> 00:02:39.005]  Alright, I have a...
[00:02:59.677 --> 00:03:01.258]  Constellation of news here.
[00:03:02.139 --> 00:03:09.985]  That is just victory, victory, victory, victory, victory, victory, victory, victory, victory, victory.
[00:03:11.606 --> 00:03:14.709]  And of course, enemy operations will be exposing as well today.
[00:03:16.410 --> 00:03:18.872]  Well, I got up early this morning like I always do.
[00:03:20.114 --> 00:03:29.662]  And I went on over to Man.Video to see what the Gregg Reese and some of the other great reporters like John Bowne are up to, what they're filing.
[00:03:31.383 --> 00:03:39.690]  And I saw one of the best reports, that's saying a lot because they're all informative and excellent, by the great John Bowne.
[00:03:42.392 --> 00:03:45.795]  And it's the COVID vax tyrants run to their bunkers.
[00:03:48.223 --> 00:04:06.471]  So I was already planning, without even seeing that go up this morning, I was already planning to come in here and talk about them running their bunkers and tie it into all this other news, because last night I watched El Salvador's amazing President Bukele give his speech at CPAC.
[00:04:06.511 --> 00:04:09.273]  I watched it, you know, after it already aired on YouTube.
[00:04:11.114 --> 00:04:14.295]  And the speech needs 50 million, 100 million views, it only had a few hundred thousand.
[00:04:17.645 --> 00:04:18.666]  And it's 23 minutes long.
[00:04:18.686 --> 00:04:21.127]  And I have a lot I want to cover today.
[00:04:22.548 --> 00:04:27.770]  So I move some guests and things because I want to air the whole damn thing.
[00:04:30.332 --> 00:04:36.075]  Because if you understand what he's laying out there, it's the keys to defeating the enemy.
[00:04:38.436 --> 00:04:43.179]  And it's knowledge that will defeat the globalists.
[00:04:44.053 --> 00:04:55.101]  And then I've got all this other huge, positive, breaking news as well as the world really wakes up to what we're facing.
[00:04:56.062 --> 00:04:57.583]  And once we know the enemy, we win.
[00:05:05.009 --> 00:05:09.832]  InfoWars is listener supported and we appreciate your donations.
[00:05:10.453 --> 00:05:13.155]  But buy a product and support your health too.
[00:05:15.606 --> 00:05:21.488]  The curcuminoids in turmeric is one of nature's most powerful and beneficial medicines.
[00:05:22.088 --> 00:05:26.550]  Raw turmeric root contains about 5% of this incredible medicine.
[00:05:27.690 --> 00:05:31.511]  But our bodies has been formulated to contain over 95%.
[00:05:32.712 --> 00:05:39.174]  This makes bodies one of the most powerful natural antioxidants in the world.
[00:05:41.221 --> 00:05:48.503]  Combined with other natural herbs, bodies will help improve mobility, flexibility, and immunity.
[00:05:50.244 --> 00:05:51.124]  Get some today.
[00:05:52.005 --> 00:05:53.325]  Now 40% off.
[00:05:54.425 --> 00:05:59.527]  Support your health and support the InfoWars at InfoWarsStore.com.
[00:06:04.149 --> 00:06:08.110]  You are listening to an InfoWars.com Frontline Report.
[00:06:10.720 --> 00:06:14.843]  If you are receiving this transmission, you are the resistance.
[00:06:15.183 --> 00:06:21.548]  We now take you on.
[00:06:22.249 --> 00:06:30.755]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:36.474 --> 00:06:54.351]  Alright, I've got a lot of really good news for you today, and also a lot of the devastating operations of the enemy, but as soon as we wake up, even 50% to their operations, we will win no matter what they do, unless they launch nuclear weapons and just decide to blow the planet up instead of relinquishing control back to humanity, which they might do.
[00:06:57.394 --> 00:07:01.358]  Let me just mention some of the positive news, and I'm going to drill into it all and show it all to you.
[00:07:04.830 --> 00:07:26.432]  All over the country, scientific polls, they call them, but they're even skewed towards Democrats, still show Trump gaining even more after New York's false conviction by the judge, and him surging even more with Hispanic voters past 50% in many areas of the country, mid-40s everywhere, 40-50% of blacks
[00:07:30.211 --> 00:07:34.415]  In primary numbers against Nikki Haley, he's getting 80% of blacks.
[00:07:36.176 --> 00:07:40.540]  He's getting more blacks than whites in places like South Carolina and the polls.
[00:07:42.582 --> 00:07:47.046]  And then we've got the Teamsters Union now donating to the Republican Party and Trump.
[00:07:48.147 --> 00:07:50.409]  Bigger donations they've ever given to the Democrats.
[00:07:50.889 --> 00:07:51.770]  They've never done that.
[00:07:54.592 --> 00:07:55.053]  We've got
[00:07:58.416 --> 00:08:03.078]  Major polls that are of non-voters who are becoming voters, quote, normies.
[00:08:03.098 --> 00:08:03.918]  I don't know why that's normal.
