[00:00:00.000 --> 00:00:11.839]  [outro]
[00:00:11.844 --> 00:00:13.965]  You better believe you got one!
[00:00:16.125 --> 00:00:21.207]  From the front lines of the Information War, it's Alex Jones.
[00:00:25.407 --> 00:00:27.569]  It's Saturday, April 13th, 2024.
[00:00:27.829 --> 00:00:30.531]  I'm your host, Alex Jones.
[00:00:30.611 --> 00:00:52.148]  It's 108 Central Standard Time, and they've just launched, tomorrow to follow this crew, a X Spaces with a lot of great guests like Jack Posobiec and others that are going to be joining us here today to discuss the FBI and CIA targeting Americans, censoring Americans, surveilling Americans, persecuting Americans, including President Trump.
[00:00:52.788 --> 00:00:56.160]  Myself, Rudolph Giuliani, Tucker Carlson.
[00:00:58.103 --> 00:01:00.344]  Navarro, the list goes on and on.
[00:01:00.424 --> 00:01:01.565]  This is evil.
[00:01:02.285 --> 00:01:03.506]  This is illegal.
[00:01:04.026 --> 00:01:05.367]  This is out of control.
[00:01:05.827 --> 00:01:07.408]  This is beyond election theft.
[00:01:07.468 --> 00:01:12.010]  This is a globalist corporate coup against the people.
[00:01:12.510 --> 00:01:15.892]  And I believe any minute now, the Spaces on X is going to be live.
[00:01:16.452 --> 00:01:22.535]  As soon as it is, I'm going to go to that feed because Mario Nafalo does a great job, reaches tens of millions of people a day.
[00:01:22.555 --> 00:01:26.017]  Did an amazing interview with him and Elon Musk for two and a half hours previously.
[00:01:27.349 --> 00:01:31.291]  I'm going to let him host the spaces and be in control of the transmission.
[00:01:32.112 --> 00:01:50.263]  But while we're waiting for him to join and fire up his system, here is a clip of Congressman Representative Troy Nels talking about the fact that we do need congressional subpoenas and hearings about this coming out, and we do need Alex Jones, yours truly, to sue these people.
[00:01:50.743 --> 00:01:51.404]  Here's a quick clip.
[00:01:53.607 --> 00:01:54.147]  God bless you.
[00:01:54.167 --> 00:01:55.228]  God bless your listeners.
[00:01:55.248 --> 00:01:56.648]  You're doing a hell of a job, Benny.
[00:01:57.088 --> 00:01:58.269]  Keep it up, buddy.
[00:01:58.309 --> 00:01:59.269]  This is what we need.
[00:01:59.729 --> 00:02:00.970]  We are being silenced.
[00:02:01.510 --> 00:02:06.051]  We are being silenced by the dishonest media, the greatest threat to our country, the dishonest media.
[00:02:06.071 --> 00:02:08.132]  So it's individuals like you and others.
[00:02:08.172 --> 00:02:13.074]  And Alex Jones, if you're listening, Alex Jones, you have a right to be a little bit flustered, right?
