[00:00:01.325 --> 00:00:02.465]  The corrupt U.S.
[00:00:02.525 --> 00:00:10.527]  government is bankrupting the economy and igniting a third world war while flooding the border with single military-aged men.
[00:00:11.027 --> 00:00:20.510]  The media continues to divide us along party lines with another rigged election, while Hollywood tries to goad the people into a second civil war.
[00:00:21.090 --> 00:00:28.832]  And while this is all happening, humanity is being slow-killed with technologies that only serve to isolate and track us.
[00:00:29.452 --> 00:00:36.658]  Nine years ago, hundreds of scientists were warning us of the dangers of cell phones and 5G radiation.
[00:00:36.938 --> 00:00:42.282]  I'm Dr. Martin Blank from the Department of Physiology and Cellular Biophysics at Columbia University.
[00:00:42.622 --> 00:00:49.848]  We are scientists and engineers, and I'm here to tell you we have created something that is harming us, and it is getting out of control.
[00:00:50.088 --> 00:00:53.811]  The incidence of fatal brain cancer in younger people has more than tripled.
[00:00:53.991 --> 00:00:59.433]  We are putting cellular antennas on residential buildings and on top of hospitals where people are trying to get well.
[00:00:59.853 --> 00:01:06.636]  It's particularly frightening that radiation from our telecommunication and power line technology is damaging the DNA in our cells.
[00:01:07.036 --> 00:01:11.398]  The time to deal with the harmful biological and health effects is long overdue.
[00:01:11.778 --> 00:01:17.541]  We are really all part of a large biological experiment without our informed consent.
[00:01:18.141 --> 00:01:19.622]  And things have only gotten worse.
[00:01:20.202 --> 00:01:31.086]  Millions have been murdered with a mandated mystery injection, which has debilitated even more, and infected the living with nanotechnologies that are linking us with machines.
[00:01:31.586 --> 00:01:37.868]  An artificial intelligence grid is being built around us, and the people have never been more divided.
[00:01:38.268 --> 00:01:42.730]  And if we fail to unite, the future of humanity is destined to be grim.
[00:01:43.470 --> 00:01:50.195]  In Ronald Reagan's famous 1987 speech, he referred to an alien threat that could unite humanity.
[00:01:50.496 --> 00:02:01.004]  I occasionally think how quickly our differences worldwide would vanish if we were facing an alien threat from outside this world.
[00:02:02.625 --> 00:02:06.889]  And yet, I ask you, is not an alien force already among us?
[00:02:07.699 --> 00:02:13.963]  And regardless of what he was referring to 37 years ago, that alien threat is here today.
[00:02:13.983 --> 00:02:19.527]  It is the anti-human artificial intelligence that humanity is giving birth to.
[00:02:19.547 --> 00:02:23.089]  Sentient artificial intelligence far beyond human beings.
[00:02:23.729 --> 00:02:25.570]  You give it a thousand years alone?
[00:02:26.981 --> 00:02:28.862]  To make better and better versions of itself.
[00:02:28.942 --> 00:02:29.562]  Where does that go?
[00:02:30.363 --> 00:02:31.363]  That goes to a God.
[00:02:31.383 --> 00:02:34.585]  I don't... What kind of God?
[00:02:35.185 --> 00:02:35.805]  I think of it this way.
