[00:00:00.000 --> 00:00:20.000]  [Outro]
[00:00:20.381 --> 00:00:24.503]  Ladies and gentlemen, it is Thursday, May 9th, 2024.
[00:00:25.303 --> 00:00:30.646]  I'm your host, Alex Jones, coming to you live from deep in the heart of Texas, Austin.
[00:00:31.906 --> 00:00:34.348]  Headline of today's broadcast.
[00:00:35.248 --> 00:00:36.929]  The next pandemic hysteria is here.
[00:00:37.429 --> 00:00:40.790]  Globalists kick bird flu propaganda into high gear to ram through U.N.
[00:00:40.830 --> 00:00:43.832]  treaty and derail another general election.
[00:00:44.929 --> 00:00:45.609]  Watch live.
[00:00:50.171 --> 00:00:55.674]  We are 179 days, 12 hours, 33 minutes, 15 seconds out from the most important election in world history.
[00:00:58.255 --> 00:00:59.796]  We try to unseat the dug in.
[00:01:01.376 --> 00:01:02.157]  Deep state coup.
[00:01:04.918 --> 00:01:05.818]  That has its tentacles.
[00:01:06.919 --> 00:01:09.880]  Into not just our nation, but every major country on Earth.
[00:01:10.760 --> 00:01:14.222]  Alright, I am particularly loaded for better day and I'm always.
[00:01:15.370 --> 00:01:16.371]  Loaded with double-locked buck.
[00:01:17.392 --> 00:01:20.194]  I got a howitzer of truth about to fire some hardcore information.
[00:01:21.034 --> 00:01:22.756]  Let me just tell you what's coming up today.
[00:01:22.776 --> 00:01:39.588]  We've got a very respected expert medical doctor, OGBYN, who's been testifying to legislatures and courts and is key in exposing the actual numbers of record-level miscarriages and illnesses in babies whose mothers have taken the poison shots.
[00:01:40.729 --> 00:01:43.251]  Dr. Thorpe will be joining us in the third hour today.
[00:01:44.363 --> 00:01:58.491]  We also have an extremely deep dive coming up on the fact that we said this probably 500 times last few years and saying it again, it's now happening, that right before the election, they would create some new virus scare.
[00:01:59.211 --> 00:02:05.655]  They've been trying to push the monkeypox in Marburg and all the rest of the stuff didn't work, but they've really hyped up bird flu.
[00:02:06.715 --> 00:02:22.137]   And they've got all these people and they've got local news, I discovered, telling people That bird flu is spreading to humans, even though it's admitted from the CDC and from the WHO that no humans have gotten this strain of bird flu.
[00:02:22.858 --> 00:02:33.810]  So, they've put out the talking point and everybody's seen these compilations, particularly of local news, where they get a script, ABC, NBC, CBS, Fox, you name it.
[00:02:35.421 --> 00:02:42.167]  They get paid by government and other big pharma to put out a particular story and they put it out in an exact script.
[00:02:43.889 --> 00:02:49.674]  So local news everywhere saying bird flu has jumped into humans and humans are getting sick and they show people with bleeding eyes and all this other stuff.
[00:02:50.114 --> 00:02:50.715]  None of it's true.
