[00:00:00.000 --> 00:00:13.480]  [outro]
[00:00:13.653 --> 00:00:15.794]  You better believe you've got one!
[00:00:17.756 --> 00:00:24.756]   From the front lines of the information war, it's Alex Jones.
[00:00:24.756 --> 00:00:46.876]   The bottom line on nuclear weapons is that when the president gives the order, it must
[00:00:46.876 --> 00:00:48.635]  Be followed.
[00:00:48.527 --> 00:00:56.175]  There's about four minutes between the order being given and the people responsible for launching nuclear weapons to do so.
[00:00:56.435 --> 00:00:58.537]  As president, I will make it clear.
[00:00:59.398 --> 00:01:04.140]  That the United States will treat cyber attacks just like any other attack.
[00:01:04.701 --> 00:01:10.023]  We will be ready with serious political, economic, and military responses.
[00:01:10.143 --> 00:01:13.225]  They're voting for peace on planet Earth if they vote for Trump.
[00:01:13.525 --> 00:01:16.486]  But if they vote for Hillary, it's war.
[00:01:16.546 --> 00:01:19.107]  We came, we saw, he died.
[00:01:21.505 --> 00:01:23.548]  With her, you'll end up in World War III.
[00:01:23.889 --> 00:01:27.375]  I want the Iranians to know that if I'm the President, we will attack Iran.
[00:01:27.575 --> 00:01:35.468]  Right now, Senator, for us to control all of the airspace in Syria would require us to go to war against Syria and Russia.
[00:01:37.383 --> 00:01:37.843]  The U.S.
[00:01:37.883 --> 00:01:41.485]  military has just raised the threat level to DEFCON 2.
[00:01:41.846 --> 00:01:49.470]  Meanwhile, Hillary Clinton is still threatening Russia with military action following unconfirmed reports of further hacking.
[00:01:49.830 --> 00:01:52.171]  It's like she's not even concerned about the repercussions.
[00:01:52.272 --> 00:01:55.433]  Of course not, because she's... Look, there's a really loud noise.
[00:01:55.914 --> 00:02:00.916]  Alright, looks like we're having a little bit of technical difficulties.
[00:02:00.957 --> 00:02:03.158]  We'll try to get Leanne back on in a few minutes.
[00:02:06.819 --> 00:02:11.459]  When the President gives the order, it must be followed.
[00:02:11.459 --> 00:02:38.459]  [Music]
[00:02:39.459 --> 00:02:51.459]  [Music]
[00:02:51.459 --> 00:02:57.459]   From the front lines of the Information War, it's Alex Jones.
[00:02:58.381 --> 00:03:00.843]  And we are the front lines of the Information War.
[00:03:00.943 --> 00:03:02.484]  It's Saturday, March 23rd, 2024.
[00:03:02.744 --> 00:03:08.169]  I am your embattled host, coming to you from deep in the heart of Texas.
[00:03:09.403 --> 00:03:11.924]  Broadcasting worldwide!
[00:03:14.224 --> 00:03:16.925]  We have an incredible raft of guests on today.
[00:03:16.965 --> 00:03:23.307]  The top broadcaster in Russia, Vladimir Soyev, will be joining us coming up in the second hour.
[00:03:23.907 --> 00:03:28.829]  Scott Bennett, former Army intel officer, who just spent months on the front lines in the war.
[00:03:30.362 --> 00:03:39.368]  In Ukraine, back from Russia and Ukraine, joining us, Syrian girl who is in Moscow, always giving great analysis, will be joining us as well.
[00:03:39.388 --> 00:03:53.116]  And then Michael Yon, the undisputed top military news correspondent in the last 30 years, who has been warning of the Islamist sleeper cells working for the globalists, planning to attack America.
[00:03:54.397 --> 00:03:57.359]  It is all coming up in the next two hours.
[00:03:57.419 --> 00:04:06.998]   You definitely Want to be part of the information war and part of promoting the truth and you want to take this link, this feed at RealAlexJones you're watching right now and repost it.
[00:04:08.319 --> 00:04:12.622]  Hit your email list, your text message list, call your friends, your family, your neighbors, tell perfect strangers.
[00:04:12.662 --> 00:04:18.847]  Tune in now to RealAlexJones on X or at InfoWars.com forward slash show.
[00:04:19.728 --> 00:04:20.148]  Okay.
[00:04:21.389 --> 00:04:23.131]  I am an expert on this topic.
[00:04:23.331 --> 00:04:23.651]  Okay.
[00:04:24.452 --> 00:04:26.794]  I've been on there 30 years in April.
[00:04:29.528 --> 00:04:33.671]  And I had family that worked in secret black operations around the world.
[00:04:35.893 --> 00:04:41.057]  In Latin America, in East Germany, West Germany, you name it.
[00:04:41.097 --> 00:04:43.279]  So I've known about this my whole life.
[00:04:43.840 --> 00:04:44.840]  I understand the players.
[00:04:45.381 --> 00:04:46.722]  We have top experts coming on.
[00:04:47.142 --> 00:04:51.486]  I can conclusively tell you the facts of what's going on and why this is such a big deal.
[00:04:53.107 --> 00:04:54.148]  And what are we talking about?
[00:04:55.026 --> 00:05:09.409]  We're talking about what happened yesterday while I was live on air with a Friday show, an attack on a major theater that holds over 6,000 people as part of a larger shopping mall in the middle of Moscow.
[00:05:10.850 --> 00:05:12.590]  I said it'd be over 100 dead.
[00:05:12.670 --> 00:05:14.071]  It's now 133 dead and climbing.
[00:05:14.851 --> 00:05:26.774]   Dozens, at least 15, supposed ISIS terrorists, who I saw in what looked like Ukrainian uniforms, was Ukrainian gear, We can roll some of the B-roll of the attack for you.
[00:05:28.655 --> 00:05:33.960]  Went in there and began murdering men, women, and children, and tried to burn the entire building down.
[00:05:33.980 --> 00:05:34.961]  They burned a lot of it down.
[00:05:36.042 --> 00:05:43.729]  Now, immediately, ISIS came out and took responsibility, and is sentenced to prove they did it.
[00:05:45.750 --> 00:05:57.545]   These people are questioning and saying it's Ukraine, including Putin, They've since posted photos and video of them carrying out the attack just to prove it was them.
[00:05:57.945 --> 00:06:02.628]  Well, the globalists think we are the stupidest people in the world.
[00:06:03.108 --> 00:06:08.812]  ISIS was created by Obama and by European and British intelligence with Israel.
[00:06:11.034 --> 00:06:26.334]   And I am going to show you The Jerusalem Post and AP and Reuters saying ISIS is good and that ISIS is our ally.
