[00:00:00.289 --> 00:00:01.350]  I had two choices.
[00:00:01.590 --> 00:00:02.590]  They were going for Chapter 7.
[00:00:03.351 --> 00:00:04.872]  I would have been removed today.
[00:00:05.112 --> 00:00:06.152]  I'd be locked out of the building.
[00:00:06.333 --> 00:00:07.573]  That was even set it on the stand.
[00:00:07.853 --> 00:00:08.874]  I'd be removed Alex Jones.
[00:00:09.394 --> 00:00:15.938]  So I had that or I could slam it back into state court and then have a battle there that at least buys us some time.
[00:00:15.998 --> 00:00:16.898]  So I'm not giving up.
[00:00:17.259 --> 00:00:17.819]  I'm fighting.
[00:00:18.299 --> 00:00:22.261]  If I had an option to stop fighting and have freedom and be back to free speech, I'd take that option.
[00:00:22.522 --> 00:00:31.653]   But I can fight With a guy in there that's out to get me, who just removes me immediately, I'm no longer in the building, or I can buy time to continue.
[00:00:31.733 --> 00:00:35.074]  And so, that's the reality, that's what happens, that's the boil down.
[00:00:36.375 --> 00:00:41.937]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:00:41.957 --> 00:00:47.840]  Alright ladies and gentlemen, we get the update now.
[00:00:48.481 --> 00:01:05.286]   First and foremost, you want to tune in to this, forget about what the fake news is saying, This is Alex Jones, fresh out of the courtroom, giving you the update from one of the biggest, most historic free speech cases, an offense to free speech, the attempt to shut down InfoWars.
[00:01:05.306 --> 00:01:06.006]  We're still on air.
[00:01:06.246 --> 00:01:07.087]  Here's Alex Jones.
[00:01:08.548 --> 00:01:09.168]  Absolutely.
[00:01:09.188 --> 00:01:09.508]  All right.
[00:01:09.708 --> 00:01:25.159]   The best way for me to explain this, this is very historic and important, is to just really kind of start at the beginning, because so many people out there get confused When they're trying to understand what has gone on.
[00:01:25.819 --> 00:01:26.019]  So.
[00:01:27.199 --> 00:01:29.500]  Democratic Party with the FBI, the CIA.
[00:01:30.540 --> 00:01:31.380]  They want to stop Trump.
[00:01:31.400 --> 00:01:32.581]  They want to stop me six years ago.
[00:01:32.621 --> 00:01:33.641]  They go look at my history.
[00:01:34.721 --> 00:01:37.302]  And they dig up a few statements I made years, years before.
[00:01:37.922 --> 00:01:40.023]  But the mainstream media was putting out one story.
[00:01:40.043 --> 00:01:42.303]  The alternative media was putting out another about Sandy Hook.
[00:01:43.324 --> 00:01:44.124]  Okay, so that happened.
[00:01:45.964 --> 00:01:49.105]  Then they had PR firms hyping all up all over the news.
[00:01:49.605 --> 00:01:50.986]  Just on and on and on and on.
[00:01:53.200 --> 00:02:02.480]   They built this straw man and said that I did all these things, said all these things I never did, and they said I was doing it in the present tense.
[00:02:02.480 --> 00:02:16.080]   So then they, in two court jurisdictions, the deep state, in Austin and in Connecticut, bring it where the judges say I'm already guilty, and they have fake financial experts
[00:02:16.080 --> 00:02:20.240]   claim I'm worth hundreds of millions of dollars, and that I made it off these people, and I barely ever even talked about them.
[00:02:20.597 --> 00:02:23.599]  Then they have show trials after I'm already found guilty by the judges.
[00:02:25.141 --> 00:02:30.005]  And then I knew that I had no choice because I was out of money fighting all this.
[00:02:31.126 --> 00:02:34.209]  I declared bankruptcy two years ago.
[00:02:35.070 --> 00:02:36.231]  The company and then myself.
