[00:00:00.009 --> 00:00:01.510]  ["Pomp and Circumstance"]
[00:00:32.847 --> 00:00:34.938]  Yeah, we're good.
[00:01:05.268 --> 00:01:06.048]  InfoWars.
[00:01:06.368 --> 00:01:07.288]  Tomorrow's News.
[00:01:07.548 --> 00:01:08.029]  Today.
[00:01:22.391 --> 00:01:26.252]  Usually, the mentally retarded are divided into classifications.
[00:01:26.772 --> 00:01:27.552]  The Educable.
[00:01:29.072 --> 00:01:29.792]  The Trainable.
[00:01:31.913 --> 00:01:33.113]  And the Custodial.
[00:01:35.117 --> 00:01:41.722]  Obviously, we can only assess the abilities or potential of the mentally retarded on an individual basis.
[00:01:42.763 --> 00:01:50.348]  Seemingly random motions and movements are fairly common among the custodial retarded, and they may take many forms.
[00:01:51.029 --> 00:01:59.055]  Sometimes there are motions which seem to have no meaning whatever, and may even cause unintentional self-inflicted injuries.
[00:02:00.652 --> 00:02:07.157]  The vast majority of the mentally retarded are intelligent enough that they can be taught a great many things.
[00:02:07.777 --> 00:02:12.460]  However, there's a wide range of ability, even among those considered educable.
[00:02:13.461 --> 00:02:18.465]  And their ability to learn obviously varies according to their level of intelligence.
[00:02:19.845 --> 00:02:22.487]  Equally important is a stimulating environment.
[00:02:23.368 --> 00:02:28.972]  However, we must remember to set realistic standards that are not too high for the individual.
[00:02:30.228 --> 00:02:39.695]  Many of the trainable retarded can learn to take certain kinds of household responsibilities, some of which may be more complex than they are usually given credit for.
[00:02:41.256 --> 00:02:46.099]  It would be wrong to expect a mentally retarded person to become a master craftsman.
[00:02:46.759 --> 00:02:48.360]  The standards are too high.
[00:02:49.061 --> 00:02:57.006]  But even in the skilled trades, for example, the mentally retarded can be trained to become valuable assistants.
[00:02:57.847 --> 00:02:59.408]  Who are the mentally retarded?
[00:02:59.974 --> 00:03:01.675]  If… If, by Rudyard Kipling,
[00:03:31.701 --> 00:03:57.217]  If you can keep your head when all about you are losing theirs and blaming it on you, if you can trust yourself when all men doubt you, but make allowance for their doubting too, if you can wait and not be tired by waiting, or being lied about, don't deal in lies, or being hated, don't give way to hating, and yet don't look too good, nor talk too wise,
[00:03:58.976 --> 00:04:24.731]  If you can dream and not make dreams your master, if you can think and not make thoughts your aim, if you can meet with triumph and disaster and treat those two impostors just the same, if you can bear to hear the truth you've spoken twisted by knaves to make a trap for fools, or watch the things you gave your life to broken and stoop and build them up with worn-out tools,
[00:04:26.866 --> 00:04:50.246]  If you can make one heap of all your winnings And risk it on one turn of pitch and toss And lose and start again at your beginnings And never breathe a word about your loss If you can force your heart and nerve and sinew To serve your turn long after they are gone And so hold on when there is nothing in you Except the will which says to them, hold on
[00:04:51.946 --> 00:04:57.709]  If you can talk with crowds and keep your virtue, or walk with kings, nor lose the common touch.
[00:04:58.429 --> 00:05:05.132]  If neither foes nor loving friends can hurt you, if all men count with you, but to none too much.
[00:05:06.313 --> 00:05:14.997]  If you can fill the unforgiving minute with sixty seconds worth of distance run, yours is the earth and everything that's in it.
[00:05:16.258 --> 00:05:19.259]  And, which is more, you'll be a man, my son.
[00:05:28.592 --> 00:05:31.354]  There are, of course, those who do not want us to speak.
[00:05:31.374 --> 00:05:32.575]  Let me think, just let me think!
[00:05:32.595 --> 00:05:38.080]  I suspect even now, orders are being shouted into telephones and men with guns will soon be on their way.
[00:05:38.140 --> 00:05:38.900]  It's Chancellor Sutler.
[00:05:39.501 --> 00:05:39.981]  Damn it!
[00:05:40.181 --> 00:05:40.542]  Why?
[00:05:41.262 --> 00:05:44.125]  Because while the truncheon may be used in lieu of conversation,
[00:05:44.905 --> 00:05:47.326]  Words will always retain their power.
[00:05:47.826 --> 00:05:53.767]  Words are for the means to meaning, and for those who will listen, the enunciation of truth.
[00:05:53.807 --> 00:05:58.609]  The truth is, there is something terribly wrong with this country, isn't there?
[00:05:58.629 --> 00:05:59.609]  You decided, sir.
[00:05:59.669 --> 00:06:00.569]  You wanted it foolproof.
[00:06:00.609 --> 00:06:02.069]  You told me every television in London!
[00:06:02.250 --> 00:06:03.870]  Cruelty and injustice.
[00:06:04.310 --> 00:06:04.851]  Cameras.
[00:06:04.871 --> 00:06:05.491]  We need cameras.
[00:06:31.855 --> 00:06:33.275]  I know why you did it.
[00:06:33.815 --> 00:06:34.896]  I know you were afraid.
[00:06:34.916 --> 00:06:36.076]  Who wouldn't be?
[00:06:36.576 --> 00:06:37.096]  War?
[00:06:37.336 --> 00:06:37.876]  Terror?
[00:06:37.956 --> 00:06:38.636]  Disease?
[00:06:38.656 --> 00:06:45.618]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[00:06:45.718 --> 00:06:51.479]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[00:06:52.079 --> 00:06:58.200]  He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[00:07:04.980 --> 00:07:06.261]  There is a war.
[00:07:06.661 --> 00:07:07.662]  It's happening now.
[00:07:08.542 --> 00:07:10.344]  It will decide the fate of humanity.
[00:07:10.924 --> 00:07:12.745]  The time to choose sides has come.
[00:07:13.466 --> 00:07:14.947]  We are the resistance.
[00:07:15.387 --> 00:07:28.015]  We are the InfoWars.
[00:07:30.517 --> 00:07:34.640]  You are listening to an InfoWars.com Frontline Report.
[00:07:35.626 --> 00:07:39.569]  If you are receiving this transmission, you are the resistance.
[00:07:41.009 --> 00:07:52.136]  Well, I went off air about an hour and a half ago and I said this could be Infowars' last show because I learned yesterday that they were going to padlock the doors and kick us out last night.
[00:07:55.260 --> 00:08:00.281]  And again, I'm not blaming the security companies, private security company I hired like eight years ago for other work, six, seven years ago for here.
[00:08:01.141 --> 00:08:02.781]  There's a CRO, there's a bankruptcy.
[00:08:03.602 --> 00:08:06.602]  And I saw the guard kind of acting weird, looking at me weird.
[00:08:06.642 --> 00:08:07.322]  He looked really conflicted.
[00:08:07.342 --> 00:08:09.783]  I knew the guy well, and I could tell that just came to me.
[00:08:09.803 --> 00:08:11.023]  I'm like, oh, there's something going on.
[00:08:11.043 --> 00:08:11.943]  They're going to shut us down tonight.
[00:08:11.963 --> 00:08:15.404]  So I went, oh, hey, so what's happening tonight with more guards coming in?
[00:08:15.424 --> 00:08:16.484]  They're like, well, how do you know about that?
[00:08:16.504 --> 00:08:18.665]  So I literally just go with my instincts now.
[00:08:18.685 --> 00:08:20.265]  I was always ignoring my whole life.
[00:08:21.005 --> 00:08:22.846]  And now I'm just religiously following.
[00:08:22.866 --> 00:08:24.326]  I was talking about that on Friday's show.
[00:08:24.346 --> 00:08:25.506]  It's the Holy Spirit, folks.
[00:08:25.827 --> 00:08:26.327]  It's not me.
[00:08:27.187 --> 00:08:29.968]  And discovered this whole plan to shut us down.
[00:08:30.868 --> 00:08:34.249]  And so today I went on an emergency broadcast at 10 a.m.
[00:08:34.329 --> 00:08:39.311]  at Daniel Esselstyn for a few hours, covered some of the stuff that was going on, aired a recording.
[00:08:40.591 --> 00:08:42.232]  I've recorded like five people before.
[00:08:42.772 --> 00:08:46.814]  One was Megan Kelly, a few other people, and they're just saying outrageous shit.
[00:08:47.934 --> 00:08:51.455]  And so I recorded this, I recorded some other stuff that I haven't released yet.
[00:08:52.236 --> 00:09:02.259]  And when I went off air, I said, in about one hour, we're going to get a call, they're going to tell the security to shut this place down.
[00:09:03.360 --> 00:09:06.161]  And sure enough, the CRO was appointed by the court.
[00:09:07.630 --> 00:09:13.253]  He told them to do it, and the people were smart enough to not do it, because you gotta have a court order, you gotta have a reason.
[00:09:13.353 --> 00:09:21.856]  So it's a soluble company that is solvent, not soluble, but solvent.
[00:09:22.296 --> 00:09:24.577]  And so I went, okay, well, we're gonna go back on air.
[00:09:24.797 --> 00:09:29.219]  And then everybody batted around, and there was consensus, and all these lawyers and people.
[00:09:29.239 --> 00:09:32.701]  Oh, actually, there is no law to shut down Infowars.
[00:09:33.741 --> 00:09:35.442]  But again, these people don't care.
[00:09:36.971 --> 00:09:40.473]  There's also a one-dimensional view, and it's not the judge himself, he's been very fair.
[00:09:40.893 --> 00:09:48.898]  There's a one-dimensional view that the person I exposed, Pat McGill, who's watching right now, thinks he shuts this building down and he stops it.
[00:09:48.918 --> 00:09:52.400]  It's called, I don't, McGill, you don't know this stuff, it's called the Streisand Effect.
[00:09:52.420 --> 00:09:55.181]  You might want to do a little research on the Streisand Effect, just for yourself.
[00:09:56.202 --> 00:10:01.645]  See, because I don't set up Machiavellian stuff, but when somebody tries it on me, I'll out Machiavelli Machiavelli.
[00:10:02.306 --> 00:10:04.147]  So, so, so,
[00:10:05.468 --> 00:10:06.348]  This is what's going on.
[00:10:07.089 --> 00:10:19.040]  And I put up a year ago with him filing a thing in the court that I was stealing money with no proof that I already filed in the court of the sponsors we have we're trying to bring over out of bankruptcy because I wasn't bankruptcy when free speech was trying to bring it over and had to deal with the last CRO.
[00:10:20.882 --> 00:10:33.049]  And then he filed, three months ago in March, another secret filing with the court saying Alex Jones stole money, Alex Jones is incompetent, Alex Jones is a horrible person, I need to be able to fire him.
[00:10:33.730 --> 00:10:39.853]  And then when I got this from the court, because the judge sent it to my lawyers, I called him, he called me back, and I said, what is this?
[00:10:40.453 --> 00:10:42.515]  He started saying, I never did that, it's not real, it didn't happen.
[00:10:42.755 --> 00:10:44.356]  A week later in court, he admitted he did it.
[00:10:44.476 --> 00:10:49.759]  And the judge slapped him down and said, Mr. Jones is the head of the company, you're just the manager that reports back to the court.
[00:10:50.987 --> 00:10:52.708]  So there's this gaslighting going on.
[00:10:52.948 --> 00:10:54.348]  Oh, why are you being mean?
[00:10:54.428 --> 00:11:09.514]  Why are you... Listen, when he first did that, when I had sponsors that I had personally, and John Harmon's been here 21 years, was the manager of just actually one sponsor, a satellite phone company, and I was in meetings with my lawyers and filed the court.
[00:11:09.534 --> 00:11:10.874]  Hey, I had this money from a satellite phone.
[00:11:10.994 --> 00:11:12.015]  I have now declared bankruptcy.
[00:11:12.355 --> 00:11:13.695]  I was already putting part of it into the deal.
[00:11:13.715 --> 00:11:14.856]  That was my agreement with the last CRO.
[00:11:15.176 --> 00:11:15.956]  I'd like to bring this money in.
[00:11:15.976 --> 00:11:17.657]  He killed the other $12 million of advertising.
[00:11:18.669 --> 00:11:21.450]  I said, let's bring back the advertising and John Harmon should be the manager.
[00:11:21.710 --> 00:11:23.230]  Oh, yeah, we'll talk about that later.
[00:11:23.350 --> 00:11:32.592]  And then went and filed in the court that he discovered money with the Justice Department already involved in the case with the U.S.
[00:11:32.612 --> 00:11:32.892]  trustee.
[00:11:32.912 --> 00:11:34.952]  I mean, I've been interrogated and deposed.
[00:11:35.032 --> 00:11:41.234]  At my depositions, the Justice Department lawyers are there as if I would like engage in a crooked toenail during this.
[00:11:42.114 --> 00:11:43.614]  So everybody's like, oh, just take it.
[00:11:43.654 --> 00:11:45.655]  You know, you're really being a troublemaker.
[00:11:45.715 --> 00:11:47.515]  You know, you didn't like I did this.
[00:11:48.855 --> 00:11:49.715]  He follows it again.
[00:11:49.895 --> 00:11:51.276]  He does it again secretly.
[00:11:51.336 --> 00:11:58.398]  The judge gets pissed off at him because the great top lawyer they had for free speech systems wasn't my lawyer, but he was here previously for the bankruptcy.
[00:11:58.899 --> 00:12:00.179]  They fired the first CRO.
[00:12:00.879 --> 00:12:01.520]  He wasn't a bad guy.
[00:12:01.540 --> 00:12:02.200]  I just knew what he was doing.
[00:12:02.220 --> 00:12:02.800]  The judge did that.
[00:12:02.820 --> 00:12:03.480]  I didn't even ask for that.
[00:12:04.601 --> 00:12:07.962]  Then he didn't like Ray Battaglia because he's like a top guy and flies straight.
[00:12:09.298 --> 00:12:14.640]  And so they get rid of him, and the judge gets really pissed at Pat McGill, who's watching right now.
[00:12:15.360 --> 00:12:27.544]  I mean, Pat, dude, you can't attack people and say they're taking money illegally, and they're doing all this, and then call them up and say, I didn't file that, when I had the goddamn file with your name on it, and later in court you admitted you did it.
[00:12:27.944 --> 00:12:31.745]  And the judge said, no, you're not taking over InfoWars, you're not firing Alex Jones, you're not in control of the company.
[00:12:33.018 --> 00:12:34.860]  So this is even about keeping InfoWars going.
[00:12:34.980 --> 00:12:36.461]  I'm not, whatever happens, happens.
[00:12:36.501 --> 00:12:37.682]  This is about my integrity.
[00:12:37.843 --> 00:12:39.184]  I don't take stuff lying down.
[00:12:39.204 --> 00:12:39.744]  Okay?
[00:12:40.165 --> 00:12:46.911]  So, so, I mean, I don't know because I was so nice and put up with a bunch of bullshit that you thought you had some candy ass that was just here to take the stuff.
[00:12:47.171 --> 00:12:49.534]  And so, hey, you can convince somebody.
[00:12:51.442 --> 00:12:54.104]  Because I explained this, and I told the lawyers the law, and I showed it to them.
[00:12:54.344 --> 00:13:02.809]  Like, when the lockdowns were happening four years ago, my crew's great, they're smart, but I read the federal law, the media exempted itself as essential.
[00:13:03.770 --> 00:13:10.074]  And I said, we're a media company, or any food company, we're both, because they call supplements food, and we sell food, that's what they call us, food.
[00:13:11.555 --> 00:13:13.256]  You cannot shut that down, it's essential.
[00:13:13.276 --> 00:13:17.179]  And the crew wasn't believing that, and a bunch of people didn't want to come to work, and they're like, no, no, we're not going to violate the law anywhere else.
