[00:00:16.070 --> 00:00:20.175]  Infowars, the most banned network in the world.
[00:00:27.481 --> 00:00:39.576]  In 2021, the commander of Israeli intelligence published a book on designing a special machine that would resolve what he described as a human bottleneck for locating and approving targets in war.
[00:00:40.723 --> 00:00:54.991]  A recent investigation by Plus 972 Magazine and Local Call reveals that the Israeli Army has developed an artificial intelligence-based program known as Lavender, which does exactly that.
[00:00:55.712 --> 00:01:06.038]  According to six Israeli intelligence officers with first-hand experience, the Lavender AI machine determined who to kill and was obeyed with military discipline.
[00:01:06.818 --> 00:01:16.251]  During the first weeks of the war, the Lavender System designated about 37,000 Palestinians as targets and directed airstrikes on their homes.
[00:01:16.872 --> 00:01:23.781]  Despite knowing that the system makes errors about 10% of the time, there was no requirement to check the machine's data.
[00:01:24.682 --> 00:01:32.570]  The Israeli Army systematically attacked the targeted individuals at night, in their homes, while their whole family was present.
[00:01:33.171 --> 00:01:42.280]  An automated system known as, Where's Daddy?, was used to track the targeted individuals and carry out bombings when they entered their family's residences.
[00:01:43.041 --> 00:01:48.346]  The obvious result was that thousands of women and children were wiped out by Israeli airstrikes.
[00:01:48.886 --> 00:01:55.012]  According to these Israeli intelligence officers, the IDF bombed them in homes as a first option.
[00:01:55.493 --> 00:02:00.978]  And on several occasions, entire families were murdered when the actual target was not inside.
[00:02:01.658 --> 00:02:08.385]  In one instance, four buildings were destroyed along with everyone inside because a single target was in one of them.
[00:02:09.485 --> 00:02:20.677]  When it came to targets marked as low-level by the AI Lavender System, cheaper bombs were used, which destroyed entire buildings, killing mostly civilians and entire families.
[00:02:21.197 --> 00:02:28.224]  This was done because the IDF did not want to waste expensive bombs on who they deemed as unimportant people.
[00:02:28.985 --> 00:02:37.289]  It was decided that for every low-level Hamas operative that Lavender marked, it was permissible to kill up to 15 or 20 civilians.
[00:02:37.870 --> 00:02:42.752]  And if the target was a senior Hamas official, more than 100 civilians was acceptable.
[00:02:43.553 --> 00:02:47.495]  Most of these AI targets were never tracked before the war.
[00:02:48.533 --> 00:03:02.059]  The Lavender Software analyzed information collected on the 2.3 million residents of the Gaza Strip through a system of mass surveillance, assessed the likelihood of each person being a militant, and gave a rating from 1 to 100.
[00:03:03.120 --> 00:03:07.182]  If the rating was high enough, then they were killed along with their entire family.
[00:03:07.822 --> 00:03:18.948]  Lavender flagged individuals who had patterns similar to Hamas, including police, civil defense, relatives, and residents who had similar names and nicknames.
[00:03:19.649 --> 00:03:22.790]  This sort of tracking system has existed in the U.S.
[00:03:22.991 --> 00:03:23.571]  for years.
[00:03:24.131 --> 00:03:33.977]  What I will be providing you and the fine gentleman of the Secret Service is a list of every threat made about the President since February 3rd, and a profile of every threat maker.
[00:03:35.703 --> 00:03:38.985]  And these are, like, existing targets?
[00:03:39.846 --> 00:03:49.051]  Exhibit A. Oakland resident Justin Pinsky posted on a message board, Romania has a storied history of executing their leaders, couldn't they do us a solid and take out Bush?
[00:03:50.952 --> 00:03:51.993]  How is this all possible?
[00:03:52.953 --> 00:03:54.334]  Um, keyword selectors.
[00:03:55.055 --> 00:03:56.836]  Attack, take out, Bush.
[00:03:58.806 --> 00:04:06.949]  So think of it as a Google search, except instead of searching only what people make public, we're also looking at everything they don't, so... Emails, chats, SMS, whatever.
[00:04:06.969 --> 00:04:08.470]  Yeah, but which people?
[00:04:08.490 --> 00:04:11.091]  The whole kingdom's Snow White.
[00:04:12.091 --> 00:04:18.694]  And while many people claim that Israel controls the U.S., Joe Biden said that Israel serves U.S.
[00:04:18.814 --> 00:04:19.274]  interests.
[00:04:19.694 --> 00:04:21.235]  There's no apology to be made!
[00:04:21.255 --> 00:04:22.335]  None!
[00:04:23.176 --> 00:04:26.477]  It is the best $3 billion investment we make.
[00:04:27.850 --> 00:04:34.795]  Whether or not in Israel the United States of America would have to invent an Israel to protect her interest in the region.
[00:04:35.516 --> 00:04:38.238]  The United States would have to go out and invent an Israel.
[00:04:38.959 --> 00:04:41.381]  Reporting for InfoWars, this is Greg Reese.
[00:05:00.572 --> 00:05:03.114]  It's been sold out for six months.
[00:05:03.774 --> 00:05:05.256]  It's our number two bestseller.
[00:05:05.376 --> 00:05:05.896]  It's X3.
[00:05:05.996 --> 00:05:13.262]  The highest quality, pure, deep earth crystal iodine you're going to find anywhere.
[00:05:13.602 --> 00:05:16.784]  With the two other types of iodine that are great for your body as well.
[00:05:17.164 --> 00:05:21.768]  So to make sure no matter what type of body type you have, whatever your physiology is, it will supercharge you.
[00:05:22.148 --> 00:05:23.409]  Look at this giant stack right here.
[00:05:24.030 --> 00:05:26.732]  I could talk for hours about this on air and I am planning to next week.
[00:05:27.492 --> 00:05:32.856]  But the number one cause of cognitive disability in the world is iodine deficiency.
[00:05:33.237 --> 00:05:34.738]  And all iodine is not created equal.
[00:05:35.078 --> 00:05:40.282]  Most iodine is bound to other things in the environment, whether it's plants or animals you're eating, so you don't absorb it.
[00:05:40.603 --> 00:05:41.223]  This is pure.
[00:05:41.243 --> 00:05:42.224]  It goes right into your cells.
[00:05:42.704 --> 00:05:45.066]  It is essential for all electrochemical activity.
[00:05:45.487 --> 00:05:53.974]  And despite the fact it's been sold out for six months, X3 is back in stock for 40% off for a limited time at InfoWorksTour.com.
[00:05:54.314 --> 00:05:56.776]  So stock up on X3 right now.
[00:05:58.016 --> 00:06:15.524]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:18.207 --> 00:06:19.967]  Welcome to the Alex Jones Show, ladies and gentlemen.
[00:06:20.007 --> 00:06:22.388]  I am Chase Geiser, filling in for the great Alex Jones.
[00:06:22.408 --> 00:06:23.548]  He'll be back at the end of the week.
[00:06:23.568 --> 00:06:28.229]  It's been a wild ride this past week, shifting all the hosts around for the different shows.
[00:06:28.669 --> 00:06:30.729]  It's always an honor and a pleasure to be with you.
[00:06:30.769 --> 00:06:35.010]  So we've got major escalations that have occurred all week.
