[00:00:00.169 --> 00:00:01.470]  Synthetic.
[00:00:01.990 --> 00:00:03.051]  Syncytin.
[00:00:03.091 --> 00:00:04.491]  Sorry, it's spelled wrong.
[00:00:04.892 --> 00:00:07.293]  Synthesize cells together.
[00:00:07.493 --> 00:00:08.253]  Cyto.
[00:00:08.734 --> 00:00:09.914]  Syncytin.
[00:00:10.395 --> 00:00:12.256]  Synthetic syncytin.
[00:00:12.736 --> 00:00:16.038]  Our body makes syncytin.
[00:00:16.418 --> 00:00:22.041]  It's a protein that... Wait a minute, so they're programming people with a synthetic thing that we already need.
[00:00:22.201 --> 00:00:23.802]  Oh, but so then it does it's so...
[00:00:24.142 --> 00:00:31.784]  And then we attack, we attack, not that we already need, it's critical for all of life, for fertilization.
[00:00:32.064 --> 00:00:39.985]  So they put a synthetic one in, our body looks at it and says, that's not me, and it can't break it down.
[00:00:40.365 --> 00:00:46.947]  We could break down the monkey, the mouse, the cow, the aborted fetal, and it took too much time to kill us.
[00:00:47.267 --> 00:00:47.767]  The latent
[00:00:47.907 --> 00:00:48.508]  Period.
[00:00:48.768 --> 00:00:53.273]  That's what Burke showed on the clip that you could play the clip tomorrow.
[00:00:53.533 --> 00:00:55.135]  See, they know what they're doing.
[00:00:55.456 --> 00:00:57.358]  And they're legally liable.
[00:00:57.838 --> 00:01:01.943]  It's it's it's not it's it's at it's the only
[00:01:02.824 --> 00:01:11.987]  Family of retroviruses that infects all cells of the human body and all animals.
[00:01:12.127 --> 00:01:16.288]  Cows, mammals, lizards have syncytin.
[00:01:16.868 --> 00:01:20.129]  All people who carry their young mammals.
[00:01:20.689 --> 00:01:24.673]  So every cell of the body, including the sperm and the egg.
[00:01:25.094 --> 00:01:33.202]  So they had to put that synthetic one in, in order to kill certain populations.
[00:01:34.423 --> 00:01:44.172]  Pastor Rob, when I was frustrated trying to explain it to him, he said, Judy, have you ever seen the bottom of Darwin's thesis?
[00:01:44.873 --> 00:01:50.174]  And I'm like, I don't know, by natural immune selection, I'm thinking, and I'm trying to explain this.
[00:01:50.774 --> 00:01:51.854]  He's doing what you're doing.
[00:01:51.914 --> 00:01:52.734]  He's interrupted me.
[00:01:52.754 --> 00:01:53.675]  You're looking at his phone.
[00:01:54.055 --> 00:02:02.876]  And he said, no, it says or preservation of favored races in the struggle for life.
[00:02:03.236 --> 00:02:06.497]  And I'm like, oh, my God, there is no struggle for life.
[00:02:06.817 --> 00:02:12.218]  This is this is the cult of scientism playing evolution games.
[00:02:12.538 --> 00:02:15.141]  We didn't become monkeys and stand up.
[00:02:15.482 --> 00:02:19.667]  They had to put synthetic in because they couldn't kill us.
[00:02:19.927 --> 00:02:21.990]  They couldn't get to the seed.
[00:02:22.290 --> 00:02:27.277]  They couldn't get to the fertilized embryo instead of that shot.
[00:02:27.837 --> 00:02:37.862]  And the reason I'm still go back to that last slide, because this matters for when we elect everything you're saying in the most important election.
[00:02:38.502 --> 00:02:43.005]  Okay, my pen is pointing to COVID in the bottom right.
[00:02:43.405 --> 00:02:44.345]  And that picture is 2006. 2006.
[00:02:52.321 --> 00:02:58.124]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:03:06.729 --> 00:03:07.289]  InfoWars.
[00:03:07.369 --> 00:03:10.991]  Tomorrow's news.
[00:03:11.011 --> 00:03:11.372]  Today.
[00:03:27.156 --> 00:03:29.218]  Tad O'Malley has been making claims.
[00:03:29.938 --> 00:03:30.659]  Claims about what?
[00:03:32.180 --> 00:03:36.603]  You and everyone you know has a piece of DNA in your genome put there without your knowing it.
[00:03:36.723 --> 00:03:37.464]  Put there by whom?
[00:03:37.984 --> 00:03:39.225]  Well, that's the question of the day.
[00:03:40.166 --> 00:03:41.307]  This is an internet lunatic.
[00:03:41.327 --> 00:03:42.668]  You're not saying you believe him.
