[00:00:00.429 --> 00:00:04.212]  2024.
[00:00:00.529 --> 00:00:04.212]  InfoWars should be shut down by tomorrow evening.
[00:00:04.232 --> 00:00:05.533]  I have major updates.
[00:00:08.575 --> 00:00:12.737]  InfoWars, the most banned network in the world.
[00:00:20.082 --> 00:00:26.786]  And it's time for you men to stand up in the InfoWars and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:00:27.026 --> 00:00:29.108]  You better believe you've got one!
[00:00:31.294 --> 00:00:36.380]  From the front lines of the Information War, it's Alex Jones.
[00:00:39.403 --> 00:00:45.270]  That's how it all ends.
[00:00:45.550 --> 00:00:46.171]  God wins.
[00:00:47.493 --> 00:00:51.037]  We shouldn't know all the details of World War II yet, but we're gonna live it right now.
[00:00:54.904 --> 00:00:58.091]  Sunday, June 2nd, 2024.
[00:00:58.131 --> 00:01:01.318]  155 days, 7 hours, 59 minutes, 2 seconds.
[00:01:02.120 --> 00:01:04.225]  The most important election in world history.
[00:01:05.552 --> 00:01:09.416]  I come to you in the twilight of Impul Wars, as it has been known.
[00:01:09.436 --> 00:01:15.001]  I don't think there's really any way that we'll be around more than a month or two at best.
[00:01:15.662 --> 00:01:19.846]  I can give you all the details and angles, and it would take a long time to go through it all.
[00:01:20.847 --> 00:01:24.010]  But we have major updates here for you.
[00:01:24.050 --> 00:01:25.511]  We have a raft of huge guests.
[00:01:26.172 --> 00:01:27.954]  Ted Nugent, Mike Adams, Steve Quayle,
[00:01:29.873 --> 00:01:33.276]  Steve Bannon, trying to get Roger on, but I think he's with Trump right now.
[00:01:34.136 --> 00:01:36.478]  So, we've got a lot happening.
[00:01:37.479 --> 00:01:39.120]  There's also a lot I haven't told you.
[00:01:40.341 --> 00:01:42.202]  The CIA was listening to all of it.
[00:01:43.923 --> 00:01:51.409]  I secretly did advise Trump a lot, and I did send him reports and memos, and I did help him purge the White House repeatedly of the bad guys.
[00:01:51.769 --> 00:01:54.031]  And that Fiona Hill went on TV.
[00:01:55.703 --> 00:01:59.927]  On 60 Minutes and talked about it and cried about it and said, I don't even know who George Soros is.
[00:01:59.947 --> 00:02:03.250]  She was on his board and she said, I don't know what a globalist is.
[00:02:03.631 --> 00:02:05.593]  And she's the main writer at TheGlobalist.com.
[00:02:07.535 --> 00:02:09.497]  So, that's what they call themselves, globalists.
[00:02:09.517 --> 00:02:10.518]  That's where we get the term.
[00:02:10.898 --> 00:02:15.522]  So, the John Birch Society probably has been calling them that for 45 years.
[00:02:16.823 --> 00:02:18.184]  Because they started calling themselves that.
[00:02:18.464 --> 00:02:20.046]  So, that's where we get the term.
[00:02:20.086 --> 00:02:24.149]  They go, oh, there's no globalists, there's no world government, there's no plan for depopulation, but we do want to depopulate you.
[00:02:24.169 --> 00:02:25.610]  We need to get rid of all the humans.
[00:02:26.251 --> 00:02:29.253]  New York Times, Washington Post, looking forward to the end of humanity.
[00:02:30.374 --> 00:02:31.475]  That's what this is all about.
[00:02:31.875 --> 00:02:33.036]  And I can explain the plan.
[00:02:34.188 --> 00:02:40.169]  I think more important than talking about myself a lot, which we need to do just so people know what's going on, but is to really focus on what their endgame is.
[00:02:40.929 --> 00:02:55.472]  For all the stupid people going along with the system, so they can understand what they've been read into, how they've been read into it, I know how they've been read into it, and so they can hear me tell them how they were brought into it, so that they can understand that I know what's going on and I'm right again.
[00:02:56.072 --> 00:02:58.352]  So, here's the deal.
[00:03:01.173 --> 00:03:02.933]  Nugent's on in like 10 minutes, so
[00:03:04.636 --> 00:03:05.797]  I'll just give you a brief summation.
[00:03:06.017 --> 00:03:07.438]  First off, I want to get this out there.
[00:03:07.919 --> 00:03:18.467]  I am heartened and very humbled and very thankful by the incredible, insane outpouring of support by basically everybody that doesn't want to blow the planet up.
[00:03:19.544 --> 00:03:21.005]  It is seismic.
[00:03:21.305 --> 00:03:23.907]  I've talked to hundreds of people that have called me today.
[00:03:23.987 --> 00:03:25.028]  Hundreds have called and sent messages.
[00:03:25.068 --> 00:03:34.394]  I've talked to 50 or so prominent people, you name it, and they just say, this is all emblematic of what's happening to Trump and the rest of the country, and they understand we're in total tyranny.
[00:03:35.935 --> 00:03:45.221]  And it's just accelerating, not just the awakening, but people really realizing how much real trouble we're in, which is good because that's how you then assess a real problem to deal with the full magnitude.
[00:03:45.261 --> 00:03:46.562]  You don't lie to yourself about it.
[00:03:47.358 --> 00:03:47.838]  So there's that.
[00:03:48.659 --> 00:03:53.561]  And I've just been very honored to be here and work with all of you and the crew and all the supporters of the years.
[00:03:53.621 --> 00:03:56.863]  And we've been through a lot together and I've tried to do the best job I could.
[00:03:56.883 --> 00:03:59.904]  You know, in hindsight, I could have done a lot of things different, but it is what it is.
[00:04:00.164 --> 00:04:04.086]  And we've changed the world unlike any other organization other than Trump.
[00:04:04.727 --> 00:04:05.607]  And he's had his problems.
[00:04:05.667 --> 00:04:06.507]  I've had my problems.
[00:04:06.527 --> 00:04:07.288]  And now Elon Musk.
[00:04:09.028 --> 00:04:14.811]  Trump is right there doing way more than I've ever done, just devastating the enemy.
[00:04:14.871 --> 00:04:16.472]  You can all day say, why is he doing it?
[00:04:16.492 --> 00:04:19.093]  I think he says they want to end human civilization.
[00:04:19.693 --> 00:04:22.035]  You can say, well, he's still got a lot of big transhumanist element in it.
[00:04:22.455 --> 00:04:22.695]  Yeah.
[00:04:23.575 --> 00:04:28.418]  But regardless, there's Trump, Elon Musk, and then there's Alex Jones when it comes to fighting the new world order.
[00:04:28.458 --> 00:04:31.299]  And then we see Tucker Carlson doing a great job and Joe Rogan.
[00:04:31.339 --> 00:04:32.140]  It's not a competition.
[00:04:33.917 --> 00:04:37.379]  I have to say that that truthful thing, because that's how the enemy sees it.
[00:04:37.560 --> 00:04:43.924]  They see me as, what they've described in Time Magazine and Newsweek, as the prophet of the global populist movement.
[00:04:43.944 --> 00:04:48.127]  And that's really what the position God put me in, that the enemy actually said that 10 years ago.
[00:04:48.147 --> 00:04:49.468]  And I was like, oh, that's ridiculous.
[00:04:49.488 --> 00:04:50.148]  That's exaggerating.
[00:04:50.188 --> 00:04:50.849]  No, it's true.
[00:04:52.697 --> 00:04:58.280]  I just want to acknowledge your leadership and your ability to see around corners.
[00:04:58.640 --> 00:05:10.206]  Again and again and again, you have been labeled as a conspiracy theorist and a nutcase for speaking the truth that you were able to perceive earlier than many people.
[00:05:10.966 --> 00:05:18.273]  And I'm in your debt and I think we're all in your debt for your courageous actions over these many years.
[00:05:18.353 --> 00:05:23.898]  You've been vilified and denigrated and gaslit and everything else.
[00:05:24.219 --> 00:05:29.463]  I've received a small taste of what you've been through and I don't like it very much.
[00:05:29.824 --> 00:05:35.229]  So I certainly appreciate and empathize with everything you've been through.
[00:05:36.102 --> 00:05:44.268]  And thank you for being the hero that you are and not backing down in the face of all the crap that's been thrown at you.
[00:06:01.195 --> 00:06:07.179]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:06:08.220 --> 00:06:12.123]  I want to be 100% crystal clarion clear with all of you.
[00:06:12.163 --> 00:06:14.745]  I am extremely honored and blessed to be in this position.
[00:06:24.795 --> 00:06:30.179]  It's been an incredible 30 years on air, 27 years since I bought the domain, Infowars.com, for like $9.
[00:06:30.420 --> 00:06:36.865]  And I can say I've done the best job I could to fight tyranny.
[00:06:37.085 --> 00:06:39.407]  And I've been an honorable, straightforward man.
[00:06:40.347 --> 00:06:47.493]  I've been completely honest with you that I am a completely straight arrow, except for alcohol and women.
[00:06:48.294 --> 00:06:48.974]  And I guess tobacco.
[00:06:49.495 --> 00:06:49.735]  That's it.
[00:06:51.977 --> 00:06:54.438]  And I've been good, because I'm married, about the woman thing.
[00:06:55.438 --> 00:06:57.879]  Everything else you hear about me is an absolute lie.
[00:06:58.619 --> 00:07:02.460]  I follow truth like I follow the North Star.
[00:07:02.560 --> 00:07:03.400]  It is my religion.
