[00:00:00.029 --> 00:00:00.950]  Here's the progression.
[00:00:02.491 --> 00:00:16.022]  Bondage to spiritual faith, spiritual faith to great courage, courage to liberty, liberty to abundance, abundance to selfishness, where you just start collecting things for you and you stop giving it away, and then selfishness to apathy.
[00:00:16.542 --> 00:00:22.467]  Once your wallets get really thick and fat and you're just kind of smooth sailing through life, you get apathetic.
[00:00:22.507 --> 00:00:23.968]  What happens when you get apathetic?
[00:00:24.008 --> 00:00:24.929]  You stop caring.
[00:00:25.309 --> 00:00:26.470]  You stop voting.
[00:00:26.550 --> 00:00:31.234]   You stop listening to the things that are important because Your wallets are fat.
[00:00:31.375 --> 00:00:33.176]  You're stagnant.
[00:00:33.637 --> 00:00:43.226]  And then that apathy, though, when a period of apathy, you go back into dependence because you stopped caring and people got voted in that shouldn't have been voted in.
[00:00:43.626 --> 00:00:46.809]  And then that dependence leads back into bondage.
[00:00:47.230 --> 00:00:51.594]  And so in this cycle, where would you say that America is?
[00:00:51.714 --> 00:00:52.855]  I mean, going into bondage.
[00:00:53.075 --> 00:00:55.197]  We're in dependence back into bondage.
[00:00:55.237 --> 00:00:56.938]  We're at the last stage.
[00:00:57.439 --> 00:00:58.900]  So we go back into bondage.
[00:00:59.160 --> 00:01:03.504]  I think central bank digital currency is the financial form of bondage.
[00:01:04.445 --> 00:01:06.106]  You're going to have political bondage.
[00:01:06.126 --> 00:01:08.648]  You're going to have all of these things that you can't do this.
[00:01:08.688 --> 00:01:09.529]  You can't travel.
[00:01:09.889 --> 00:01:12.372]  We already saw the test of that with with COVID.
[00:01:13.032 --> 00:01:30.160]  You know, and everything that Dr. Judy was talking about before me on the show, and it's like... Oh, Davos admits, and they were at Davos, the WF last week, saying, we use COVID as training wheels for the COVID lockdowns and total control, and Germany's going to ban cars on the weekend this summer, now!
[00:01:30.541 --> 00:01:30.701]  Yeah.
[00:01:30.861 --> 00:01:32.782]  I mean, it's all going down, folks!
[00:01:35.522 --> 00:01:41.441]   While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:01:41.441 --> 00:01:52.561]   All right, I had a two and a half hour meeting with our next guest last night over some delicious
[00:01:52.561 --> 00:01:58.561]   Mexican food and when he makes a lot of these predictions, it's kind of what with me,
[00:01:58.561 --> 00:02:01.522]   I'm saying it's not a prediction, I have the intel, I have the sources, they're not
[00:02:02.241 --> 00:02:06.643]   really predictions, but he, there's a lot of reasons he can't tell you everything,
[00:02:06.643 --> 00:02:07.682]  I'm gonna leave it at that, okay.
