[00:00:07.751 --> 00:00:13.372]  Just about every major government has been guilty of false flag operations to foment war.
[00:00:14.012 --> 00:00:17.113]  America has been guilty of several, but here are just a few.
[00:00:17.833 --> 00:00:22.054]  Civilian passengers were murdered when a torpedo hit the Lusitania.
[00:00:22.655 --> 00:00:29.916]  Investigations revealed that explosives were inside the ship, which was operated by war profiteer J.P.
[00:00:29.976 --> 00:00:30.356]  Morgan.
[00:00:30.756 --> 00:00:32.897]  This event is what brought Americans
[00:00:33.297 --> 00:00:41.561]  Who were not previously interested in getting involved into World War I, where they lost over 100,000 sons and daughters.
[00:00:42.341 --> 00:00:49.765]  They were also not interested in getting involved in World War II, but after breaking Japanese encryption codes, the U.S.
[00:00:49.805 --> 00:00:52.726]  government knew of their plans to attack Pearl Harbor.
[00:00:53.246 --> 00:00:57.550]  But the big banks were funding both sides and expected massive profits.
[00:00:58.010 --> 00:01:05.476]  So they let it happen to encourage Americans to sacrifice nearly half a million of their children in the Second World War.
[00:01:06.177 --> 00:01:15.485]  In August of 1964, the USS Maddox and the Turner Joy knowingly lied about being fired upon by North Vietnamese ships.
[00:01:15.985 --> 00:01:20.209]  For two hours, they fired at nothing and maneuvered as if under attack.
[00:01:20.649 --> 00:01:30.036]  President Johnson was aware of this deception but kept it secret to initiate war against North Vietnam and to sacrifice over 50,000 Americans.
[00:01:30.957 --> 00:01:37.061]  About 3,000 people were murdered on 9-11 in the most notorious false flag in U.S.
[00:01:37.121 --> 00:01:37.542]  history.
[00:01:38.002 --> 00:01:43.886]  This was used as a catalyst for the endless destruction of several nations that continues today.
[00:01:44.907 --> 00:02:02.115]  Professor Stephen Starr, associate of the Nuclear Age Peace Foundation, was recently on Russia's Solyavev Live, where he discussed a plan being suggested by NATO forces in Germany that stinks of plans for a false flag operation to usher in World War III.
[00:02:02.975 --> 00:02:18.962]  They have suggested a scenario wherein Russia sinks an American cruiser in the Black Sea, followed by the United States attacking Russian ships with nuclear warheads, which would then be followed by a Russian nuclear strike against NATO headquarters, and a major U.S.
[00:02:19.022 --> 00:02:20.843]  nuclear attack on all of Russia.
[00:02:21.443 --> 00:02:28.628]  They suggested more than 3,000 strikes within one hour and the destruction of all major cities in Europe and the United States.
[00:02:29.208 --> 00:02:39.615]  Professor Starr said this would result in 150 million tons of smoke and soot that would block out 70% of the sunlight in the Northern Hemisphere and last about 10 years.
[00:02:40.936 --> 00:02:55.244]  It's important to note that it's been NATO forces alone who have been provoking war with Russia for decades, surrounding their border with missile systems and bioweapons labs, and overthrowing Ukraine with CIA color revolutions.
[00:02:55.804 --> 00:03:02.428]  The facts show that Russia has been given no choice but to defend themselves against deceptive Western aggression.
[00:03:03.413 --> 00:03:10.836]  The anti-human globalist forces that hold a firm grip on America are clearly trying to destroy it from within.
[00:03:11.296 --> 00:03:15.637]  If they wanted America to win a world war, then they would not be murdering U.S.
[00:03:15.717 --> 00:03:23.360]  troops with the deadly COVID shots, and they would not be manipulating them to castrate themselves under the guise of transgenderism.
[00:03:23.960 --> 00:03:33.345]  The globalists want the United States to be plundered and destroyed, but they need a scapegoat to blame it on, and they've clearly chosen Russia for that role.
[00:03:34.206 --> 00:03:40.949]  During the American Revolution, Catherine the Great of Russia unofficially supported the colonies by trading with them.
[00:03:41.530 --> 00:03:47.413]  Russian ships began delivering hemp, sail linen, and iron to American ports as early as 1763.
[00:03:49.494 --> 00:03:57.636]  During the War of 1812, Russia attempted to join as a third-party mediator in support of American independence.
[00:03:57.776 --> 00:04:06.279]  In 1863, Russia sent military fleets to New York and San Francisco to put pressure on the British and fight them if necessary.
[00:04:06.659 --> 00:04:09.160]  They patrolled the American shores for 10 months.
[00:04:10.120 --> 00:04:21.649]  This Russian support of a sovereign America is undoubtedly what led to the Bolshevik Revolution of 1917, when the country fell into communist rule for 69 years.
[00:04:22.430 --> 00:04:31.156]  Today, Russia has asked for peace, but the evil powers that want endless war cannot survive unity between the East and the West.
[00:04:31.957 --> 00:04:40.442]  False flag operations are the modus operandi of the globalists, and war, mass murder, and division is all they desire.
[00:04:41.262 --> 00:04:43.684]  Reporting for InfoWars, this is Greg Reese.
[00:05:01.181 --> 00:05:07.085]  We started producing over two years ago with a top independent video game maker, New World or Worse.
[00:05:07.946 --> 00:05:14.191]  And it got behind, we added a lot of stuff to it, we up-edited it, it's already a hit game, people love it, we put it out on alexjonesgame.com.
[00:05:14.751 --> 00:05:21.056]  Then, Steam waited months, the number one online video game platform, to approve it, and they approved it a week ago.
[00:05:21.476 --> 00:05:27.658]  And it went live yesterday, right when the Jeffrey Epstein list broke, that was the top story in the world.
[00:05:28.158 --> 00:05:29.959]  That is God's hand on this.
[00:05:30.059 --> 00:05:33.620]  So as Garth Brooks says, some of God's greatest gifts are unanswered prayers.
[00:05:33.940 --> 00:05:37.642]  I wanted this out a year ago, but it came out with perfect timing.
[00:05:37.902 --> 00:05:38.862]  It's an incredible game.
[00:05:39.162 --> 00:05:39.782]  People love it.
[00:05:39.842 --> 00:05:41.423]  It's got a voiceover I did for it.
[00:05:41.863 --> 00:05:42.523]  It's amazing.
[00:05:42.583 --> 00:05:44.104]  Get it at AlexJonesGame.com.
[00:05:44.364 --> 00:05:47.285]  You play it there on the site, but click on the link to Steam.
[00:05:47.965 --> 00:05:51.751]  So you can go to their site and get it and download it to all your devices.
[00:05:51.851 --> 00:05:54.114]  Get it at Steam right now.
[00:05:54.154 --> 00:05:58.119]  We'll put links on the screen and under it below right here at MFoneWorks.com.
[00:05:58.380 --> 00:05:59.261]  Get the video game.
[00:05:59.441 --> 00:05:59.982]  Change the world.
[00:06:01.636 --> 00:06:10.621]  From the front lines of the Information War, it's Alex Jones!
[00:06:36.178 --> 00:06:39.401]  Biologist Brett Weinstein issues an emergency warning with Tucker Carlson.
[00:06:44.082 --> 00:07:07.521]  There was a press, I was recently at a conference in Romania on the COVID crisis, and so there was a lot of work trying to unpack what we actually understand, and I saw a credible estimate of something like 17 million deaths globally from this technology, so... 17 million deaths from the COVID vax?
[00:07:08.547 --> 00:07:16.051]  Well, you know, when you scale up to billions, it's not hard to reach a number like that with a technology this dangerous.
[00:07:16.771 --> 00:07:22.894]  Now, to your deeper question, I think, let's steel man.
[00:07:23.814 --> 00:07:26.636]  Just for perspective, I mean, that's like the death toll of a global war.
[00:07:26.696 --> 00:07:26.956]  Yes.
[00:07:28.016 --> 00:07:28.517]  Absolutely.
[00:07:29.177 --> 00:07:32.959]  This is a great tragedy of history.
[00:07:33.339 --> 00:07:34.459]  It's of that proportion.
[00:07:38.786 --> 00:07:40.407]  There's no way in which it's over.
[00:07:40.547 --> 00:07:44.889]  I mean, we are still apparently recommending these things for healthy children.
[00:07:44.909 --> 00:07:48.031]  Never stood any chance of getting any benefit from them.
[00:07:48.471 --> 00:07:57.796]  Every chance of suffering harms that are not only serious, but tragic on the basis that children have long lives ahead of them.
[00:07:57.956 --> 00:08:06.361]  If you ruin a child's immune system in youth, they have to spend the rest of their presumably shortened life in that state.
[00:08:07.421 --> 00:08:10.223]  Never made any sense that we were giving this to kids in the first place.
[00:08:10.643 --> 00:08:16.207]  The fact that we're still doing it when the emergency, to the extent there even was one, is clearly over.
[00:08:17.088 --> 00:08:23.392]  And when there's never been any proper justification of administering it to healthy kids.
[00:08:24.593 --> 00:08:25.754]  Healthy kids don't die of COVID.
[00:08:27.155 --> 00:08:29.917]  And the shot doesn't prevent you from catching or transmitting it.
[00:08:29.957 --> 00:08:33.079]  So there was just literally no justification you could come up
[00:08:35.240 --> 00:08:36.901]  That's Brett Weinstein.
[00:08:36.921 --> 00:08:40.783]  You've obviously been hearing this from me since the virus was first released.
[00:08:41.763 --> 00:08:44.244]  We have internal documents from the government that created this.
[00:08:44.344 --> 00:08:45.165]  Our government created it.
[00:08:45.565 --> 00:08:47.205]  The Pentagon was ordered to by Obama.
[00:08:47.225 --> 00:08:51.207]  It became a big story in 2015, so they shipped the program to China.
