[00:00:00.000 --> 00:00:03.439]  [BEEPING]
[00:00:03.439 --> 00:00:07.440]  You can feel it.
[00:00:07.353 --> 00:00:08.294]  Something is off.
[00:00:09.955 --> 00:00:11.957]  Things are getting stranger by the day.
[00:00:12.657 --> 00:00:17.501]  Just a coincidence, or is something more sinister happening right under our noses?
[00:00:18.282 --> 00:00:20.884]  We want to warn you now, this next story is disturbing.
[00:00:23.027 --> 00:00:33.139]  Namely, in earlier times, it was easier to control a million people, literally, than physically to kill a million people.
[00:00:33.219 --> 00:00:40.507]  Today, it is infinitely easier to kill a million people than to control a million people.
[00:00:41.028 --> 00:00:42.570]  It is easier to kill than to control.
[00:00:43.130 --> 00:00:49.075]  I would like to reduce the number of people on the planet because there's too many of us.
[00:00:49.796 --> 00:00:53.279]  It's a planet of finite resources and we're using them up.
[00:00:55.841 --> 00:00:57.302]  First we've got population.
[00:00:57.802 --> 00:00:59.384]  That's headed up to about 9 billion.
[00:00:59.984 --> 00:01:08.571]  Now if we do a really great job on new vaccines, health care, reproductive health services, we could lower that by perhaps 10 or 15 percent.
[00:01:09.932 --> 00:01:12.495]  The true ruling elite are a death cult.
[00:01:13.135 --> 00:01:13.896]  Pure evil.
[00:01:14.597 --> 00:01:16.579]  The elite are extremely wealthy.
[00:01:17.060 --> 00:01:19.202]  They have more money than you can think of.
[00:01:20.103 --> 00:01:23.807]  So why would they want even more money, even more control?
[00:01:25.874 --> 00:01:29.937]  It's because they use their wealth and power to execute their agenda.
[00:01:30.557 --> 00:01:31.778]  To live out their evil.
[00:01:32.479 --> 00:01:36.082]  If you think this is just conspiracy theory, think again.
[00:01:36.702 --> 00:01:37.583]  Look around you.
[00:01:38.463 --> 00:01:41.486]  Everything benefits them, and not humanity.
[00:01:41.826 --> 00:01:43.607]  The globalists have a religion.
[00:01:44.208 --> 00:01:48.210]  To the public it's sold as climate change or the global crisis.
[00:01:49.131 --> 00:01:51.572]  What is the basis of the climate change agenda?
[00:01:52.252 --> 00:01:53.773]  It's population control.
[00:01:54.473 --> 00:01:55.693]  It's depopulation.
[00:01:56.394 --> 00:02:00.515]  The elite look at us as parasites that need to be controlled and killed.
[00:02:01.895 --> 00:02:05.657]  There is an unelected network that controls what the public sees.
[00:02:06.817 --> 00:02:09.118]  Plausible deniability is their cover.
[00:02:09.578 --> 00:02:12.379]  They are playing dumb on every level to gaslight us.
[00:02:13.976 --> 00:02:18.541]  The same agendas throughout history are presented differently with the same goals.
[00:02:19.302 --> 00:02:24.027]  The elite are becoming restless and are now out in the open with who they really are.
[00:02:24.548 --> 00:02:28.092]  Corruption in the government is just the tip of the iceberg.
[00:02:28.852 --> 00:02:32.056]  The upper echelon at the top have an anti-human agenda.
[00:02:34.252 --> 00:02:35.473]  Threats of world war.
[00:02:35.913 --> 00:02:41.435]  But behind the scene, it's more about control and backdoor dealings between world governments.
[00:02:42.096 --> 00:02:48.799]  The open border, drug trafficking, human trafficking is covered up and controlled by our own government.
[00:02:49.359 --> 00:02:50.340]  It's deeper than that.
[00:02:51.540 --> 00:02:55.662]  There is a reason why most of these corruption networks never get shut down.
[00:02:56.362 --> 00:02:59.384]  These anti-humanists control mostly everything.
[00:03:01.567 --> 00:03:06.970]  You'd be shocked to know what the people in most power positions really think of the general public.
[00:03:08.050 --> 00:03:14.093]  The elite's corruption network operates like prison gangs or like a mafia, but on a larger scale.
[00:03:14.753 --> 00:03:15.434]  Blackmail.
[00:03:15.954 --> 00:03:16.634]  Controllers.
[00:03:17.154 --> 00:03:17.695]  Handlers.
[00:03:18.355 --> 00:03:19.135]  Money laundering.
[00:03:19.916 --> 00:03:24.058]  If you want to stay rich and powerful, you'll have to do their dirty work.
[00:03:24.598 --> 00:03:26.379]  They have their hands in everything.
[00:03:27.415 --> 00:03:30.276]  A lot of these players simply love the spotlight.
[00:03:31.016 --> 00:03:35.977]  Most of the celebrities, politicians, CEOs love the fame and fortune.
[00:03:36.677 --> 00:03:40.078]  But the ones at the top of these groups are completely evil.
[00:03:40.958 --> 00:03:47.820]  Many become unwillingly controlled by signing on into the club without knowing what they are actually involved with behind the scenes.
[00:03:48.660 --> 00:03:52.521]  Most of humanity is asleep and distracted by meaninglessness.
[00:03:53.922 --> 00:03:59.125]  The elite are warning us of a cyber attack, also known as a digital 9-11 event.
[00:03:59.685 --> 00:04:03.027]  The economy would collapse if we suffered an internet shutdown.
[00:04:05.151 --> 00:04:08.933]  The modern power grid relies on the internet to coordinate power plants.
[00:04:09.653 --> 00:04:17.918]  Without it, each country's national grid will become unbalanced, and local outages escalate into a blackout for most of the world.
[00:04:18.598 --> 00:04:24.841]  A society slipping into chaos will allow the elite to reset and rebuild a world for themselves.
[00:04:25.542 --> 00:04:28.263]  There will be events leading up to a total collapse.
[00:04:28.763 --> 00:04:33.325]   Domestic terror attacks, biological attacks, World Wars.
[00:04:33.705 --> 00:04:36.786]  With each event, more and more control is gained.
[00:04:37.646 --> 00:04:38.826]  Time is running out.
[00:04:39.687 --> 00:04:44.808]  If society suffers from any of these trigger events, there might be no turning back.
[00:04:45.348 --> 00:04:47.168]  Humanity is at the crossroads.
[00:04:48.128 --> 00:04:49.609]  This is happening right now.
[00:04:51.569 --> 00:04:57.550]  We need to reject the global agenda and know who the world rulers really are and what they are up to.
[00:04:58.190 --> 00:05:00.371]  The fight for humanity is happening.
[00:05:01.451 --> 00:05:01.671]  Now.
[00:05:04.850 --> 00:05:12.936]  January 2024 is here and that means up to 60% off at Infowarestore.com, free shipping and double Patreon points.
[00:05:13.397 --> 00:05:17.100]  This is one of the biggest deals of the year and it supports the Infowar.
[00:05:17.180 --> 00:05:18.961]  And we're selling out a lot of these products.
[00:05:19.021 --> 00:05:22.004]  It'll be months and months until more are back in stock.
[00:05:22.164 --> 00:05:24.806]  Whether it's books, films, t-shirts, you name it.
[00:05:25.086 --> 00:05:34.518]  You need to go to InfoWarsTore.com right now and take advantage of this 2024 New Year sale, double Patreon points, free shipping, and so much more.
[00:05:34.798 --> 00:05:40.886]  Get a copy of my book, Signed or Unsigned, The Great Awakening, The Plan to Defeat the Globalists, and launch the next great renaissance.
[00:05:41.286 --> 00:05:44.449]  And again, thank you so much for your amazing support in 2023.
[00:05:44.549 --> 00:05:47.931]  But 2024, as everybody knows, is the big year.
[00:05:48.212 --> 00:05:52.035]  So please support us and get great products at InfoWarsStore.com.
[00:05:52.515 --> 00:05:58.280]  And tell everybody you know, and those you don't know, tune into the live show at InfoWars.com forward slash show.
[00:05:58.340 --> 00:06:00.739]  God bless and we're going into 2024 together.
[00:06:00.739 --> 00:06:10.580]  We're now in the year 2024.
[00:06:10.580 --> 00:06:13.160]  (upbeat music)
[00:06:12.600 --> 00:06:14.361]  And you know, all hell's already breaking loose.
[00:06:14.441 --> 00:06:20.384]  It's just going to get crazier ahead of this election, only 10 months away.
[00:06:21.685 --> 00:06:22.045]  Wow.
[00:06:24.307 --> 00:06:28.849]  It is January 1st, 2024.
[00:06:29.089 --> 00:06:39.155]  And I am your host, Alex Jones, coming to you from deep in the heart of Texas, broadcasting worldwide.
[00:06:40.436 --> 00:06:40.736]  All right.
[00:06:43.357 --> 00:06:51.765]  I did an interview last Thursday with hilarious comedian, but really smart political mind, Jimmy Dore.
[00:06:52.546 --> 00:06:54.087]  And it was almost three hours long.
[00:06:55.068 --> 00:06:56.750]  And we covered the waterfront.
[00:06:56.810 --> 00:07:04.037]  He broke a lot of stuff that I didn't even know that deals with mind control being officially rolled out by the UN.
[00:07:05.486 --> 00:07:16.599]  The World Economic Forum and Facebook, formerly Facebook, now Metaverse, where they're already going to set up computer systems that reportedly read your thoughts.
[00:07:16.619 --> 00:07:17.681]  Of course, that's not even true.
[00:07:18.362 --> 00:07:35.692]   And then your boss will then grade you in a social credit score on Your brainwaves and your heart rate and the rest of it, and the police will come to your house because your iPhone and your appliances will be scanning your body if your heart rate goes up.
[00:07:35.833 --> 00:07:38.495]  I mean, they're rolling all this out.
[00:07:38.515 --> 00:07:39.977]  And I knew they were planning all this.
[00:07:40.137 --> 00:07:42.299]  I didn't know it's now gone operational.
[00:07:43.697 --> 00:07:46.818]  So that's just 20 minutes of the three hours coming up.
[00:07:47.398 --> 00:07:53.560]  First, he gets into mighty platforming, and we spend some time on the whole Sandy Hook thing, which I know everybody's sick of.
[00:07:54.080 --> 00:08:02.303]  But you have to understand now, we know in hindsight exactly what happened with the attack on me and the PR firms, the Democratic Party, and how that PSYOP worked.
[00:08:03.123 --> 00:08:05.624]  And Dora has a lot of knowledge on that, so does his co-host.
[00:08:06.264 --> 00:08:08.564]  So that's the first part of this.
[00:08:09.505 --> 00:08:11.905]  And I'm tempted not even to air that part, but you know what?
[00:08:12.066 --> 00:08:12.526]  It's important.
[00:08:12.546 --> 00:08:13.226]  We're going to get to it.
[00:08:14.110 --> 00:08:20.433]  You definitely, once we're done talking about that, and that's only the first 30 minutes or so, it's the next two and a half hours.
[00:08:20.453 --> 00:08:22.074]  We did like two hours, 50 minutes.
[00:08:23.074 --> 00:08:25.635]  And it was fast-paced, clip after clip.
[00:08:26.415 --> 00:08:29.517]  I mean, this guy and his crew know what's going on.
[00:08:29.537 --> 00:08:30.457]  He used to be a big liberal.
[00:08:30.697 --> 00:08:31.618]  He's still a liberal.
[00:08:32.258 --> 00:08:33.859]  You know, I say Tucker Carlson's a liberal.
[00:08:33.899 --> 00:08:37.580]  Liberal just means more freedom and anti-war and sovereignty.
[00:08:37.620 --> 00:08:38.881]  Thomas Jefferson was a liberal.
[00:08:40.461 --> 00:08:46.683]  Liberal today means an authoritarian, totalitarian, control freak working for big tech and this whole cyborg takeover.
[00:08:47.923 --> 00:08:56.566]  So, we're going to go to this interview, and then if we have time later, I'm going to come back in with some more information.
[00:08:56.586 --> 00:09:03.388]  You know, obviously there's a lot of breaking news, so look for... I may be cutting in here, you know, as things break throughout the day.
[00:09:03.408 --> 00:09:05.069]  A lot of stuff's breaking right now, we're watching it.
[00:09:05.869 --> 00:09:12.011]   But here it is, and I just want to tell you, We ended up recording a better digital copy on our side.
[00:09:12.031 --> 00:09:14.874]  We had a little bit of audio issues here and there on their side.
[00:09:14.894 --> 00:09:17.417]  You know, that's the magic of interviewing people at distance.
[00:09:17.437 --> 00:09:18.098]  There's still issues.
[00:09:18.118 --> 00:09:19.920]  I mean, I still get like a 95 quality.
[00:09:20.601 --> 00:09:24.846]  But we had our own better recording that we've spliced in with his recording.
[00:09:25.627 --> 00:09:29.989]  Uh, and so, this is, uh, something even better than what went out last Thursday.
[00:09:30.449 --> 00:09:35.310]  It's gotten millions and millions and millions of views on X, tens of millions of views on other platforms.
[00:09:35.590 --> 00:09:36.951]  It's a very exciting interview.
[00:09:36.971 --> 00:09:39.852]  Some of you may have already seen parts of it, uh, but this is a deep dot.
[00:09:40.635 --> 00:09:53.779]  And we cover all the current stuff going on and future stuff, and I make a lot of predictions, and I get into a lot of stuff dealing with reality and with the devil and God that I haven't really gotten into in full detail that we also spend time on.
[00:09:54.279 --> 00:09:58.540]  So this is a powerful, must-see interview.
[00:09:58.640 --> 00:10:08.345]   I'm extremely excited about it, and I want to encourage everyone To tell everybody you know, and those you don't know, that's how we get past the AI and the sensors.
[00:10:08.686 --> 00:10:11.048]  Tune in now to InfoWars.com forward slash show.
[00:10:11.068 --> 00:10:13.750]  And before I go to this, please remember we're a list for supporting.
[00:10:14.211 --> 00:10:20.656]  So we have the New Year's special, it's an extension of the Christmas special, up to 60% off, store-wide free shipping, double Patriot points.
[00:10:21.656 --> 00:10:22.296]  That's the good news.
[00:10:22.336 --> 00:10:25.277]  The bad news is we're selling out of more than half the products.
[00:10:25.297 --> 00:10:29.759]  There will be months and months and months until more X2 comes in, bodies, DNA Force Plus.
[00:10:29.799 --> 00:10:32.099]  We did get in a bunch of Winter Sun that everybody should be taking.
[00:10:32.439 --> 00:10:34.980]  It's 40% off, vitamin D3 to boost your immune system.
