[00:00:00.349 --> 00:00:03.210]  Your cell phone isn't just watching and listening to you.
[00:00:03.770 --> 00:00:08.712]  It's doing a lot more than that, and we're about to break down the secrets they hope you never learn.
[00:00:09.092 --> 00:00:22.517]  Well, we've been doing a study following our device, a Google Mobile Services phone, any Android running Google Mobile Services, which is all of them, or an iPhone, and at about 3 a.m.
[00:00:23.137 --> 00:00:25.698]  we're seeing a spike of data leaving the phone.
[00:00:26.811 --> 00:00:31.210]   50 megabytes that is basically that phone dialing home to the mothership
[00:00:31.210 --> 00:00:37.170]   Exporting all of your goings-on. Well, your pillow talk is going to pillow talk, whatever
[00:00:37.170 --> 00:00:57.280]   Eric Prince recently sat down with Tucker Carlson and exposed the fact that his security/military company did an
[00:00:57.280 --> 00:01:03.970]   internal study of iPhones and droids and Found that all of them in the middle of the night
[00:01:03.970 --> 00:01:10.290]   Were transmitting large packets of information back to their home companies back to the mothership
[00:01:10.968 --> 00:01:23.990]   Now decades ago I showed you industry documents had whistleblowers on that indeed cell phones even when they're off are recording the audio and transferring it over to a text
[00:01:23.990 --> 00:01:30.411]   document to be sent back to the telecommunication companies and big tech. But it's not
[00:01:30.411 --> 00:01:36.159]   just the cell phone itself that's doing this. It's being sent back through the apps and Prince
[00:01:36.159 --> 00:01:40.471]   singles out Mark Zuckerberg, who's probably the worst offender out there.
[00:01:40.752 --> 00:01:42.293]  But this is going on across the board.
[00:01:42.313 --> 00:01:47.557]  Look at Amazon and the Alexa that for more than a decade people have brought into their homes.
[00:01:48.097 --> 00:01:49.558]  But it's also your automobiles.
[00:01:49.978 --> 00:02:03.848]  And now by law, all automobiles sold in the United States have tracker systems in them that can also trigger a kill switch in your car and are also recording audio and in many cases recording video.
[00:02:04.668 --> 00:02:07.849]  Now Prince hits the key here and so does Carlson.
[00:02:08.710 --> 00:02:11.250]  They make the point that this is a monopoly.
[00:02:11.891 --> 00:02:24.115]  A monopoly of a handful of big tech companies that can use this information to take control of markets and dominate and vertically integrate the economy shutting down all of their competition.
[00:02:24.475 --> 00:02:26.136]  And that's just on the economic side.
[00:02:26.616 --> 00:02:43.162]  Think of the political power that is there to be able to gauge and manipulate the minds of the population because each man, woman, and child in the Western world who's around these, quote, smart devices that are spying on us is having giant profiles built on us and that data is being sold.
[00:02:43.682 --> 00:02:53.766]  Just a few weeks ago, big banks in the United States, like Chase, announced, hey, we're selling our customers' purchasing history to other companies.
[00:02:54.790 --> 00:02:56.151]  That's just the tip of the iceberg.
[00:02:56.552 --> 00:03:10.865]  This is a whole technological breakaway civilization that is operating completely illegally and interfaced with private intelligence agencies to manipulate, censor, and steal elections.
[00:03:11.366 --> 00:03:13.428]  We've got to educate Congress about this.
[00:03:13.668 --> 00:03:15.830]  We've got to educate the State Attorney Generals about this.
[00:03:16.150 --> 00:03:24.256]   We've got to educate The military and the public about this, because this is a security threat to all of our civilization.
[00:03:24.697 --> 00:03:38.887]  Now in the past, this data was crunched by computers and was used in algorithms, but now with AI that can do trillions of calculations a second, they are able to do even more with this and take full control of civilization.
[00:03:39.427 --> 00:03:50.675]   Just last week when China did a blockade of Taiwan and flew loaded planes with bombs over them in a simulated attack, What did Taiwan threaten to do, the main chip maker in the world?
[00:03:51.295 --> 00:04:07.644]  They came out and announced, hey, for decades we've been putting kill switches in all the microchips that we sold to China and others, and if you keep messing with us, we'll kill the microchips in most of your military equipment, and your dams, and your highways.
[00:04:08.484 --> 00:04:16.149]  Think of what the NSA, or the Communist Chinese, or the Taiwanese, or the Russians, or hacker groups can do with this.
[00:04:17.150 --> 00:04:18.550]  This doesn't give us redundancy.
[00:04:18.591 --> 00:04:19.631]  This doesn't give us security.
[00:04:19.891 --> 00:04:28.074]  This gives us a world that's like Swiss cheese for hackers and criminal groups and governments and corporations to do whatever they want.
[00:04:28.774 --> 00:04:34.716]  When I would tell people that your phones are listening to you decades ago, people laughed at me even though I had the documents.
[00:04:35.236 --> 00:04:38.157]  Then they roll out all these home assistants and people say, oh, so what?
[00:04:38.277 --> 00:04:38.817]  I trust them.
[00:04:39.217 --> 00:04:43.319]  And then we now learn that the police have been listening to people over these systems.
[00:04:44.019 --> 00:04:48.184]  Ladies and gentlemen, this is going to end up bringing down civilization.
[00:04:48.764 --> 00:04:51.888]  We have to educate the public and we have to bring in controls now.
[00:04:52.208 --> 00:05:00.317]  And we have to realize that technology itself is not evil, but it has all been Trojan-horsed by corrupt governments and corporations to make it evil.
[00:05:00.638 --> 00:05:08.064]   And the infrastructure that we live in today Is the opposite of what Google said in their founding documents 25 years ago, don't be evil.
[00:05:08.445 --> 00:05:12.808]  Because from day one they had been evil and were set up by In-Q-Tel and the CIA.
[00:05:13.148 --> 00:05:22.796]  And more documents just came out two days ago that indeed the CIA has been in a process of taking over all the social media and targeting the American people.
[00:05:23.516 --> 00:05:36.421]  We have rogue corporations and governments teamed up, playing God, waging war on the economy, cutting off energy, cutting off fertilizer, cutting off food to create a global meltdown so they can offer their solution.
[00:05:37.121 --> 00:05:48.765]  The public rollout of this cashless society, social credit score enforced, not by drones in the sky or army tanks on the ground, but by the devices that run and control our lives.
[00:05:49.125 --> 00:05:52.086]  Here's Eric Prince with the great Tucker Carlson.
[00:05:52.426 --> 00:05:59.208]  I hope you share this video and I hope you educate yourself and others around you because this is the most important thing happening in our world today.
[00:05:59.228 --> 00:06:09.990]  And when they roll out the next viral scare, whether it's bird flu or something else, the UN treaty openly states they're going to lock us in our houses and turn off our cars and turn off our phones if we don't submit.
[00:06:10.350 --> 00:06:12.571]  Australia is the test case and it's happening now.
[00:06:12.971 --> 00:06:17.192]  If you want to live like the communist Chinese slaves in China, you're about to be living like them.
[00:06:17.252 --> 00:06:23.631]   Unless we stand up as a population and a people and go into these big tech companies and break up these trusts and outlaw
[00:06:23.631 --> 00:06:27.641]   this Crap now bill gates had Microsoft broken up 20-something
[00:06:27.641 --> 00:06:35.221]   years ago for simply running a software monopoly This is a trillion times worse. I'm Alex Jones. This is the
[00:06:35.221 --> 00:06:39.951]   info war. Please follow me in X Now here is Eric Prince and the great Tucker Carlson. I've
[00:06:39.951 --> 00:06:45.412]   had so many people I've talked to you about They said I was talking to my wife
[00:06:46.290 --> 00:06:49.912]  About needing a new mattress in our bedroom the next day.
[00:06:49.912 --> 00:06:54.982]   They're getting advertising for mattresses Which means the camera or the phone was listening to them
[00:06:54.982 --> 00:06:56.110]  in their bedroom?
[00:06:56.110 --> 00:07:00.252]   with all the follow-on conclusions to be drawn from that
[00:07:01.178 --> 00:07:07.920]  Yeah, given what happens in healthy bedrooms, that's, I mean, what happens to those recordings?
[00:07:08.740 --> 00:07:22.185]  Well, we've been doing a study following our device, a Google Mobile Services phone, any Android running Google Mobile Services, which is all of them, or an iPhone, and at about 3 a.m.
[00:07:22.785 --> 00:07:25.346]  we're seeing a spike of data leaving the phone.
[00:07:26.430 --> 00:07:28.430]  But 50 megabytes.
[00:07:28.430 --> 00:07:33.370]   That is basically that phone dialing home to the mothership, exporting all of your goings
[00:07:33.370 --> 00:07:34.370]  on.
[00:07:34.370 --> 00:07:35.810]  All your pillow talk is going to...
[00:07:35.810 --> 00:07:38.430]  Pillow talk, whatever.
[00:07:38.430 --> 00:07:42.870]  So Zuckerberg paid $20 billion for WhatsApp.
[00:07:42.870 --> 00:07:43.870]  Why?
[00:07:43.947 --> 00:07:52.109]  Because every message, call, video, picture, voice note, everything that goes through there, they say, well, it's end-to-end encrypted.
[00:07:52.769 --> 00:08:04.011]  Yeah, it's end-to-end until it passes through their server where it's sliced and diced and analyzed and used to push, used to sell advertising to that customer.
[00:08:04.071 --> 00:08:08.072]  If you're not paying for something, you're not the customer, you are the product.
[00:08:09.001 --> 00:08:17.440]   So if you want to get... well, I think people right now are used to Mark Zuckerberg listening from their nightstand
[00:08:17.440 --> 00:08:18.001]  every night.
[00:08:18.001 --> 00:08:21.001]   Because that's effectively what your phone signal is and does.
[00:08:21.001 --> 00:08:26.001]   So why isn't he like the creepiest person in world history if he's listening to what's going on in your bedroom?
[00:08:26.001 --> 00:08:30.001]  Because they're able, as big tech, to shape that message.
[00:08:30.631 --> 00:08:43.360]  That's the frightening thing about the power of big tech and their ability to influence what you watch, what you think about candidates, if you search something, how they score those rankings.
[00:08:44.381 --> 00:08:45.964]  It is shocking.
[00:08:46.064 --> 00:08:54.756]  We have an antitrust problem here in America, vastly worse than in the late 1800s, early 1900s with oil and railways and steel and all the rest.
[00:08:55.036 --> 00:08:57.920]  Yeah, this is not the sugar trust.
[00:08:57.941 --> 00:08:58.842]  This is more important.
[00:09:00.430 --> 00:09:18.697]  Yeah, this is literally how we communicate, interact with other human beings in our lives, how we gather and share information about the realities of life, of food, of medicine, of vaccines, of healthcare issues, of truth.
[00:09:18.977 --> 00:09:23.378]   And so it's especially in an era of AI, It's scary stuff.
[00:09:23.438 --> 00:09:32.386]  The average kid in America by the time they reach the age of 13 has had 72 million data points collected on them by big tech.
[00:09:34.507 --> 00:09:40.693]  So it's almost like that much collection allows digital grooming.
[00:09:42.165 --> 00:09:47.970]  By Big Tech to to share and to shape your preferences, how you interact, etc.
[00:09:47.990 --> 00:09:49.150]  Your sexual preferences.
[00:09:49.171 --> 00:09:50.592]  I mean, if you're being honest here.
[00:09:50.632 --> 00:09:51.392]  Yeah, exactly.
