[00:00:01.433 --> 00:00:02.435]  Oh, no!
[00:00:11.075 --> 00:00:12.876]  It is Thursday, March 14th, 2024.
[00:00:12.916 --> 00:00:14.417]  I am your host, Alex Jones.
[00:00:14.437 --> 00:00:21.842]  We got Roger Stone, Robert Barnes, Drew Hernandez, and so much more coming up here today on this live four-hour transmission.
[00:00:21.862 --> 00:00:23.383]  235 days, 12 hours, 59 minutes, 31 seconds.
[00:00:41.215 --> 00:00:42.795]  Most important election in world history.
[00:00:43.556 --> 00:00:43.876]  All right.
[00:00:44.316 --> 00:00:50.338]  I was supposed to be taking care of business today here on the Infowars end and some family stuff as well, but I couldn't pull myself away.
[00:00:50.378 --> 00:00:56.439]  So I'm going to file some reports that we're going to air in the second hour with Barnes on a whole host of issues.
[00:00:57.339 --> 00:00:58.020]  Roger's coming up.
[00:00:58.120 --> 00:01:02.961]  I could not pull myself away from the Don Lemon thing going after Elon Musk.
[00:01:03.061 --> 00:01:06.182]  All Elon did was become a sponsor and boost him.
[00:01:07.657 --> 00:01:14.380]  And he does this vicious attack interview with a bunch of crap, we've seen the clips, and giggles and laughs about it.
[00:01:14.401 --> 00:01:18.523]  So Musk says, well, you're still on X, but I'm not going to talk to you anymore.
[00:01:18.543 --> 00:01:20.544]  You didn't say what this interview was really about.
[00:01:21.284 --> 00:01:23.125]  So he, of course, lied about that.
[00:01:23.885 --> 00:01:30.389]  And then the whole corporate press, Lemon pressed Musk on drugs, too hot for X, free speech, farce.
[00:01:31.480 --> 00:01:39.927]  It's not free speech when you decide not to sponsor somebody or when you decide to pull your support from, say, Anheuser-Busch over Bud Light.
[00:01:40.007 --> 00:01:43.751]  So they're coming after Musk, ladies and gentlemen, because he is devastating them.
[00:01:43.771 --> 00:01:47.594]  I'm not saying he's perfect, but I'm not going to look a gift horse in the mouth.
[00:01:47.714 --> 00:01:50.156]  You lead this horse to water, it's going to drink.
[00:01:50.777 --> 00:01:53.199]  Here is a clip of some of the confrontations with Musk.
[00:01:54.394 --> 00:01:59.355]  Do you believe that X and you have some responsibility to moderate hate speech on the platform?
[00:01:59.655 --> 00:02:04.177]  That you wouldn't have to answer these questions from reporters about the Great Replacement Theory as it relates to Democrats?
[00:02:04.197 --> 00:02:05.237]  I don't have to answer these questions.
[00:02:05.297 --> 00:02:07.858]  The Great Replacement Theory as it relates to Jewish people.
[00:02:07.878 --> 00:02:08.378]  Do you think that?
[00:02:08.918 --> 00:02:10.499]  I don't have to answer questions from reporters.
[00:02:10.939 --> 00:02:14.840]  Don, the only reason I'm doing this interview is because you're on the X platform and you asked for it.
[00:02:15.900 --> 00:02:17.863]  Otherwise I would not do this interview.
[00:02:18.403 --> 00:02:22.808]  So you don't think, do you think that you wouldn't get in trouble or you wouldn't be criticized for these things?
[00:02:22.848 --> 00:02:24.410]  I'm criticized possibly, I could care less.
[00:02:26.277 --> 00:02:29.378]  Yeah, like Elon always says, if you don't want me to have free speech, go fuck yourself.
[00:02:29.879 --> 00:02:38.143]  So notice he's claiming, Lemon and CNN and everybody else, that all the corporate dinosaurs, Drudge Report, you name it, that Musk is censoring.
[00:02:38.483 --> 00:02:44.646]  He pressed him throughout the entire interview, Musk and others have been saying, about you need to censor, you need to censor.
[00:02:44.686 --> 00:02:47.107]  So he won't censor, so he's a censor.
[00:02:47.627 --> 00:02:49.428]  This is the upside down world.
[00:02:49.608 --> 00:02:55.271]  And then Lemon goes back on CNN, he's so happy where he got fired for grabbing somebody by the wiener, reportedly.
