[00:00:00.549 --> 00:00:01.970]  Comparisons to HIV.
[00:00:01.990 --> 00:00:03.671]  You've done a ton of research in this.
[00:00:04.432 --> 00:00:06.233]  Do you believe this is a false flag?
[00:00:06.293 --> 00:00:11.016]  Is there something that contextually people need to understand about that comparison?
[00:00:11.416 --> 00:00:14.638]  Or is this much darker a potential reality than we knew?
[00:00:17.213 --> 00:00:24.354]  The reason the comparison to HIV is important is because HIV was also asymptomatic.
[00:00:24.775 --> 00:00:31.516]  I mean, you couldn't see the virus through symptoms because people were infected for 7, 8, 9 years before they developed symptoms.
[00:00:32.236 --> 00:00:41.058]  But HIV quietly destroyed our immune system and we learned a lot about immunology from HIV and it's changed completely our cancer therapy.
[00:00:41.658 --> 00:00:57.069]  We're learning now about mitochondria and viral impact and brain fog and the changes in our neurons and the cells that nourish our neurons that really allow us to think and move.
[00:00:57.369 --> 00:01:00.411]  And we're learning that because what Avalon Covid has done.
[00:01:00.491 --> 00:01:03.673]  And so there's two sides of this coin every time.
[00:01:04.094 --> 00:01:05.595]  There's a lot of destruction.
[00:01:06.115 --> 00:01:08.355]  That mild and moderate COVID can do.
[00:01:08.495 --> 00:01:12.476]  That is on scene, just like HIV was destroying our immune system.
[00:01:12.536 --> 00:01:18.037]  But what came out of that is brilliant science that changed how we treated HIV.
[00:01:18.057 --> 00:01:25.238]  And if you're diagnosed today, you can live a very normal lifespan and people not only survive, but thrive.
[00:01:25.379 --> 00:01:33.400]  We need to get to the place where people with long COVID, we've done the research so that people with long COVID can not only survive, but thrive.
[00:01:36.718 --> 00:01:41.942]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:01:42.203 --> 00:01:47.203]  Visit Infowars.com/show and share the link today.
[00:01:47.203 --> 00:02:03.203]  [Music]
[00:02:03.203 --> 00:02:08.203]  Infowars, the most banned network in the world.
[00:02:08.203 --> 00:02:09.163]  [BEEP]
[00:02:09.163 --> 00:02:11.703]  No longer forced to--
[00:02:10.633 --> 00:02:14.052]  Wow. What?
[00:02:14.052 --> 00:02:16.312]  Half a mile.
[00:02:16.312 --> 00:02:17.432]  What's going on, guys?
[00:02:17.453 --> 00:02:21.575]  I know y'all come to my page because of the comedy, and I just play around on here.
[00:02:21.595 --> 00:02:23.915]  And I don't get political very often.
