[00:00:59.-200 --> 00:00:15.280]  [MUSIC PLAYING]
[00:00:15.280 --> 00:00:16.839]  InfoWars.
[00:00:16.670 --> 00:00:18.311]  Tomorrow's news today.
[00:00:21.753 --> 00:00:23.894]  Waging war on corruption.
[00:00:24.394 --> 00:00:29.597]  It's Alex Jones coming to you live from the front lines of the InfoWars.
[00:00:34.178 --> 00:00:36.299]  Well, I've interviewed a lot of amazing people.
[00:00:36.319 --> 00:00:39.781]  I've interviewed President Trump, you name it, and I never get butterflies.
[00:00:40.502 --> 00:00:42.143]  But for this interview, I do.
[00:00:42.363 --> 00:00:44.584]  I absolutely love Tucker Carlson.
[00:00:44.624 --> 00:00:45.645]  He's changed the world.
[00:00:46.105 --> 00:00:51.789]  He is the top political commentator in the world, hands down, and in his incredibly busy schedule.
[00:00:52.549 --> 00:00:56.832]  He has decided to give us about an hour and a half interview here today.
[00:00:56.992 --> 00:00:58.473]  And this is in the twilight of InfoWars.
[00:00:58.493 --> 00:00:59.934]  We could be imminently shut down.
[00:01:00.435 --> 00:01:05.318]  So I can't see us going out better than with Tucker Carlson also coming up today.
[00:01:05.338 --> 00:01:06.179]  It's how the planets aligned.
[00:01:06.539 --> 00:01:09.161]  Russell Brand is going to be on with us as well.
[00:01:09.201 --> 00:01:12.163]  So this is going to be an incredible broadcast here today.
[00:01:12.183 --> 00:01:13.664]  It will all be posted, obviously.
[00:01:14.625 --> 00:01:19.847]  At Real Alex Jones on X, but Tucker Carlson does not need any introduction.
[00:01:20.327 --> 00:01:42.416]   And I want to just talk to him first about the future of humanity, the future of America, World War III, the fact that the dinosaur media is officially dead and is trying to claw the rest of us with them, and how we turn not just American civilization, but the entire world civilization around from this globalist death cult that is In control of our lives today.
[00:01:42.856 --> 00:01:45.058]  So Tucker, thank you so much for the time, my friend.
[00:01:45.078 --> 00:01:49.142]  Of course, you've announced a big nationwide tour that I'm very proud to be a small part of.
[00:01:49.182 --> 00:01:50.383]  Just so much going on.
[00:01:50.643 --> 00:01:52.584]  Your network is exploding.
[00:01:52.604 --> 00:02:03.353]  I know you don't ever talk about Fox getting rid of you, but man, it's got to feel vindication and good that I would say you reach about 10 times more people now than when you were on Fox.
[00:02:03.373 --> 00:02:04.094]  So it's great to have you.
[00:02:05.342 --> 00:02:06.103]  Well, thank you.
[00:02:06.223 --> 00:02:07.524]  It actually felt good the first day.
[00:02:08.425 --> 00:02:14.331]  I enjoy being fired, actually, because it forces you to stop doing what you're doing and take an assessment.
[00:02:14.391 --> 00:02:15.332]  I'm honored to be here.
[00:02:15.352 --> 00:02:30.249]   I'm here, obviously, because we're friends, but I'm really here On principle, because there's nothing you've ever said in your entire life or done in your entire life that's scarier or more threatening to our country than what they're doing to you right now.
[00:02:30.769 --> 00:02:45.215]  So the government taking a broadcaster off the air who's committed no crime because he dares to criticize them is the scariest possible thing and it's the clearest possible sign of tyranny and I am heartbroken that this isn't getting more attention.
[00:02:45.275 --> 00:02:46.316]  I think it's a pivot point.
[00:02:47.074 --> 00:02:51.338]  In our country, and if they can do this to you, they will do it to the rest of us.
[00:02:51.638 --> 00:03:00.206]  And what's so striking, though, is that if you had spent the last 20 years attacking, I don't know, the white working class, right?
[00:03:00.546 --> 00:03:08.453]  Or the country, America, its founding documents, Thomas Jefferson, you know, you'd be lauded.
[00:03:08.733 --> 00:03:11.896]  But you did the one thing you're not allowed to do, which is you attack the people in charge.
[00:03:12.851 --> 00:03:15.412]  And that's why they're trying to take you off the air.
