[00:00:04.685 --> 00:00:07.868]  On FISA, there are a couple of amendments that are being considered.
[00:00:08.429 --> 00:00:13.334]  One of them would require a warrant for every query of lawfully collected data.
[00:00:13.434 --> 00:00:16.136]  If that were to pass and get into the bill, would the President
[00:00:17.259 --> 00:00:17.980]  Veto that bill?
[00:00:18.480 --> 00:00:22.203]  We do not believe that that serves the national security interests of the United States.
[00:00:22.223 --> 00:00:28.788]  The warrant requirement from our perspective would go too far in undermining the very purpose of FISA and frankly it would put victims at risk.
[00:00:29.089 --> 00:00:40.798]  Biden regime NSA stooge Jake Sullivan wants you to know America that the Reforming Intelligence and Securing America Act ensures that the intelligence community has the tools
[00:00:41.138 --> 00:00:51.967]  That it needs to identify and disrupt threats to the American people from hostile nation-states, terrorist organizations, hackers, spies, and more, end quote.
[00:00:52.027 --> 00:00:55.870]  You know, the people the Biden regime led into the country by the millions.
[00:00:56.070 --> 00:01:04.217]  According to the Wall Street Journal, the FBI, Department of Defense, and others have been conducting a year-long investigation into so-called gate crashers.
[00:01:04.377 --> 00:01:06.879]  It's happening all over the U.S., according to the report.
[00:01:07.299 --> 00:01:14.104]  Section 702 continued to tighten its grip, choking the life out of the Bill of Rights of American citizens.
[00:01:14.704 --> 00:01:17.306]  Where are those transmissions you intercepted?
[00:01:17.366 --> 00:01:19.667]  What have you done with those flags?
[00:01:20.087 --> 00:01:21.809]  We intercepted no transmissions!
[00:01:21.869 --> 00:01:33.056]  The legislation coming from the other body gives the government unchecked authority to order Americans to spy on behalf of their government.
[00:01:34.025 --> 00:01:48.934]  This was slipped in, Mr. President, in the last minutes in the House of Representatives bill, and this is the first time this language has ever been considered here in the United States Senate.
[00:01:49.455 --> 00:02:02.943]  Under current law, Section 702 of the Foreign Intelligence Surveillance Act, the government can order the phone companies and email and internet service providers to hand over communications.
[00:02:04.013 --> 00:02:07.915]  This bill expands that existing power dramatically.
[00:02:08.836 --> 00:02:24.925]  It says, and I quote, the government can force cooperation from, quote, any other service provider who has access to equipment that is being or may be used to transmit or store wire or electronic communications.
[00:02:25.125 --> 00:02:26.386]  So think for a moment
[00:02:27.322 --> 00:02:34.268]  About the millions of Americans who work in buildings and offices in which communications are stored or passed through.
[00:02:35.189 --> 00:02:39.532]  After all, every office building in America has data cables running through it.
[00:02:40.953 --> 00:02:46.878]  The people are not just the engineers who install, maintain, and repair our communications infrastructure.
[00:02:47.579 --> 00:02:55.926]  There are countless others who could be forced to help the government spy, including those who clean offices and guard buildings.
[00:02:56.801 --> 00:03:10.325]  If this provision is enacted, the government can deputize any of these people against their will and force them, in effect, to become what amounts to an agent for Big Brother.
[00:03:10.786 --> 00:03:16.327]  Director Wray, does the FBI currently comply in every way with the current Section 702 of FISA?
