[00:00:00.000 --> 00:00:15.779]  [Outro]
[00:00:15.920 --> 00:00:20.987]  I was the test case for what's now being done to President Trump, Steve Bannon, and others.
[00:00:22.082 --> 00:00:25.644]  This is an attempt at digital assassination.
[00:00:25.924 --> 00:00:28.545]  I never said or did any of the things they claimed on Sandy Hook.
[00:00:29.305 --> 00:00:37.029]  Two judges in Texas and Connecticut found me guilty by default and then had literal show trials on how guilty I was.
[00:00:37.709 --> 00:00:40.330]  The billion and a half dollar verdict is a fraud.
[00:00:40.830 --> 00:00:44.692]  The judges had already told the juries that I was guilty.
[00:00:45.612 --> 00:00:53.196]  Now we've been in bankruptcy for almost two years proving that everything they claimed about me having hundreds of millions of dollars was not true.
[00:00:53.296 --> 00:00:54.397]  Notice you don't hear about that anymore.
[00:00:54.817 --> 00:00:56.258]  None of that was true.
[00:00:56.798 --> 00:01:07.417]   And now instead of wanting the money that is there, The so-called plaintiffs, who really aren't the families, it's the government that's been behind it that's come out in court, want me silenced.
[00:01:07.977 --> 00:01:13.381]  They said on the courthouse steps, the plaintiff's lawyers, in Texas and Connecticut, we want Alex Jones silenced.
[00:01:14.042 --> 00:01:15.202]  That's what this is all about.
[00:01:16.103 --> 00:01:18.785]  This is about the destruction of the First Amendment in America.
[00:01:18.865 --> 00:01:28.867]   And now, the plaintiff's lawyers, Democratic Party lawyers out of Connecticut have filed today to try to take Real Alex Jones on X away from me.
[00:01:29.568 --> 00:01:36.578]  Now they want my identity under the terms of service of X. You cannot do that because it's my own personal property.
[00:01:37.099 --> 00:01:39.001]  These people want me silenced.
[00:01:39.522 --> 00:01:42.026]  It is completely and totally transparent.
[00:01:43.103 --> 00:01:44.544]  And the world is seeing through this.
[00:01:44.604 --> 00:01:47.787]  I was asked by one reporter earlier, is this the end?
[00:01:48.468 --> 00:01:53.953]  This is probably the end of info wars here very, very soon, if not today, in the next few weeks or months.
[00:01:54.474 --> 00:01:57.496]  But it's just the beginning of my fight against tyranny.
[00:01:57.637 --> 00:02:10.328]   As the founder of the US Navy said, During the Revolutionary War, John Paul Jones, when his ship, about a third the size of a British ship he was fighting, was starting to sink, the British officers hailed across on their bullhorn and said, would you like to surrender?
[00:02:10.349 --> 00:02:11.390]  And he said, surrender?
[00:02:11.910 --> 00:02:13.592]  I have only begun to fight.
[00:02:14.212 --> 00:02:15.313]  People know I've been right.
[00:02:15.794 --> 00:02:16.815]  They know what I really cover.
[00:02:17.275 --> 00:02:21.339]  Tens of millions of people a day want to hear what I actually have to say, not what the corporate media says.
[00:02:21.739 --> 00:02:23.701]  The corporate media have become mercenaries.
[00:02:24.742 --> 00:02:28.706]  For the globalists, for BlackRock, for the WEF, and the public knows that.
[00:02:29.046 --> 00:02:33.550]  So the power structure, not just here but around the world, is in full collapse.
[00:02:33.930 --> 00:02:44.760]  The corporate media is basically dead in a shadow of its former self because it's become a prostitute of the big corporations and tried to wage war against the independent popular press.
[00:02:45.141 --> 00:02:49.885]  All the most popular posts, not just here but around the world, are populist, anti-globalist.
[00:02:49.905 --> 00:02:51.929]   Whether it's Tucker Carlson, Or Joe Rogan.
[00:02:52.170 --> 00:02:52.934]  Or Alex Jones.
[00:02:53.235 --> 00:02:54.018]  Or Russell Brand.
