[00:00:13.951 --> 00:00:14.712]  InfoWars.
[00:00:15.072 --> 00:00:15.953]  Tomorrow's news.
[00:00:16.273 --> 00:00:16.653]  Today.
[00:00:16.673 --> 00:00:20.677]  It is Sunday, May 12, 2024.
[00:00:20.917 --> 00:00:22.478]  I'm your host, Alex Jones.
[00:00:44.935 --> 00:00:50.338]  And the Trump rally yesterday on Jersey Shore had over 100,000 people at it.
[00:00:52.139 --> 00:00:52.819]  The arena held 80,000.
[00:00:54.440 --> 00:00:57.181]  There was another 20 to 30,000 behind it.
[00:00:58.022 --> 00:01:02.664]  And traffic jams for 10 miles out, people couldn't even get there.
[00:01:03.565 --> 00:01:04.685]  Too many people here.
[00:01:06.186 --> 00:01:08.107]  There's so many people here.
[00:01:08.127 --> 00:01:08.187]  Man!
[00:01:10.265 --> 00:01:11.806]  Over 100,000 people!
[00:01:12.746 --> 00:01:15.828]  This was supposed to be... You know, they thought they'd hit 40.
[00:01:17.228 --> 00:01:18.489]  So they more than doubled it.
[00:01:18.629 --> 00:01:19.949]  But you can't even see the end.
[00:01:19.989 --> 00:01:21.350]  I wish we didn't have the press here.
[00:01:21.370 --> 00:01:24.832]  I wish we moved them the hell back so they'd have... Because they can't see in the back.
[00:01:27.013 --> 00:01:31.955]  You know, I always tell the press, turn your cameras around to show the audience, okay?
[00:01:32.375 --> 00:01:33.175]  They never do it.
[00:01:33.255 --> 00:01:33.475]  Look.
[00:01:34.296 --> 00:01:35.076]  Look, fake news.
[00:01:35.737 --> 00:01:36.517]  They never do it.
[00:01:39.073 --> 00:01:40.053]  They never do it!
[00:01:44.695 --> 00:01:48.596]  By the way, I have been watching CNN, ABC News, Fox.
[00:01:49.336 --> 00:01:53.657]  Fox will show kind of the crowd, but mainly they show close-ups of Trump and say 80,000.
[00:01:55.198 --> 00:01:55.858]  They're saying over 100.
[00:01:55.898 --> 00:01:58.639]  I went and looked up the park, the theme park.
[00:02:00.319 --> 00:02:00.899]  It holds about 80,000.
[00:02:00.979 --> 00:02:03.320]  It was standing room only.
[00:02:03.880 --> 00:02:07.041]  And then again, 20,000 the state police estimated behind it.
[00:02:08.075 --> 00:02:09.456]  Tens of thousands in the parking lot.
[00:02:09.816 --> 00:02:10.736]  Let's be conservative.
[00:02:10.776 --> 00:02:12.517]  Traffic jams 10 miles long, they're reporting.
[00:02:12.537 --> 00:02:12.517]  150,000.
[00:02:14.057 --> 00:02:21.160]  200,000.
[00:02:14.077 --> 00:02:21.160]  Tried to get to the Trump rally.
[00:02:22.641 --> 00:02:25.682]  And I love Republican establishments like, why is he campaigning in a blue state?
[00:02:27.983 --> 00:02:28.823]  Those are red states.
[00:02:29.604 --> 00:02:30.744]  There's election fraud there.
[00:02:31.184 --> 00:02:34.846]  But an overwhelming landslide, they won't have enough dead people and illegal aliens to vote.
[00:02:37.014 --> 00:02:42.739]  With the 445 million Zuckerberg spent in the last general election three and a half years ago.
[00:02:42.759 --> 00:02:43.079]  Remember that?
[00:02:44.300 --> 00:02:50.685]  To get the database of people that had moved out of the county or the state and a bunch of illegals go vote.
[00:02:52.146 --> 00:02:53.267]  It is just mind-blowing.
[00:02:53.307 --> 00:02:55.349]  I got so many clips from last night's rally.
[00:02:55.469 --> 00:02:56.550]  It's so exciting.
[00:02:57.831 --> 00:02:58.832]  And the Democrat response.
[00:02:58.892 --> 00:03:01.814]  But there's a big story that I saw in
[00:03:04.312 --> 00:03:08.194]  Newark Magazine and I saw it on the Democrat Party website.
[00:03:09.034 --> 00:03:11.335]  When I saw it this morning, I went and looked it up and it's true.
[00:03:12.476 --> 00:03:16.258]  The Democratic Party is talking about cancelling the DNC.
[00:03:16.398 --> 00:03:18.139]  I mean, that's what it really is.
[00:03:18.659 --> 00:03:24.101]  They're calling it virtual so no one can protest them switching Biden out, which is the word.
[00:03:25.042 --> 00:03:28.784]  Or, you know, there's no evidence that he's unpopular because no one wants to go to it.
[00:03:29.664 --> 00:03:33.346]  He can't fill a Volkswagen with his crowds or a phone booth.
[00:03:34.514 --> 00:03:37.176]  But young people won't know what a phone booth is, so I shouldn't use that analogy.
[00:03:39.277 --> 00:03:40.498]  He couldn't fill a clown car.
[00:03:42.419 --> 00:03:48.723]  And so now they have announced that, oh, no big deal, just like in 2020 because of COVID.
[00:03:48.743 --> 00:03:52.525]  Remember, he had Chevy vehicles as the crowd.
[00:03:52.905 --> 00:03:59.890]  He's up there alone, a little stage, Chevy vehicles would honk and flash their lights like they were people.
[00:04:01.986 --> 00:04:06.450]  And they had a virtual DNC because he was campaigning from his basement.
[00:04:08.511 --> 00:04:19.040]  Now, three and a half years later, they are going to have a virtual convention, and I believe they will.
[00:04:19.660 --> 00:04:21.682]  They're saying they're considering it right now.
[00:04:22.242 --> 00:04:27.707]  A virtual convention is not a real convention, just like they wouldn't let anybody be involved in Democratic primaries against him.
[00:04:29.468 --> 00:04:32.150]  So this is simply amazing.
