[00:00:20.026 --> 00:00:21.668]  The Alex Jones Show.
[00:00:22.168 --> 00:00:25.111]  Because there is a war on, or you won't mind.
[00:00:25.131 --> 00:00:28.494]  Ladies and gentlemen, thank you for joining us on this Tuesday, February 5th, 2019.
[00:00:28.534 --> 00:00:29.475]  Global Broadcast.
[00:00:30.676 --> 00:00:33.299]  Minutes before I went live, every day on newswars.com,
[00:00:44.389 --> 00:00:53.316]  And InfoWars.com will post a page for the show that day with a live video and audio feeds on the front page, so you don't have to go to InfoWars.com for its last show.
[00:00:53.336 --> 00:00:56.179]  And so people know what that particular broadcast is going to be about.
[00:00:57.039 --> 00:01:06.848]  And I was sitting there and I just couldn't come up with a headline, not for lack of news, but because the things happening are just too incredibly important.
[00:01:08.469 --> 00:01:10.471]  You know, the strangest things happen sometimes.
[00:01:11.251 --> 00:01:13.193]  I've known Mankell Muller
[00:01:15.270 --> 00:01:16.110]  For 20 years.
[00:01:17.311 --> 00:01:19.052]  And he wanted me to do a Fox show with him.
[00:01:19.132 --> 00:01:20.213]  Fox offered us a show.
[00:01:20.233 --> 00:01:21.313]  He's done shows with Fox.
[00:01:21.333 --> 00:01:24.175]  It was a weekend show and I just, I couldn't fly to New York every weekend.
[00:01:26.496 --> 00:01:27.277]  But he's a Christian.
[00:01:29.198 --> 00:01:30.879]  And he's told me privately some stuff.
[00:01:30.919 --> 00:01:31.939]  You know, he's been in a lot of movies.
[00:01:31.959 --> 00:01:32.880]  Knows a lot of Hollywood folks.
[00:01:33.740 --> 00:01:38.243]  So he knows a lot of what I'm saying is true because he's lived in L.A.
[00:01:38.263 --> 00:01:40.184]  but also was number one in in
[00:01:43.484 --> 00:01:44.244]  San Francisco.
[00:01:45.265 --> 00:01:55.309]  And so a lot of the things he's heard me talk about, he knew separately from people in San Francisco.
[00:01:57.355 --> 00:02:03.378]  And so I was on his show out of Chicago this morning, but then we taped the podcast after that he's been putting out.
[00:02:03.558 --> 00:02:11.441]  And I tried to come in here about two weeks ago in the new studio and tape a report on what we just went ahead and got into on air.
[00:02:12.241 --> 00:02:17.584]  But I think the way it got laid out on that show was extremely accurate and extremely powerful.
[00:02:17.804 --> 00:02:21.645]  And this is kind of a big deal that I'm going to be announcing on air.
[00:02:23.826 --> 00:02:24.767]  Well, it's beyond a big deal.
[00:02:25.874 --> 00:02:30.178]  I've already done it, and the globalists never pick it up, they never cover it.
[00:02:31.539 --> 00:02:33.461]  Because it's their secret religion.
[00:02:34.162 --> 00:02:39.827]  If you really want to know what Satanism is, Luciferianism is, you want to know what's really all going on, folks.
[00:02:40.467 --> 00:02:46.072]  This is the unified field theory on how all the secret societies operate the whole shooting match.
[00:02:47.534 --> 00:02:50.096]  And I've known this for a long time, and I've released pieces of it.
[00:02:54.246 --> 00:03:05.289]  But what I talked about for about 30 minutes with him today of the podcast, we talked over an hour, really crystallized all of it.
[00:03:07.330 --> 00:03:12.591]  And so as soon as this podcast comes out, I will air that here today, even tonight.
[00:03:12.771 --> 00:03:17.092]  I'm not sure when this podcast is going to get released and we're going to have a State of the Union live coverage today.
[00:03:17.873 --> 00:03:18.873]  But this is it.
[00:03:20.073 --> 00:03:22.974]  And it was the strangest place for me to go ahead and just say it all.
[00:03:24.286 --> 00:03:29.968]  And I got it out pretty good, too, so... But this is the big enchilada.
[00:03:30.008 --> 00:03:30.868]  This is everything.
[00:03:31.909 --> 00:03:32.189]  Okay?
[00:03:32.709 --> 00:03:34.609]  If you know this, you know it all.
[00:03:35.110 --> 00:03:35.770]  And this is it.
[00:03:37.010 --> 00:03:40.051]  This is 100% going on, and it's incredible.
[00:03:40.111 --> 00:03:41.432]  And let me just say something.
[00:03:41.452 --> 00:03:43.492]  You're living in a science fiction thriller.
[00:03:43.512 --> 00:03:45.653]  I mean, this is unbelievable.
[00:03:46.553 --> 00:03:47.234]  We're gonna go to break.
[00:03:47.294 --> 00:03:47.834]  David Knight.
[00:03:48.906 --> 00:03:51.408]  We need to go back and revisit the foundations of our freedom.
[00:04:11.641 --> 00:04:14.663]  Our freedoms don't consist of the things that are enumerated on a piece of paper.
[00:04:14.763 --> 00:04:16.804]  It consists of the things that we're willing to fight for.
[00:04:17.445 --> 00:04:21.267]  The First Amendment, the Bill of Rights, the rest of the Bill of Rights are prohibitions.
[00:04:21.747 --> 00:04:29.132]  They're prohibitions against powerful organizations and individuals taking those God-given rights from us as individuals.
[00:04:29.232 --> 00:04:31.654]  You better understand that because they're taking them right now.
[00:04:35.100 --> 00:04:37.302]  We have seen what they want to do.
[00:04:37.322 --> 00:04:38.003]  They called it U.N.
[00:04:38.023 --> 00:04:39.524]  Agenda 21, now they call it the U.N.
[00:04:39.544 --> 00:04:40.325]  2030 Agenda.
[00:04:40.345 --> 00:04:51.514]  They want everybody off of the rural lands, they want people out of the suburbs, they want to pack everybody into the cities, because that's where it is easiest for them to control everyone.
[00:04:53.756 --> 00:04:56.718]  Never miss your show, any day.
[00:04:56.738 --> 00:04:57.439]  I mean, never.
[00:05:04.153 --> 00:05:11.558]  At InfoWars, we're always looking for the very best, best-selling, highest-rated products that we can then private label and sell.
[00:05:11.898 --> 00:05:25.067]  Well, there is a national company who has FDA approval to sell their wound gel that is the strongest out there, and we private label it, and we sell it for $10 less online than they sell it at CVS and Walgreens.
[00:05:25.267 --> 00:05:29.830]  We also have another product, also produced by the same company, Immune Gargle.
[00:05:30.191 --> 00:05:33.673]  We've been selling a lot of the wound gel and a lot of the Immune Gargle.
[00:05:34.333 --> 00:05:42.956]  We're going to go from full price to 40% off on both of these best-selling products right now at InfoWarsLife.com and InfoWarsTore.com.
[00:05:43.436 --> 00:05:45.777]  This is a limited-time Immune Boost Special.
[00:05:46.197 --> 00:05:52.899]  Get Super Blue, Silver Immune Gargle, and Super Silver Wound Dressing for 40% off at InfoWarsTore.com.
[00:05:53.379 --> 00:05:56.340]  Again, this is a limited-time Immune Boost Special.
[00:05:56.540 --> 00:06:03.042]  Get Super Blue, Silver Immune Gargle, and Super Silver Wound Dressing for 40% off at InfoWarsTore.com.
[00:06:26.443 --> 00:06:28.567]  Waging war on corruption.
[00:06:29.067 --> 00:06:34.215]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:44.230 --> 00:06:56.656]  If you can get through all that to explore what he's been saying, to see for yourself what it is that the establishment wants to hide from you, then the information you find could be life-changing.
[00:06:58.016 --> 00:06:58.797]  He predicted 9-11.
[00:06:58.917 --> 00:07:08.001]  And if there was an outside threat like a Bin Laden, who was a known CIS in the 80s, he's the boogeyman they need in this Orwellian phony system.
[00:07:08.041 --> 00:07:11.923]  He exposed the cremation of care ceremony at Bohemian Grove.
[00:07:17.841 --> 00:07:26.825]  He educated us about the relationship between the Third Reich and modern globalism.
[00:07:27.526 --> 00:07:32.168]  He helped reveal the so-called Bilderberg Group et al.
[00:07:32.669 --> 00:07:41.534]  He was the loudest voice reporting on the union between the Communist Chinese and Silicon Valley.
[00:07:44.075 --> 00:07:45.316]  They falsely edited him.
[00:07:47.816 --> 00:07:50.379]  They lie about his reporting of Sandy Hook.
[00:07:51.840 --> 00:07:57.186]  They lie that he pushed a child down in a viral video.
[00:07:57.926 --> 00:08:02.431]  And now he is being deplatformed by Facebook, Apple, and Google.
[00:08:03.953 --> 00:08:08.397]  Private companies are being harassed and encouraged to stop doing business with him.
[00:08:08.497 --> 00:08:10.880]  And then we get hit and say, you don't want to use our software.
[00:08:12.106 --> 00:08:14.947]  YouTubers are being censored for talking about him.
[00:08:15.467 --> 00:08:17.048]  We just got taken down by YouTube.
[00:08:17.088 --> 00:08:17.928]  They just killed our stream.
[00:08:19.129 --> 00:08:19.449]  Really?
[00:08:19.609 --> 00:08:19.849]  Yep.
[00:08:19.969 --> 00:08:22.530]  And some Americans are actually celebrating this.
[00:08:24.231 --> 00:08:25.512]  This is America in 2018.
[00:08:25.572 --> 00:08:33.775]  Will you sit by and allow liberty and freedom to be taken away right before your eyes?
[00:08:36.039 --> 00:08:40.001]  Will you do nothing while history is being recorded?
[00:08:40.501 --> 00:08:42.242]  Will you sit and do nothing?
[00:08:42.962 --> 00:08:49.966]  Or will you do your own research, discover the truth, and stand for freedom?
[00:08:50.906 --> 00:08:55.849]  Crashing through the lies and disinformation, it's Alex Jones.
[00:09:21.701 --> 00:09:29.591]  I went to Infowars.com this morning at about 6.30 and at about 8 o'clock I saw it go live.
[00:09:29.631 --> 00:09:30.733]  The return of David Knight.
[00:09:32.135 --> 00:09:34.077]  So I just got my children off to school.
[00:09:35.018 --> 00:09:35.980]  Got them in the car with the nanny.
[00:09:37.211 --> 00:09:45.121]  And I went in and was feeding my 22-month-old baby on my lap, and I had my laptop out, and I went, David Knight!
[00:09:45.762 --> 00:09:51.870]  And I said, well, I haven't seen him since his heart attack over a month ago, about five weeks ago, and I said, let me see how he looks.
[00:09:52.611 --> 00:09:53.051]  And you know what?
[00:09:53.071 --> 00:09:54.552]  He looks like 10 years younger.
[00:09:55.313 --> 00:09:56.054]  It's amazing.
[00:09:56.174 --> 00:10:00.577]  And he was going to come back for a few more weeks because he's going to get some more surgery with a member of his family.
[00:10:01.097 --> 00:10:02.118]  We've been all working so hard.
[00:10:02.138 --> 00:10:03.179]  We don't take care of ourselves.
[00:10:03.239 --> 00:10:06.201]  I personally have two cracked rotten teeth and I'm probably going to get fixed this week.
[00:10:06.241 --> 00:10:06.761]  Get them pulled.
[00:10:07.262 --> 00:10:08.323]  That's how hard we're fighting here.
[00:10:08.343 --> 00:10:09.423]  I'm not complaining.
[00:10:09.443 --> 00:10:12.726]  Just letting you know sometimes we'll stumble around a little bit because we're in the trenches.
[00:10:12.786 --> 00:10:19.271]  But it's good to see him here and it's good to see you so healthy looking because you were really getting white.
[00:10:19.691 --> 00:10:20.752]  You were losing a lot of weight.
[00:10:21.212 --> 00:10:25.294]  I remember we met like a week before you had the heart attack, and I said, David, you need to take some time off, man.
[00:10:25.314 --> 00:10:26.835]  You're so stressed looking.
[00:10:26.855 --> 00:10:28.615]  And you were like, well, you look pretty stressed, too.
[00:10:28.655 --> 00:10:32.417]  But yeah, you've had some family illnesses, people you've been taking care of.
[00:10:32.437 --> 00:10:40.360]  But from everything I've heard from your son, Travis, that works here and does a great job, I think we've turned the corner and good times are ahead in the Knight family.
[00:10:40.681 --> 00:10:41.401]  Yeah, I think so.
[00:10:41.441 --> 00:10:41.801]  Thank you.
[00:10:42.321 --> 00:10:43.522]  Thank you so much, Alex.
[00:10:43.542 --> 00:10:47.504]  You've been very, very understanding in terms of giving me time off.
[00:10:47.544 --> 00:10:48.804]  You've been very generous with that.
[00:10:48.824 --> 00:10:50.225]  Well, you did have a heart attack.
[00:10:52.148 --> 00:10:53.730]  I was going to come back that Monday.
[00:10:53.790 --> 00:10:56.834]  I thought I could... I got pretty mad.
[00:10:56.915 --> 00:10:59.358]  I said, I've never thought about firing you, but do that again.
[00:11:00.839 --> 00:11:25.007]  Well, it was the medicine more than anything that I was really feeling the effects of because they put you on a blood thinning medicine to make sure that you don't get a blockage there at the site of the stent and some of the side effects of that are make you a shorter breath or anything but in the time that I've had off I've been working on trying to get some reschedule myself so that I'm taking a little bit of time for exercising.
[00:11:25.127 --> 00:11:27.948]  You look better than the David Knight I first met eight years ago.
[00:11:28.368 --> 00:11:29.128]  Well, thank you, thank you.
[00:11:29.209 --> 00:11:33.511]  I did lose a lot of weight last year and that was intentional.
[00:11:33.611 --> 00:11:49.460]  I was on a keto diet and I thought I was feeling a lot better and I had just been saying to my wife, I said, you know, I've really been blessed because my father had a lot of heart issues by the time he was my age.
[00:11:49.760 --> 00:11:55.583]  And he'd had open heart surgery several times for bypass, for valves, and he had other issues.
[00:11:56.183 --> 00:11:56.884]  My mother did too.
[00:11:57.344 --> 00:11:58.705]  Never been bothered with any of that stuff.
[00:11:58.725 --> 00:12:03.068]  I mean, I'm going through talking to the doctors and said, you know, uh, you know, what have you been in for?
[00:12:03.108 --> 00:12:08.852]  Well, nothing, you know, I didn't really have anything, uh, that, uh, that was, so it was really kind of, uh, off the radar.
[00:12:08.912 --> 00:12:14.896]  I, I, I knew I needed to, uh, schedule some exercise and, and things like that, but I, you know, just been putting it off.
[00:12:15.536 --> 00:12:16.637]  And then boom, you had the heart attack.
[00:12:16.657 --> 00:12:17.577]  Yeah, yeah, yeah.
[00:12:17.617 --> 00:12:18.558]  It came up all of a sudden.
[00:12:19.259 --> 00:12:21.360]  And, um, but, uh.
[00:12:21.440 --> 00:12:22.781]  Well, people are really glad you're back.
[00:12:23.001 --> 00:12:23.421]  Well, thank you.
[00:12:23.441 --> 00:12:24.242]  It's great to be back.
[00:12:25.171 --> 00:12:26.253]  I don't micromanage you at all.
[00:12:26.273 --> 00:12:27.294]  Do I ever tell you what to do or say?
[00:12:27.334 --> 00:12:28.195]  No, no, not at all.
[00:12:28.215 --> 00:12:29.897]  Well, I'm going to start nannying a little bit.
[00:12:30.919 --> 00:12:33.042]  Plus, we've moved the warehouse.
[00:12:33.082 --> 00:12:33.542]  We have some more room.
[00:12:33.562 --> 00:12:34.343]  We're putting in offices.
[00:12:34.383 --> 00:12:37.968]  You can actually have an office, not be in that big bullpen, which can be stressful that way.
[00:12:37.988 --> 00:12:38.809]  You can actually focus.
[00:12:39.510 --> 00:12:40.632]  And expanding on that,
[00:12:43.891 --> 00:12:51.515]  You just really need to take care of yourself, because I know good and damn well that for a three-hour show, you prepare for three, four hours here and a couple hours at night.
[00:12:52.015 --> 00:13:05.762]  David, I mean, I hate to tell it to the illustrious, but you just can't prepare double for what you do on air, because you get so focused on, like you're preparing for a State of the Union every day, you just, I'm not saying mail it in, but you've got to find a halfway mark there.
[00:13:05.902 --> 00:13:06.502]  Yeah, yeah.
[00:13:06.742 --> 00:13:07.443]  I agree, I agree.
[00:13:07.483 --> 00:13:09.964]  I've got to adjust things a little bit.
[00:13:10.044 --> 00:13:15.567]  And it is very important, you know, part of it is looking at the different risk factors.
[00:13:16.147 --> 00:13:25.991]  It's not just genetics, and it's not just what you eat, making sure that you've got proper nutrition, but it's also sleep, and that's a big part of having an early morning show.
[00:13:26.011 --> 00:13:26.332]  Oh, no doubt.
[00:13:26.392 --> 00:13:27.332]  You wanted the morning show.
[00:13:27.472 --> 00:13:28.253]  Yeah, oh yeah.
[00:13:28.293 --> 00:13:31.074]  And I'm like, man, the way you prepare, I'm like, dude,
[00:13:32.392 --> 00:13:37.736]  I mean, I know, I'm not exaggerating, you prepare like four or five hours, you can't get up at two in the morning and prepare and then come in here and do this.
[00:13:38.136 --> 00:13:41.438]  Yeah, well I do a pretty large survey of the news to find out what's going on.
[00:13:41.458 --> 00:13:45.821]  Well, I mean, believe me, you're one of the few people, and I'm a newshound, that always knows more than I do.
[00:13:46.381 --> 00:13:53.286]  But it's kind of, you're an engineer and a lot of other stuff, but people want you to be healthy and happy and play a few video clips, do some red meat political stuff.
[00:13:53.326 --> 00:13:53.486]  Yeah.
[00:13:53.606 --> 00:13:54.747]  I mean, look, you've got
[00:13:55.267 --> 00:13:58.029]  Because we've got the demographics that come in, we can see it on all the analytics.
[00:13:58.769 --> 00:14:06.354]  You've got the high-end engineer type, astronaut type, rich people, smart people are listening to you.
[00:14:06.574 --> 00:14:08.536]  Because they know, wow, this guy actually did research.
[00:14:09.420 --> 00:14:10.380]  And that's great, David.
[00:14:10.400 --> 00:14:13.601]  You just don't have to, like, do six, seven hours of preparation every day.
[00:14:13.781 --> 00:14:14.722]  I don't think it's healthy.
[00:14:14.982 --> 00:14:15.382]  Yeah, yeah.
[00:14:15.422 --> 00:14:19.263]  I've got to get... Because David, like, is a laser beam in a zone.
[00:14:19.283 --> 00:14:23.725]  You go in there and he's focused with his headphones on, and he's just, like, brainiac, hardly even taking breaks.
[00:14:23.785 --> 00:14:24.785]  I'm like, hey, dude.
[00:14:24.925 --> 00:14:26.486]  And, of course, I'm a workaholic, too.
[00:14:26.526 --> 00:14:30.047]  So if I'm telling David Knight, I mean, this is, like, the extreme version right here.
[00:14:30.487 --> 00:14:34.091]  Yeah, you've got to get a little bit of perspective.
[00:14:34.191 --> 00:14:41.718]  When they arrested Roger, I drove into town, I got on the phone, because it just bothered me so much to see that happening.
[00:14:42.119 --> 00:14:50.867]  You know, we just had the CEO of Google, under oath, say, we're not shutting down or pushing this agenda or that agenda.
[00:14:50.887 --> 00:14:51.308]  Total lies.
[00:14:51.328 --> 00:14:52.789]  We've had absolutely lying about that.
[00:14:52.829 --> 00:14:53.830]  That came out a couple of weeks ago.
[00:14:53.850 --> 00:14:54.131]  On its face!
[00:14:54.451 --> 00:14:55.171]  Yeah, exactly.
[00:14:55.472 --> 00:14:57.453]  But, you know, we're not going to do anything about that.
[00:14:58.293 --> 00:15:04.678]  They're trying to make a big deal out of the fact that Roger is conspiring to try to set up an interview with somebody.
