[00:00:04.646 --> 00:00:05.011]  What the fuck?
[00:00:31.656 --> 00:00:35.479]  You are listening to an InfoWars.com Frontline Report.
[00:00:35.999 --> 00:00:37.460]  It's Alex Jones.
[00:00:45.106 --> 00:00:48.548]  I've never had it on my heart, this sick feeling of how sad this is.
[00:00:49.189 --> 00:00:51.190]  But we're in a defensive mode here.
[00:00:51.851 --> 00:00:54.993]  And the President, by the way, I think has waited too long already.
[00:00:57.605 --> 00:01:02.451]  Hey, Alex Jones is still on the air six days a week at InfoWars.com.
[00:01:02.711 --> 00:01:07.056]  Free video streams are available at InfoWars.com backslash show.
[00:01:07.336 --> 00:01:12.282]  Spread those links and be a part of the second American revolution against global tyranny.
[00:01:12.523 --> 00:01:14.225]  You are all Paul Revere.
[00:01:14.665 --> 00:01:16.888]  That is actually a normal, real battle plan.
[00:01:17.269 --> 00:01:19.953]  This is what you would do if our government wasn't full of criminals.
[00:01:20.614 --> 00:01:26.522]  It admits that China runs California, China runs Hollywood, and what President Trump needs to do in a real emergency.
[00:01:26.922 --> 00:01:30.508]  Because this country's already so far gone, this is probably the only type of thing that actually could save it.
[00:01:31.601 --> 00:01:33.462]  So again, we don't like martial law, folks.
[00:01:33.502 --> 00:01:34.643]  This is what we've already been in.
[00:01:34.903 --> 00:01:38.825]  We're already under a martial law that's Hollywood, shy comrade, trying to start a race war.
[00:01:39.725 --> 00:01:44.468]  Millions are pouring in, diseases, crime, society's breaking down, we're going bankrupt.
[00:01:45.468 --> 00:01:47.689]  Democrat Internal Documents admits that's the plan.
[00:01:48.910 --> 00:01:51.871]  Congress won't act, so what does the President do under the Constitution?
[00:01:51.951 --> 00:01:54.293]  Article 4, Section 4.
[00:01:55.073 --> 00:01:58.815]  What Trump is saying is, is that there's a lawless total collapse
[00:02:00.600 --> 00:02:02.900]  And no order to any of this.
[00:02:02.940 --> 00:02:07.241]  People who are worried about Trump becoming an authoritarian need to have a reality check.
[00:02:07.281 --> 00:02:14.923]  It's the authoritarianism of the left that is crushing the First Amendment, crushing our fair and free elections, and overrunning our country.
[00:02:14.983 --> 00:02:18.383]  And Trump is finally standing up and saying, you know what?
[00:02:18.703 --> 00:02:19.843]  I'm going to fight for America.
[00:02:20.204 --> 00:02:21.724]  And we, the people, need to support him.
[00:02:22.084 --> 00:02:27.985]  And if Trump needs to invoke the Insurrection Act and invoke the executive orders that Obama left behind,
[00:02:28.525 --> 00:02:34.807]  You know, Trump needs to use the powers that we the people granted him because we elected Trump to defend America.
[00:02:35.167 --> 00:02:40.569]  Remember Alex, Trump ran on build the wall, drain the swamp, lock her up.
[00:02:40.669 --> 00:02:45.970]  Trump ran on the platform of indicting the treasonous criminals inside America.
[00:02:46.290 --> 00:02:55.573]  So Trump is simply fulfilling his promises to the voters and the voters knew that Trump was going to do this when we elected him and we want him to do it and we support him doing it.
[00:02:55.833 --> 00:02:56.854]  So that's where we are today.
[00:02:57.094 --> 00:02:58.234]  It's time to defend America.
[00:02:58.554 --> 00:02:59.695]  We have the right to self-defense.
[00:03:00.035 --> 00:03:04.056]  If the Democrats ever seize power again, they will gut this country.
[00:03:04.456 --> 00:03:06.057]  They will destroy the Second Amendment.
[00:03:06.077 --> 00:03:07.698]  They've already crushed the First Amendment.
[00:03:08.078 --> 00:03:10.839]  They will go door-to-door with gun confiscations.
[00:03:11.099 --> 00:03:23.864]  And I think the radicalism of the left would actually lead this country to a point where leftists are executing Christians door-to-door, criminalizing scripture, criminalizing the Bible, and literally hunting down and killing people.
[00:03:24.684 --> 00:03:25.524]  This is their modus operandi.
[00:03:25.544 --> 00:03:26.124]  We're not the radicals.
[00:03:26.165 --> 00:03:27.385]  They've gotten to this point.
[00:03:42.350 --> 00:03:44.931]  Amy Kellogg is live from Milan, Italy with more for us now.
[00:03:45.051 --> 00:03:45.292]  Amy?
[00:03:45.492 --> 00:03:48.453]  Jenna, that's one Christian martyr every six minutes.
[00:03:48.553 --> 00:03:54.016]  These numbers were put together by the Center for the Study of Global Christianity.
[00:03:54.076 --> 00:04:00.399]  It's become clear that the radical left, which is lawless, cannot coexist in a fair and free society.
[00:04:00.419 --> 00:04:03.821]  They do not honor elections unless they cheat and win them.
[00:04:05.262 --> 00:04:07.143]  Through ballot harvesting, for example.
[00:04:07.443 --> 00:04:10.485]  They do not honor the presidency that Trump has.
[00:04:10.525 --> 00:04:11.885]  They've tried to overthrow it.
[00:04:12.146 --> 00:04:13.566]  They've engaged in treason.
[00:04:13.927 --> 00:04:18.789]  We are in a state of war that Trump is now fully recognizing.
[00:04:19.090 --> 00:04:21.191]  And we, the people, need to support Trump.
[00:04:21.311 --> 00:04:22.652]  I have to emphasize this.
[00:04:23.052 --> 00:04:28.675]  We do not encourage anybody to initiate any kind of vigilante action or anything of that kind.
[00:04:29.035 --> 00:04:31.557]  We want we, the people, to support Trump's
[00:04:32.606 --> 00:04:35.407]  Well, I think there's a great New Yorker piece that they should refer to.
[00:05:04.366 --> 00:05:06.908]  Everybody knows that supplements are amazing.
[00:05:07.388 --> 00:05:09.690]  That what God gave us through Mother Nature is incredible.
[00:05:09.990 --> 00:05:12.432]  That's why supplements are the biggest growing industry in the world.
[00:05:12.752 --> 00:05:13.953]  And the globalists are so upset.
[00:05:14.753 --> 00:05:17.575]  The problem is people forget to take them.
[00:05:18.837 --> 00:05:23.480]  And that's why the whole industry has moved towards packets that you take in the morning and you take at night.
[00:05:23.900 --> 00:05:24.741]  So we looked at that.
[00:05:24.861 --> 00:05:26.462]  We made the very best a.m.
[00:05:26.482 --> 00:05:26.882]  and p.m.
[00:05:26.922 --> 00:05:35.108]  packets out there with an incredible spectrum of 13 different capsules that you take in two servings a day that are game-changing a.m.
[00:05:35.208 --> 00:05:35.889]  and p.m.
[00:05:36.289 --> 00:05:38.911]  total health and performance eight-pack
[00:05:39.986 --> 00:05:42.669]  PowerStack at Infowarslife.com.
[00:05:42.949 --> 00:05:44.190]  Folks, check it out.
[00:05:44.310 --> 00:05:47.113]  It's 50% off for a limited time out of the gates.
[00:05:47.794 --> 00:05:50.616]  50% off on the 8-pack PowerStack.
[00:05:50.636 --> 00:05:57.023]  50% off on our newest product at Infowarslife.com, the 8-pack PowerStack.
[00:05:57.043 --> 00:05:57.583]  50% off.
[00:05:58.064 --> 00:06:03.289]  We looked at the best-selling products out there, and we made it even better, and we lowered the price.
[00:06:09.241 --> 00:06:13.105]  The answer to 1984 is 1776.
[00:06:13.245 --> 00:06:21.133]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:06:22.853 --> 00:06:23.674]  Glad you joined us.
[00:06:23.694 --> 00:06:25.134]  We're in the middle of a serious fight.
[00:06:25.295 --> 00:06:28.356]  We're live, Wednesday, May 22nd, 2019.
[00:06:29.477 --> 00:06:30.538]  This isn't a simulation.
[00:06:30.958 --> 00:06:31.699]  It's not a drill.
[00:06:32.319 --> 00:06:35.821]  It's a fight for a pro-human future against global exterminists.
[00:06:36.462 --> 00:06:40.104]  InfoWars is their number one enemy and target because we know their full game plan.
[00:06:45.728 --> 00:06:46.830]  How are you guys doing?
[00:06:46.870 --> 00:06:47.531]  Good, how are you?
[00:06:47.731 --> 00:06:49.093]  Nice to meet you.
[00:06:49.113 --> 00:06:50.174]  My name is Doug O'Keefe.
[00:06:50.234 --> 00:06:51.616]  Nice to meet you guys.
[00:06:51.656 --> 00:06:52.678]  How you guys doing?
[00:06:52.718 --> 00:06:54.660]  Chemicals in the water?
[00:06:54.720 --> 00:06:55.962]  That's real though.
[00:06:56.042 --> 00:06:56.643]  This is true.
[00:07:02.817 --> 00:07:11.845]  Facebook has banned a number of prominent conspiracy theorists and alt-right figures, including Alex Jones and his media outlet InfoWars.
[00:07:12.306 --> 00:07:16.249]  Alex Jones, while banned from Facebook, was still on Instagram.
[00:07:16.329 --> 00:07:24.677]  If you looked up Joe Biden, one of the top 20 posts on all of Facebook and Instagram in the last three days about Joe Biden came from Alex Jones' Instagram account.
[00:07:24.897 --> 00:07:25.658]  Oh my gosh.
[00:07:27.248 --> 00:07:33.754]  I know that we don't exactly have the strongest reputation on privacy right now to put it lightly.
[00:07:33.954 --> 00:07:34.975]  InfoWars.
[00:07:35.635 --> 00:07:38.418]  The most banned network in the world.
[00:07:54.329 --> 00:07:55.850]  I've not shut down our speech!
[00:07:56.111 --> 00:08:01.395]  We're at InfoWars.com and NewsWars.com, and we're defeating the leftist tyrants!
[00:08:01.636 --> 00:08:08.542]  I got mobbed on the streets by fans, but almost all of them said, we used to love you on air, it was so good to see you on the iTunes or on YouTube.
[00:08:09.122 --> 00:08:09.923]  Are you coming back?
[00:08:10.464 --> 00:08:11.605]  We're at InfoWars.com.
[00:08:12.205 --> 00:08:13.266]  We're at NewsWars.com.
[00:08:13.487 --> 00:08:15.769]  Paul Watson's launched his own Summit.News.
[00:08:15.830 --> 00:08:17.532]  We have our own videos, we have our own articles.
[00:08:17.812 --> 00:08:22.337]  They're trying to destroy us, but thanks to you and others having us on, InfoWars is still chugging along.
[00:08:22.578 --> 00:08:24.820]  So we're there, folks, tomorrow's news, today.
[00:08:24.841 --> 00:08:26.282]  InfoWars!
[00:08:26.402 --> 00:08:27.784]  Don't tell me!
[00:08:28.084 --> 00:08:28.485]  Woo!
[00:08:31.158 --> 00:08:34.140]  InfoWars.com, because that's a bunch of people out here.
[00:08:34.240 --> 00:08:35.320]  I'm talking about InfoWars.com.
[00:08:35.781 --> 00:08:38.382]  I'm at InfoWars.com and NewsWars.com.
[00:08:38.822 --> 00:08:40.663]  We knew this censorship was coming forever.
[00:08:40.703 --> 00:08:44.185]  We have our own video streams, our own audio streams, and it's all free to air.
[00:08:44.225 --> 00:08:46.867]  Anybody can use it, re-upload it, do whatever you want.
[00:08:46.967 --> 00:08:49.028]  People go to InfoWars.com and NewsWars.com.
[00:08:49.048 --> 00:08:50.028]  That's where they find it.
[00:08:50.349 --> 00:08:51.529]  You know, there's things called websites.
[00:08:52.230 --> 00:08:52.630]  Just go there.
[00:08:54.229 --> 00:09:04.274]  And remember, the Senate's own report last year admitted many of the children that came across under Obama ended up in child sex slavery and were being trafficked.
[00:09:05.755 --> 00:09:08.997]  Ladies and gentlemen, this is an incredibly historic time to be alive.
[00:09:12.743 --> 00:09:17.568]  Hey, Alex Jones is still on the air six days a week at InfoWars.com.
[00:09:17.849 --> 00:09:22.194]  Free video streams are available at InfoWars.com backslash show.
[00:09:22.474 --> 00:09:27.400]  Spread those links and be a part of the Second American Revolution against global tyranny.
[00:09:27.680 --> 00:09:29.342]  You are all Paul Revere.
[00:09:29.742 --> 00:09:41.725]  This country is under globalist attack just like the European Union was established to attack the nation states and absorb them to a larger system of bankruptcy into a world government.
[00:09:42.725 --> 00:09:51.207]  And now this is the only act that the president can carry out that will have any chance of stopping what is unfolding.
[00:09:51.247 --> 00:09:54.148]  They've built refugee centers all over Central and South America.
[00:09:54.808 --> 00:09:55.708]  They are bringing in
[00:09:57.466 --> 00:09:57.786]  In fact,
[00:10:12.859 --> 00:10:15.380]  released now into the United States.
[00:10:15.440 --> 00:10:18.801]  It's estimated five times that aren't even being caught.
[00:10:19.181 --> 00:10:29.705]  It's quiet at the Dania Beach Border Patrol Station Friday, but Broward and Palm Beach County leaders say under a new Trump administration immigration plan, they've been told hundreds of migrants will be brought here beginning in just a few weeks.
[00:10:30.145 --> 00:10:32.986]  The news came as a big surprise to Florida Governor Ron DeSantis.
[00:10:33.226 --> 00:10:39.932]  We cannot accommodate in Florida just dumping unlawful migrants into our state.
[00:10:39.972 --> 00:10:46.338]  I think it'll tax our resources, the schools, the health care, law enforcement, state agencies.
[00:10:46.638 --> 00:10:49.561]  Millions and millions and millions are on their way.
[00:10:50.984 --> 00:10:52.284]  The projections are dire.
[00:10:52.465 --> 00:11:02.448]  The agency is now on track to apprehend more migrants crossing illegally in the first six months of this fiscal year than the entirety of FY17.
[00:11:02.968 --> 00:11:10.090]  And at the current pace, we are on track to encounter close to one million illegal aliens at our southern border this year.
[00:11:10.431 --> 00:11:15.712]  You see the numbers where ICE says that on any given day, it's double the previous records.
[00:11:17.253 --> 00:11:20.294]  And some days it's triple
[00:11:21.368 --> 00:11:21.428]  The
[00:11:44.403 --> 00:11:53.328]  And within that flow are thousands of criminals, smugglers, gang members, and public safety threats that we're sworn to protect this country from.
[00:11:53.868 --> 00:12:06.936]  With up to 40% or more of our personnel in key sectors like El Paso working to care for, transport, provide medical and hospital watch for families and children, that means our security posture at the border is negatively impacted.
[00:12:07.316 --> 00:12:14.654]  If you try to transit through Mexico, then you're allowed to come up and the United Nations gives them $1,000 debit cards.
[00:12:17.571 --> 00:12:27.998]  With no name on it, per leg of the trip to get here from Africa, from Europe, from Asia, from the Middle East, via Latin America.
[00:12:47.811 --> 00:12:51.694]  50 million to make these solutions even more scalable and sustainable.
[00:12:51.794 --> 00:12:53.956]  And now the dam has broken.
[00:12:55.017 --> 00:12:58.299]  The floodgates are wide open.
[00:12:59.761 --> 00:13:03.764]  And these individuals are pouring in, in mash.
[00:13:04.484 --> 00:13:04.945]  Upwards of 30%.
