[00:00:20.168 --> 00:00:22.730]  May 31st, 2019.
[00:00:25.252 --> 00:00:27.253]  Already almost halfway into 2019.
[00:00:27.414 --> 00:00:30.076]  Incredible how time is accelerating.
[00:00:31.036 --> 00:00:32.197]  I'm your host, Alex Jones.
[00:00:32.237 --> 00:00:34.099]  We're going to be here for the next four hours.
[00:00:34.699 --> 00:00:41.704]  We have Robert Barnes, who's a great lawyer and really a great talk show host, in studio with us for the second two hours.
[00:00:41.824 --> 00:00:46.628]  And I will open the phones up on a host of issues when he's in studio with us.
[00:00:47.068 --> 00:00:47.869]  I didn't do it yesterday.
[00:00:47.889 --> 00:00:48.690]  I will do it today.
[00:00:50.270 --> 00:00:53.951]  There is so much insane news that I've got to cover it all.
[00:00:54.391 --> 00:00:58.173]  And there's a bunch of news I didn't get to from yesterday that I want to try to cram in.
[00:00:58.213 --> 00:01:01.434]  So it's going to be a full broadcast here.
[00:01:07.156 --> 00:01:18.920]  Every blue city in the country is not just collapsing into typhoid and leprosy and drug-resistant TB and literally hundreds of other diseases.
[00:01:19.943 --> 00:01:31.192]  They're collapsing into homelessness, drug abuse, needles, with a cherry on top of men dressed as women running around at public events with small children.
[00:01:31.292 --> 00:01:32.373]  That's the cherry on top.
[00:01:35.415 --> 00:01:37.057]  Was Sodom and Gomorrah real in the Bible?
[00:01:37.577 --> 00:01:38.638]  Archaeologists think so.
[00:01:39.659 --> 00:01:40.259]  The Old Testament.
[00:01:41.900 --> 00:01:44.903]  But Sodom and Gomorrah is real today.
[00:01:45.824 --> 00:01:47.225]  I've got articles about blue cities.
[00:01:48.305 --> 00:01:54.627]  Where they go into the abortion clinics and there's just rotting babies and body parts and blood and rats and cockroaches everywhere.
[00:01:54.647 --> 00:02:07.973]  I mean, you couldn't run a hot dog stand and have it one-tenth as dirty, but because they're killing babies and it's such a royal right, well then, you know, you can get the woman infected and kill her too!
[00:02:09.113 --> 00:02:10.874]  It's just insane asylum level.
[00:02:11.154 --> 00:02:12.554]  But I want to play this piece again.
[00:02:12.575 --> 00:02:21.578]  It's so important and I'll have it reposted in fullwords.com, the front page that the crew put together because it boils down to insanity and the foaming at the mouth of the left.
[00:02:22.719 --> 00:02:27.161]  And when we come back, I'll give you the title of the video, but I'm going to repost it in fullwords.com.
[00:02:27.541 --> 00:02:29.441]  And it just goes with the famous song.
[00:02:30.042 --> 00:02:31.122]  They're coming to take me away.
[00:02:31.162 --> 00:02:31.922]  Ha ha hoo hee.
[00:02:32.503 --> 00:02:32.803]  Here it is.
[00:02:34.557 --> 00:02:35.137]  Warning!
[00:02:35.518 --> 00:02:41.220]  This broadcast contains subject matter that may offend liberal snowflakes.
[00:02:41.240 --> 00:02:44.722]  I don't give you permission to record me!
[00:02:44.742 --> 00:02:45.883]  You're on live right now!
[00:02:45.963 --> 00:02:47.184]  I don't give you permission!
[00:02:47.204 --> 00:02:54.047]  Remember when you ran away and I got on my knees and begged you not to leave because I go berserk?
[00:02:54.928 --> 00:03:03.172]  Well, you left me anyhow and then the days got worse and worse and now you see I've gone completely out of my mind!
[00:03:04.824 --> 00:03:07.086]  They're coming to take me away, ha-ha!
[00:03:07.126 --> 00:03:10.389]  They're coming to take me away, ho-ho, he-he, ha-ha!
[00:03:10.409 --> 00:03:13.792]  To the funny farm, where life is beautiful all the time!
[00:03:13.873 --> 00:03:19.057]  And I'll be happy to see those nice young men in their clean white coats, and they're coming to take me away, ha-ha!
[00:03:22.089 --> 00:03:25.432]  You thought it was a joke and so you laughed.
[00:03:25.513 --> 00:03:29.817]  You laughed when I had said that losing you would make me flip my lid.
[00:03:30.718 --> 00:03:31.039]  Right?
[00:03:31.679 --> 00:03:32.721]  You know you laughed.
[00:03:32.921 --> 00:03:33.862]  I heard you laugh.
[00:03:33.902 --> 00:03:34.483]  You laughed.
[00:03:34.523 --> 00:03:36.685]  You laughed and laughed and then you left.
[00:03:36.785 --> 00:03:39.028]  But now you know I'm utterly mad.
[00:03:40.700 --> 00:03:42.942]  They're coming to take me away, ha-ha!
[00:03:42.982 --> 00:03:45.204]  They're coming to take me away, ho-ho, he-he, ha-ha!
[00:03:45.224 --> 00:03:56.754]  To the happy home with trees and flowers and chirping birds and basket weavers who sit and smile and swivel their thumbs and toes and they're coming to take me away, ha-ha-ha-ha-ha!
[00:03:56.875 --> 00:03:58.436]  I'm gonna grow a magnificent pair of breasts!
[00:03:58.616 --> 00:04:05.903]  I clutched your food, I cleaned your house and this is how you pay me back for all my kind, unselfish, loving deeds!
[00:04:07.634 --> 00:04:14.896]  Well, you just wait, they'll find you yet, and when they do, they'll put you in the ASPCA, you mangy mutt!
[00:04:17.097 --> 00:04:31.521]  They're coming to take me away, ha ha ha, they're coming to take me away, ho ho, hee hee, ha ha, to the funny farm, where life is beautiful all the time, and I'll be happy to see those nice young men in their clean white coats, and they're coming to take me away, ha ha!
[00:04:35.313 --> 00:04:50.967]  InfoWars, the most banned network in the world.
[00:05:05.473 --> 00:05:08.175]  Sometimes grown-ups touch kids in ways they don't like.
[00:05:08.756 --> 00:05:11.297]  I was wrestling with my uncle, and it changed.
[00:05:11.578 --> 00:05:12.458]  It felt icky.
[00:05:12.699 --> 00:05:15.941]  When touching feels funny, it's hard to know what to do.
[00:05:16.641 --> 00:05:18.323]  He said I shouldn't tell anyone.
