[00:00:20.814 --> 00:00:22.716]  Awesome!
[00:00:22.776 --> 00:00:23.357]  Thank you!
[00:00:23.437 --> 00:00:26.901]  We love you!
[00:00:26.921 --> 00:00:30.024]  Let's party!
[00:00:30.064 --> 00:00:30.925]  Yeah!
[00:00:31.786 --> 00:00:32.507]  Yeah!
[00:00:32.587 --> 00:00:33.668]  Yeah!
[00:00:34.029 --> 00:00:34.810]  Yeah!
[00:00:35.490 --> 00:00:37.232]  We love Alex Jones!
[00:00:37.973 --> 00:00:41.177]  Free Alex Jones!
[00:00:41.697 --> 00:00:43.098]  Make America Great Again!
[00:00:43.118 --> 00:00:43.999]  Let's go!
[00:00:44.019 --> 00:00:44.879]  Thank you!
[00:00:45.280 --> 00:00:45.880]  Thank you!
[00:00:45.960 --> 00:00:46.901]  Yes, you're welcome!
[00:00:46.921 --> 00:00:50.583]  Thank you for your support!
[00:00:50.783 --> 00:00:52.224]  Thank you very much!
[00:00:52.405 --> 00:00:53.185]  InfoWars!
[00:00:53.205 --> 00:00:53.585]  InfoWars!
[00:00:53.685 --> 00:00:54.706]  InfoWars!
[00:00:54.746 --> 00:00:55.126]  Thank you!
[00:00:55.166 --> 00:00:55.827]  InfoWars!
[00:00:55.887 --> 00:00:56.447]  Thank you!
[00:00:56.527 --> 00:00:58.889]  You're welcome!
[00:00:58.989 --> 00:00:59.870]  InfoWars!
[00:01:04.633 --> 00:01:05.013]  Free Alex Jones!
[00:01:05.033 --> 00:01:05.353]  Free Alex Jones!
[00:01:05.373 --> 00:01:05.673]  Free Alex Jones!
[00:01:05.694 --> 00:01:05.994]  Free Alex Jones!
[00:01:06.014 --> 00:01:06.314]  Free Alex Jones!
[00:01:06.334 --> 00:01:06.634]  Free Alex Jones!
[00:01:06.654 --> 00:01:06.954]  Free Alex Jones!
[00:01:06.974 --> 00:01:07.314]  Free Alex Jones!
[00:01:07.354 --> 00:01:07.734]  Free Alex Jones!
[00:01:07.754 --> 00:01:08.155]  Free Alex Jones!
[00:01:08.275 --> 00:01:08.615]  Free Alex Jones!
[00:01:08.635 --> 00:01:08.935]  Free Alex Jones!
[00:01:08.955 --> 00:01:09.255]  Free Alex Jones!
[00:01:09.275 --> 00:01:09.615]  Free Alex Jones!
[00:01:09.635 --> 00:01:09.936]  Free Alex Jones!
[00:01:09.996 --> 00:01:10.296]  Free Alex Jones!
[00:01:10.316 --> 00:01:10.636]  Free Alex Jones!
[00:01:10.656 --> 00:01:10.956]  Free Alex Jones!
[00:01:10.976 --> 00:01:11.276]  Free Alex Jones!
[00:01:11.296 --> 00:01:11.656]  Free Alex Jones!
[00:01:11.676 --> 00:01:12.057]  Free Alex Jones!
[00:01:12.077 --> 00:01:12.377]  Free Alex Jones!
[00:01:12.397 --> 00:01:12.797]  Free Alex Jones!
[00:01:12.817 --> 00:01:13.177]  Free Alex Jones!
[00:01:13.197 --> 00:01:13.577]  Free Alex Jones!
[00:01:13.597 --> 00:01:14.038]  Free Alex Jones!
[00:01:14.058 --> 00:01:14.398]  Free Alex Jones!
[00:01:14.438 --> 00:01:14.758]  Free Alex Jones!
[00:01:14.778 --> 00:01:15.118]  Free Alex Jones!
[00:01:15.138 --> 00:01:15.458]  Free Alex Jones!
[00:01:15.478 --> 00:01:15.878]  Free Alex Jones!
[00:01:15.898 --> 00:01:16.239]  Free Alex Jones!
[00:01:16.259 --> 00:01:16.559]  Free Alex Jones!
[00:01:16.579 --> 00:01:16.879]  Free Alex Jones!
[00:01:16.959 --> 00:01:17.299]  Free Alex Jones!
