[00:00:10.397 --> 00:00:12.470]  I don't know.
[00:00:18.888 --> 00:00:23.390]  A bunch of high school kids in MAGA hats were being verbally abused by a black militant group.
[00:00:27.292 --> 00:00:37.197]  They began chanting high school songs to drown out the abuse, and this dude tries to cause a confrontation by wading into the group of kids and banging his drum.
[00:00:37.337 --> 00:00:41.019]  Nothing happened, no one got hurt, and that should have been the end of it.
[00:00:41.119 --> 00:00:43.160]  But how did the media report it?
[00:00:43.260 --> 00:00:49.003]  A disturbing viral video shows a group of teens harassing and mocking him in the nation's capital.
[00:00:49.383 --> 00:00:52.104]  Here's the video sparking outrage on social media right now.
[00:00:52.164 --> 00:00:57.406]  Racist, aggressive Trump supporters viciously abused and harassed Native American veteran!
[00:00:57.486 --> 00:00:58.827]  They taunted him!
[00:00:58.947 --> 00:01:02.469]  Because, and wait for it, this is pretty damn shocking.
[00:01:04.390 --> 00:01:11.293]  One of the kids, who was wearing a MAGA hat, he stood there and he...
[00:01:13.865 --> 00:01:14.109]  He's smug.
[00:01:22.410 --> 00:01:29.833]  Cue a leftist hate mob sharpening their digital pitchforks to engage in the most vile social justice witch hunt ever seen.
[00:01:30.073 --> 00:01:39.077]  I'm certainly in favor of building a wall around Covington Catholic High School in Kentucky, and let's electrify it to keep those disgusting punks from getting loose and creating more vileness in society!
[00:01:39.137 --> 00:01:43.739]  Putting Catholic kids in concentration camps to own the Nazis.
[00:01:43.979 --> 00:01:45.119]  So progressive!
[00:01:45.239 --> 00:01:46.960]  White people really are terrorists!
[00:01:47.380 --> 00:01:48.661]  Whiteness is terrorism!
[00:01:49.521 --> 00:01:51.323]  I would like to report a terrorist.
[00:01:51.423 --> 00:01:54.305]  Hey, how dare you criticize those Parkland kids?
[00:01:54.425 --> 00:01:55.986]  Kids in red Trump hats, though.
[00:01:56.107 --> 00:02:02.652]  MAGA kids go screaming, hat first, into the wood chipper.
[00:02:02.732 --> 00:02:03.813]  That's just fine.
[00:02:03.973 --> 00:02:07.756]  I want you to fire on any of these red hat bitches when you see them on Saturday.
[00:02:11.549 --> 00:02:14.491]  Burn the f***ing school down!
[00:02:14.571 --> 00:02:15.772]  Get schooled out?
[00:02:16.572 --> 00:02:20.555]  Where I'm from, fire on means punch a mother f***er in the face.
[00:02:20.675 --> 00:02:21.075]  Really?
[00:02:21.295 --> 00:02:26.198]  And I guess burn the f***ing school down means to stage a peaceful protest and hand out flowers.
[00:02:26.258 --> 00:02:27.939]  Yeah, enjoy prison, loser!
[00:02:28.039 --> 00:02:33.203]  Apparently, according to Twitter, calling for kids to be shot in the head is not a problem.
[00:02:33.263 --> 00:02:39.947]  From elementary school through college, I went to school with sheltered upper middle class white boys who could devastate with a smirk!
[00:02:40.367 --> 00:02:42.568]  A facial gesture that weaponized their privilege.
[00:02:42.748 --> 00:02:46.290]  Induriatingly, you can't fight that f***ing snake with a punch of words.
[00:02:46.570 --> 00:02:49.531]  Imagine being that upset over a kid smiling.
[00:02:49.551 --> 00:02:52.953]  Ha ha, conservatives so easily triggered by a razor ad.
[00:02:52.973 --> 00:02:54.313]  A white kid smirking.
[00:02:54.333 --> 00:02:55.754]  I honestly haven't stopped.
[00:02:56.991 --> 00:03:02.277]  I'm gonna stick it all day, in part because I think so many of us have been on the receiving end of the face he was making!
[00:03:02.497 --> 00:03:05.360]  A smirk, untouchable, entitled, f*** you!
[00:03:05.400 --> 00:03:07.422]  Show me on the doll where the smirk hurt you.
[00:03:07.622 --> 00:03:08.924]  I've watched all of the videos.
[00:03:09.124 --> 00:03:14.290]  You can understand that the situation was more complex in the first video and still recognize why the sigh of that face!
[00:03:14.910 --> 00:03:17.553]  Caused a visceral reaction in so many!
[00:03:17.613 --> 00:03:20.636]  Yeah, because he's white and you're a self-loathing racist!
[00:03:20.796 --> 00:03:22.217]  Possible modifications?
[00:03:22.558 --> 00:03:23.779]  Assault smirk!
[00:03:23.999 --> 00:03:27.322]  Honest question, have you ever seen a more punchable face than this kid's?
[00:03:27.482 --> 00:03:28.123]  Yeah, yours!
[00:03:28.323 --> 00:03:29.604]  You know this little s**t!
[00:03:30.225 --> 00:03:33.307]  Punch him in the nuts and send me the video of it!
[00:03:33.327 --> 00:03:36.069]  Promoting sexual assault of children to own the bigots.
[00:03:36.229 --> 00:03:41.713]  When a guy whose entire culture and population was destroyed by foreigners tells you walls don't work.
[00:03:41.833 --> 00:03:43.194]  Smiles in Caucasian.
[00:03:43.234 --> 00:03:47.817]  Forget the white supremacist OK sign, the ADL just found a new hate symbol.
[00:03:47.837 --> 00:03:48.857]  Smirking!
[00:03:48.998 --> 00:03:49.298]  MAGA!
[00:03:49.818 --> 00:03:51.259]  The American swastika.
[00:03:51.359 --> 00:03:53.541]  Salty by name, salty by nature.
[00:03:53.561 --> 00:03:57.945]  And you'll never guess which behavior the media deemed inappropriate for society.
[00:03:58.045 --> 00:04:01.388]  Fuller Picture emerges a viral video between Native American men and Catholic students.
[00:04:01.408 --> 00:04:02.409]  The New York Times.
[00:04:02.649 --> 00:04:12.298]  Fuller Picture equals we believed lies, failed to perform basic journalistic due diligence, and ruined the lives of numerous children because Orange Man Bad.
[00:04:12.338 --> 00:04:13.579]  Breaking news.
[00:04:15.373 --> 00:04:15.673]  Orange man bad.
[00:04:15.693 --> 00:04:15.994]  Orange man bad.
[00:04:16.014 --> 00:04:16.214]  Orange man.
[00:04:16.234 --> 00:04:16.494]  Orange man.
[00:04:16.514 --> 00:04:16.715]  Orange man.
[00:04:16.735 --> 00:04:16.955]  Orange man.
[00:04:16.975 --> 00:04:17.195]  Orange man.
[00:04:17.215 --> 00:04:17.415]  Orange man.
[00:04:17.435 --> 00:04:17.656]  Orange man.
[00:04:17.676 --> 00:04:17.876]  Orange man.
[00:04:17.896 --> 00:04:18.116]  Orange man.
[00:04:18.136 --> 00:04:18.336]  Orange man.
[00:04:18.356 --> 00:04:18.557]  Orange man.
[00:04:18.577 --> 00:04:18.777]  Orange man.
[00:04:18.797 --> 00:04:18.997]  Orange man.
[00:04:19.017 --> 00:04:19.217]  Orange man.
[00:04:19.237 --> 00:04:19.438]  Orange man.
[00:04:19.458 --> 00:04:19.658]  Orange man.
[00:04:19.678 --> 00:04:19.878]  Orange man.
[00:04:19.898 --> 00:04:20.158]  Orange man.
[00:04:20.178 --> 00:04:20.379]  Orange man.
[00:04:20.399 --> 00:04:20.599]  Orange man.
[00:04:20.619 --> 00:04:20.819]  Orange man.
[00:04:20.839 --> 00:04:21.039]  Orange man.
[00:04:21.059 --> 00:04:21.260]  Orange man.
[00:04:21.280 --> 00:04:21.480]  Orange man.
[00:04:21.500 --> 00:04:21.780]  Orange man.
[00:04:21.800 --> 00:04:22.020]  Orange man.
[00:04:22.060 --> 00:04:22.361]  Orange man.
[00:04:22.401 --> 00:04:22.641]  Orange man.
[00:04:22.661 --> 00:04:22.901]  Orange man.
[00:04:22.941 --> 00:04:23.142]  Orange man.
[00:04:23.162 --> 00:04:23.382]  Orange man.
[00:04:23.402 --> 00:04:23.602]  Orange man.
[00:04:23.622 --> 00:04:23.862]  Orange man.
[00:04:23.903 --> 00:04:24.203]  Orange man.
[00:04:24.223 --> 00:04:24.423]  Orange man.
[00:04:24.443 --> 00:04:24.643]  Orange man.
[00:04:24.663 --> 00:04:24.904]  Orange man.
[00:04:24.924 --> 00:04:25.124]  Orange man.
[00:04:25.144 --> 00:04:25.384]  Orange man.
