[00:00:56.474 --> 00:00:56.814]  Okay.
[00:00:58.155 --> 00:00:59.376]  Here's what's happening right now.
[00:01:00.036 --> 00:01:03.358]  I've been getting prepared for this broadcast for hours today.
[00:01:04.999 --> 00:01:10.402]  And so much is breaking right as we go on air that I am basically speechless.
[00:01:10.422 --> 00:01:12.763]  And that's not something I'm known for.
[00:01:14.605 --> 00:01:21.829]  We have really a particularly powerful broadcast lined up for you today.
[00:01:23.642 --> 00:01:28.305]  on this Wednesday, May 15th, 2019 global transmission.
[00:01:29.706 --> 00:01:41.074]  And we have Soph, the 14-year-old young lady whose parents have given her permission to take off from school today to give us a big exclusive live interview because she's not being scripted.
[00:01:41.154 --> 00:01:42.936]  She's not being handed talking points.
[00:01:43.416 --> 00:01:44.537]  She's extremely smart.
[00:01:45.911 --> 00:01:46.712]  It's very refreshing.
[00:01:47.574 --> 00:01:49.957]  She probably has an IQ twice that of AOC.
[00:01:50.758 --> 00:01:55.986]  And so she's going to be joining us live, unscripted, on air today.
[00:01:56.506 --> 00:02:01.413]  And we look forward to that because the thought police over at BuzzFeed, you know, the villains,
[00:02:03.356 --> 00:02:07.499]  They've been running around tattletaling on her and trying to get her removed.
[00:02:08.180 --> 00:02:13.464]  And YouTube has been taking action and removing her videos, giving her strikes.
[00:02:13.544 --> 00:02:15.885]  And well, BuzzFeed says, good job.
[00:02:15.925 --> 00:02:18.908]  Now completely deplatform her for life.
[00:02:20.789 --> 00:02:23.911]  Get her web ID or Google ID and ban her.
[00:02:24.272 --> 00:02:25.893]  Do not let her talk.
[00:02:26.193 --> 00:02:27.354]  Shut her up.
[00:02:27.474 --> 00:02:28.215]  She's dangerous.
[00:02:30.376 --> 00:02:30.957]  Shut her up now.
[00:02:33.928 --> 00:02:37.511]  Again, as Tucker Carlson said, these people aren't scary or anything.
[00:02:38.112 --> 00:02:39.353]  It's the little girl.
[00:02:39.373 --> 00:02:42.216]  Oop, but I just said girl.
[00:02:42.336 --> 00:02:44.197]  That infers that some people might not be a girl.
[00:02:44.217 --> 00:02:48.301]  I'm not talking about her, but I just... Well, I just committed a thought crime.
[00:02:49.082 --> 00:02:50.643]  I mean, we can joke about this all day.
[00:02:50.743 --> 00:02:52.345]  These people are serious.
[00:02:53.891 --> 00:02:54.652]  They are the threat.
[00:02:55.092 --> 00:02:58.054]  You know, Hitler and the Soviet Union was the threat last century.
[00:02:58.715 --> 00:03:04.339]  We're definitely run by the bad guys at the universities and the Hollywood level.
[00:03:05.360 --> 00:03:06.501]  And more and more people are getting it.
[00:03:07.402 --> 00:03:15.748]  There's a very powerful article up on Infowars.com dealing with a man that they're calling Trump 2.0.
[00:03:16.589 --> 00:03:22.854]  And I was already familiar with him, already knew what he did as Attorney General of Missouri, the Shelby State, and I was already a fan.
[00:03:24.690 --> 00:03:45.119]  But then I kind of went on a binge on Josh Hawley last night and this morning and probably watched two hours of him in Congress in speeches and I'm telling you, he'll give Ted Cruz or Rand Paul a big run for their money at 39 years old.
[00:03:45.659 --> 00:03:48.340]  This guy and people like him are the future.
[00:03:49.120 --> 00:03:52.502]  He's populist and he gets the fact that
[00:03:54.875 --> 00:04:01.843]  The Democrats are working with foreign governments and combines to act as governments to usurp our freedoms.
[00:04:02.444 --> 00:04:12.055]  And so this whole Brookings Institution, you know, libertarian type idea of get out of the way of corporations is suicide.
