[00:00:12.290 --> 00:00:17.234]  Crashing through the lies and disinformation, it's Alex Jones.
[00:00:37.811 --> 00:00:41.093]  It's Sunday, July 14th, 2019.
[00:00:41.293 --> 00:00:52.258]  We're gonna be live here for the next two hours, as I am every Sunday, 4 to 6 p.m.
[00:00:52.318 --> 00:00:54.699]  Central Standard Time.
[00:00:58.321 --> 00:01:01.862]  The Democratic Party has called for firebombing ICE facilities.
[00:01:02.002 --> 00:01:02.843]  We have their quotes here.
[00:01:03.840 --> 00:01:05.801]  They have called for killing ICE officers.
[00:01:05.841 --> 00:01:12.546]  They have called for abolishing the border completely and collapsing the nation for good, making us a failed state like Mexico or beyond.
[00:01:13.427 --> 00:01:19.892]  And now there was a firebombing yesterday of the building and cars of the man firing a semi-automatic rifle.
[00:01:21.053 --> 00:01:27.237]  At the ICE individuals, the local police showed up and shot the man dead.
[00:01:27.257 --> 00:01:32.880]  He was instantly identified online as a member of Antifa and the Redneck Revolt.
[00:01:34.140 --> 00:01:39.483]  And he said that he was there to liberate the facility.
[00:01:40.704 --> 00:01:41.805]  He had his manifesto.
[00:01:42.085 --> 00:01:43.606]  It's up on Infowars.com.
[00:01:43.706 --> 00:01:45.847]  The governor, being a terrorist,
[00:01:48.424 --> 00:01:53.005]  The Democrat came out and said that the man was there to burn up the illegal aliens.
[00:01:54.665 --> 00:02:04.187]  They're actually running a hoax on CNN as of this morning saying the man is a right-winger who was trying to burn up the people because Trump ordered him to.
[00:02:05.167 --> 00:02:06.747]  Story's up on Infowars.com.
[00:02:07.187 --> 00:02:08.328]  Go watch the governor say it.
[00:02:08.408 --> 00:02:10.048]  The governor says he did it for Trump.
[00:02:11.488 --> 00:02:13.088]  These people will lie, folks.
[00:02:14.309 --> 00:02:16.289]  They will lie like nothing you've ever seen.
[00:02:17.452 --> 00:02:31.222]  Well, when Schreuer went out to the whole illegal alien, pro-illegal alien demonstration they had yesterday in Austin, and the Antiva folks were wearing shirts that said, smash ice.
[00:02:32.303 --> 00:02:35.905]  And on the shirts shows ice having their face smashed in.
[00:02:36.806 --> 00:02:38.147]  So that is the refrain.
[00:02:41.109 --> 00:02:43.531]  So that's where all this is going.
[00:02:44.071 --> 00:02:45.072]  Armed rebellion
[00:02:46.212 --> 00:02:46.672]  We're good to go.
[00:03:08.047 --> 00:03:09.927]  Under Obama.
[00:03:10.708 --> 00:03:14.408]  And they all look like they've caught him and they're the moral superior people.
[00:03:15.109 --> 00:03:20.110]  And Biden starts laughing at them and says, yeah, most of them were convicted felons, criminals, rapists, murderers.
[00:03:20.510 --> 00:03:21.730]  They go, we don't care.
[00:03:21.910 --> 00:03:24.951]  No borders, no wall, no USA at all.
[00:03:27.751 --> 00:03:30.892]  And so that's the fantasy land here that these folks believe in.
[00:03:34.770 --> 00:03:46.493]  It's a very serious situation, and when you watch the three or four videos that Owen shot live on the streets yesterday that are on Infowars.com, all of these people are white.
[00:03:47.693 --> 00:03:53.274]  They're all telling us how bad white people are, and they all look like they have chromosomal disorders.
[00:03:53.394 --> 00:03:55.575]  And I don't say that with pleasure.
[00:03:57.275 --> 00:04:03.417]  This is a very dangerous group of mutants that are somehow susceptible to the satanic signal
[00:04:04.718 --> 00:04:06.059]  That the globalists are putting out.
[00:04:06.079 --> 00:04:12.183]  In fact, they came over, as they always do, and said, we love Satan, we love the devil, we love to stink, we love being failures.
[00:04:12.583 --> 00:04:14.484]  They're sort of trying to rub their armpits on Owen.
[00:04:15.285 --> 00:04:19.307]  And without looking, I kept running into videos all over the country of the same thing.
[00:04:19.367 --> 00:04:25.671]  We love Satan, we love stinking, we love killing children, and then just giggling and laughing with pleasure.
[00:04:26.572 --> 00:04:32.816]  And if you look at the women in these videos, again, they look like they were babies, never taken out of their cribs, didn't get enough milk.
[00:04:33.786 --> 00:04:34.906]  They've done studies on them.
[00:04:34.927 --> 00:04:36.127]  A lot of them have shriveled brains.
[00:04:37.107 --> 00:04:39.788]  And this is what this has all come down to.
[00:04:40.649 --> 00:04:49.412]  Also, groups of leftists, mainly white, went and took over ICE facilities and ran up Mexican flags in two locations across the United States.
[00:04:49.992 --> 00:04:51.113]  That's all coming up.
[00:04:51.353 --> 00:04:56.735]  But this is what America's total tolerance and paying for sex changes and all the rest of has caused.
[00:04:57.235 --> 00:04:59.676]  Giant groups of spoiled, rotten babies that want war.
[00:05:04.116 --> 00:05:09.360]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[00:05:09.680 --> 00:05:10.200]  Alpha Power.
[00:05:10.721 --> 00:05:13.883]  As you age, your body can lose testosterone over time.
[00:05:14.183 --> 00:05:22.729]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[00:05:23.089 --> 00:05:31.235]  Alpha Power's incredible ingredients can help you boost your sport performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[00:05:31.855 --> 00:05:36.839]  Perfect by itself or with super male vitality in the true alpha male path.
[00:05:37.279 --> 00:05:43.964]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[00:05:44.504 --> 00:05:47.787]  Let Alpha Power help bring you to the peak of your optimal health.
[00:05:48.207 --> 00:05:50.849]  Don't fall short on energy in the fight against tyranny.
[00:05:51.249 --> 00:05:54.992]  Show the world what a true alpha male looks like today with Alpha Power.
[00:05:55.292 --> 00:05:57.794]  Head to infowarsstore.com today.
[00:06:14.645 --> 00:06:15.746]  Big Brother.
[00:06:15.766 --> 00:06:17.006]  Mainstream media.
[00:06:17.566 --> 00:06:18.687]  Government cover-ups.
[00:06:19.468 --> 00:06:20.928]  You want to stop tyranny?
[00:06:21.168 --> 00:06:22.309]  Well, so does he.
