[00:00:15.504 --> 00:00:16.364]  InfoWars.
[00:00:16.624 --> 00:00:18.245]  Tomorrow's news today.
[00:00:18.265 --> 00:00:27.026]  The answer to 1984 is 1776.
[00:00:27.327 --> 00:00:33.668]  You're listening to the Alex Jones Show.
[00:00:37.449 --> 00:00:38.149]  We're real.
[00:00:39.989 --> 00:00:40.849]  We're independent.
[00:00:42.330 --> 00:00:43.210]  We're on the ground.
[00:00:44.278 --> 00:00:49.541]  We believe in tradition, and justice, and freedom, and strength, and wealth, and power.
[00:00:50.202 --> 00:00:54.365]  We believe in God, from which all of those good things flow.
[00:00:54.985 --> 00:01:01.889]  We are 330 days out from the most important election in world history.
[00:01:02.590 --> 00:01:09.274]  A referendum on nationalism, and capitalism, and freedom, and a pro-human future versus globalism.
[00:01:09.814 --> 00:01:11.796]  The technocracy, the post-human future.
[00:01:12.995 --> 00:01:18.879]  And all across the world, the globals are pulling out all their stops to crush the human awakening.
[00:01:20.660 --> 00:01:29.946]  But the plans of the enemy will end up collapsing because it's destined from the foundations of the earth that they're going to fail.
[00:01:32.287 --> 00:01:35.510]  It's December 8th, 2019 on this Sunday edition.
[00:01:36.750 --> 00:01:40.213]  I'm Alex Jones, your host, and our existence here on air
[00:01:41.295 --> 00:01:43.595]  is in defiance of the globalist tyrants.
[00:01:44.436 --> 00:01:50.897]  And literally, it's because of you 100% financially supporting this broadcast.
[00:01:51.317 --> 00:01:58.918]  All of my goodwill and all of my energy and all of this amazing crew's will and energy would be nothing without the unison of us together.
[00:01:59.518 --> 00:02:01.639]  You are beyond the fuel in the tank.
[00:02:02.099 --> 00:02:03.099]  You are the road.
[00:02:03.679 --> 00:02:04.719]  You are the driver.
[00:02:05.299 --> 00:02:06.420]  You are the engine.
[00:02:06.860 --> 00:02:08.400]  And I salute you all and thank you.
[00:02:10.675 --> 00:02:12.777]  All forms of traditionalism are under attack.
[00:02:12.797 --> 00:02:14.538]  First, they take Christ out of Christmas.
[00:02:15.499 --> 00:02:23.905]  Now they're even trying to take the old Germanic winter rituals out of it as well, because they're human.
[00:02:25.306 --> 00:02:33.552]  And in the final equation, the devil leads people into his control by dangling human pleasures in front of them.
[00:02:34.453 --> 00:02:37.716]  But in the end, it's all an anti-human system that's being built.
[00:02:38.649 --> 00:02:40.810]  An anti-human system that's being constructed.
[00:02:40.830 --> 00:02:51.253]  And that's why the joy and the freedom and the empowerment is being taken out of everything, because if you're resonating with justice and with light, you're going to resonate towards God.
[00:02:52.034 --> 00:02:58.516]  You've got to be tricked into only falling into evil and into darkness, so you submit to the system.
[00:03:00.216 --> 00:03:01.617]  Now, this is going to be quite a broadcast.
[00:03:01.637 --> 00:03:07.299]  I'm going to make sure it is, or I'm going to get very angry with myself, because I've done an incredible amount of preparation.
[00:03:08.126 --> 00:03:15.029]  I don't just have all these articles out here to make it look like I've done some research or that make it look like I know what I'm talking about.
[00:03:15.049 --> 00:03:19.831]  And I could have them pulled up in a computer, but in my case, you've all experienced it.
[00:03:19.991 --> 00:03:20.812]  Computers crash.
[00:03:21.252 --> 00:03:22.913]  You can lose articles while you're live on air.
[00:03:23.593 --> 00:03:26.654]  So 25 years ago, I began to always print every article I was going to cover.
[00:03:27.215 --> 00:03:30.156]  Well, now they change articles in live time and remove things.
[00:03:30.216 --> 00:03:32.337]  So I certainly do always print.
[00:03:33.624 --> 00:03:42.847]  Everything because I want to have a physical record of it and now more than ever with the AI censorship, we realize how precious and important that is.
[00:03:44.147 --> 00:03:46.128]  So let me tell you what's coming up today.
[00:03:47.128 --> 00:03:51.910]  Out of all these stacks, you see this five inch stack right here?
[00:03:51.930 --> 00:03:54.851]  That's a five inch stack right there.
[00:03:57.594 --> 00:04:03.856]  That five-inch stack is the total proof of governmental, deep state, mass child kidnapping and trafficking.
[00:04:06.257 --> 00:04:09.818]  And almost all of it's governmental reports, declassified documents, and even mainstream news.
[00:04:10.438 --> 00:04:11.419]  Senate reports, you name it.
[00:04:11.839 --> 00:04:19.741]  And then, mainline media today saying, nothing's happening, don't worry about it, it's not real, go back to sleep.
[00:04:21.382 --> 00:04:23.743]  And that ties into the huge, the biggest yet,
[00:04:24.671 --> 00:04:25.692]  Epstein developments.
[00:04:26.192 --> 00:04:30.155]  So that's all coming up at the bottom of the hour.
[00:04:31.216 --> 00:04:34.238]  But first, they already wrote the articles of impeachment.
[00:04:34.258 --> 00:04:43.145]  They're just up there on the hill, like busy little demonic elves, little gremlins who've stolen Santa's prerogative.
[00:04:44.886 --> 00:04:49.450]  And they're up there getting their mainline impeachment ready for this week.
[00:04:51.471 --> 00:04:52.652]  And so much more.
[00:04:53.192 --> 00:04:59.715]  And the Democrats have used illegal surveillance, and done it publicly, against Congress itself to help ram all this through.
[00:04:59.735 --> 00:05:02.436]  And they've got some tricks up their dirty sleeves.
[00:05:02.956 --> 00:05:03.597]  So do we.
[00:05:04.477 --> 00:05:07.739]  It's all coming up on this live global transmission.
[00:05:08.339 --> 00:05:13.622]  We've got the latest on the terror attack at the Naval Air Station in Florida, and more.
[00:05:14.262 --> 00:05:15.102]  Please spread the word.
[00:05:15.262 --> 00:05:16.423]  You are the resistance.
[00:05:19.397 --> 00:05:20.097]  I got it.
[00:05:20.218 --> 00:05:25.981]  This transmission is coming to you.
[00:05:26.061 --> 00:05:28.162]  Waging war on corruption.
[00:05:29.683 --> 00:05:36.087]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:05:37.688 --> 00:05:39.529]  Ladies and gentlemen,
[00:05:49.125 --> 00:05:50.006]  It is Sunday.
[00:05:50.326 --> 00:05:52.728]  The time is 4.06 Central Standard Time.
[00:05:53.549 --> 00:05:54.349]  The date is December 8, 2019.
[00:05:54.910 --> 00:05:58.893]  One of the last live Sunday transmissions of 2019.
[00:05:59.033 --> 00:06:00.615]  And then we're into 2020.
[00:06:01.535 --> 00:06:06.239]  How many days are we out from the most critical election in world history?
[00:06:06.340 --> 00:06:08.281]  Even the establishment admits that.
[00:06:08.301 --> 00:06:08.341]  3-3-0.
[00:06:11.638 --> 00:06:12.338]  3-3-0.
[00:06:12.358 --> 00:06:15.460]  330 days.
[00:06:16.100 --> 00:06:26.826]  Hell, one of those days is already halfway gone, so we're really... 329 days out, and boy, are they pulling a lot of shenanigans to try to steal that election.
