[00:00:06.667 --> 00:00:08.789]  Waging war on corruption.
[00:00:09.289 --> 00:00:14.514]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:19.018 --> 00:00:23.521]  It's Tuesday, January 15th, 2019, and I'm your host, Alex Jones.
[00:00:29.719 --> 00:00:39.305]  My problem is there's too much news to cover and I always tend to go down a few rabbit trails and not get to a third of it but today I'm gonna try my dead level best to get to almost all of this news.
[00:00:40.646 --> 00:00:52.013]  There's a new giant caravan forming in Honduras funded and run by the UN and George Soros on its way and Trump has extended the military emergency on the US border now through September.
[00:00:52.918 --> 00:00:59.584]  And of course the enemies inside our government are saying it's terrible, it's treason, it's white supremacy, blah blah blah, they have a border.
[00:00:59.604 --> 00:01:01.605]  They'll be looking at all that.
[00:01:02.046 --> 00:01:08.491]  Trump and lawmakers paralyzed over shutdown as both sides remain dug in.
[00:01:08.511 --> 00:01:13.295]  We're going to be going over all of that.
[00:01:14.236 --> 00:01:18.159]  A really important story that illustrates why we can't take this country back.
[00:01:19.140 --> 00:01:21.762]  The GOP has thrown Representative King
[00:01:23.544 --> 00:01:32.532]  Overboard, Steve King, with a out-of-context quote from the New York Times, who's famous for lying.
[00:01:34.834 --> 00:01:39.358]  The New York Times is a criminal, anti-American, vicious lie factory.
[00:01:40.939 --> 00:01:41.920]  He's put a letter out.
[00:01:43.421 --> 00:01:45.083]  He said that they removed words.
[00:01:46.246 --> 00:01:47.046]  Out of what he said.
[00:01:47.487 --> 00:01:48.587]  It's clear what he was saying.
[00:01:49.567 --> 00:01:51.508]  And none of the media will even pick it up.
[00:01:51.948 --> 00:02:01.152]  Instead, the headlines are... Steve King says he isn't a white supremacist, but he stands by his quote that white supremacists are good.
[00:02:02.112 --> 00:02:07.874]  When he's got a public statement out, for the last day, and a statement the day before that, saying it's not true.
[00:02:08.415 --> 00:02:10.275]  I have experienced the New York Times.
[00:02:11.176 --> 00:02:14.117]  They are a ship of devils.
[00:02:15.640 --> 00:02:16.400]  But here's the issue.
[00:02:17.761 --> 00:02:22.782]  Then to bolster it, the New York Times gives a history of his white supremacist attitude.
[00:02:25.343 --> 00:02:31.925]  And when you read the quotes, it's, he talks about illegal aliens having double the crime rate.
[00:02:32.846 --> 00:02:33.226]  Okay.
[00:02:35.026 --> 00:02:38.167]  He says we should be proud of the accomplishments of Western civilization.
[00:02:38.287 --> 00:02:38.848]  Absolutely.
[00:02:39.488 --> 00:02:40.868]  Aren't the Chinese proud of themselves?
[00:02:40.888 --> 00:02:42.749]  Aren't the Japanese proud of themselves?
[00:02:46.297 --> 00:02:49.498]  It's just, it's just a Rosetta Stone into everything.
[00:02:50.178 --> 00:03:07.624]  How they lie, how they manipulate, and how the weak-kneed, chicken-neck Republicans, desperate to curry favor with the left and race-based leftist constituents, threw him overboard.
[00:03:08.604 --> 00:03:10.085]  You know, we have Sarah Jong,
[00:03:11.545 --> 00:03:21.635]  Saying she can't wait till whites are bred out, that whites are horrible subhuman creatures that live in holes like goblins, these are quotes, and that she loves being mean to white people.
[00:03:23.537 --> 00:03:26.540]  Now she's on the board of the New York Times and they stand by that.
[00:03:26.560 --> 00:03:32.225]  I mean, the media projects like whites are these evil people.
[00:03:32.285 --> 00:03:35.849]  Everybody wants to get into white nations because the truth is on average we're very, very nice.
[00:03:37.520 --> 00:03:39.080]  Because of Christian society.
[00:03:39.721 --> 00:03:42.601]  That's what helped phase out the barbarism that was everywhere else.
[00:03:42.721 --> 00:03:46.042]  And Christianity comes out of the Middle East and is adopted in Europe.
[00:03:48.003 --> 00:03:50.503]  My God, in China, they just let you starve to death on the side of the street.
[00:03:50.523 --> 00:03:52.324]  But see, we've got a... Oh my gosh!
[00:03:52.684 --> 00:03:54.024]  Oh my gosh, you've got brown skin!
[00:03:54.224 --> 00:03:56.405]  Can I bow down to you when you call me subhuman?
[00:03:57.845 --> 00:04:02.126]  But then, the same criminal organization... I mean, it's a criminal organization.
[00:04:03.356 --> 00:04:04.236]  Takes clearly.
[00:04:04.957 --> 00:04:07.758]  We're saying white supremacists, you know, Nazis, all this stuff.
[00:04:08.398 --> 00:04:10.619]  You know, they're comparing it to Western civilization.
[00:04:10.759 --> 00:04:11.379]  That's the quote.
[00:04:12.700 --> 00:04:21.523]  And the New York Times removes that out and just says, it has King up there saying that and it's out of context when we all know his talking points.
[00:04:22.123 --> 00:04:23.304]  So it's incredible.
[00:04:23.644 --> 00:04:26.265]  Dumb effing white people making up the internet.
[00:04:29.678 --> 00:04:31.685]  Like dogs pissing on fire hydrants.
[00:04:31.725 --> 00:04:35.499]  I mean, she is a vicious anti-white piranha.
[00:04:36.502 --> 00:04:41.026]  We've aired the clips that show kids at school teaching Asian kids to hate white people and hate white men.
[00:04:41.586 --> 00:04:42.447]  We've played those clips.
[00:04:42.487 --> 00:04:47.211]  I mean, this is the savage, beyond white supremacist level.
[00:04:48.151 --> 00:04:49.593]  It goes beyond white supremacist.
[00:04:49.653 --> 00:04:56.198]  In some of their most barbarous quotes, the minorities under leftist control have taken to new, foaming at the mouth hatred.
[00:04:56.698 --> 00:04:59.240]  Just absolutely wanting to murder white people.
[00:05:03.632 --> 00:05:04.773]  Defeat the globalists.
[00:05:05.293 --> 00:05:06.454]  Hashtag Alex Jones.
[00:05:07.014 --> 00:05:08.095]  Defeat the pedophiles.
[00:05:08.535 --> 00:05:09.636]  Hashtag Alex Jones.
[00:05:10.577 --> 00:05:14.820]  Defeat Alexandra Cortez and her mindless idiocy with hashtag Alex Jones.
[00:05:15.480 --> 00:05:18.682]  Defeat the censors with hashtag Alex Jones.
[00:05:19.283 --> 00:05:27.349]  They've tried to ban us off every platform out there, but we've just gotten stronger because you've taken action with hashtag Alex Jones.
[00:05:28.269 --> 00:05:37.633]  I am patient zero in the massive banning, but you can override the censors now, and if all of our audience gets involved with hashtag Alex Jones, we are unstoppable together.
[00:05:38.333 --> 00:05:42.215]  We've already changed the world together with our laser focus.
[00:05:42.275 --> 00:05:48.178]  Do it again with hashtag Alex Jones on Twitter, on Facebook, on Google, on YouTube, everywhere.
[00:05:48.238 --> 00:05:51.059]  Call or talk radio, C-SPAN, shout it out loud in public.
[00:05:51.259 --> 00:05:52.500]  Hashtag Alex Jones.
[00:05:52.760 --> 00:05:55.821]  That's the rallying cry to restore the First Amendment.
[00:06:18.437 --> 00:06:24.462]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:06:24.843 --> 00:06:26.344]  It's Alex Jones.
[00:06:29.130 --> 00:06:34.275]  Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:36.797 --> 00:06:46.405]  There are several stories here in my stack that are absolutely key to understanding what we're facing and what we have to do to take this country and the world back for everybody.
[00:06:46.826 --> 00:06:50.149]  No matter what color you are, where you came from, or what your religion is.
[00:06:51.169 --> 00:06:55.793]  But if people won't sign on to the renaissance in Western civilization,
[00:06:57.031 --> 00:07:02.833]  In Christianity's basic ethos, everywhere else will sink into barbarism and collapse.
[00:07:02.913 --> 00:07:03.553]  It's just a fact.
[00:07:04.693 --> 00:07:18.678]  This whole Steve King situation, watching the cowardly Republicans throw him overboard via a fake news story out of the New York Times is truly disgusting, but we're going to be covering this in detail at the start of the next segment.
[00:07:19.738 --> 00:07:21.438]  I'm going to go through every angle of it.
[00:07:22.119 --> 00:07:23.179]  It's bigger than Steve King.
[00:07:25.154 --> 00:07:51.031]  It's the anatomy of how the New York Times deceives, how they twist, and then once they put out one big lie and define someone as something, they then attach the false thing to real things they've said, thus defining, saying that illegal aliens have double the crime rate of the average citizen, that's the FBI's own numbers, that becomes the white supremacist statement.
[00:07:52.768 --> 00:08:05.076]  And then, out of that, they've set the new precedent to have the Republicans grovel in fear and throw him under the bus and go virtue signal because Senator Mitt Romney, the neocon leftist, led the way.
[00:08:06.978 --> 00:08:09.820]  After all, he created the model of Obamacare to rip everybody off.
[00:08:09.880 --> 00:08:10.820]  Isn't he a great guy?
[00:08:10.900 --> 00:08:12.542]  Thank you, Mittens Romney.
[00:08:15.243 --> 00:08:16.985]  So I'm going to cover that at the start of the next segment.
[00:08:18.004 --> 00:08:34.432]  Then it's a very sad article, but you know, I show you vaccine inserts and I show you all the statistics and the millions that have been paid out, secret funds out of the vaccine damage system set up in 1984 that is classified, but part of it's public.
[00:08:34.952 --> 00:08:35.912]  People won't care about that.
[00:08:35.992 --> 00:08:38.894]  As Stalin said, one man dying is a tragedy.
[00:08:38.934 --> 00:08:40.294]  A million dying is a statistic.
[00:08:41.075 --> 00:08:45.597]  Well, former UFC fighter mourned son who died for vaccine injections.
[00:08:46.465 --> 00:08:47.666]  And it's always the same story.
[00:08:47.686 --> 00:08:53.689]  And it's all part of the chemical lobotomy we give our boys.
[00:08:53.789 --> 00:08:58.431]  But when they have a bad reaction, the side effect is death.
[00:08:59.251 --> 00:09:00.812]  As in Grim Reaper.
[00:09:01.933 --> 00:09:06.095]  And again, there are two people in this building I know whose children died from vaccines, and they admitted it.
[00:09:06.875 --> 00:09:09.256]  And just every day I see someone else's child that dies.
[00:09:10.076 --> 00:09:14.979]  And they're just running around happy, get the third round, and it's bye-bye Blue Bird.
[00:09:16.408 --> 00:09:18.189]  So we're going to be looking at that.
[00:09:19.189 --> 00:09:24.451]  Then we're going to also continue to get into the war on men.
[00:09:25.311 --> 00:09:35.734]  We'll get into the latest on what's happening with China, with the government shutdown, a bunch of Trump tweets, and we have a whole bunch of guests that are listed up at Infowars.com in the show area.
[00:09:36.755 --> 00:09:37.555]  But we have
[00:09:38.720 --> 00:09:42.962]  Raheem Kassama coming on, Dan Lyman and Paul Joseph Watson.
[00:09:43.302 --> 00:09:52.785]  And I also want to try to open the phones up some today to get your take on the shutdown and Trump and the economy and where all this is going and another big caravan is on its way.
[00:09:55.506 --> 00:09:57.307]  Now, you know, I know how to translate their lies.
[00:09:57.947 --> 00:10:06.991]  This is hundreds of Hondurans, that's what ABC News, News Trust, AP, hundreds of Hondurans set off towards the United States in a new caravan.
[00:10:07.699 --> 00:10:10.800]  And so when you go look up the actual photos in those countries, it's thousands.
[00:10:11.420 --> 00:10:17.002]  Just like they said that the tens of thousands that ripped down the gates in Mexico and all the rest of it were hundreds.
[00:10:17.943 --> 00:10:25.606]  And they'll find a little corner group of a couple women, always a close shot of a woman with a child, and say, oh, this is all there is.
[00:10:26.006 --> 00:10:27.166]  This is a non-existent threat.
[00:10:27.426 --> 00:10:30.287]  You pull back the camera, and it's 10,000, 20,000, 30,000, 40,000, 50,000, all UN-funded.
[00:10:36.758 --> 00:10:37.879]  So that's how this works.
[00:10:38.359 --> 00:10:41.041]  That's how the globalists get this job done.
