[00:00:05.757 --> 00:00:06.318]  We've got it.
[00:00:06.358 --> 00:00:12.803]  This transmission is coming to you.
[00:00:12.863 --> 00:00:17.006]  Waging war on corruption.
[00:00:17.266 --> 00:00:22.891]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:24.612 --> 00:00:30.137]  President Trump and Senate Majority Leader Mitch McConnell tried tirelessly to get a border wall funded.
[00:00:30.337 --> 00:00:40.066]  With fingers in their ears, Nancy Pelosi and Chuck Schumer wouldn't hear any of it, deceptively claiming it was President Trump and the Republicans that brought the government to a stalemate.
[00:00:40.366 --> 00:00:43.469]  And even though the facts have been presented repeatedly,
[00:00:43.849 --> 00:00:47.211]  You hear a lot of talk that there are experts that say that walls don't work.
[00:00:47.311 --> 00:00:51.994]  I promise you that if you interview Border Patrol agents, they will tell you that walls work.
[00:00:52.434 --> 00:00:54.795]  I worked in Naco, Arizona for 10 years.
[00:00:55.296 --> 00:01:01.819]  We didn't have physical barriers in Naco, and illegal immigration and drug smuggling was absolutely out of control.
[00:01:02.280 --> 00:01:07.663]  We built those walls, those physical barriers, and illegal immigration dropped exponentially.
[00:01:08.183 --> 00:01:11.224]  The President has the support of the American people because they want to feel safe.
[00:01:11.845 --> 00:01:17.667]  The number one duty that the President has, and frankly that Congress shares with him, is to protect the people in this country.
[00:01:17.707 --> 00:01:19.748]  We have a national crisis at our border.
[00:01:19.788 --> 00:01:23.990]  We also have a humanitarian crisis at our border, and the President's not going to back off.
[00:01:24.190 --> 00:01:31.535]  Out of the 100 freshmen reporting for duty to the House and the 115th Congress, 64 of them were Democrats.
[00:01:31.915 --> 00:01:35.758]  But this is no longer a Democratic Party anyone recognizes.
[00:01:36.118 --> 00:01:43.403]  This new party touted the New Green Agenda, a multi-trillion dollar money pit focusing on a sure path to socialism
[00:01:43.703 --> 00:01:44.744]  People love you, and you win.
[00:01:44.784 --> 00:01:47.606]  And when your son looks at you and says, mama, look, you won, bullies don't win.
[00:01:48.106 --> 00:01:49.047]  And I said, baby, they don't.
[00:01:49.067 --> 00:01:50.828]  Because we're going to go in there, we're going to impeach them all.
[00:02:07.560 --> 00:02:12.923]  While Governor Cuomo echoed the rise of democratic socialism in his acceptance speech.
[00:02:13.283 --> 00:02:32.272]  Just as FDR turned the frustration of the economic depression into a movement to pass the New Deal, let New York use the frustration of the social depression to pass a new justice agenda advancing social, racial, and economic justice.
[00:02:32.632 --> 00:02:35.614]  And let us address our issues.
[00:02:36.614 --> 00:02:42.655]  Our very real issues with a progressive agenda, not a regressive agenda.
[00:02:42.975 --> 00:02:49.757]  An agenda that moves us up, forward, and united, not down, backwards, and divided.
[00:02:50.537 --> 00:03:05.300]  Blue Dog Democrat Tennessee Congressman Jim Cooper summed up the desperation among the eroding Democratic Party, tweeting, Today I voted present in the vote for Speaker of the House, consistent with my eight-year push for new Democratic leadership.
[00:03:05.580 --> 00:03:10.824]  Now that we are back in the majority, I did not vote for a rival candidate because there are none.
[00:03:10.984 --> 00:03:22.892]  And even before Pelosi flubbed her speech and regained the gavel, the Associated Press reported Representative Brad Sherman intends to introduce articles of impeachment against President Trump.
[00:03:23.133 --> 00:03:33.520]  The LA Times had reported that Sherman's measure will accuse Trump of obstruction of justice in the firing of former FBI Director James Comey, among other things.
[00:03:33.780 --> 00:03:47.410]  So making sure that he, too, is not above it in the way that he has fired his investigator, or the way he's tried to pick his judges, the way that he's tried to, you know, get rid of his attorney general, or put in place an attorney general that would try and end the Mueller investigation.
[00:03:47.430 --> 00:03:57.216]  So I think it's really explaining to the American people that investigations matter, whether it's upholding the Constitution, the rule of law, or issues that affect them at their kitchen table.
[00:03:57.477 --> 00:04:02.300]  President Trump reminded the American people that the case for the wall had not met defeat.
[00:04:02.540 --> 00:04:03.860]  You can call it a barrier.
[00:04:03.880 --> 00:04:05.061]  You can call it whatever you want.
[00:04:05.641 --> 00:04:07.882]  But essentially, we need protection in our country.
[00:04:07.922 --> 00:04:09.322]  We're going to make it good.
[00:04:10.463 --> 00:04:12.063]  The people of our country want it.
[00:04:12.563 --> 00:04:26.628]  I have never had so much support as I have in the last week over my stance for border security, for border control, and for, frankly, the wall or the barrier.
[00:04:27.449 --> 00:04:35.255]  I have never had anything like it in terms of calls coming in, in terms of people writing in and tweeting and doing whatever they have to do.
[00:04:35.295 --> 00:04:36.776]  I've never had this much support.
[00:04:36.856 --> 00:04:42.681]  However, Pelosi and company passed a plan in the House to reopen the government without funding the wall.
[00:04:43.382 --> 00:04:45.785]  The fact is, a wall is an immorality.
[00:04:46.266 --> 00:04:48.049]  It's not who we are as a nation.
[00:04:48.389 --> 00:04:54.037]  And this is not a wall between Mexico and the United States that the president is creating here.
