[00:00:05.419 --> 00:00:09.150]  Infowars.com is tomorrow's news.
[00:00:09.491 --> 00:00:12.720]  Today, you're listening to the Alex Jones Show.
[00:00:41.416 --> 00:00:44.719]  Ladies and gentlemen, it's Thursday, February 7th, 2019.
[00:00:44.839 --> 00:00:46.440]  I'm your host Alex Jones.
[00:00:47.481 --> 00:00:52.826]  We're going to be here for the next four hours as we are every weekday, 11 a.m.
[00:00:53.506 --> 00:00:53.906]  3 p.m.
[00:00:53.946 --> 00:00:54.867]  Central Standard Time.
[00:00:56.489 --> 00:00:59.932]  There is obviously a ton of news and information to cover.
[00:01:01.385 --> 00:01:21.047]  And we're still looking at the aftermath of the very powerful State of the Union by the President and some polls having him as high as 82% CBS poll, 76% even CNN's fake polls where they normally skew 20-30 points against Republicans had him up there in the low 50s.
[00:01:22.555 --> 00:01:23.355]  Very exciting.
[00:01:24.136 --> 00:01:32.660]  Showing when the president can punch through and reach the people, the people resonate with the good, wholesome, common sense message.
[00:01:35.441 --> 00:01:49.327]  That said, Trump's support of the new NAFTA-GATT negotiation, that does make some better deals for America on trade, is a total nightmare, written by Silicon Valley within it,
[00:01:50.515 --> 00:01:55.837]  That emboldens the massive monopoly tactics and censorship we've seen.
[00:01:56.017 --> 00:02:05.081]  And I think this is such a fundamental area that I don't know what to do.
[00:02:05.121 --> 00:02:08.122]  And I want to open the phones up and get your take on this.
[00:02:08.382 --> 00:02:09.802]  And I normally am very decisive.
[00:02:09.842 --> 00:02:10.383]  Folks know that.
[00:02:10.403 --> 00:02:11.903]  Sometimes too decisive.
[00:02:12.944 --> 00:02:15.625]  But everything else Trump's doing is good.
[00:02:16.741 --> 00:02:26.867]  He's way better than the Democrats, but if he won't defend the First Amendment, and he lets these monopolies operate that censor him and everybody else, what are you supposed to do?
[00:02:26.987 --> 00:02:33.251]  I mean, you have to drop your support for the President and let him know that, so you get him back on the straight and narrow.
[00:02:33.391 --> 00:02:41.976]  And I don't like pulling stunts like that, like Ian Coulter does, but you know, maybe Ian Coulter's right and I've been wrong, and I've been too easy on the President.
[00:02:44.051 --> 00:02:45.752]  On a lot of issues, like amnesty.
[00:02:46.292 --> 00:02:51.295]  And sure, we're like, well, the Democrats are going to refuse anything Trump offers, so he just makes them look like fools.
[00:02:51.835 --> 00:02:54.096]  And he goes up the approval rating with Hispanics, being reasonable.
[00:02:56.457 --> 00:02:57.278]  Yeah, I know that.
[00:02:58.218 --> 00:03:05.842]  But at the same time, this country is being collapsed from within and without.
[00:03:06.662 --> 00:03:07.323]  It's just crazy.
[00:03:08.383 --> 00:03:09.764]  And then there's the whole censorship front.
[00:03:10.885 --> 00:03:13.086]  The whole censorship front is just unbelievable.
[00:03:14.630 --> 00:03:40.061]  I scan through a ton of news like everybody does who's a listener to the show that we're all news junkies, and I see in the background every day 50, 60, 70 articles that I don't have time to read, but I scan, where major GOP strategists banned on Twitter for criticizing Senator Warren lying on her entrance form to the Texas bar.
[00:03:42.216 --> 00:03:45.518]  And then you read, oh, they apologized and reinstated her account.
[00:03:46.299 --> 00:03:51.343]  And that way you just hear this chatter of censorship, and then another person, and another person, and another person.
[00:03:51.743 --> 00:03:58.308]  And in the background there's the thousands of people getting banned off all these platforms that you don't even hear about anymore.
[00:03:59.349 --> 00:04:05.714]  So it just becomes this background chatter, like a symphony warming up.
[00:04:06.690 --> 00:04:07.691]  Ahead of the real finale.
[00:04:08.191 --> 00:04:13.916]  It's total and complete, Chinese style, global social score system that is their plan.
[00:04:14.677 --> 00:04:19.241]  And that's why people got so mad at Joe Rogan with Jack Dorsey on from Twitter.
[00:04:19.261 --> 00:04:21.062]  It was just all complete lies.
[00:04:21.803 --> 00:04:23.284]  Oh, we don't censor anybody.
[00:04:23.925 --> 00:04:28.068]  And Joe at the end was like, thank you for being such a moral CEO and standing up First Amendment.
[00:04:28.369 --> 00:04:31.491]  It was like, it's like saying to Hitler, thank you for supporting Jews.
[00:04:33.263 --> 00:04:33.663]  Thank you.
[00:04:34.524 --> 00:04:37.606]  It's just upside-down world while all this is happening.
[00:04:37.646 --> 00:04:42.249]  The Internet's going from free and open in the West to being selected and force-fed and controlled.
[00:04:42.789 --> 00:04:48.193]  And you've got all these people on their hands and knees groveling to the big tech gods so they can be cool.
[00:04:49.054 --> 00:04:54.257]  It's like the old Soviet Union where, you know, you had one commission that controlled all the plays and all the TV shows, and it sucked.
[00:04:54.858 --> 00:04:56.419]  And it's like, oh, but they're big stars.
[00:04:56.699 --> 00:04:59.301]  Yeah, because you toe the line and you're force-fed.
[00:04:59.601 --> 00:05:01.082]  You're just absolutely shameful.
[00:05:05.905 --> 00:05:09.306]  For those looking for the ultimate source of energy for their day.
[00:05:09.586 --> 00:05:10.006]  Every day.
[00:05:10.387 --> 00:05:12.427]  The Brain Synergy Combo is here.
[00:05:12.847 --> 00:05:22.231]  Combining the powerful Turbo Force and Brain Force Plus nootropic formulas, this combo has what you need to hit your maximum potential every day.
[00:05:22.631 --> 00:05:31.754]  Take the tasty tropical berry flavored Turbo Force instant ring hits with you on the go or at work to help provide you with focus, clarity, and energy.
[00:05:32.134 --> 00:05:45.667]  And to reach your full potential, hit the next generation of advanced neural activation with the BrainForce Plus Neutrogena, a fan-favorite formula fueled by powerful, time-tested ingredients for a true 360 win.
[00:05:46.288 --> 00:05:49.971]  With this combo, you can have energy wherever you need it, at home,
[00:05:50.431 --> 00:05:52.612]  On the go, in the car, and more.
