[00:00:00.479 --> 00:00:00.780]  I'm good.
[00:00:06.231 --> 00:00:10.712]  America and the world is awake!
[00:00:10.872 --> 00:00:14.273]  Hillary Clinton is going down!
[00:00:14.373 --> 00:00:21.395]  Hillary Clinton is a Chinese communist agent and a criminal and nexus of the world!
[00:00:21.535 --> 00:00:26.217]  America is awake and fighting back!
[00:00:26.377 --> 00:00:30.298]  America will never back down!
[00:00:37.156 --> 00:00:40.358]  The answer to 1984 is 1773!
[00:00:40.458 --> 00:00:48.582]  Hillary Clinton is an enemy of the American people!
[00:01:03.265 --> 00:01:07.670]  Hillary Clinton is openly calling for censorship of all patriots and nationalists.
[00:01:07.771 --> 00:01:13.478]  Hillary Clinton is a criminal who failed to sail our nation out to the Cyclones.
[00:01:13.578 --> 00:01:15.460]  Hillary Clinton is a criminal.
[00:01:19.600 --> 00:01:23.544]  Hillary Clinton will never silence the American people!
[00:01:24.425 --> 00:01:26.186]  America is awake!
[00:01:26.887 --> 00:01:28.929]  America knows what's happening!
[00:01:29.449 --> 00:01:32.132]  And Infowars.com is exposing it!
[00:01:32.412 --> 00:01:33.754]  America is back!
[00:01:33.774 --> 00:01:35.916]  America is back!
[00:01:35.976 --> 00:01:37.037]  America is back!
[00:01:37.717 --> 00:01:38.999]  America is back!
[00:01:51.427 --> 00:02:08.151]  Hillary Clinton is a war criminal and is involved in child sex trafficking on a daily.
[00:02:16.289 --> 00:02:19.491]  Hillary Clinton is involved with Jeffrey Epstein!
[00:02:19.991 --> 00:02:23.874]  Hillary Clinton flew on Jeffrey Epstein's pedophile aircraft!
[00:02:23.894 --> 00:02:33.860]  Democrats are authoritarian, anti-American criminals that have failed to silence our speech!
[00:02:34.180 --> 00:02:41.505]  Big Tech and the Chi-Coms and Hillary have failed to silence America's speech!
[00:02:45.233 --> 00:02:46.814]  America is back!
[00:02:46.914 --> 00:02:48.054]  America is back!
[00:02:48.694 --> 00:02:49.955]  America is back!
[00:02:50.035 --> 00:02:52.056]  America is back!
[00:02:52.716 --> 00:02:56.978]  Hillary Clinton worked with the child molester Jeffrey Epstein!
[00:02:57.678 --> 00:03:00.339]  Hillary Clinton wants to sexualize our children!
[00:03:03.911 --> 00:03:09.256]  Hillary Clinton, you can't even walk, are going down.
[00:03:09.456 --> 00:03:11.238]  Hillary Clinton is a failure.
[00:03:11.599 --> 00:03:14.081]  Your Democratic Party is collapsing.
[00:03:14.241 --> 00:03:18.005]  Every city you control is collapsing into hell.
[00:03:18.485 --> 00:03:21.949]  Everyone is running from the Democrats and their mental illness.
[00:03:22.909 --> 00:03:24.450]  The Democrats are KKK!
[00:03:24.930 --> 00:03:26.911]  The Democrats are KKK!
[00:03:27.251 --> 00:03:29.352]  The Democrats are KKK!
[00:03:29.853 --> 00:03:31.293]  The Democrats are KKK!
[00:03:47.763 --> 00:03:54.286]  Down with the KKK and Hillary!
[00:03:54.346 --> 00:04:00.509]  Down with the Democrats that founded the KKK!
[00:04:25.623 --> 00:04:27.964]  You are receiving this transmission.
[00:04:28.264 --> 00:04:29.705]  You are the resistance.
[00:04:30.226 --> 00:04:32.547]  Let's go ahead and talk to Sean in New Jersey.
[00:04:32.587 --> 00:04:33.487]  Thanks for holding, Sean.
[00:04:33.547 --> 00:04:34.008]  Hey, Alex.
[00:04:34.068 --> 00:04:35.168]  How are you doing today, brother?
