[00:00:09.057 --> 00:00:10.989]  Live from Austin, Texas.
[00:00:24.921 --> 00:00:27.964]  You can run on for a long time.
[00:00:28.604 --> 00:00:30.846]  Run on for a long time.
[00:00:31.567 --> 00:00:33.668]  Run on for a long time.
[00:00:34.369 --> 00:00:38.212]  Sooner or later, gonna cut you down.
[00:00:38.372 --> 00:00:39.293]  Sooner or later... What?
[00:00:39.333 --> 00:00:41.855]  Sooner or later, William Barr gonna cut you down?
[00:00:41.995 --> 00:00:44.217]  Go tell that long-tongued liar.
[00:00:44.257 --> 00:00:45.218]  Oh, yeah.
[00:00:45.278 --> 00:00:48.821]  They seem to be real afraid of Mr. Barr.
[00:00:48.881 --> 00:00:50.362]  Welcome into the Alex Jones Show.
[00:00:54.464 --> 00:00:57.366]  This Sunday, May 19th, 2019.
[00:01:00.329 --> 00:01:03.711]  And we've got a special guest coming up today.
[00:01:04.192 --> 00:01:12.898]  Owen Schroer filling in for Alex, but we will be hearing from Alex in the next segment with some breaking news on Ilhan Omar.
[00:01:15.020 --> 00:01:22.526]  Yes, she's now admitting that we have a problem with immigration, and so I think she's going to go back to Somalia.
[00:01:23.359 --> 00:01:25.201]  But Alex has the latest on that.
[00:01:27.522 --> 00:01:47.739]  But Soph, the young YouTuber who was kicked off YouTube for hate-based videos, 14-year-old girl, that was really just doing satire, but you're not allowed to make fun of Islam, see?
[00:01:47.759 --> 00:01:52.163]  You can make fun of Christians and everything else, but
[00:01:52.748 --> 00:01:53.908]  Not Mohammed.
[00:01:54.808 --> 00:02:12.332]  And so, Soph joins us in the second hour, and there's now, what she's going to be updating us on, this news story, police investigating after North Bay teen makes hate-based videos.
[00:02:17.193 --> 00:02:21.034]  And you know, it's funny, because I was thinking about doing something with these viral tweets,
[00:02:22.481 --> 00:02:25.824]  You know, I realize a lot of this audience probably doesn't use Twitter.
[00:02:26.765 --> 00:02:30.327]  We got a big AM radio audience, FM radio audience today.
[00:02:31.789 --> 00:02:44.299]  But there's these viral tweets and a lot of them are always targeting, or it's always, let's say you can find, you can quote, find white people in these tweets a lot.
[00:02:44.919 --> 00:02:51.825]  And I sometimes want to take these viral tweets and quote them and just replace white with black and just, let's see what would happen to me.
[00:02:54.261 --> 00:02:55.081]  I think I'd be bad.
[00:02:58.263 --> 00:03:00.463]  But that's kind of the basis that we have here.
[00:03:04.005 --> 00:03:07.126]  And so Soph will be joining us in the second hour.
[00:03:07.806 --> 00:03:12.988]  But again, Alex Jones with a breaking report on Ilhan Omar.
[00:03:14.609 --> 00:03:16.710]  We hear that she may be going back to Somalia.
[00:03:19.131 --> 00:03:19.851]  Miss that.
[00:03:24.281 --> 00:03:26.722]  Now, there is a major development happening right now.
[00:03:28.582 --> 00:03:51.529]  About... Yeah, a month ago, and then a few days ago they launched it, they started doing DNA testing at the border when it came to people trying to come in seeking asylum with children.
[00:03:55.043 --> 00:04:12.710]  Now this is just a pilot test of this program in a couple jurisdictions here, but thirty percent, that is almost a third of the DNA tests reveal fraudulent migrant families.
[00:04:13.571 --> 00:04:14.431]  Not related.
[00:04:15.792 --> 00:04:18.333]  Almost a third in this short pilot test.
[00:04:19.393 --> 00:04:21.034]  And we're talking about
[00:04:22.014 --> 00:04:29.777]  Texas here folks, so this isn't even California Where most of this illegal?
[00:04:30.678 --> 00:04:45.824]  Immigration is going on Now think about that when you have over a hundred thousand illegal border crossing crossings happening a month right now, and you've got a third potentially worse and
[00:04:47.586 --> 00:04:50.408]  of the families seeking asylum are not even related.
[00:04:50.888 --> 00:04:54.190]  Just think about the massive human trafficking that is.
[00:04:54.210 --> 00:04:57.472]  That should make you sick.
[00:04:58.633 --> 00:05:00.074]  Latest from Alex Jones on the other side.
[00:05:00.094 --> 00:05:00.554]  Don't go anywhere.
[00:05:06.035 --> 00:05:07.856]  Mike in New Jersey, you're on the air.
[00:05:07.896 --> 00:05:08.677]  Thanks for calling, Mike.
[00:05:08.777 --> 00:05:10.078]  You are the man, Alex.
[00:05:10.138 --> 00:05:11.539]  I'm so glad to be talking to you.
[00:05:11.659 --> 00:05:12.400]  I'm so excited.
[00:05:12.460 --> 00:05:13.261]  I'm such a big fan.
