[00:00:04.682 --> 00:00:05.222]  We've got it.
[00:00:05.282 --> 00:00:11.467]  This transmission is coming to you.
[00:00:11.807 --> 00:00:15.109]  Waging war on corruption.
[00:00:16.190 --> 00:00:21.874]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:21.894 --> 00:00:25.276]  Ladies and gentlemen,
[00:00:32.023 --> 00:00:34.844]  President Trump is breaking the hoax.
[00:00:35.704 --> 00:00:50.728]  He's breaking the trance of all these people of every race, color, and creed being brought in from around the world and then being indoctrinated by the left to hate the United States and say that we're the worst country on earth as they fight to get in.
[00:00:50.889 --> 00:00:57.971]  Ilhan Omar came here fraudulently, married her brother, sucked off welfare, never had a real job, then cheated on her taxes.
[00:00:58.111 --> 00:00:59.051]  She's a scammer.
[00:01:00.325 --> 00:01:03.307]  And she constantly runs her mouth about how bad this country is.
[00:01:03.708 --> 00:01:06.030]  And Trump came out and specifically called her out.
[00:01:06.850 --> 00:01:09.673]  And said, you can't leave fast enough.
[00:01:10.373 --> 00:01:12.275]  And the whole media has blown up at Trump.
[00:01:12.295 --> 00:01:13.335]  The controlled corporate media.
[00:01:13.395 --> 00:01:13.696]  Good!
[00:01:13.916 --> 00:01:14.396]  Let them!
[00:01:15.477 --> 00:01:15.938]  Let them!
[00:01:17.539 --> 00:01:19.961]  You see, my friends, Trump's telling the truth.
[00:01:20.161 --> 00:01:22.903]  And what he's saying is very, very, very popular.
[00:01:22.943 --> 00:01:27.247]  Yeah, they've got all these fake polls out saying every other Democrat will beat him in a race.
[00:01:28.467 --> 00:01:32.050]  You watch what happens on election night, November 8, 2020.
[00:01:34.391 --> 00:01:39.775]  If we get the vote out and stop election fraud, Trump's going to win in a landslide, and all the real internal numbers show it.
[00:01:40.036 --> 00:01:51.204]  This is a huge broadcast, huge exclusive news coming up, but I want to air this Greg Reif's report because it's so powerful, milkshakes to maul off radicalized leftist bonds go full-blown terrorists.
[00:01:53.447 --> 00:02:00.910]  On Friday evening, hundreds of protesters overtook the flagpoles outside the ICE facility in Aurora, Colorado.
[00:02:01.830 --> 00:02:11.394]  They raised a Mexican flag, an upside-down American flag with abolished ICE spray-painted on it, and an upside-down Blue Lives Matter flag.
[00:02:13.041 --> 00:02:20.707]  Less than a day later, a man armed with a rifle threw incendiary devices at an ICE detention center in Tacoma, Washington.
[00:02:20.847 --> 00:02:28.193]  A car in the parking lot was torched, and investigators say the suspect threw flares at a propane tank, trying to make it explode.
[00:02:28.713 --> 00:02:32.036]  Ultimately, four officers opened fire, killing the man.
[00:02:32.496 --> 00:02:37.400]  The Democratic Party is running their platform on radical open border policies.
[00:02:37.860 --> 00:02:42.544]  Raise your hand if your government plan would provide coverage for undocumented immigrants.
[00:02:46.229 --> 00:02:49.875]  If the border goes, then our Constitution goes with it.
[00:02:50.896 --> 00:02:54.021]  Antifa has been using Molotov cocktails in Europe.
[00:02:54.682 --> 00:02:58.308]  And now the dangerous trend has officially arrived in the U.S.
[00:02:59.029 --> 00:03:01.393]  And the mainstream media supports them.
[00:03:01.513 --> 00:03:04.234]  They are strictly principled anti-fascists.
[00:03:04.554 --> 00:03:06.295]  It says it right in the name, Antifa.
[00:03:06.475 --> 00:03:10.156]  Anti-fascism, which is what they were there fighting.
[00:03:10.316 --> 00:03:17.079]  I think that a lot of people recognize that when pushed, self-defense is a legitimate response to white supremacist neo-Nazi violence.
[00:03:17.219 --> 00:03:23.505]  When you go to cancer treatment, the radiation is tough treatment, but it is meant to remove the cancer.
[00:03:23.925 --> 00:03:25.547]  But who is really to blame?
[00:03:26.147 --> 00:03:35.115]  There are elected government officials who support Antifa and fill their minds with radical claims of a holocaust happening on our southern border.
[00:03:35.135 --> 00:03:39.680]  The United States is running concentration camps on our southern border.
[00:03:40.640 --> 00:03:44.363]  And that is exactly what they are.
[00:03:45.244 --> 00:03:53.449]  Alexandria Ocasio-Cortez, your colleague who was at the border with you, compared the facilities to a concentration camp.
[00:03:53.489 --> 00:03:55.251]  Do you agree with that comparison?
[00:03:55.811 --> 00:03:56.311]  Absolutely.
[00:03:56.351 --> 00:03:59.474]  I mean, there's a number of experts that say this is because it's traumatic.
[00:04:00.174 --> 00:04:02.595]  There are camps and people are being concentrated.
[00:04:02.695 --> 00:04:03.756]  This is very simple.
[00:04:03.816 --> 00:04:07.478]  I don't even know why this is a controversial thing for her to say.
[00:04:07.578 --> 00:04:15.322]  We have to really truthfully speak about what's taking place and this is why it's really important for us to abolish ICE.
[00:04:15.783 --> 00:04:20.805]  There is no plan in sight and nobody is having the real conversation.
[00:04:21.106 --> 00:04:24.528]  Is there a natural limit to this kind of immigration?
[00:04:25.088 --> 00:04:28.810]  How many resources does America really have to share with the rest of the world?
[00:04:29.410 --> 00:04:31.211]  Are we as rich as we assume we are?
[00:04:32.032 --> 00:04:32.392]  Are you?
[00:04:32.412 --> 00:04:40.117]  How many poor people can we realistically accept before we're not that rich at all, but increasingly resemble the countries from which these people are fleeing?
[00:04:40.377 --> 00:04:44.120]  Now it's possible there are good answers to these questions, logical answers.
[00:04:44.720 --> 00:04:50.024]  On the other hand, if there are answers, why is the left trying to prevent you from asking the questions?
[00:04:50.824 --> 00:04:53.326]  For InfoWars.com, this is Greg Reese.
[00:04:55.208 --> 00:05:00.513]  Alright, strap yourselves in, ladies and gentlemen, because we've got a lot of exclusive intel straight ahead.
[00:05:04.677 --> 00:05:12.644]  Our powerful line of fluoride-free products is the perfect gift for yourself or others who are exploring a healthier, happier lifestyle.
[00:05:12.784 --> 00:05:18.008]  With options ranging from toothpaste to oral spray, it's easy to find the perfect option for you.
[00:05:18.369 --> 00:05:19.710]  Super Blue Toothpaste is
[00:05:19.770 --> 00:05:24.232]  This is the fan favorite fluoride free toothpaste that every info warrior loves.
[00:05:24.533 --> 00:05:31.756]  Powered by iodine and nano silver, it's designed to deliver a powerful clean while supporting good oral health and fresh breath.
[00:05:31.896 --> 00:05:33.897]  Available in two refreshing flavors.
[00:05:34.017 --> 00:05:38.580]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[00:05:38.880 --> 00:05:44.302]  Super Blue Immune Gargle is the only option for on the go immune system support like no other.
[00:05:44.502 --> 00:05:51.104]  With a scientifically proven patented ingredient, Silver Soul, in three different sizes, you can take it wherever you go.
[00:05:51.245 --> 00:05:55.046]  Support good oral health with our one of a kind Super Blue products.
[00:05:55.226 --> 00:05:58.167]  Don't miss out on revolutionizing your morning routine.
[00:05:58.387 --> 00:06:03.029]  Head to InfoWarsStore.com and get our line of Super Blue products today.
[00:06:05.882 --> 00:06:12.361]  Live from the InfoWars.com studios, you're listening to The Alex Jones Show.
[00:06:45.976 --> 00:06:48.117]  It's Monday, July 15th, 2019.
[00:06:48.257 --> 00:06:51.057]  I'm your host, Alex Jones.
[00:06:52.078 --> 00:06:53.918]  And we are living in incredible times.
[00:06:55.698 --> 00:07:13.083]  A man, as you know, shattered a firebomb at an ICE facility in Tacoma, Washington, and tried to shoot the police, tried to blow up a giant propane tank, and if it would have detonated, could have killed hundreds of people right through the wall on the other side.
[00:07:13.603 --> 00:07:14.223]  A huge tank.
[00:07:15.748 --> 00:07:16.269]  He was killed.
[00:07:17.270 --> 00:07:29.666]  Antifa is having celebrations all over Twitter and public demonstrations from Austin, Texas to Tacoma, Washington to New York City calling him a soldier and a hero and saying it's time to start killing.
[00:07:30.526 --> 00:07:33.929]  In his manifesto, he said, it's time to stop thinking.
[00:07:34.629 --> 00:07:39.173]  It's time to get your weapons and to start killing police and ICE.
[00:07:39.593 --> 00:07:40.474]  I've got his manifesto.
[00:07:40.514 --> 00:07:41.154]  I've got his quotes.
[00:07:41.254 --> 00:07:51.102]  I've got an inch of tweets by official Twitter accounts and Facebook accounts saying, now start killing law enforcement.
[00:07:51.622 --> 00:07:54.804]  Walk up to police, shoot them in the back of the head, kill ICE.
[00:07:55.685 --> 00:07:57.646]  We went out to demonstrations for illegal aliens.
[00:07:58.887 --> 00:08:04.348]  This weekend in Austin, they were wearing shirts showing the physical attack and killing of ICE.
[00:08:05.908 --> 00:08:10.369]  This is very serious situation.
[00:08:11.449 --> 00:08:25.032]  And it turns out CNN actually did a fundraiser on national TV for the John Brown Gun Club, the militarized arm of Antifa, and openly funded it.
[00:08:25.172 --> 00:08:25.872]  You cannot
[00:08:27.602 --> 00:08:28.423]  Let's make this up.
[00:08:28.463 --> 00:08:32.286]  Here's the CNN show that specifically did it and did a fundraiser.
[00:08:33.227 --> 00:08:35.129]  W. Camus Bell.
[00:08:36.330 --> 00:08:37.811]  United Shades of America.
[00:08:39.112 --> 00:08:43.356]  Fundraised one month ago for the group.
[00:08:48.621 --> 00:08:50.363]  We're gonna be breaking it all down today.
[00:08:53.109 --> 00:08:58.397]  I was removed off of Twitter when they said that I said, get battle rifles and attack the media.
[00:08:58.477 --> 00:08:59.299]  They never showed a clip.
[00:08:59.359 --> 00:09:00.180]  They never showed a quote.
[00:09:00.300 --> 00:09:01.222]  They just said that.
[00:09:02.584 --> 00:09:06.190]  They took out of a 38-minute live feed I did, an emergency message to the president.
[00:09:07.176 --> 00:09:14.201]  Where I showed Antifa saying, we're going to come to congressman's houses, like they did to the baseball field, the Scalise.
[00:09:14.821 --> 00:09:16.663]  We're going to shoot Republicans.
[00:09:17.223 --> 00:09:19.084]  We're going to kill Republican police chiefs.
[00:09:19.785 --> 00:09:30.292]  We're going to come to members of the media's houses and kill them in actions way more violent than we did at Tucker Carlson's house.
[00:09:30.352 --> 00:09:31.273]  That was the week they did that.
[00:09:33.513 --> 00:09:39.358]  Lester Holt, everyone went on TV and said, Alex Jones just said in a shocking video, get battle rifles, kill the media.
[00:09:41.219 --> 00:09:43.001]  The statute of limitations is not up on that.
[00:09:43.621 --> 00:09:50.406]  And I can tell you that's one of the five suits we're set to file in the next month is against Lester Holt and NBC.
[00:09:52.228 --> 00:09:53.449]  These criminals know what they're doing.
[00:09:54.465 --> 00:10:07.979]  But you see, when I said have your battle rifles ready in case Antifa comes to your house, if you're a conservative member of Congress, if you're a conservative governor, if you're in ICE, if you're in federal law enforcement, you should have your battle rifle ready.
[00:10:08.099 --> 00:10:15.406]  Because I have mine ready, and we've had specific threats by Antifa that I haven't gotten to on air, and I've had around the clock.
[00:10:16.477 --> 00:10:18.719]  Uh, former Blackwater folks at my house.
[00:10:19.360 --> 00:10:25.845]  It's been expensive, it's been fairly priced, but when I made those statements, it was because I'm actually dealing with this.
[00:10:25.865 --> 00:10:29.068]  And I'm gonna stop there.
[00:10:30.769 --> 00:10:32.431]  I've actually moved because of it.
[00:10:33.431 --> 00:10:34.192]  And I'm gonna stop there.
[00:10:35.413 --> 00:10:39.837]  But when I said that, it was because these bastards, they know full well who they are.
[00:10:39.897 --> 00:10:43.180]  They've got people inside the police departments, inside the FBI, you name it.
[00:10:43.460 --> 00:10:44.441]  They can dox anybody.
[00:10:45.592 --> 00:10:47.072]  Where I lived was not under my name.
[00:10:50.753 --> 00:10:54.094]  So when I said that, it was warning everyone to be prepared to defend yourselves.
[00:10:54.474 --> 00:10:58.475]  And these monsters saw that as a threat, because they're planning to come to your house.
[00:10:59.136 --> 00:11:00.136]  They've got a battle plan.
[00:11:01.356 --> 00:11:02.937]  Now that's since come out mainstream news.
[00:11:03.017 --> 00:11:08.998]  Remember a month ago, ICE put out an intelligence report to the FBI saying, we have confirmed and infiltrated Antifa groups.
[00:11:09.538 --> 00:11:10.679]  They are doxing ICE.
[00:11:11.843 --> 00:11:16.024]  Commander's homes and planning to come there and kill them.
[00:11:19.906 --> 00:11:26.368]  I told you all this because I'm experiencing it and I'm not a victim, I'm a target.
[00:11:27.748 --> 00:11:35.451]  Because I'm effective and I am a loyal American who loves my country and believes in a good, open, free society.
[00:11:36.752 --> 00:11:39.073]  And the Globalists and the Chi-Coms are funding our collapse.
[00:11:39.093 --> 00:11:43.854]  They have funded thousands of caravans, tens of millions of people, hundreds of thousands a month.
[00:11:43.934 --> 00:11:44.534]  They're catching.
[00:11:44.734 --> 00:11:46.654]  The Border Patrol is totally overwhelmed.
[00:11:47.074 --> 00:11:51.535]  It's done an incredible job providing amazing security and care for these people.
[00:11:51.775 --> 00:11:55.156]  And the laws are wrong, so they're releasing 90% of these people.
[00:11:56.776 --> 00:12:00.457]  Then Ann Coulter gets in cheap shots about how they're not, you know, doing enough.
[00:12:01.237 --> 00:12:02.678]  Trump asked for 12 plus billion.
[00:12:02.718 --> 00:12:03.638]  He got a billion three.
[00:12:04.773 --> 00:12:06.033]  He just got four more billion.
[00:12:06.534 --> 00:12:07.874]  That's only half of what we need.
[00:12:09.175 --> 00:12:12.096]  It's a 635% increase in three years.
[00:12:12.456 --> 00:12:13.516]  We're under attack!
[00:12:16.257 --> 00:12:27.561]  And then you get people coming into this country like Ilhan Omar, bred and trained to hate this country, coming in to conquer it, from the most failed state in the world, Somalia, who believes it has a divine right to rule the world.
