[00:00:22.668 --> 00:00:23.349]  Hello, hello.
[00:00:23.549 --> 00:00:24.009]  Welcome.
[00:00:24.489 --> 00:00:25.510]  My name is Will Johnson.
[00:00:25.570 --> 00:00:27.592]  I'm sitting in for Alex Jones.
[00:00:27.772 --> 00:00:31.355]  He's on vacation, but he is never on vacation.
[00:00:31.395 --> 00:00:34.197]  He will be joining us after this first segment.
[00:00:35.338 --> 00:00:37.520]  Veritas released another video.
[00:00:38.120 --> 00:00:41.142]  Alex is going to get into that with more detail.
[00:00:42.217 --> 00:00:43.958]  I believe Keith is going to be on with him.
[00:00:44.759 --> 00:00:49.922]  You know, Google, with the censorship, the way they're attacking conservatives is unbelievable.
[00:00:49.982 --> 00:00:51.683]  The craziness that's going on.
[00:00:52.523 --> 00:00:57.266]  And we're supposed to just go along with it because it's supposed to be fair that they can attack conservatives.
[00:00:58.267 --> 00:01:01.649]  And liberals are supposed to get everything that they ask for.
[00:01:01.729 --> 00:01:03.790]  Nothing's ever supposed to happen to liberals.
[00:01:04.070 --> 00:01:04.871]  Only conservatives.
[00:01:05.211 --> 00:01:06.612]  And when it happens to liberals, then they
[00:01:07.472 --> 00:01:08.472]  Cry foul!
[00:01:09.133 --> 00:01:12.814]  So like I said, Alex will be joining us after this first segment.
[00:01:13.575 --> 00:01:18.397]  So I have the honor and the privilege to host his first five minutes before he comes on with us.
[00:01:18.597 --> 00:01:19.257]  Let me say this.
[00:01:20.447 --> 00:01:34.619]  Every day I walk into the studio and I see all of the people working so hard against the tyranny of the left, against the tyranny of the globalists, and it just makes me think that all of these people are on the same page and they understand.
[00:01:35.219 --> 00:01:38.982]  They are awake to what is actually happening here.
[00:01:39.823 --> 00:01:44.307]  And Alex Jones has created something that is completely remarkable.
[00:01:45.129 --> 00:01:47.850]  And every time I walk in, like I said, I'm at awe.
[00:01:48.611 --> 00:01:53.313]  People understand that Alex Jones is doing everything he can.
[00:01:53.373 --> 00:01:59.156]  He's putting everything on the line to wake up people and to fight for humanity.
[00:01:59.676 --> 00:02:13.123]  And for me, that is a great honor to be sitting here to try to represent the best of my ability and show my appreciation and say that, you know, InfoWars is a wonderful opportunity for anybody.
[00:02:14.103 --> 00:02:26.250]  I'm glad to be here to be able to guest host, but let me say this because Alex, he did a commercial spot talking about he doesn't like the plug, but I understand why he does the plugs.
[00:02:26.930 --> 00:02:32.393]  It's because that is the reason he does the plugs because it gives us the opportunity to be here.
[00:02:32.413 --> 00:02:33.914]  It gives me the opportunity to be here.
[00:02:34.614 --> 00:02:39.537]  Without you supporting InfoWars against what the left is doing, it doesn't happen.
[00:02:40.407 --> 00:02:44.452]  We don't have someone in the pocket like George Soros or Tom Steyer.
[00:02:44.752 --> 00:02:48.217]  All of these filthy rich billionaires just trying to take out America.
[00:02:48.978 --> 00:02:51.260]  Alex is depending on the American people.
[00:02:51.561 --> 00:02:53.824]  He's depending on all of us to step up.
[00:02:54.867 --> 00:02:57.048]  And to support InfoWars.com.
[00:02:57.608 --> 00:03:01.690]  And when you share the articles, you tell them that you're not taking it lying down.
[00:03:01.730 --> 00:03:03.030]  You're not going to take it any longer.
[00:03:03.750 --> 00:03:13.274]  By you going to InfoWarsStore.com, you show everybody that you love everything that Alex Jones is doing, and you don't believe the lies that's coming out of the left.
[00:03:13.914 --> 00:03:18.156]  That's what it comes down to, is if you believe the lies, then don't buy anything.
[00:03:18.676 --> 00:03:30.301]  But if you believe in humanity, you believe in this country, and you believe everything that Alex Jones has been doing here, then you need to go to Infowarsstore.com and buy the product.
[00:03:30.622 --> 00:03:37.605]  The Turbo Force, the Brain Force, the DNA Force, they're always doing specials that's unbelievable.
[00:03:38.045 --> 00:03:42.527]  Have you ever seen anyone that's doing a special on their products constantly?
[00:03:43.976 --> 00:03:50.713]  And the main reason why they're doing it is because it gives people the opportunity to find out how good the products really are.
[00:03:51.334 --> 00:03:52.277]  That's what it comes down to.
[00:03:53.143 --> 00:03:59.706]  Okay, so Project Veritas, they've been trying to take out InfoWars for the longest, and I'm talking about Google.
[00:04:00.426 --> 00:04:04.528]  Google, Facebook, Twitter, they have to take out Alex Jones.
[00:04:04.668 --> 00:04:04.988]  Why?
[00:04:05.408 --> 00:04:06.769]  Because he's speaking the truth.
[00:04:07.309 --> 00:04:14.772]  You can't have someone running around, you can't have someone broadcasting, telling the truth to the American people when they have a completely different agenda.
[00:04:15.513 --> 00:04:16.213]  How does that work?
[00:04:17.577 --> 00:04:19.859]  So after the break, they're going to play a video.
[00:04:20.600 --> 00:04:21.981]  And Alex is going to be on with this.
[00:04:22.081 --> 00:04:23.502]  After the break, they're going to play a video.
[00:04:23.743 --> 00:04:28.507]  And if I'm not mistaken, with the Veritas and with another Google Insider.
[00:04:28.767 --> 00:04:33.031]  And what happened here, I'm not going to break all of it out.
[00:04:33.131 --> 00:04:34.152]  I'm going to let Alex do it.
[00:04:34.652 --> 00:04:41.298]  But everything that's taking place here should be an alarm, a wake, a waking call for everybody.
[00:04:41.438 --> 00:04:41.859]  Sound the alarm!
[00:04:41.879 --> 00:04:42.640]  Sound the alarm!
[00:04:44.341 --> 00:04:50.607]  Because if we don't pay attention to what's actually happening here, every last one of us that think we have freedoms, they're gonna go away.
[00:04:51.288 --> 00:04:52.188]  You're not gonna even have freedoms.
[00:04:52.208 --> 00:04:54.771]  You're gonna wake up tomorrow, you're gonna be like, what in the world happened?
[00:04:55.071 --> 00:04:55.852]  No one told me!
[00:04:56.052 --> 00:04:59.655]  And it's not that anyone told you, because Alex has been telling you, you need to wake up to it.
[00:05:00.036 --> 00:05:03.979]  We'll be back after this.
[00:05:04.840 --> 00:05:07.362]  Serving with InfoWars is a great honor.
[00:05:08.083 --> 00:05:09.705]  But I still need my morning coffee.
[00:05:10.993 --> 00:05:19.580]  And luckily, our break room at the InfoWars headquarters is stocked full of high-quality InfoWars store Patriot Blend coffee.
[00:05:20.401 --> 00:05:31.350]  Grown in the high mountains of southern Mexico, the Chiapas farmers grow 100% organic, non-GMO coffee at the ideal altitude for the perfect cup.
[00:05:32.050 --> 00:05:36.234]  A robust coffee with great flavor and mild acidity.
[00:05:37.154 --> 00:05:40.357]  There has never been a more important time to support InfoWars.
[00:05:41.178 --> 00:05:46.263]  So if you love coffee and if you want to fight for freedom, then you can help.
[00:05:48.084 --> 00:05:50.186]  Order now at the InfoWars store.
[00:05:51.007 --> 00:06:00.716]  Sign up for auto ship and get your own high quality supply of Patriot Blend coffee delivered right to your door at InfoWarsStore.com.
[00:06:10.083 --> 00:06:15.044]  From the front lines of the Information War, it's Alex Jones.
[00:06:19.726 --> 00:06:24.287]  Ladies and gentlemen, thank you so much for joining us on this global Wednesday edition.
[00:06:25.007 --> 00:06:28.688]  Will Johnson is here visiting InfoWars and guest hosting.
[00:06:29.188 --> 00:06:33.369]  He's going to be hosting throughout the next four hours with many special guests.
[00:06:34.049 --> 00:06:39.811]  James O'Keefe of Project Veritas is set to drop massive new bombshells
[00:06:40.663 --> 00:06:52.713]  Exclusively here coming up on air at the bottom of the hour because he always gives us even more information than what's in his latest report with major executives inside big tech.
[00:06:53.874 --> 00:07:00.420]  Coming out and exposing whistleblowing and more that will also tie into stories.
[00:07:01.761 --> 00:07:12.528]  Up on DrudgeReport.com, TechLash, Only Making Facebook Stronger, FTC Helping Dominate, Platform Paid Contractors Transcribe Users' Audio Chats.
[00:07:13.128 --> 00:07:14.990]  They're recording everything.
[00:07:15.050 --> 00:07:16.431]  The sky is the limit.
[00:07:17.131 --> 00:07:18.612]  It's absolutely evil.
[00:07:19.673 --> 00:07:20.653]  It's beyond the left.
[00:07:20.673 --> 00:07:21.634]  It's authoritarianism.
[00:07:21.654 --> 00:07:27.678]  And of course, to rein in Trump in his trade war with China, the globals are allied with,
[00:07:28.243 --> 00:07:36.026]  The last four heads of the private Federal Reserve New York Board of Governors came out and said, we're going to crash the economy to teach Trump a lesson.
[00:07:36.066 --> 00:07:36.986]  He's being political.
[00:07:37.226 --> 00:07:39.547]  Well, China's being totally political with their currency.
[00:07:40.047 --> 00:07:41.588]  Trump's barely even countered them.
[00:07:42.468 --> 00:07:46.990]  Because he lifted a shield against it, they're trying to destroy the stock market right now.
[00:07:47.070 --> 00:07:49.191]  Yields, flash, recession, warning.
[00:07:49.751 --> 00:07:50.711]  Stocks dive.
[00:07:50.811 --> 00:07:52.992]  Banks hammered, reads Drudge's report.
[00:07:53.492 --> 00:07:55.573]  It tells you everything you need to know up above it in the left-hand corner.
[00:07:56.273 --> 00:07:57.414]  Dim contenders.
[00:07:58.240 --> 00:08:03.002]  Trump 2020 Rust Belt pitch threatened by manufacturing downturn.
[00:08:03.923 --> 00:08:05.563]  What did Bill Maher say last year?
[00:08:06.344 --> 00:08:12.966]  He said, I want to crash the markets, the economy, to teach these Trump supporters a lesson.
[00:08:13.287 --> 00:08:14.667]  You can't have your country back.
[00:08:15.087 --> 00:08:16.228]  You can't have prosperity.
[00:08:16.248 --> 00:08:20.050]  No, no, everything's got to go to China, you dirty Americans.
[00:08:20.690 --> 00:08:22.911]  We're going to teach you.
[00:08:24.331 --> 00:08:27.653]  Also ginormous developments on the Trump front.
[00:08:28.904 --> 00:08:36.966]  With the fact that he's coming in to go after the censorship, and then even bigger developments on the Epstein House of Cards coming down.
[00:08:37.967 --> 00:08:41.228]  And just the fact that no one's buying the official story.
[00:08:42.008 --> 00:08:46.229]  And you've got the head of the jail removed, the guards, special guards were brought in.
[00:08:46.589 --> 00:08:48.250]  They heard him screaming for his life.
[00:08:49.510 --> 00:08:51.491]  And then they say, breathe, breathe.
[00:08:52.031 --> 00:08:53.491]  It's all coming up today.
[00:08:53.551 --> 00:08:55.352]  James O'Keefe, bottom of the hour, but hosting.
[00:08:56.258 --> 00:09:04.243]  Until the bottom of the hour, the rest of this segment and the next is Will Johnson, visiting guest host.
[00:09:04.643 --> 00:09:09.766]  And then I'll be back, co-host with Will, at the bottom of the hour with James O'Keefe.
[00:09:10.166 --> 00:09:14.068]  Remember, InfoWars.com, NewsWars.com is tomorrow's news today.
[00:09:14.288 --> 00:09:20.852]  And we had to end the big store-wide mega-sale, 50-60% off, because so many things were about to sell out.
[00:09:21.832 --> 00:09:31.940]  But we are still extending storewide free shipping, and we're still extending double Patriot points, and we're still extending sales on everything else that we have decent supplies of.
[00:09:32.460 --> 00:09:35.583]  And so it's basically 90% of the last sale.
[00:09:36.263 --> 00:09:37.584]  For each item you're getting, it's the same.
[00:09:37.604 --> 00:09:38.665]  We're keeping Krill oil.
[00:09:38.685 --> 00:09:39.846]  It just came back in last week.
