[00:00:06.633 --> 00:00:08.777]  Waging war on corruption.
[00:00:09.278 --> 00:00:14.406]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:42.754 --> 00:00:46.816]  It's Thursday, April 4th, 2019.
[00:00:46.996 --> 00:00:48.477]  I'm your host, Alex Jones.
[00:00:49.577 --> 00:01:02.684]  Well, I just walked in there about two minutes ago before we went live, and I wrote the headline for the page we post every day that has the show in it, so people can share the audio and video link.
[00:01:04.205 --> 00:01:05.786]  And the headline states the facts.
[00:01:07.526 --> 00:01:09.908]  The planet is only six months away
[00:01:11.084 --> 00:01:13.405]  From total civilizational collapse.
[00:01:15.567 --> 00:01:19.769]  Already in most areas of the world, what civilization was built is collapsing.
[00:01:20.950 --> 00:01:25.133]  It's being done by design, and if we act quickly, it can be averted, it can be changed.
[00:01:25.513 --> 00:01:39.622]  But you notice the talking point out of the EU, the talking point out of the UN, the talking point out of AOC, the talking point out of Beto O'Rourke, is that the Earth will completely be uninhabitable
[00:01:40.506 --> 00:01:45.631]  And that we will all be dead within 12 years.
[00:01:46.632 --> 00:01:49.575]  Now, you understand, they didn't just cook that up.
[00:01:51.016 --> 00:01:52.938]  They didn't just pull that out of their rear end.
[00:01:55.080 --> 00:02:04.549]  They are purposely... They are purposely engineering this situation.
[00:02:05.990 --> 00:02:21.503]  And I want to lay it out in the next segment exactly what the globalists are planning, so that people understand that as it begins to unfold, we have a chance to A. blame who's behind it, and B. stop it.
[00:02:23.285 --> 00:02:28.650]  So we sit here and we laugh at AOC, and we laugh at Beto,
[00:02:30.421 --> 00:02:44.403]  But you understand, ladies and gentlemen, that if you go watch my film, Endgame, Blueprint for Global Enslavement, 2007, I have the quotes and the video clips of the Bilderberg Group, the UN, all of them saying that.
[00:02:47.384 --> 00:02:53.565]  That they're creating a planetary crisis that by 2030, remember there's a Gen 21?
[00:02:53.645 --> 00:02:54.565]  That's from 1992 in the Rio de Janeiro?
[00:02:59.192 --> 00:03:01.493]  And then they now codified the UN a couple years ago.
[00:03:01.513 --> 00:03:03.053]  Agenda 2030.
[00:03:04.674 --> 00:03:07.014]  So this is a real globalist plan.
[00:03:09.635 --> 00:03:14.396]  And they are carrying the plan out.
[00:03:14.476 --> 00:03:15.977]  Now humanity is fighting back.
[00:03:19.662 --> 00:03:32.725]  And many intelligence agencies and militaries around the world have gone and looked at these plans, they've decompartmentalized, and they realize that they are taking part in the post-human system that's being built.
[00:03:33.826 --> 00:03:44.148]  Now, if you looked at this just as a scientist or as a geopolitical strategist, what's being done, does it make sense for humanity?
[00:03:44.928 --> 00:03:47.149]  And is it something that even psychotics would come up with?
[00:03:48.891 --> 00:03:53.453]  And that's why I've said that it appears to be an off-world manipulation.
