[00:00:09.736 --> 00:00:10.297]  And welcome back.
[00:00:10.657 --> 00:00:15.181]  For our first interview of the night, we have journalist James O'Keefe of ProjectVeritas.com.
[00:00:15.501 --> 00:00:21.366]  He's with us to talk about his latest project where he and others offer gun-free zone signs to people such as Eric Holder.
[00:00:21.406 --> 00:00:22.406]  Can't wait to hear about that.
[00:00:22.647 --> 00:00:23.868]  He joins us now via Skype.
[00:00:24.148 --> 00:00:25.089]  Thanks for joining us, James.
[00:00:25.569 --> 00:00:26.730]  Thanks for having me on the program.
[00:00:27.130 --> 00:00:40.541]  Okay, now though, the project that interests me most, I've seen some of your other things, such as when you go out and you get Eric, or you're offered Eric Holder's voting registration, and you have other projects as well, as we may mention here a little bit later.
[00:00:40.841 --> 00:00:49.869]  But for right now, I want to start off by showing this clip of your latest project, where you go out and hand out gun-free zone signs, or at least offer them to various members of the press, and even Eric Holder.
[00:00:49.889 --> 00:00:51.390]  So let's take a look at that clip right now.
[00:00:57.438 --> 00:00:58.699]  We are not afraid.
[00:00:59.259 --> 00:01:01.060]  No guns, no violence.
[00:01:01.560 --> 00:01:02.981]  No guns, no crime.
[00:01:03.281 --> 00:01:04.482]  No guns, no murder.
[00:01:04.542 --> 00:01:06.603]  Guns kill children.
[00:01:06.923 --> 00:01:08.884]  Armed cops, not citizens.
[00:01:08.904 --> 00:01:11.045]  The police will protect us.
[00:01:11.426 --> 00:01:13.767]  Guns make good people do bad things.
[00:01:14.187 --> 00:01:16.228]  Take all guns from everyone.
[00:01:16.328 --> 00:01:18.029]  So no one else is harmed.
[00:01:18.129 --> 00:01:20.991]  Anti-gun is pro-America.
[00:01:21.151 --> 00:01:22.112]  We are not afraid.
[00:01:22.392 --> 00:01:22.792]  Join us.
[00:01:23.212 --> 00:01:26.593]  Tell everyone your house is completely unprotected.
[00:01:26.633 --> 00:01:30.415]  Tell them this is a gun-free zone.
[00:01:30.595 --> 00:01:33.696]  Put a sign in your lawn that says no guns here.
[00:01:33.896 --> 00:01:34.777]  We're not afraid.
[00:01:34.897 --> 00:01:35.717]  We're defenseless.
[00:01:36.057 --> 00:01:38.298]  We are not afraid.
[00:01:38.738 --> 00:01:39.158]  Join us.
[00:01:39.519 --> 00:01:40.219]  Join us.
[00:01:40.239 --> 00:01:40.839]  Join us.
[00:01:41.119 --> 00:01:43.580]  Because there's strength in numbers.
[00:01:43.800 --> 00:01:52.704]  A suburban New York City newspaper is in the middle of a big controversy this morning after it put up online the names and addresses of everyone with a gun permit.
[00:01:53.004 --> 00:01:54.826]  We also know which houses don't have guns.
[00:01:55.446 --> 00:02:08.838]  Since these reporters and editors did not consider it a violation of the privacy and safety of others to reveal which homes have guns and which homes don't, we went to see which of them would be willing to put up a sign publicly declaring their homes to be gun-free zones.
[00:02:09.579 --> 00:02:18.787]  While we didn't find any members of the media with the strength of their convictions, we did find quite a few guns and some good explanations for why they might be necessary.
[00:02:19.367 --> 00:02:21.869]  We're really hoping people will kind of lead by example.
[00:02:23.770 --> 00:02:25.611]  Adversize themselves.
[00:02:25.671 --> 00:02:29.493]  As proudly, this home is proudly gun free.
[00:02:30.633 --> 00:02:32.034]  Can we put you down for a sign?
[00:02:32.114 --> 00:02:34.636]  In this neighborhood, there'll be like stuff like that.
[00:02:35.276 --> 00:02:41.523]  They actually published a list of all of the gun owners.
[00:02:41.563 --> 00:02:42.984]  And we're just doing the same thing.
[00:02:43.625 --> 00:02:44.806]  It's just people that don't know.
[00:02:44.846 --> 00:02:45.366]  The opposite.
[00:02:45.427 --> 00:02:46.948]  It's just the opposite.
[00:02:47.048 --> 00:02:49.791]  So I mean, what's the difference really?
[00:02:50.111 --> 00:02:52.454]  I do believe in it, but I think I'll pass on that.
[00:02:52.614 --> 00:02:52.834]  Thank you.
[00:03:02.086 --> 00:03:05.189]  Hi, we're with Citizens Against Senseless Violence.
