[00:00:08.131 --> 00:00:08.251]  Yeah.
[00:00:43.802 --> 00:00:45.584]  Welcome to the InfoWars Nightly News.
[00:00:45.624 --> 00:00:48.048]  Today's date is Friday, April 26, 2013, and I'm your host Rob Due.
[00:00:51.138 --> 00:00:59.363]  Let me tell you, if you've been watching InfoWars for at least, you know, six months to a year, you know that we usually come out with stories before the mainstream media picks them up.
[00:00:59.783 --> 00:01:02.325]  And then by the time they pick them up, to us, it's old news.
[00:01:02.785 --> 00:01:04.406]  Well, these first two stories are like that.
[00:01:04.926 --> 00:01:05.807]  We go now to the AP.
[00:01:06.767 --> 00:01:08.189]  Boston suspect is moved.
[00:01:08.369 --> 00:01:09.651]  FBI searches landfill.
[00:01:09.971 --> 00:01:13.956]  And it talks about how Dzhokhar Tsarnaev was moved from a hospital to a federal medical center.
[00:01:14.477 --> 00:01:21.426]  And then it also says, meanwhile, the bombing suspect's mother had been added to a federal terrorism database about 18 months before the attack.
[00:01:21.886 --> 00:01:22.807]  Let's go to the quote.
[00:01:24.232 --> 00:01:43.098]  Two government officials, speaking on condition of anonymity because they were not authorized to speak publicly about the investigation, said that the CIA had Zubedad Soronova's name added to the terror database, along with that of her son Tamerlan, after Russia contacted the agency in 2011 with concerns that the two were religious militants.
[00:01:43.678 --> 00:01:45.539]  Now, we reported on this days ago.
[00:01:45.579 --> 00:01:55.664]  In fact, it was late last week that we reported that they had ties to the CIA, that they were on terror watch lists, that Russia had contacted our government and said, hey, you need to look at these guys.
[00:01:56.005 --> 00:01:59.026]  Of course, that was ignored by the mainstream media until today.
[00:01:59.346 --> 00:02:00.487]  The AP finally reported it.
[00:02:00.647 --> 00:02:01.247]  It continues.
[00:02:01.808 --> 00:02:03.969]  It's all lies and hypocrisy.
[00:02:05.103 --> 00:02:06.964]  She told the Associated Press from Dagestan.
[00:02:07.324 --> 00:02:10.265]  I'm sick and tired of all this nonsense they make up about me and my children.
[00:02:10.706 --> 00:02:12.146]  People know me as a regular person.
[00:02:12.226 --> 00:02:17.829]  I've never been mixed up in any criminal intentions, especially those linked to terrorism.
[00:02:18.789 --> 00:02:24.572]  And there's been a lot of reports of her on TV crying, saying, these are not my kids, they would not have done this.
[00:02:25.432 --> 00:02:26.553]  There was a report that...
