[00:00:20.473 --> 00:00:22.354]  Welcome to the InfoWars Nightly News.
[00:00:22.454 --> 00:00:23.735]  I'm your host, Jakari Jackson.
[00:00:24.015 --> 00:00:25.897]  Here's what we have in store in this October 7th, 2013 edition.
[00:00:29.588 --> 00:00:36.432]  Tonight on the InfoWars Nightly News, Obamacare is a 99% failure so far.
[00:00:36.872 --> 00:00:41.895]  Plus, Miley, football, or the complete collapse of civilization.
[00:00:42.135 --> 00:00:43.636]  Take your pick, America.
[00:00:44.056 --> 00:00:50.340]  Then, John Rappaport exposes the quiet genocide conducted by Big Pharma.
[00:00:50.720 --> 00:00:53.982]  All that and more on the InfoWars Nightly News.
[00:01:02.338 --> 00:01:02.978]  And welcome back.
[00:01:03.318 --> 00:01:08.399]  Top story tonight, ATF tries blocking whistleblowing agent's Fast and Furious book.
[00:01:08.839 --> 00:01:23.622]  The ATF is blocking the main whistleblower in the Fast and Furious case from publishing a book for pay, claiming his retelling of the Mexico gun walking scandal will hurt morale inside the embattled law enforcement agency, according to documents obtained by the Washington Times.
[00:01:24.122 --> 00:01:27.342]  Now, if you're not familiar with the Fast and Furious case, this is where the U.S.
[00:01:27.382 --> 00:01:29.943]  government, particularly the ATF, gave
[00:01:30.723 --> 00:01:31.183]  We're good to go.
[00:01:55.413 --> 00:01:57.837]  We're good to go.
[00:02:09.815 --> 00:02:15.116]  It will move from the choices and consequences of the ATF to the choices and consequences of Obamacare.
[00:02:15.596 --> 00:02:16.176]  Epic fail!
[00:02:16.196 --> 00:02:19.777]  99% of Obamacare applications can't be processed.
[00:02:19.797 --> 00:02:22.678]  The nightmare scenario is coming this January.
[00:02:23.058 --> 00:02:28.199]  You've probably already heard that virtually no one can sign up using the online Obamacare exchanges.
[00:02:28.719 --> 00:02:38.201]  According to the insurance industry insiders who spoke to CNBC, 99 out of 100 applications don't contain enough information to result in enrollment.
[00:02:38.641 --> 00:02:44.448]  And this is all the while where you may have to be concerned about somebody coming to your house claiming that they're working for Obamacare.
[00:02:44.728 --> 00:02:47.051]  Hey, Mr. Jones, can you give me your social security number?
[00:02:47.071 --> 00:02:48.032]  Can you give me your phone number?
[00:02:48.312 --> 00:02:51.897]  If they ask you for your phone number, just give them the Obamacare number, 1-800-FU.
[00:02:52.357 --> 00:02:53.098]  I'm not making that up.
[00:02:53.138 --> 00:02:53.679]  You can find that
[00:02:54.099 --> 00:02:55.420]  On DrudgeReport.com.
[00:02:55.780 --> 00:02:58.482]  Now let's move to some other important news, some real important news.
[00:02:58.902 --> 00:03:03.905]  America's more interested in Miley Cyrus football than Obamacare or the government shutdown.
[00:03:04.005 --> 00:03:07.206]  Let's just take a look at some of the top Google links as of this morning.
[00:03:07.707 --> 00:03:11.369]  And you can see rounding out the bottom there is Miley Cyrus on SNL.
[00:03:11.789 --> 00:03:13.010]  What will she lick this week?
[00:03:13.410 --> 00:03:21.635]  Also some wrestling, some football, the Amber Alert, which is of some importance, and also the President's Cup streaker.
[00:03:22.395 --> 00:03:24.517]  And these are the top things that people are concerned about.
[00:03:24.537 --> 00:03:28.420]  I think they just need to get Miley Cyrus her own reality show.
[00:03:28.480 --> 00:03:30.041]  What did Miley lick this week?
[00:03:30.301 --> 00:03:31.842]  You know, because she's always licking something.
[00:03:31.882 --> 00:03:36.686]  And it could be like Fear Factor, where, you know, they have them lick cockroaches and bull testicles.
[00:03:36.706 --> 00:03:37.587]  That's what they do on the show.
[00:03:37.647 --> 00:03:38.407]  I'm not making that up.
[00:03:38.427 --> 00:03:39.228]  You can go watch those old...
[00:03:39.628 --> 00:03:40.509]  We're good to go.
[00:04:00.526 --> 00:04:12.037]  Despite numerous checkpoints, the boy believed to be a runaway from the Twin Cities took a train to the airport and was able to sneak past Minneapolis airport security without a ticket or a boarding pass.
[00:04:12.518 --> 00:04:17.163]  It wasn't until the plane was in mid-flight to Las Vegas that he was stopped and questioned.
[00:04:17.643 --> 00:04:23.489]  Airport officials have determined that this was not an airport shortcoming, but a Delta and TSA issue.
[00:04:24.116 --> 00:04:27.318]  Arrest warrant issued for Dzokhar Tsarnaev in Massachusetts.
[00:04:27.699 --> 00:04:35.064]  Tsarnaev, 20, of Cambridge, was indicted by a county grand jury in June for the murder of officer Sean Collier on April 18th.
[00:04:35.444 --> 00:04:49.195]  He also faces a variety of charges on other charges, including armed assault with intent to murder for allegedly attacking Watertown police officers in a shootout in the early morning hours of April 19th, just a few hours after Collier's murder.
[00:04:50.055 --> 00:04:58.941]  Let me remind you, if you haven't heard it anyplace else, that the Tsarnaev brothers have no link to the Collier killing, other than the feds just saying that they did it.
[00:04:59.301 --> 00:05:15.212]  Now, it's a very unfortunate situation, and I do wish my condolences to the Collier family, but they're saying because the Tsarnaev brothers were allegedly on some crime spree, and this guy happened to die around the same time, they're just linking him in with the other events that they're saying the Tsarnaev brothers are responsible for.
[00:05:15.512 --> 00:05:19.515]  And once again, there is no actual evidence that the Tsarnaev brothers killed this man.
