[00:00:02.072 --> 00:00:03.234]  Coast to coast.
[00:00:03.614 --> 00:00:04.956]  Direct from Austin.
[00:00:05.678 --> 00:00:08.882]  You're listening to the Alex Jones Broadcasting Network.
[00:00:15.134 --> 00:00:19.297]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.977 --> 00:00:20.778]  You want answers?
[00:00:21.559 --> 00:00:22.439]  Well, so does he.
[00:00:23.100 --> 00:00:26.742]  He's Alex Jones on the GCN Radio Network.
[00:00:27.303 --> 00:00:31.346]  And now, live from Austin, Texas, Alex Jones.
[00:00:47.148 --> 00:00:51.873]  Ladies and gentlemen, we're live and we're broadcasting worldwide.
[00:00:51.893 --> 00:01:06.209]  Here we are on this Tuesday, the 19th day of November 2013, and we've got a very interesting online commentator and author, E.T.
[00:01:06.329 --> 00:01:07.591]  Williams, joining us.
[00:01:09.125 --> 00:01:27.635]  And he has a lot of fiery and interesting things to say, so he's going to be coming on with us for 30 minutes at the start of the next hour, and then Larry Pratt will be joining us via video Skype for 30 minutes with some big updates on the battle for the Second Amendment, the UN treaties, and an update on that front as well.
[00:01:29.076 --> 00:01:30.477]  Now, that said,
[00:01:31.559 --> 00:01:39.642]  I began to break down a few weeks ago that I believe they may have overdone Obamacare and the amount of fraud involved in it.
[00:01:40.002 --> 00:01:50.446]  It was meant to betray people, destroy the economy, but when you actually get down to finally destroying the economy, it's so painful that the propaganda doesn't work anymore.
[00:01:51.667 --> 00:01:54.788]  It's one thing to talk about beating somebody's brains out with a hammer.
[00:01:55.628 --> 00:01:57.189]  It's another thing to actually do it.
[00:01:58.720 --> 00:02:17.574]  And so for all the people that want to be Mr. Tough Guy in the New World Order, I remember reading in a Nuremberg account by an SS officer when the head of the SS, the Stunstaffel, was walking along with the head of the SS, Heinrich Himmler,
[00:02:18.609 --> 00:02:31.138]  Who also commanded the Waffen-SS, the armed SS, or the Nazi Praetorian Guard at a death camp, and they were lining people up by the hundreds and shooting him, and Himmler began to vomit.
