[00:00:10.730 --> 00:00:17.781]  Who controls the past, controls the future.
[00:00:18.222 --> 00:00:20.725]  Who controls the present, controls the past.
[00:00:21.614 --> 00:00:27.116]  The death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[00:00:27.416 --> 00:00:29.476]  All you gotta do is start looking around.
[00:00:29.856 --> 00:00:31.417]  Start thinking for yourself.
[00:00:31.717 --> 00:00:33.277]  Start investigating things.
[00:00:33.717 --> 00:00:37.178]  And you will see it all right there.
[00:00:37.778 --> 00:00:39.259]  So you have the power.
[00:00:39.539 --> 00:00:41.099]  Humanity has the power.
[00:00:41.539 --> 00:00:42.660]  We have the power.
[00:00:42.680 --> 00:00:43.640]  Do you wanna fight?
[00:00:43.740 --> 00:00:46.041]  You better believe you got one!
[00:00:48.462 --> 00:00:50.623]  Welcome to the Infowars Nightly News.
[00:00:50.643 --> 00:00:55.406]  It's Wednesday, May 29th, 2013, and here are our top stories.
[00:01:19.110 --> 00:01:22.271]  Tonight, on the InfoWars Nightly News.
[00:01:23.092 --> 00:01:30.735]  Our dollar is on life support, as foreign exchanges gain new ground in the stake for a global world order reserve currency.
[00:01:31.235 --> 00:01:33.356]  Plus, all new U.S.
[00:01:33.456 --> 00:01:41.179]  weapon systems compromised, as the Chinese have acquired a backdoor into the Pentagon's top secret blueprints.
[00:01:41.759 --> 00:01:45.001]  All that and more, on the InfoWars Nightly News.
[00:01:47.947 --> 00:01:51.109]  Well, for decades the mainstream media told us they didn't exist.
[00:01:51.950 --> 00:01:54.211]  That the Bilderberg was just a conspiracy.
[00:01:54.871 --> 00:01:57.673]  Well, it was a conspiracy, alright, but it wasn't any theory.
[00:01:57.713 --> 00:01:58.434]  It was a fact.
[00:01:58.994 --> 00:02:10.121]  As a matter of fact, and just recently, we saw leaked documents going back to 1955, just the second year of the Bilderberg Group's meetings, that had them planning the EU as well as the Euro.
[00:02:10.868 --> 00:02:14.490]  Well, they're going to be meeting again in less than a week, and we're going to be there.
[00:02:14.630 --> 00:02:17.671]  Alex Jones is going to be covering it live for InfoWars.
[00:02:18.312 --> 00:02:30.558]  And as part of that coverage, knowing that we were going to be coming because it's now an open secret, everybody is talking about it at this point, the police in the local area there in the UK contacted Alex and wanted to talk to him about that.
[00:02:30.598 --> 00:02:33.759]  We have an article about that on InfoWars from Paul Joseph Watson.
[00:02:34.260 --> 00:02:37.321]  The article is, Police wary of provocateurs at Bilderberg 2013.
[00:02:38.942 --> 00:02:47.130]  The Hertfordshire Police are wary of potentially violent provocateurs that could hijack peaceful protests at the site of the 2013 Bilderberg Group meeting in Watford, UK.
[00:02:47.771 --> 00:02:56.640]  In a conversation with Hertfordshire Police Liaison Officer Steve Lee, Alex Jones was told that authorities will be vigilant in ensuring that any such provocateurs are shut down immediately.
[00:02:57.140 --> 00:03:00.501]  And will not allow them to ruin the event for law-abiding demonstrators.
[00:03:00.902 --> 00:03:01.682]  Now this is important.
[00:03:01.702 --> 00:03:13.067]  Lee said that his goal was to facilitate the right to free press and the right to demonstrate, which is why the public will be allowed within five feet of the road so they can get pictures of the arriving Bilderberg Group participants.
[00:03:13.607 --> 00:03:23.271]  And he also joked that he was looking forward to meeting Alex Jones and hoped that Jones' efforts to have CNN host Piers Morgan sent back to Britain remained unsuccessful.
[00:03:24.171 --> 00:03:25.651]  He's not the first Brit to say that.
[00:03:25.751 --> 00:03:34.613]  I think people in England know Piers Morgan much better than people in the United States, and after that long history, very few of them would like to see Piers Morgan return.
