[00:00:02.116 --> 00:00:08.840]  We've got it.
[00:00:09.220 --> 00:00:13.383]  Waging war on corruption.
[00:00:13.623 --> 00:00:23.409]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:00:24.009 --> 00:00:25.791]  We are go, ladies and gentlemen.
[00:00:26.232 --> 00:00:34.260]  We are broadcasting worldwide on this Sunday, the second day of June 2013.
[00:00:34.300 --> 00:00:44.390]  We will find out very, very soon, by tonight, in the next few hours, whether they're going to let me get on an airplane.
[00:00:45.956 --> 00:00:48.959]  From Dallas, Texas, and fly to England.
[00:00:48.979 --> 00:00:52.743]  They've not put any blocks on it yet, but we will find out very, very soon.
[00:00:52.863 --> 00:00:56.286]  And Lord willing, I will be in Britannia.
[00:00:56.306 --> 00:00:58.509]  I will be in the United Kingdom.
[00:00:59.049 --> 00:01:02.052]  New World Order command base Alpha Delta.
[00:01:02.953 --> 00:01:05.155]  I will be there tomorrow.
[00:01:05.836 --> 00:01:08.298]  And the real Bilderberg coverage really does start now.
[00:01:09.019 --> 00:01:11.322]  Because they are trying to restrict free speech.
[00:01:11.342 --> 00:01:12.683]  They're involved in all sorts of shenanigans.
[00:01:12.703 --> 00:01:14.905]  I'm going to talk about that after the break.
[00:01:15.446 --> 00:01:18.269]  And I also just want to go over some of the crazy headlines.
[00:01:19.230 --> 00:01:20.552]  And they get crazier every week.
[00:01:20.952 --> 00:01:29.762]  How much nuttier and out of control will corporations and bureaucracies and governments and individuals be as the collective insanity intensifies?
[00:01:30.660 --> 00:01:36.042]  We will look at that coming up after this quick break.
[00:01:36.622 --> 00:01:56.550]  And we're also going to look at something I covered earlier in the week and that is Bill O'Reilly cutting in a video clip of me ranting out of context and saying that it is hate speech and then going along with Facebook calling for censorship.
[00:01:56.570 --> 00:01:57.631]  We're going to look at that as well.
[00:01:58.371 --> 00:02:02.458]  And then we'll also try to look at something I covered on Friday, but I think it's still pertinent.
[00:02:03.881 --> 00:02:09.290]  You know, it was announced earlier this year that France is set to ban the words mother and father because they're hurtful to people.
[00:02:09.310 --> 00:02:10.973]  That's London Telegraph.
[00:02:12.950 --> 00:02:42.339]  One of our reporters did a report, Gigi Arnetta, did a report breaking down the fact that the Justice Department, the same ones that ran Fast and Furious, the same ones that are involved in so many other forms of corruption, the IRS persecution, the harassment of the media, the going after whistleblowers, going after the press, the authoritarians that pose as liberals and give themselves peace prizes and that fund Al-Qaeda overseas and all the rest of it,
[00:02:42.939 --> 00:02:51.803]  They're now saying, and I'm reading from the LBGT Inclusion at Work, the Seven Habits of Highly Effective Managers, to use inclusive language.
[00:02:51.903 --> 00:02:59.046]  Do not use words like husband or wife, because that might offend somebody if you use that term.
[00:02:59.507 --> 00:03:06.630]  And of course the state now is announcing in Europe that they will be the new parent, so now you're only allowed to call parents, not father or mother, but parent.
[00:03:07.150 --> 00:03:07.290]  That's
[00:03:25.874 --> 00:03:30.979]  How to have sex, how to become a transvestite, how to whatever.
