[00:00:22.569 --> 00:00:24.211]  It's Tuesday, July 23rd.
[00:00:24.391 --> 00:00:25.512]  I'm Paul Joseph Watson.
[00:00:25.612 --> 00:00:27.434]  This is InfoWars Nightly News.
[00:00:29.456 --> 00:00:41.188]  Tonight, while US intelligence committees approve arming Syrian rebels, a massive Al-Qaeda prison break at Abu Ghraib, and even more fluoride in your food than in your tap water?
[00:00:41.908 --> 00:00:45.132]  All that and more on tonight's InfoWars Nightly News.
[00:00:51.291 --> 00:00:55.155]  Top story tonight, Russia orders snap drill of missile forces.
[00:00:55.516 --> 00:00:56.897]  This is out of Infowars.com.
[00:00:57.298 --> 00:01:11.993]  Just days after it concluded the biggest military exercise since the Cold War, Russia has ordered its missile forces to conduct a snap drill in order to ascertain the readiness of putting intercontinental ballistic missiles on high alert within a short time frame.
[00:01:12.614 --> 00:01:20.921]  So while Barack Obama was concerning himself with a court case out of Florida, the Russian bear roars once again.
[00:01:21.502 --> 00:01:38.136]  The drills, which will run until Saturday, involve the redeployment of missile units, which include those tipped with nuclear-capable Topol SS-25 Sickle ICBMs and Voya Voda SS-18 Satan ballistic missile systems.
[00:01:38.897 --> 00:01:52.675]  Quote, the goal of this snap check is to assess the ability of missile units to go on high alert in required time and to evaluate their readiness to perform the designated tasks, said Colonel Igor Yegorov, a spokesman for the Defense Ministry in Russia.
[00:01:53.416 --> 00:01:55.419]  So as we reported last week,
[00:01:55.779 --> 00:02:08.287]  Of course, Russia just staged the largest military exercises since the Soviet era, in the aftermath of the Israeli attack on Russian-made weapons in Syria, which was announced last week.
[00:02:08.347 --> 00:02:10.329]  Occurred, of course, early in July.
[00:02:10.349 --> 00:02:21.917]  And the exercise, the biggest exercise since the Cold War, according to Konstantin Sivkov, was aimed at US and Japanese forces.
[00:02:22.808 --> 00:02:29.113]  So the question is, now we've got another snap drill which Putin has ordered for the missile systems to be ready.
[00:02:29.634 --> 00:02:32.736]  Is Russia gearing up for a major conflict?
[00:02:33.216 --> 00:02:41.343]  While they're increasing their military expenditure by 60% by 2015, while the US is reducing its military expenditure 15%,
[00:02:44.125 --> 00:02:51.489]  Part of that expenditure, of course, is paying for these new Yars-M ICBMs that can penetrate US missile defence systems.
[00:02:51.990 --> 00:03:00.275]  Simultaneously, we have the US aiming its European-based missile systems at Russia, while claiming that they're to counter Iran.
