[00:00:19.341 --> 00:00:21.422]  Welcome to the Infowars Nightly News.
[00:00:21.563 --> 00:00:22.463]  I'm Darren McBreen.
[00:00:22.583 --> 00:00:24.344]  It is Thursday, October 10th, 2013.
[00:00:25.085 --> 00:00:28.147]  And here's a quick look at what's coming up.
[00:00:31.343 --> 00:00:33.824]  Tonight on the InfoWars Nightly News.
[00:00:34.465 --> 00:00:39.147]  As the kettle boils in Washington, the plot thickens for America.
[00:00:39.788 --> 00:00:47.912]  Is President Obama determined to use his executive privilege to unseat Congress and usher him in as dictator?
[00:00:48.852 --> 00:00:52.694]  Paul Craig Roberts, father of Reaganomics, explains.
[00:00:53.655 --> 00:00:57.117]  All that and more on the InfoWars Nightly News.
[00:01:02.895 --> 00:01:20.022]  Well, we all know Barack Obama broke numerous campaign promises since his administration took over the White House, but it looks like there's one promise that he's about to keep, and that is the recent promise to make the government shutdown as difficult for people as possible.
[00:01:20.322 --> 00:01:21.803]  Well, he's off to a good start.
[00:01:21.883 --> 00:01:34.471]  It's now been over a week since the shutdown began, during which time we've seen Vietnam veterans getting arrested for visiting memorials, along with World War II veterans, if you can believe that.
[00:01:34.491 --> 00:01:39.835]  The greatest generation not being treated so great in the National Mall.
[00:01:40.375 --> 00:01:50.262]  This is an intentional show of force by the federal government with total disregard for we the people, not to mention a total lack of respect for our
[00:01:50.562 --> 00:01:52.063]  We're good to go.
[00:02:08.849 --> 00:02:15.251]  Most of these people, they are local residents who no longer have a job because of the government shutdown.
[00:02:15.471 --> 00:02:26.815]  And as a result of all this, the Grand Canyon Park Police are handing out citations which will require those who enter the Grand Canyon to appear in federal court.
[00:02:27.783 --> 00:02:51.184]  Landed the free my ass and check this out park officials have been ordered to patrol the Grand Canyon 24 hours a day seven days a week to keep people out and you know I grew up in Arizona and I could tell you firsthand that they depend on the month of October heavily for tourism to you know that's how they generate a lot of money economically and you know there are 24
[00:02:52.685 --> 00:02:59.472]  National parks in Arizona that generate an average of 2.7 million dollars a day in the month of October.
[00:02:59.932 --> 00:03:01.154]  Well, not anymore.
[00:03:01.514 --> 00:03:03.656]  They are losing an incredible amount of money.
[00:03:04.056 --> 00:03:10.143]  Grand Canyon Chief Ranger Bill Wright says that this is an economic disaster.
