[00:00:05.657 --> 00:00:05.897]  I think.
[00:00:38.802 --> 00:00:40.083]  Good evening, ladies and gentlemen.
[00:00:40.123 --> 00:00:42.725]  You're tuned in to the InfoWars Nightly News.
[00:00:42.785 --> 00:00:46.188]  Tonight is Wednesday, February 6, 2013.
[00:00:46.608 --> 00:00:48.810]  We are live, and I'm your host, Aaron Dykes.
[00:00:49.210 --> 00:00:56.436]  Now, coming up later in the program, we have an interview with Jennifer Stahl, who was arrested over the Smart Meter matter for trying to refuse
[00:00:56.836 --> 00:01:00.997]  That's coming up on the other side with our reporter Melissa Melton.
[00:01:01.297 --> 00:01:09.140]  But first up in the news, Kurt Nemo's article about cops manning random revenue enhancement checkpoints in Florida.
[00:01:09.580 --> 00:01:23.164]  They're no longer just restricting themselves to DIU checkpoints, checking drivers for sobriety, which is already unconstitutional in violation of the Fourth Amendment, presuming someone to be guilty until proven innocent.
[00:01:23.624 --> 00:01:42.916]  Now they're going to be pulling over vehicles at unconstitutional checkpoints, and in a very Nazi, paper-policed manner, they're going to be checking vehicles for worn tires, bad brakes, lighting defects, and other minor regulatory details on cars, so they can issue tickets and collect revenue.
[00:01:43.357 --> 00:01:51.682]  And Kurt very much takes the tact of how they're bolstering the coffers of the state, adding millions of dollars to pay for expanding programs,
[00:01:52.182 --> 00:01:56.523]  And all their pensions for their bureaucrats, all retiring en masse.
[00:01:56.923 --> 00:02:01.265]  But the point is, they're just moving further and further with the police state.
[00:02:01.625 --> 00:02:03.905]  I never liked the DUI checkpoints.
[00:02:03.945 --> 00:02:07.306]  They're clearly not okay with the Bill of Rights and Constitution.
[00:02:07.666 --> 00:02:09.747]  But there is a problem with drunk drivers.
[00:02:09.767 --> 00:02:17.049]  So at least they have the guise of trying to stop the emergency of the tens of thousands of deaths that happen on the highways each year.
[00:02:17.369 --> 00:02:21.190]  But with revenue collection checkpoints, minor things wrong on a car,
[00:02:21.630 --> 00:02:26.233]  They already have cops patrolling and pulling people over and issuing tickets for that.
[00:02:26.554 --> 00:02:32.738]  They don't need to presume everyone guilty and have a Stasi checkpoint like it's a banana republic.
[00:02:33.058 --> 00:02:38.302]  Very disgusting, not a good move, not a good sign, especially if other states follow suit.
[00:02:38.802 --> 00:02:39.643]  Really out of control.
[00:02:40.183 --> 00:03:01.455]  Meanwhile, in furtherance of this entire gun control agenda, the Demand a Plan group, the NBC 30 Rock Center, actors primarily from SNL and other comedy shows who are basically bought and paid for by people like Bill Gates and Rockefeller and Mayor Bloomberg, did a press conference today.
[00:03:01.575 --> 00:03:05.858]  Chris Rock spoke there and had some very disturbing things to say.
[00:03:06.318 --> 00:03:06.959]  No, I don't think so.
[00:03:23.132 --> 00:03:23.493]  I think so.
[00:03:38.029 --> 00:03:43.213]  But he's also, you know, the President and the First Lady are kind of like the mom and dad of the country.
[00:03:43.573 --> 00:03:45.635]  And when your dad says something, you listen.
[00:03:45.955 --> 00:03:48.377]  And if you don't, it can bite you in the ass later on.
[00:03:48.477 --> 00:03:50.999]  So I'm here to support the President.
[00:03:51.279 --> 00:03:52.760]  Let's go ahead and roll that clip.
[00:03:52.820 --> 00:03:53.881]  It's real strange.
[00:03:54.601 --> 00:03:55.722]  Collectivist rhetoric.
[00:03:55.742 --> 00:03:57.023]  Do we have that ready to go, guys?
[00:03:57.503 --> 00:03:58.364]  Let's go to it right now.
[00:03:58.624 --> 00:04:02.767]  I am just here to support the President of the United States.
[00:04:02.787 --> 00:04:06.830]  The President of the United States is
[00:04:08.035 --> 00:04:09.236]  You know, our boss.
[00:04:09.256 --> 00:04:16.319]  But he's also, you know, the president and the first lady are kind of like the mom and the dad of the country.
[00:04:17.219 --> 00:04:19.440]  And when your dad says something, you listen.
[00:04:20.961 --> 00:04:23.642]  And when you don't, it usually bites you in the ass later on.
[00:04:26.249 --> 00:04:29.553]  And that's an excerpt, but very bad idea right there.
[00:04:29.613 --> 00:04:42.986]  First of all, they consider all kinds of dictators, classically Joseph Stalin, to be the father of the country, and they all idolized him and painted him as, you know, with children, and how he's leading the country single-handedly, taking care of things.
[00:04:43.607 --> 00:04:49.589]  We know that leads to a total loss of rights, it leads to democide, it leads to genocide, starvation.
[00:04:49.989 --> 00:04:53.270]  Centralized control of almost anything, not a good idea.
[00:04:53.570 --> 00:05:00.732]  But furthermore, shout-out in French, hasn't changed since yesterday or the past several weeks that we've been standing up for the Second Amendment.
[00:05:00.752 --> 00:05:03.112]  Of course, standing up for it for a long time.
[00:05:03.452 --> 00:05:09.274]  But this whole idea of we've got to turn in the guns, guns are illegal, and the mayors and everybody's got to stand up.
[00:05:09.754 --> 00:05:11.395]  Well, the point is it's backfiring.
[00:05:11.435 --> 00:05:13.016]  We'll get more into that in a moment.
[00:05:13.337 --> 00:05:21.683]  But he also, of course he's such a comedian, he also said, every mass shooting is done by guys who live with their mom, who live in their mother's basement.
[00:05:21.723 --> 00:05:25.205]  So I believe you should have to have a mortgage to own a gun.
[00:05:25.225 --> 00:05:34.332]  And while that's just a joke, Chris Rock, we know they really are trying to restrict gun access, turn it into a privilege when it's clearly a right.
[00:05:34.992 --> 00:05:42.376]  Not only for self-defense in the home, but to stave off would-be usurpers, would-be dictators, and tyranny in general.
[00:05:43.037 --> 00:05:45.038]  This whole nightmare, bad joke thing.
[00:05:45.078 --> 00:05:53.063]  Let's go to his actual stand-up comedy on gun rights and what he calls the $5,000 bullet policy from some time ago.
[00:05:53.103 --> 00:05:54.103]  Do we have that clip, guys?
[00:05:54.123 --> 00:05:56.425]  About gun control.
[00:05:56.945 --> 00:05:59.366]  Gotta get rid of the guns.
[00:05:59.446 --> 00:06:00.107]  I like guns.
[00:06:01.195 --> 00:06:02.677]  You don't need no gun control.
[00:06:02.697 --> 00:06:03.458]  You know what you need?
[00:06:03.698 --> 00:06:05.140]  We need some bullet control.
[00:06:05.440 --> 00:06:06.942]  I think all bullets should cost $5,000.
[00:06:07.082 --> 00:06:13.691]  Because if a bullet costs $5,000, there'll be no more innocent bystanders.
[00:06:16.335 --> 00:06:19.538]  Oh, it's another Hollywood hypocrite.
[00:06:19.838 --> 00:06:21.159]  He says he likes guns.
[00:06:21.219 --> 00:06:31.068]  He appears in dozens of movies firing weapons, playing up the celebrity aspect of just random fire, killing people in hostage situations, portraying heroes.
[00:06:31.508 --> 00:06:38.592]  As people who go on killing sprees and evade the law, then he wants to stand up and try to pimp for gun confiscation.
[00:06:38.892 --> 00:06:41.554]  Well, it's because he works for a bunch of gangsters in government.
[00:06:41.854 --> 00:06:42.734]  Really gross stuff.
[00:06:43.094 --> 00:06:50.738]  And even more gangster government than our quickly deteriorating United States of no rights is, of course, China.
[00:06:51.099 --> 00:06:53.040]  Now their one-child policy has...
[00:06:53.820 --> 00:06:58.862]  According to their own statistics, prevented the birth of more than 400 million children.
[00:06:59.242 --> 00:07:06.985]  It's created a genocide, particularly of young girls, because of the preference for male children and the one-child policy.
[00:07:07.405 --> 00:07:10.626]  Millions upon millions upon millions of girls are aborted.
[00:07:10.646 --> 00:07:18.328]  They suffer infanticide or they're lost into a system of sex trafficking and child slavery.
[00:07:18.669 --> 00:07:19.849]  All very wicked stuff.
[00:07:20.229 --> 00:07:35.365]  But now the actual one-child policy enforcers, which come from the National Family Planning Office, actually crushed a 13-month-old boy to death after the parents refused to pay the fine for having more than one child.
[00:07:35.846 --> 00:07:36.867]  So disgusting.
[00:07:37.007 --> 00:07:38.589]  Should really upset us all.
[00:07:38.949 --> 00:07:39.350]  And again,
[00:07:39.870 --> 00:07:50.500]  Hundreds of millions of children have been the victims of this awful policy under worldwide global eugenics enforced by the United Nations and at the state and national levels.
[00:07:50.881 --> 00:07:52.843]  But here is just that one case.
[00:07:52.903 --> 00:07:58.548]  You know, Joseph Stalin said one death is a tragedy, a million deaths is just a statistic.
[00:07:58.788 --> 00:08:03.953]  Well, here's the case of just one child, a boy physically crushed by a car,
[00:08:04.654 --> 00:08:12.977]  They said the parents got upset that they had to pay the fine, that they were found out, that they were being hassled again by these family planning enforcement police.
[00:08:13.417 --> 00:08:26.241]  And so, well, the police guy just decided he was going to crush the child because he's dehumanized, sees no value in human life, and actually gets paid bonuses for each child he prevents from being born.
[00:08:26.741 --> 00:08:26.801]  Or
[00:08:41.681 --> 00:08:42.041]  I don't
[00:09:02.222 --> 00:09:17.791]  Let's look at all the statements from the eugenicists who think it's so great that they are going to be in control of the earth and everyone else is scum and needs to die and stop reproducing until there's just 1 billion or 2 billion, depending on who you ask.
[00:09:18.211 --> 00:09:25.675]  But Jurian Mason, who wrote this article, cites, of course, John P. Holdren and Paul Ehrlich's
[00:09:26.075 --> 00:09:26.335]  I think?
[00:09:42.845 --> 00:10:08.367]  The United Nations and the private foundations, the Rockefeller Controlled Population Center, the Bill Gates Foundation, the Ford Foundation, so many others, go to the individual countries, induce the countries to set up a national family planning office, and as I mentioned, then those workers get bonuses to go house to house to collect data and statistics and target families that have too many children, get them to get on birth control, get them to agree to abortions,
[00:10:08.787 --> 00:10:16.630]  Or they'll just secretly sterilize you in camps if it's India, or they'll create this massive genocide as in China, as of course we've already talked about.
[00:10:16.690 --> 00:10:17.350]  Just disgusting.
[00:10:17.370 --> 00:10:20.992]  They literally call the people they're seeking after targets.
[00:10:21.012 --> 00:10:22.152]  They literally call them targets.
[00:10:22.732 --> 00:10:24.433]  And it just goes on.
[00:10:24.733 --> 00:10:29.075]  But they want to extend the one-child policy, because of course we know China is just the model.
[00:10:29.435 --> 00:10:34.137]  They want to take it to Africa, in particular Nigeria, because they have such a high birth rate.
[00:10:34.577 --> 00:10:43.583]  And they're really just promoting the idea that you should have to have a license to have a child and that it's okay for a government entity to tell you who's going to be born.
[00:10:44.023 --> 00:10:46.385]  Well, we know it's probably going to destroy China.
[00:10:46.645 --> 00:10:47.826]  But look at the case from last year.
[00:10:47.866 --> 00:10:50.488]  If you guys could pull up the other tab next to that.
[00:10:50.908 --> 00:10:58.273]  They also steamrolled a man because he refused to give up his land that the Chinese government wanted to seize and give to a corporation.
[00:10:58.693 --> 00:11:00.735]  That's the kind of thing that goes on in China as well.
[00:11:01.155 --> 00:11:03.218]  So just so much draconian tyranny.
[00:11:03.598 --> 00:11:06.582]  We really have to pray that our country doesn't slip that far.
[00:11:06.902 --> 00:11:19.297]  We need to say no against this, expose what the United Nations and these private donor groups that are tax-free here in America are doing, so we can rein this in so it doesn't reach our shores, and so we can stop killing people in other countries.
[00:11:19.697 --> 00:11:24.539]  Meanwhile, Luke Rodowski at WeAreChange.org has done so much great work over the years.
[00:11:24.579 --> 00:11:34.344]  He's just thanklessly and tirelessly confronted people over and over again, and of course sought out stories there in New York, the great metropolis where so many things happen.
[00:11:34.704 --> 00:11:39.666]  He got an exclusive interview, really a touching piece, with Joe Lozito.
[00:11:40.366 --> 00:11:42.429]  This is a man who was taking the subway.
[00:11:42.469 --> 00:11:51.519]  He took it daily like many New Yorkers to his job or whatever it was he was doing on a day-to-day basis and he was attacked by what turned out to be a serial killer.
[00:11:51.859 --> 00:11:56.104]  He was completely unarmed and stopped this man who was trying to stab and slice him to death.
[00:11:56.625 --> 00:11:58.267]  He had some nearly fatal wounds.
[00:11:58.867 --> 00:12:21.230]  And it was just shocking already, just to be in that incident of course, but all the more shocking when he found out later in court testimony and everything that the NYPD had witnessed the entire thing and were approximately two to three feet away from him, behind a closed door, but refused to respond, refused to stop this killer as he attacked this subway passenger.
[00:12:21.650 --> 00:12:26.272]  I've excerpted just about a four and a half minute clip of Luke's larger 13 minute piece.
