[00:00:04.892 --> 00:00:05.472]  Welcome back.
[00:00:05.532 --> 00:00:25.442]  This is an extra bonus section that we're going to feature for PrisonPlanet.tv subscribers and tonight we're actually going to go more in depth on the information about RFIDs that I just presented to you with Dr. Katherine Albrecht about the reality of this coming electronic security state, electronic concentration camp that they're trying to accustom all of our children to here
[00:00:25.882 --> 00:00:26.122]  I think so.
[00:00:46.764 --> 00:00:58.291]  An interview that was done with the Hernandez family, including Andrea Hernandez, who was the student that did speak out and say on religious grounds she did not want to take this mark, she did not want to wear this chip, and she's since been expelled.
[00:00:58.652 --> 00:01:08.098]  But it's still interesting to look at what she has to say and look into a view of what our future holds in store when they try to mark all of our children with these terrifying RFID chips.
[00:01:11.778 --> 00:01:14.179]  I'm Melissa Melton reporting for InfoWars Nightly News.
[00:01:14.779 --> 00:01:27.223]  Although we have all been conditioned to accept that technology will be spying on us all the time in this police state control grid we now find ourselves living in, families here in San Antonio, Texas are standing up against this intrusion on their privacy and freedom.
[00:01:27.683 --> 00:01:34.166]  Protesting the RFID tracking chips the school district here is forcing students to wear just so that they can attend school.
[00:01:34.706 --> 00:01:37.647]  Mr. Hernandez, why did you organize this protest here today?
[00:01:38.080 --> 00:01:42.284]  Well, the reason I organized this is because I'm protesting these RFID tracking chips.
[00:01:42.764 --> 00:01:43.985]  The children don't need to be tracked.
[00:01:44.646 --> 00:01:48.409]  You know, and it steps on my religious freedom and the religious freedom of my children and my family.
[00:01:49.871 --> 00:01:51.052]  Then there's other things you can look at.
[00:01:51.092 --> 00:01:52.853]  Civil liberties, rights, privacy.
[00:01:53.434 --> 00:01:57.277]  All these things, they didn't take into account when they implemented this program.
[00:01:57.978 --> 00:02:00.200]  And for us, first and foremost, it's our religious freedom.
[00:02:00.380 --> 00:02:02.442]  That's our fight, and they're trying to take it away from us.
[00:02:03.669 --> 00:02:09.712]  And you told me just a second ago that your daughter has actually been threatened with recourse by the schools for this protest?
[00:02:09.952 --> 00:02:10.732]  Yes ma'am.
[00:02:11.233 --> 00:02:15.034]  What they told me on the 20th of September, they offered us a compromise.
[00:02:15.114 --> 00:02:19.036]  And the compromise was that they would allow her to wear a bag that didn't have a chip in it.
[00:02:19.916 --> 00:02:24.078]  But she had to fall in line like the rest of them and show support for the program.
[00:02:24.779 --> 00:02:27.900]  So the Constitution ends once students step foot on school property?
[00:02:28.200 --> 00:02:29.401]  Pretty much for them, yes ma'am it does.
[00:02:30.734 --> 00:02:33.395]  Why do you feel that wearing the RFID chips is a bad thing?
[00:02:33.735 --> 00:02:36.276]  Well, I feel it's an invasion of my religious beliefs.
[00:02:36.316 --> 00:02:38.377]  I feel that it's the implementation of the Mark of the Beast.
