[00:00:01.733 --> 00:00:02.915]  Coast to coast.
[00:00:03.276 --> 00:00:04.639]  Direct from Austin.
[00:00:05.340 --> 00:00:08.547]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.468 --> 00:00:15.108]  Big Brother.
[00:00:15.789 --> 00:00:16.809]  Mainstream media.
[00:00:17.549 --> 00:00:18.650]  Government cover-ups.
[00:00:19.310 --> 00:00:20.111]  You want answers?
[00:00:20.891 --> 00:00:21.771]  Well, so does he.
[00:00:22.452 --> 00:00:26.033]  He's Alex Jones on the GCN Radio Network.
[00:00:26.633 --> 00:00:30.695]  And now, live from Austin, Texas, Alex Jones.
[00:00:46.027 --> 00:00:49.050]  Well, folks, it is Monday, ladies and gentlemen.
[00:00:49.090 --> 00:00:53.073]  Thank you so much for joining us for this worldwide transmission.
[00:00:53.614 --> 00:00:57.937]  It is the fourth day now, ladies and gentlemen, of November.
[00:00:58.929 --> 00:01:04.975]  2013 and we're going to be here, Lord willing, for the next three hours.
[00:01:06.256 --> 00:01:15.365]  And we are going to be joined in studio by the amazing artist and political mind, obviously expressed through his art, of Anthony Frida.
[00:01:15.826 --> 00:01:17.748]  He's down here visiting in Austin, Texas.
[00:01:18.288 --> 00:01:19.830]  He is scheduled
[00:01:20.902 --> 00:01:28.007]  To be joining us coming up for about 30-45 minutes in the third hour.
[00:01:28.087 --> 00:01:39.314]  We'll also show TV viewers some of his art and post some of the art on InfoWars.com so radio listeners can go there and see a compilation of some of it and links to his site.
[00:01:40.035 --> 00:01:45.438]  We'll talk about some of the big things that are developing worldwide with him when he joins us.
[00:01:46.059 --> 00:01:49.201]  There is a video from Fox News Sunday
[00:01:50.265 --> 00:01:50.485]  That's
[00:02:09.206 --> 00:02:14.251]  You know, basically is to just get rid of you individually being able to get health care and to have it be state run.
[00:02:14.672 --> 00:02:20.958]  But the profits will go to the insurance companies and they will make you pay whatever they want.
[00:02:21.239 --> 00:02:26.364]  It's basically an unlimited corporate tax that is meant to shut down the economy.
[00:02:26.584 --> 00:02:27.465]  It's cloward and pivot.
[00:02:28.266 --> 00:02:38.060]  And that's just one manifestation in sociology and economics from the 60s, but it's older than that to come in and wreck a society.
[00:02:38.721 --> 00:02:44.529]  One of the best examples is the communist Bolsheviks when they took over Poland, Ukraine, Romania.
[00:02:45.790 --> 00:03:05.524]  Uh, part of Czechoslovakia and other areas, they would turn the economy off on record and shut down the food, shut down the water to make everybody totally bankrupt, shut down, and then only allow their inside operatives and their party officials to run businesses, also becoming fabulously wealthy.
[00:03:06.124 --> 00:03:14.950]  And then, of course, all the communist officials had beautiful chateaus on the Black Sea, but also in places like Switzerland and other areas.
[00:03:16.011 --> 00:03:27.820]  And they would launder billions of stolen rubles into foreign accounts and would have hundreds of mistresses and horse racing and everything else while folks starved to death.
[00:03:28.260 --> 00:03:30.442]  And that's how it is with the French Socialists.
[00:03:31.183 --> 00:03:32.324]  See, it all ties together.
[00:03:32.704 --> 00:03:39.469]  This year it came out, earlier this year, and then didn't get in trouble, that Swiss bureaucrats have billions apiece
[00:03:40.390 --> 00:03:50.898]  Even just mid-level have hundreds of millions of euros in Swiss and Luxembourg and Monte Carlo and Bahamas banks and they pay no taxes.
[00:03:52.139 --> 00:03:54.181]  But everyone else pays on average about 75% federal.
[00:03:56.317 --> 00:03:57.358]  And overall over 90%.
[00:03:57.578 --> 00:03:59.460]  But now the middle class, just get rid of them!
[00:03:59.960 --> 00:04:02.202]  Actual middle class and nouveau riche.
[00:04:02.542 --> 00:04:05.125]  It's a 100% plus actually.
[00:04:05.265 --> 00:04:05.765]  I keep saying 100%.
[00:04:06.706 --> 00:04:07.066]  I'm sorry.
[00:04:07.587 --> 00:04:11.270]  It's all the money you make and then more to destroy your savings.
[00:04:11.350 --> 00:04:19.297]  And then that money is again taken and select corporations are exempt and it transfers the economy and vertically integrates.
[00:04:19.337 --> 00:04:22.880]  It is a total 100% mafia crime syndicate takeover.
[00:04:23.883 --> 00:04:26.144]  And that is the plan here publicly.
[00:04:26.524 --> 00:04:37.986]  So the public is still so incredibly trusting of the criminal mafias that have seized control that most people will be completely bankrupted before they wake up.
[00:04:38.066 --> 00:04:42.668]  And then the only job will be government or government affiliated or corporate connected to the government job.
[00:04:42.988 --> 00:04:45.568]  So a lot of them will just shut up and try to survive in that system.
[00:04:46.048 --> 00:04:48.429]  And then the long dark night begins of total tyranny.
[00:04:49.758 --> 00:05:07.404]  And then the public will go along with the mass arrests and disappearances of people because, you know, you can never say you were wrong, you can never stand up against the evil, you have to give it full reign to destroy everything and then you are destroyed or humiliated and poor and your family used for basically national compulsory service.
[00:05:08.025 --> 00:05:08.705]  The road to slavery.
[00:05:09.719 --> 00:05:12.460]  Alex Jones here with a message to fellow freedom lovers.
[00:05:12.740 --> 00:05:17.583]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:05:17.763 --> 00:05:24.926]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:05:25.066 --> 00:05:30.470]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:05:30.710 --> 00:05:34.333]  These are items that I did research on, that I personally use.
[00:05:34.733 --> 00:05:39.257]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:05:39.457 --> 00:05:44.681]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:05:44.901 --> 00:05:47.963]  Strategic Relocation 3rd Edition by Joel Scalzin.
