[00:00:16.216 --> 00:00:18.600]  It's time for you men to stand up in the info hall.
[00:00:43.127 --> 00:00:45.349]  Welcome to the Infowars Nightly News.
[00:00:45.489 --> 00:00:46.470]  I'm Darren McBreen.
[00:00:46.551 --> 00:00:48.352]  It is Friday, May 31st, 2013.
[00:00:49.093 --> 00:00:52.056]  And here's a quick look at what's coming up.
[00:00:54.358 --> 00:00:54.718]  Tonight...
[00:00:55.538 --> 00:00:57.080]  The war in Syria heats up.
[00:00:57.360 --> 00:01:04.727]  Assad boasts Russia will deliver anti-aircraft missiles to Syria as an American woman is killed today fighting with Al-Qaeda-allied rebels.
[00:01:05.027 --> 00:01:11.113]  The same American-supported rebels fought planning a terrorist attack in Turkey with sarin gas.
[00:01:12.054 --> 00:01:15.518]  All that and more on tonight's InfoWars Nightly News.
[00:01:21.271 --> 00:01:32.100]  Now we begin this evening with the conflict in Syria, as tensions throughout the region have escalated to the point of a possible pre-emptive attack by Israel.
[00:01:32.420 --> 00:01:44.790]  This in retaliation to the recent discovery that Russia will deliver anti-aircraft missiles to Syria, which could provoke the Israelis to launch a future strike against the weapons.
[00:01:45.250 --> 00:02:03.387]  And this from The Guardian, Syria's President Bashar al-Assad has said Russia will deliver anti-aircraft missiles to Syria, a claim likely to dramatically increase tensions in the region, and which could provoke the Israelis to launch a future strike against the weapons.
[00:02:04.485 --> 00:02:09.487]  These are the long-range S-300 air defense rockets straight out of Moscow.
[00:02:10.068 --> 00:02:23.234]  Now, President Assad says that all of Syria's agreements with Russia will be implemented, and parts of them have already been implemented, indicating that perhaps, you know, some of the air defense rockets have already arrived in Syria.
[00:02:23.614 --> 00:02:27.816]  Meanwhile, senior Israeli figures signaled the possibility that Israel
[00:02:28.416 --> 00:02:37.484]  Could in the future launch a preemptive attack on Syria with a view to destroying the S-300s, which Israel considers a threat.
[00:02:37.945 --> 00:02:45.312]  In fact, the Israeli defense minister said they could not afford to allow the rockets to become fully functional.
[00:02:45.852 --> 00:02:53.679]  And there is a great concern that the Russian delivery of rockets to Syria could start a destructive
[00:02:54.560 --> 00:02:56.160]  Syrian-Israeli war.
[00:02:56.881 --> 00:03:00.342]  And no doubt, you know, the United States and Russia could get involved.
[00:03:00.382 --> 00:03:02.462]  This could be the beginning of World War III.
[00:03:03.002 --> 00:03:08.664]  So, you know, a dangerous situation developing right now in Syria.
[00:03:09.184 --> 00:03:11.184]  And don't forget that, you know, it's U.S.
[00:03:11.324 --> 00:03:21.087]  intervention and the arming of al-Qaeda militants in Syria that sparked the civil war and started this whole bloody mess to begin with.
[00:03:21.880 --> 00:03:34.523]  In fact, an American woman and two other Westerners who were killed while fighting on the side of FSA, that's Free Syrian Army Rebels in Syria, were found with an al-Nusra flag.
[00:03:36.343 --> 00:03:39.744]  And that's the Al-Qaeda group that killed the U.S.
[00:03:39.784 --> 00:03:40.824]  troops in Iraq.
[00:03:41.264 --> 00:03:44.825]  Now, they are the primary fighting force in the country.
[00:03:46.055 --> 00:03:48.917]  Backed by the United States and your tax dollars.
[00:03:49.537 --> 00:03:50.638]  How does that make you feel?
[00:03:51.118 --> 00:03:52.379]  You support Al-Qaeda.
[00:03:53.220 --> 00:03:58.443]  The al-Nusra terrorist organization, well they are now the leading fighting force in Syria.
[00:03:58.783 --> 00:04:00.764]  The FSA rebels are joining them.
[00:04:01.045 --> 00:04:07.449]  CNN is reporting that the American woman and the two Westerners that were killed, well they were in possession of the Al-Qaeda flag.
[00:04:07.469 --> 00:04:13.873]  29 different FSA rebel outfits have pledged their allegiance to Al-Qaeda.
[00:04:14.213 --> 00:04:18.674]  And they're out there ransacking Christian churches, they're burning U.S.
[00:04:18.814 --> 00:04:24.235]  and Israeli flags, and singing songs that glorify Osama Bin Laden.
[00:04:24.655 --> 00:04:29.036]  In fact, some of their units are even called Osama Bin Laden Brigades.
[00:04:29.656 --> 00:04:37.178]  And that, my friends, those are the terrorist organizations that are backed by, well, the
[00:04:38.306 --> 00:04:44.410]  Obama administration, NATO, they're supporting Syria, and these are bloodthirsty terrorists.
[00:04:44.530 --> 00:04:56.118]  And now, they're even talking about supplying the rebels with heavy weaponry, after Russia's decision to green light the, you know, the delivery of air defense systems to Assad.
[00:04:56.638 --> 00:05:07.746]  So what a mess, and to make matters worse, Al-Qaeda mercenaries in Syria, or should I say Al-Cieda mercenaries, well they've been caught with sarin gas.
[00:05:08.566 --> 00:05:26.305]  This, according to Turkish officials, this is concrete evidence that CIA mercenaries operating in Syria under the leadership of the al-Nusra Front, well it's a terrorist group aligned with Al-Qaeda, they are in possession of deadly sarin gas.
[00:05:26.705 --> 00:05:29.828]  They plan to use it against the Syrian army.
[00:05:30.689 --> 00:05:43.336]  But you watch, in typical NATO-US false flag fashion, the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:05:43.757 --> 00:05:48.259]  And Obama will finally have his excuse to intervene.
[00:05:49.440 --> 00:05:50.180]  Militarily.
[00:05:50.540 --> 00:05:58.443]  So, there is a good chance that in the not-so-distant future, we might be seeing a false flag terror attack in Syria.
[00:05:59.123 --> 00:06:00.644]  And, well, we're going to switch gears.
[00:06:00.664 --> 00:06:11.548]  I don't know if you heard about this, but there was a teenager in Florida who was slammed to the ground and choked by the police for, well, apparently, he was looking at them wrong.
[00:06:11.688 --> 00:06:14.909]  Gave them a mean look and he refused to obey their orders.
[00:06:15.169 --> 00:06:26.194]  Tremaine McMillian, that's the kid's name, he was slammed to the ground and put in a chokehold for the crime of giving Miami-Dade cops dehumanizing stares.
[00:06:26.895 --> 00:06:39.161]  The police also didn't care too much for his body language and they, well, they needless to say reacted violently when the 14-year-old boy failed to obey their commands.
[00:06:39.641 --> 00:06:43.803]  The boy's mother captured the incident on her cell phone.
[00:06:44.793 --> 00:06:50.896]  Police confronted McMillan when they saw him slam another teen on the sand of Hollover Beach on Memorial Day.
[00:06:50.916 --> 00:06:59.859]  Police say McMillan refused their repeated requests to take them to his parents, giving them dehumanizing stares and walking away before they had to restrain him.
[00:07:00.139 --> 00:07:11.604]  Once he's approaching the roadway, they grab him, and then once his body language of stiffening up, closing the fist, flaring his hands, trying to pull away, well now you're resisting an officer at that point.
[00:07:11.744 --> 00:07:13.485]  Of course, we have to neutralize the threat.
[00:07:14.468 --> 00:07:15.289]  All right, so there you go.
[00:07:15.349 --> 00:07:19.753]  I guess he was messing with another kid before the police got involved, but he's 14 years old.
[00:07:19.893 --> 00:07:20.934]  You know, they arrested him.
[00:07:20.974 --> 00:07:29.001]  He was charged with resisting with violence, which is a felony, by the way, and they also got him for disorderly conduct.
[00:07:29.621 --> 00:07:33.244]  And, you know, this is yet another example of how the police
[00:07:34.085 --> 00:07:38.928]  interact with the public and how they react if the public doesn't obey orders.
[00:07:39.208 --> 00:07:40.569]  The kid was 14 years old.
[00:07:40.709 --> 00:07:42.490]  I think he was mad-dogging the police.
[00:07:43.110 --> 00:07:49.494]  And if they, you know, if you don't obey their orders, if you're 14, you're gonna get slammed to the ground and choked out.
[00:07:49.594 --> 00:07:50.374]  So, anyway.
[00:07:50.695 --> 00:07:51.935]  Now here's something interesting.
[00:07:52.576 --> 00:08:01.521]  The Illinois Agriculture Department illegally seized privately owned bees that just so happened to be resistant to GMO poison.
[00:08:02.181 --> 00:08:09.126]  Terrence Ingram, a world-renowned naturalist who once saved the bald eagle from being on the endangered species list.
[00:08:09.446 --> 00:08:15.089]  Well, he was recently met by the Illinois Agriculture Department, which seized his privately owned bees.
[00:08:15.510 --> 00:08:23.835]  The department seized his bees that were resistant to GMO pesticides and killed the remaining healthy queen bees.
[00:08:24.475 --> 00:08:34.020]  Ingram had been researching the effects of Roundup, the Monsanto frankenfood best-selling herbicide, meant to make crops more resilient to pests.
[00:08:34.440 --> 00:08:42.465]  Roundup itself, well, you know, it has a long list of negative effects, with the product even shown to kill human kidney cells.
[00:08:43.125 --> 00:08:45.707]  Has no proof that they were nuisance hives.
[00:08:46.707 --> 00:08:47.467]  No proof at all.
[00:08:48.688 --> 00:08:49.969]  I had not had my day in court.
[00:08:49.989 --> 00:08:51.350]  The hearing wasn't until April 4th.
[00:08:52.335 --> 00:08:54.176]  They took the bees on March 14th.
[00:08:54.717 --> 00:08:56.958]  If they had good cause, yes.
[00:08:57.799 --> 00:09:02.082]  If they had given me a day in court to prove that they had good cause, yes, I'd say that's fine.
[00:09:03.022 --> 00:09:12.229]  But when they didn't give me a chance in court to prove it, and without notifying me, without a warrant, I feel my rights have been definitely violated.
[00:09:13.490 --> 00:09:17.412]  But Monsanto, as you know, is above the law.
[00:09:17.772 --> 00:09:22.314]  At least here in the United States, although they're even more powerful than the federal government.
[00:09:22.735 --> 00:09:29.418]  And as a result of the Monsanto Protection Act, well, there can be no legal action held against them.
[00:09:29.878 --> 00:09:34.200]  Now this guy, Terrence Ingram, he's been raising bees for 58 years.
[00:09:35.561 --> 00:09:50.566]  He's been researching Roundup's effects on bees for the past 15 plus years or so, and needless to say, the results of his research were not likely going to be a positive report on the benefits of GMO pesticides.
[00:09:51.286 --> 00:10:04.777]  And speaking of Satan's all-time favorite corporation, Monsanto Corporation, last week there was a worldwide march against Monsanto, one of the biggest unified global protests in history.
[00:10:05.237 --> 00:10:11.683]  Of course it was ignored by the mainstream press, but lots of people attended nationwide and globally.
[00:10:12.303 --> 00:10:17.568]  Now here's some footage sent in to us from the march against Monsanto in Reno, Nevada.
[00:10:18.328 --> 00:10:26.074]  And reportedly MSN said that only a dozen or so people showed up in Reno, but in fact it was closer to 1,000.
[00:10:26.114 --> 00:10:31.818]  So, and I understand that there was a really big... There it is!
[00:10:31.838 --> 00:10:32.219]  Look at that!
[00:10:32.399 --> 00:10:34.280]  That is... Damn!
[00:10:34.360 --> 00:10:37.703]  That's like the biggest Infowars.com banner I've ever seen.
[00:10:39.744 --> 00:10:40.584]  Nice job, guys.
