[00:00:21.227 --> 00:00:23.051]  It's Tuesday, October 22nd.
[00:00:23.152 --> 00:00:24.234]  I'm Paul Joseph Watson.
[00:00:24.254 --> 00:00:26.158]  This is InfoWars Nightly News.
[00:00:27.762 --> 00:00:42.531]  Tonight, on the InfoWars Nightly News, 47 million food stamp recipients to have their benefits cut back on November 1st, while DHS spends 80 million in tax dollars to quell civil disturbance.
[00:00:43.051 --> 00:00:50.116]  Plus, Alex Jones and Anthony Gucciardi reason with the San Antonio Police Chief at the Alamo over gun control.
[00:00:50.576 --> 00:00:53.698]  All that and more on the InfoWars Nightly News.
[00:01:00.902 --> 00:01:06.806]  Top story tonight, Interpol Chief arms citizens globally to prevent terror attacks.
[00:01:07.266 --> 00:01:16.852]  Interpol Secretary General Ronald Noble told ABC News that one of the only ways to prevent terrorists from hitting soft targets was to arm citizens globally.
[00:01:17.870 --> 00:01:26.455]  Noting that the Westgate mall siege would have been averted far quicker if it had taken place in gun-friendly areas like Denver or Texas.
[00:01:27.155 --> 00:01:33.379]  Noble's statements are a powerful rebuttal to the anti-gun lobby, especially given his background.
[00:01:33.719 --> 00:01:39.823]  The Interpol chief was formerly head of all law enforcement for the US Treasury Department.
[00:01:40.603 --> 00:01:57.588]  And as we saw with the mall siege in Kenya, it was ex-SAS soldiers and others armed with handguns who helped rescue the hostages, who couldn't defend themselves because they live in a country where, aside from the government, only criminals and terrorists are able to access guns.
[00:01:58.388 --> 00:02:05.959]  So the head of Interpol is now saying that it's time to arm the people to prevent bloodbaths like the Westgate mall siege.
[00:02:06.580 --> 00:02:13.709]  This is the head of the second largest global intergovernmental organization after the United Nations.
[00:02:13.749 --> 00:02:14.891]  This is a big, big deal.
[00:02:15.754 --> 00:02:18.156]  And his views are backed up by hard statistics.
[00:02:18.796 --> 00:02:28.384]  Studies which are linked in this InfoWars article illustrate how Americans use guns some 2.5 million times a year to protect themselves during confrontations with criminals.
[00:02:28.844 --> 00:02:34.468]  Justice Department figures also show that violent crimes have decreased as gun ownership has increased.
[00:02:35.029 --> 00:02:42.995]  And it's a brave stand from an extremely prominent individual and we can expect the backlash from the gun control lobby to be imminent.
[00:02:44.025 --> 00:02:49.231]  Homeland Security spends $80 million on armed guards for civil disturbances.
[00:02:49.452 --> 00:03:02.787]  The DHS is set to spend $80 million on hiring a raft of armed guards to protect IRS and other government buildings in upstate New York during, quote, public demonstrations and civil disturbances.
[00:03:03.328 --> 00:03:06.889]  So again, they're talking about preparing for domestic disorder.
[00:03:07.369 --> 00:03:20.633]  And we know for a fact that the federal agency is preparing for civil unrest because back in June, the DHS was busy purchasing body armor and helmets for what they said were riot control situations.
[00:03:20.653 --> 00:03:21.593]  That's a direct quote.
[00:03:22.053 --> 00:03:25.094]  So we're not saying that Homeland Security is gearing up for riots.
[00:03:25.774 --> 00:03:26.254]  They are!
[00:03:26.735 --> 00:03:29.077]  And what form could such domestic disorder take?
[00:03:29.437 --> 00:03:45.449]  Well, last year, FPS agents, which is a unit of the DHS, ran a drill entitled Operation Shield, during which armed FPS agents with semi-automatic guns were stationed outside a Social Security office in Florida.
[00:03:46.009 --> 00:03:51.853]  So, are they preparing for an anti-IRS backlash, potentially, in relation to Obamacare?
[00:03:52.659 --> 00:03:59.982]  Or possibly gearing up for what happens when benefits get cut or ultimately withdrawn altogether.
[00:04:00.302 --> 00:04:02.062]  Which leads us into our next story.
[00:04:03.123 --> 00:04:05.684]  EBT looters to be shamed online.
