[00:00:00.819 --> 00:00:03.221]  You're listening to GCN.
[00:00:03.221 --> 00:00:12.386]  Great Talk Radio starts here.
[00:00:12.386 --> 00:00:13.687]  Big Brother.
[00:00:13.687 --> 00:00:15.468]  Mainstream media.
[00:00:15.468 --> 00:00:17.230]  Government cover-ups.
[00:00:17.230 --> 00:00:18.811]  You want answers?
[00:00:18.811 --> 00:00:20.372]  Well, so does he.
[00:00:20.372 --> 00:00:24.554]  He's Alex Jones on the GCN Radio Network.
[00:00:24.554 --> 00:00:28.657]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.577 --> 00:00:38.483]  The InfoWars crew is just a group of amazing people, but they are understaffed.
[00:00:38.483 --> 00:00:43.749]  But you, the listeners, can ferret it out, just to show the unbelievers out there that I know what I'm talking about.
[00:00:43.749 --> 00:00:49.194]  Because I've watched the same scripting, the same playbook played over and over again, with horror.
[00:00:50.385 --> 00:00:54.589]  It just tears my guts out that this has all the signs of a staged event.
[00:00:54.589 --> 00:00:57.051]  I'm tired of watching the globalists take over.
[00:00:57.051 --> 00:01:01.474]  My entire will, everything I am, is set against these people.
[00:01:01.474 --> 00:01:19.309]  And I said probably, let's not exaggerate, five times yesterday in the first three hours before the Ryerson letter was announced after I got off the air yesterday, that I would expect, if this is a black op, to steal our liberties.
[00:01:20.742 --> 00:01:23.964]  If you see a grizzly bear in the woods, folks, it's like asking, is it crap in the woods?
[00:01:23.964 --> 00:01:24.505]  I'm sorry.
[00:01:24.505 --> 00:01:39.555]  It's just everything about this, the preconditioning, the rollout, all of it just screams branding, branding, branding, demonize the patriots, flip Homeland Security against libertarian gun owners, conservatives.
[00:01:39.555 --> 00:01:42.256]  I mean, I've been telling you every day.
[00:01:42.256 --> 00:01:45.779]  And bare minimum, they've provocateured some mentally ill person.
[00:01:45.779 --> 00:01:50.482]  They're now coming out and saying, yes, it's we now believe it'll be a domestic group and a right winger.
[00:01:51.795 --> 00:01:54.899]  Michael Moore, Chris Matthews, Shalon.
[00:01:54.899 --> 00:01:58.743]  Let's hope the Boston Marathon bomber is a white person.
[00:01:58.743 --> 00:02:05.211]  Officials, Boston bombing likely carried out by domestic terrorists, not Al Qaeda.
[00:02:05.211 --> 00:02:07.233]  And then see when, of course, that comes out.
[00:02:08.356 --> 00:02:10.959]  They'll all be, see, we predicted it.
[00:02:10.959 --> 00:02:16.745]  Southern Poverty Law Center a month before said a new Oklahoma City is imminent.
[00:02:16.745 --> 00:02:23.653]  And they said, we remind you, Mr. President, we warned your predecessor Bill Clinton one month before it was imminent as well.
[00:02:24.733 --> 00:02:33.757]  Oh, oh, you're not, we're not going to look at you, that you have connections to people that are on the inside, which it turned out you were running the Elohim City that McVeigh was in.
[00:02:33.757 --> 00:02:35.638]  That came out in federal documents.
[00:02:35.638 --> 00:02:41.160]  Oh, oh, and the Deputy Attorney General was over that, who's now Attorney General, who ran fast and furious.
[00:02:41.160 --> 00:02:47.302]  Oh, no, it's that you're so smart, and you care about us so much.
[00:02:47.302 --> 00:02:51.224]  They're targeting an audience of emotional nincompoops.
[00:02:52.892 --> 00:03:00.914]  And those of us that know the game, I mean, it's like watching football in 1-100 speed.
[00:03:00.914 --> 00:03:02.675]  And having the playbook, okay?
[00:03:02.675 --> 00:03:05.436]  They just gave this call, that's a code for this.
[00:03:05.436 --> 00:03:07.376]  He's gonna run the wishbone, okay?
[00:03:07.376 --> 00:03:08.977]  He's gonna throw to that.
[00:03:08.977 --> 00:03:09.477]  I mean, this is 100%.
[00:03:11.889 --> 00:03:16.911]  And I'm here, and I'm working around the clock, not because I'm a hero, but because we have no future if we don't beat this.
[00:03:16.911 --> 00:03:19.632]  I did three hours of Coast to Coast AM.
[00:03:19.632 --> 00:03:21.112]  Then I slept for two hours.
[00:03:21.112 --> 00:03:26.134]  I did an hour plus with Opie and Anthony this morning.
[00:03:26.134 --> 00:03:31.576]  And the crew's been doing, I don't know, nine, ten, twelve hours a day live coverage.
[00:03:31.576 --> 00:03:35.238]  So, quite frankly, I feel good.
[00:03:35.238 --> 00:03:35.798]  But I feel like
[00:03:37.287 --> 00:03:40.328]  I feel good like after you've been in a big fight and got out of it alive.
[00:03:40.328 --> 00:03:44.168]  I mean, I feel like I've been beat to hell, but I still feel good.
[00:03:44.168 --> 00:03:49.429]  And I gotta go work on the next issue of the magazine and stuff after I get off today.
[00:03:49.429 --> 00:03:52.950]  I'm not complaining, but folks, there's a reason I got black circles around my eyes.
[00:03:52.950 --> 00:03:56.130]  Because I burned the candle at both ends, and I'm proud to be doing it.
[00:03:56.130 --> 00:03:59.951]  Because, you know, any time now they could set me up, arrest me, kill me, whatever.
[00:03:59.951 --> 00:04:04.492]  I want to make sure I put in the maximum effort now before the hammer really drops.
[00:04:06.053 --> 00:04:09.915]  And, uh, you know, to the trolls and people out there, this happens every time there's a false flag.
[00:04:09.915 --> 00:04:12.116]  How dare Alex Jones say it can be a false flag?
[00:04:12.116 --> 00:04:18.000]  Governments never did anything like this when there's all this evidence and all these other events.
[00:04:18.000 --> 00:04:21.982]  As if what trolls go out and do affects me.
[00:04:21.982 --> 00:04:26.144]  Now, it's meant to affect other weak-minded people, but weak-minded people are going to be weak-minded.
[00:04:26.144 --> 00:04:29.506]  I mean, that's just the way it is.
[00:04:29.506 --> 00:04:31.487]  That's just the way it is.
[00:04:31.487 --> 00:04:32.168]  And, um...
[00:04:33.234 --> 00:04:36.397]  Of course, I said what prediction did I make five times yesterday?
[00:04:36.397 --> 00:04:40.080]  I don't even know how I know all this stuff.
[00:04:40.080 --> 00:04:41.041]  I just know it because I'm...
[00:04:42.142 --> 00:04:48.187]  Because on the day of 9-11, I said, they're going to launch a bio-attack now to keep the fear going.
[00:04:48.187 --> 00:04:51.290]  And you know why I knew that?
[00:04:51.290 --> 00:04:54.893]  Because of the anthrax vaccine they were pushing and a bunch of other stuff.
[00:04:54.893 --> 00:04:59.076]  But this time, I said, there'll be another bio-attack if this is an inside job.
[00:04:59.076 --> 00:05:04.921]  And Obama and a senator have reportedly been mailed Ryerson now.
[00:05:04.921 --> 00:05:06.002]  So there you go.
[00:05:07.600 --> 00:05:09.501]  Introducing Pro-1.
[00:05:09.501 --> 00:05:13.142]  All of your filtration in one system, portable, on-the-go.
[00:05:13.142 --> 00:05:17.684]  No more do you have two or three filters to just reduce sodium fluoride.
[00:05:17.684 --> 00:05:23.806]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:05:23.806 --> 00:05:34.570]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:05:34.770 --> 00:05:41.272]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:05:41.272 --> 00:05:55.995]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands,
[00:05:56.215 --> 00:05:58.577]  And sodium hexafluorosilicate.
