[00:00:14.477 --> 00:00:17.163]  It's time for humanity to stand up in the info bar!
[00:00:41.363 --> 00:00:41.824]  Good evening.
[00:00:41.844 --> 00:00:44.066]  You're watching InfoWars Nightly News.
[00:00:44.246 --> 00:00:45.327]  I'm David Ortiz.
[00:00:45.427 --> 00:00:51.613]  It's Thursday, the 28th of February of 2013, and here's what we have in store for you tonight.
[00:00:54.452 --> 00:01:04.239]  Tonight, a bill has been introduced in Texas that would allow children to consent to receiving vaccines without any parental input.
[00:01:04.619 --> 00:01:07.121]  Then, documents reveal that U.S.
[00:01:07.221 --> 00:01:09.863]  Marshals are using spy drones.
[00:01:11.104 --> 00:01:16.348]  Sarah Palin says the feds are stockpiling bullets for civil unrest.
[00:01:16.948 --> 00:01:17.809]  Yeah, you think?
[00:01:18.309 --> 00:01:21.412]  All that and more on the InfoWars Nightly News.
[00:01:24.204 --> 00:01:24.844]  Welcome back.
[00:01:24.865 --> 00:01:36.612]  Well, it seems the state of Texas is sponsoring legislation, a certain legislator in Texas, that would allow certain minors to receive immunization shots if they want to.
[00:01:37.073 --> 00:01:42.796]  According to an article posted today by our very own Melissa Melton on Infowars.com, the headline reads,
[00:01:54.504 --> 00:02:12.535]  The bill SB63, which is sponsored by Representative Jane Nelson, reach out to her, is called Relating to Consent to the Immunization of Certain Children, would allow for consent to immunization by a child if the child is pregnant or is the custodial parent of a child.
[00:02:12.555 --> 00:02:21.280]  So basically, what this proposed bill is saying is that we think you're mature enough to get an immunization shot if in fact you're pregnant.
[00:02:22.000 --> 00:02:23.101]  So it's clearly amazing.
[00:02:23.121 --> 00:02:24.921]  I don't know what the intent of this is.
[00:02:24.941 --> 00:02:28.643]  I guess it's probably just to get Big Pharma more rich.
[00:02:29.203 --> 00:02:32.965]  But that's what they want, and that's what's going on in the state of Texas.
[00:02:33.045 --> 00:02:47.851]  Reach out to Jane Nelson, and it's important to note that according to various studies, parents who receive flu shots, mothers who receive flu shots, are 4,000% more likely to experience a fetal death.
[00:02:49.013 --> 00:02:49.874]  So, there you go.
[00:02:49.914 --> 00:02:51.096]  Jane Nelson, SB 63.
[00:02:53.126 --> 00:03:00.151]  Now in other stories, in InfoWars.com, an article was posted today, the headline read, Documents Reveal U.S.
[00:03:00.231 --> 00:03:03.052]  Marshals Using Spy Drones.
[00:03:03.393 --> 00:03:03.833]  Shocking.
[00:03:04.854 --> 00:03:07.996]  Documents obtained by the ACLU have revealed that the U.S.
[00:03:08.096 --> 00:03:12.619]  Marshals Service has experimented with using drones for domestic surveillance.
[00:03:12.979 --> 00:03:18.062]  The documents available on the ACLU website were released via a Freedom of Information Act request.
[00:03:18.642 --> 00:03:19.543]  That's an evil act.
[00:03:19.903 --> 00:03:20.604]  And basically,
[00:03:21.424 --> 00:03:28.006]  From the very few documents that they received, one of the documents said in 2004 and 2005, the U.S.
[00:03:28.166 --> 00:03:34.828]  Marshals Service tested two small drones in remote areas to help them track fugitives.
[00:03:35.688 --> 00:03:39.910]  And the Marshals Service abandoned the program after both drones crashed.
[00:03:40.030 --> 00:03:41.170]  So it really doesn't matter
[00:03:41.890 --> 00:03:44.393]  What federal agency fesses up to this?
[00:03:45.774 --> 00:03:57.447]  Basically all federal agencies that are involved with the military are using this, but we're starting to see now that more and more agencies are fessing up to this due to Freedom of Information Acts.
[00:03:57.507 --> 00:03:58.107]  So there you go.
[00:03:58.147 --> 00:04:03.213]  They're using domestic drones, drones domestically here in the U.S., and that's just further proof of it.
[00:04:03.713 --> 00:04:14.281]  Now, in other news, speaking of civil liberties being violated, in an article posted today on InfoWars.com by our very own Kurt Nimmo, the headline reads, it's official, the Fourth Amendment is dead.
[00:04:14.642 --> 00:04:19.686]  And basically the article says that earlier this week in a 5-4 decision, the court ruled, the Supreme Court ruled,
[00:04:20.406 --> 00:04:33.378]  That citizens cannot challenge government wiretapping laws, in particular the Unconstitutional Foreign Intelligence Surveillance Act of 1978, and more recently the FISA Amendments Act of 2008, and later on in the article,
[00:04:35.880 --> 00:04:40.605]  It quotes Judge Andrew Napolitano, former Judge Andrew Napolitano, who's a libertarian.
[00:04:40.965 --> 00:04:50.895]  He says, quote, FISA gives the government unchecked authority to snoop on all Americans who communicate with any foreign person in direct contravention of the Fourth Amendment.
[00:04:50.935 --> 00:04:51.376]  Basically,
[00:04:52.185 --> 00:05:03.734]  FISA basically says that if you're speaking to someone overseas, and the government deems that person a threat or a person of interest, they can basically wiretap you and surveillance what you're doing.
[00:05:04.134 --> 00:05:07.297]  So that's also dangerous not only for you and me, but for journalists.
[00:05:07.577 --> 00:05:13.401]  If journalists are trying to speak to a source who's overseas, and the government says, hey, what are you doing?
[00:05:14.542 --> 00:05:21.488]  We won't be able to out criminality, because sources are going to be, we're not going to be able to speak to certain sources.
[00:05:22.230 --> 00:05:23.199]  Now in other news...
[00:05:24.122 --> 00:05:27.564]  In an article posted today by Paul Joseph Watson, the headline reads,
