[00:00:02.287 --> 00:00:04.337]  You're listening to GCN.
[00:00:04.699 --> 00:00:06.407]  Great Talk Radio starts here.
[00:00:13.905 --> 00:00:18.087]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:18.748 --> 00:00:19.548]  You want answers?
[00:00:20.328 --> 00:00:21.269]  Well, so does he.
[00:00:21.869 --> 00:00:25.491]  He's Alex Jones on the GCN Radio Network.
[00:00:26.071 --> 00:00:30.133]  And now, live from Austin, Texas, Alex Jones.
[00:00:49.674 --> 00:00:54.238]  Alright folks, it is another live worldwide transmission.
[00:00:54.278 --> 00:00:56.260]  Get ready, I am your host Alex Jones.
[00:00:57.120 --> 00:01:11.672]  We have a top professor joining us, Roman Jampolanski, who was on with us about two years ago, warning of a cybernetic takeover of society.
[00:01:12.593 --> 00:01:16.156]  And he's going to be joining us for about 45 minutes in the second hour.
[00:01:17.213 --> 00:01:25.219]  You've got coming out where all the major pharmacological pills will have tracker chips in them that report back to Skynet on you.
[00:01:26.000 --> 00:01:29.502]  All of the appliances with wireless internet are watching you.
[00:01:29.522 --> 00:01:32.064]  That's what the CIA director said.
[00:01:33.045 --> 00:01:35.647]  Remember in the Batman before last, the one with the Joker?
[00:01:37.682 --> 00:01:51.075]  They use the sonar, they use the wireless internet on the cell phones to create a system that scans and maps the entire city, but that also listens to everybody.
[00:01:51.735 --> 00:01:53.277]  That's real technology.
[00:01:54.678 --> 00:01:57.601]  For decades, they've been using wireless internet
[00:01:59.484 --> 00:02:01.945]  and wireless telecommunications to scan.
[00:02:02.446 --> 00:02:04.107]  They've got receiver chips.
[00:02:04.747 --> 00:02:13.632]  We've had engineers on about this, where it doesn't just go out and transmit data and then receive data in the transmitter and receiver.
[00:02:14.372 --> 00:02:21.556]  They can have another system that when it transmits out, it bounces back just like
[00:02:22.546 --> 00:02:27.789]  You use radar to make out the shape of an aircraft, and it can look right through your walls.
[00:02:27.809 --> 00:02:30.031]  That's what I keep trying to explain to people here.
[00:02:30.811 --> 00:02:32.552]  This is all being announced, by the way.
[00:02:33.072 --> 00:02:41.117]  This is in Wired Magazine, Washington Times, Associated Press, and you're saying, what's it have to do with robot takeover?
[00:02:41.558 --> 00:02:46.841]  Everything is being jacked with surveillance systems.
[00:02:49.382 --> 00:02:50.223]  By design.
[00:02:52.202 --> 00:02:56.523]  This is being shut up, so we're going to be breaking all of that down today.
[00:02:56.563 --> 00:03:12.588]  We also have a very interesting guest, the makers, James Lane and Richard Grove, in studio of a new film that we are exclusively distributing for the next three months, and that is, of course, State of Mind.
[00:03:13.108 --> 00:03:19.850]  That is the best film out there on the history, present and future of different systems of mind control.
[00:03:20.290 --> 00:03:21.370]  It's very well done.
[00:03:24.574 --> 00:03:30.197]  It's a great tool to bring yourself to a higher level of understanding, but also to wake up friends and family.
[00:03:30.217 --> 00:03:35.519]  It's available on Blu-ray, I should add, not just DVD, at InfowarsStore.com.
[00:03:35.899 --> 00:03:41.422]  And while supplies last, there's maybe a thousand of them left, so we'll have to take that special off very soon.
[00:03:41.442 --> 00:03:47.104]  You can get a free DVD of American Dream, the animated film exposing the private Federal Reserve.
[00:03:47.124 --> 00:03:48.285]  It's very entertaining.
