[00:00:00.666 --> 00:00:02.488]  Will you fight?
[00:00:02.488 --> 00:00:05.531]  Fight?
[00:00:05.531 --> 00:00:07.052]  Against that?
[00:00:07.052 --> 00:00:08.073]  No!
[00:00:08.073 --> 00:00:09.694]  We will run!
[00:00:09.694 --> 00:00:11.716]  And we will live.
[00:00:11.716 --> 00:00:12.697]  Aye.
[00:00:12.697 --> 00:00:14.899]  Fight and you may die.
[00:00:14.899 --> 00:00:17.842]  Run and you'll live.
[00:00:17.842 --> 00:00:18.543]  At least a while.
[00:00:18.543 --> 00:00:21.966]  I'm dying in your beds many years from now.
[00:00:23.322 --> 00:00:42.538]  Would you be willing to trade all the days from this day to that for one chance, just one chance to come back here and tell our enemies that they may take our lives, but they'll never take our freedom!
[00:00:42.538 --> 00:00:47.522]  Rallying patriots worldwide in defense of human liberty.
[00:00:47.522 --> 00:00:49.043]  It's Alex Jones.
[00:00:53.976 --> 00:00:58.459]  Ladies and gentlemen, it is Sunday, the third day of March 2013.
[00:00:58.459 --> 00:01:00.941]  I am your host, Alex Jones.
[00:01:00.941 --> 00:01:05.965]  I want to thank you all for tuning in on this Sunday Worldwide Transmission.
[00:01:05.965 --> 00:01:15.692]  Coming up today, we've got an encore presentation for you with some key information, but we're also going to have some new info today as well.
[00:01:15.692 --> 00:01:20.956]  But coming up right after the break, my interview with Congressman Ron Paul earlier in the week.
[00:01:20.956 --> 00:01:22.518]  It's so important we're going to re-air that.
[00:01:23.220 --> 00:01:24.489]  On this Sunday broadcast.
[00:01:25.438 --> 00:01:29.000]  And then we've got the Michael Savage interview.
[00:01:29.000 --> 00:01:33.984]  And whether you love Michael Savage or hate Michael Savage, he's definitely interesting and informative and makes a lot of good points.
[00:01:33.984 --> 00:01:45.011]  And the fact that we can get the second biggest to third biggest, depending on who you look at, it might be George Norrie, it might be Michael Savage, but he's rated by most critics as the second biggest radio talk show host in the United States.
[00:01:45.011 --> 00:01:52.336]  That we could get Michael Savage on and, you know, communicate with him and hopefully wake him up to some of the things he's not aware of.
[00:01:53.397 --> 00:01:57.460]  And also get his audience more awake and to tune into what we're doing.
[00:01:57.460 --> 00:01:59.761]  That is a win-win-win-win-win.
[00:01:59.761 --> 00:02:08.787]  And then we've got some big excerpts of not last Sunday when he called in live, but from the Thursday broadcast with the one, the only Ted Nugent.
[00:02:09.639 --> 00:02:12.740]  So please call your friends and family and tell them to tune in to this Sunday broadcast.
[00:02:12.740 --> 00:02:17.721]  And remember, the system doesn't want you to be aware of this information.
[00:02:17.721 --> 00:02:22.063]  That's why they stonewall you and say there are no drones when the drone program is even admitted.
[00:02:22.063 --> 00:02:25.704]  That's why they engage in all these activities.
[00:02:25.704 --> 00:02:32.846]  Watson did an article about Sarah Palin, you know, talking about 2 billion rounds of ammo that are admitted in the federal government's own purchase orders and online.
[00:02:34.507 --> 00:02:49.498]  In public filings and a bunch of publications, so-called liberal publications, authoritarian publications, came out and said that she was insane, that it was just totally made up and an internet rumor giving no proof.
[00:02:49.498 --> 00:02:58.685]  I mean, just a new level of propagandizing the public like there's some foreign occupying army, which they are, the foreign occupying army of the globalists.
[00:02:59.795 --> 00:03:00.956]  So pretty incredible.
