[00:00:03.433 --> 00:00:05.462]  You're listening to GCN.
[00:00:05.823 --> 00:00:07.551]  Great Talk Radio starts here.
[00:00:15.049 --> 00:00:19.231]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.871 --> 00:00:20.672]  You want answers?
[00:00:21.472 --> 00:00:22.313]  Well, so does he.
[00:00:23.013 --> 00:00:26.615]  He's Alex Jones on the GCN Radio Network.
[00:00:27.195 --> 00:00:31.277]  And now, live from Austin, Texas, Alex Jones.
[00:00:40.720 --> 00:00:45.424]  My friends, it is Tuesday, already the 8th day of October 2013.
[00:00:46.024 --> 00:00:47.986]  I am your host, Alex Jones.
[00:00:48.326 --> 00:00:49.447]  We're going to open the phones up.
[00:00:49.487 --> 00:00:57.694]  Coming up in the next segment, I'll give the number out to talk about all of the incredible news that is taking place and unfolding right now.
[00:00:58.314 --> 00:01:06.047]  Here's just some of the government shutdown news that I have here in my stack we're going to be going over.
[00:01:06.107 --> 00:01:09.754]  Runner fined $100 at Valley Forge amid government shutdown.
[00:01:09.774 --> 00:01:11.998]  You're not allowed to run down the sidewalk.
[00:01:13.680 --> 00:01:14.220]  Here's another one.
[00:01:15.001 --> 00:01:18.502]  The gyms for members of the Congress deemed essential.
[00:01:18.542 --> 00:01:20.723]  They will remain open, some of the luxury golf courses.
[00:01:21.403 --> 00:01:26.325]  Park Service okayed immigration reform rally on closed National Mall.
[00:01:27.005 --> 00:01:28.506]  But wait for it, it gets better.
[00:01:28.886 --> 00:01:32.887]  Feds hold seniors at gunpoint during National Park shutdown.
[00:01:33.248 --> 00:01:36.469]  Actually made them stay on the bus and in a hotel at gunpoint.
[00:01:37.412 --> 00:01:39.554]  At gunpoint, literally kidnapped them.
[00:01:40.135 --> 00:01:41.757]  That's what the local paper says.
[00:01:42.237 --> 00:01:44.059]  Paul Watson found this in the Eagle Tribune.
[00:01:44.340 --> 00:01:47.763]  That's what the locals called it, was Gestapo tactics and kidnapping.
[00:01:48.144 --> 00:01:49.405]  That's not our headline.
[00:01:49.646 --> 00:01:51.427]  That's the local paper properly saying.
[00:01:51.447 --> 00:01:52.148]  I mean, imagine.
[00:01:52.669 --> 00:01:55.852]  You show up to the hotel where you've booked months ago.
[00:01:56.693 --> 00:01:59.695]  On the bus, and the park rangers run over and go, get back, get back!
[00:01:59.775 --> 00:02:00.416]  With guns!
[00:02:00.476 --> 00:02:02.137]  Because you're an American citizen, folks.
[00:02:02.497 --> 00:02:04.038]  You are the enemy.
[00:02:04.399 --> 00:02:05.279]  You're illegal aliens?
[00:02:05.399 --> 00:02:05.980]  Ha ha!
[00:02:06.400 --> 00:02:07.921]  Come on in, baby!
[00:02:08.902 --> 00:02:12.384]  Again, the globalists are literally taking this country down right now.
[00:02:12.425 --> 00:02:13.265]  That story just broke.
[00:02:13.665 --> 00:02:15.987]  InfoWars.com and PrisonPlanet.com.
[00:02:16.187 --> 00:02:19.430]  Here's a Kit Daniels article breaking nationally at InfoWars.com.
[00:02:19.690 --> 00:02:20.811]  Just minutes ago, went up.
[00:02:21.792 --> 00:02:24.334]  So hit refresh on InfoWars if you're on the site.
[00:02:24.914 --> 00:02:32.059]  Sixth graders assignment, destroy the Bill of Rights in the first assignment in the school year.
[00:02:32.299 --> 00:02:33.460]  And he discovered this.
[00:02:33.480 --> 00:02:34.641]  This is not broken anywhere.
[00:02:35.242 --> 00:02:41.406]  In Arkansas, under Common Core, the folks that teach 2 plus 2 equals 5, you wanted to sabotage society, that's how you roll.
[00:02:42.046 --> 00:02:44.568]  Well, guess what, ladies and gentlemen?
[00:02:44.828 --> 00:02:48.871]  They revised the old racist, evil document.
[00:02:49.952 --> 00:02:51.153]  So if you set foot
[00:02:52.372 --> 00:02:55.754]  And run down a sidewalk at Valley Forge, you're going to get tickets or arrested.
[00:02:56.234 --> 00:03:01.316]  Or if you pull up in your travel bus at the hotel at the National Park, you're not just going to be turned back.
[00:03:01.636 --> 00:03:03.537]  They've got extra people on extra duty.
[00:03:03.737 --> 00:03:06.059]  They're going to draw down on you.
[00:03:08.059 --> 00:03:08.400]  I agree.
[00:03:08.420 --> 00:03:10.060]  I think they should execute everybody on board.
[00:03:10.701 --> 00:03:11.261]  Just kill them.
[00:03:11.301 --> 00:03:11.881]  They're Americans.
[00:03:12.141 --> 00:03:13.922]  There might even be World War II vets on board.
[00:03:13.962 --> 00:03:14.943]  I mean, that's even worse.
[00:03:16.133 --> 00:03:17.817]  I mean, this is totally reasonable.
[00:03:17.977 --> 00:03:18.398]  I agree.
[00:03:18.778 --> 00:03:22.645]  By the way, you know, they've banned the word paper bag in places like Seattle because it's racist.
[00:03:23.327 --> 00:03:24.449]  Because they control the language now.
[00:03:24.469 --> 00:03:25.030]  They're the bosses.
[00:03:25.885 --> 00:03:28.486]  And you know the last decade they've banned dodgeball and stuff.
[00:03:28.906 --> 00:03:33.767]  Now most schools have banned jogging or running at recess or recess altogether.
[00:03:33.807 --> 00:03:37.088]  You've got to stay in the cafeteria.
[00:03:37.608 --> 00:03:38.408]  Well, guess what?
[00:03:38.548 --> 00:03:46.610]  Long Island Middle School has banned footballs and any other recreational devices because playing is dangerous.
[00:03:46.650 --> 00:03:47.310]  And of course it is.
[00:03:48.191 --> 00:03:51.574]  In fact, my dad says we ought to do a joke PSA, and I'm going to do this.
[00:03:51.594 --> 00:03:53.396]  I'm getting everybody else the idea right now.
[00:03:53.676 --> 00:03:55.158]  I want to send our reporters out today.
[00:03:55.198 --> 00:03:55.939]  Let's just do it today.
[00:03:56.720 --> 00:03:57.540]  Or I'll go out and do it.
[00:03:58.201 --> 00:04:04.767]  But we need to go out and say, oh yes, we have a petition to ban walking without a helmet for your safety.
[00:04:05.788 --> 00:04:06.950]  So we're going to be going over that.
[00:04:07.170 --> 00:04:09.933]  And the news, CBS News, comes out and acts like it's reasonable.
[00:04:10.689 --> 00:04:14.131]  It's like, is it a little too much to ban the word brown bag?
[00:04:14.151 --> 00:04:16.673]  Is it a little too much to ban footballs?
[00:04:16.713 --> 00:04:18.294]  Well, it's for our safety.
[00:04:18.614 --> 00:04:26.439]  Did the school go too far when the neighbors saw the children playing with airsoft guns in a backyard for the child to be kicked out of school?
[00:04:27.560 --> 00:04:28.220]  Is it too much?
[00:04:28.260 --> 00:04:29.461]  It's not their jurisdiction.
[00:04:29.741 --> 00:04:30.442]  It's out of control.
[00:04:30.462 --> 00:04:31.222]  It's a power grab.
[00:04:31.462 --> 00:04:33.244]  But this is how they socially get us ready.
[00:04:33.764 --> 00:04:38.007]  Is it too much the new army manual says George Washington was Batman?
[00:04:39.443 --> 00:04:40.243]  Is it too much?
[00:04:40.363 --> 00:04:45.024]  We are hijacked by criminal control freaks.
[00:04:45.044 --> 00:04:47.305]  You have to understand, they know it's ridiculous.
[00:04:48.025 --> 00:04:48.545]  You understand?
[00:04:48.565 --> 00:04:55.167]  I remember like 15 years ago I'd get a call when I caught bribery going on at the Capitol and one of the guys was black being paid off.
[00:04:55.467 --> 00:04:58.628]  So the paper called and asked if I was racist and I had to explain I wasn't.
[00:04:59.008 --> 00:04:59.988]  I wasn't smart then.
[00:05:00.028 --> 00:05:00.708]  I wasn't informed.
[00:05:00.728 --> 00:05:01.408]  I didn't understand.
[00:05:01.648 --> 00:05:03.649]  The paper knew I wasn't racist.
[00:05:03.889 --> 00:05:07.430]  They were changing the subject following a military manual.
[00:05:10.925 --> 00:05:16.006]  Alex Jones here, and I want to tell you about a longtime friend of the show, My Patriot Supply.
[00:05:16.386 --> 00:05:24.868]  As you might remember, this is the company that stood up to the DHS and exposed FEMA's secret plan to begin hoarding emergency survival food.
[00:05:25.268 --> 00:05:32.569]  It has always been my belief that it's key to stand behind companies who share the same values as their fellow Patriots.
[00:05:33.089 --> 00:05:40.491]  My Patriot Supply brings us their exclusive Patriot Pantry brand, along with many other fine preparedness products.
[00:05:40.991 --> 00:05:44.393]  I personally store and use their high-quality products.
[00:05:44.953 --> 00:05:48.595]  It tastes great, and it's easy to store for up to 25 years.
[00:05:49.135 --> 00:05:55.738]  For a limited time, you can save $50 instantly on a four-week supply of food, along with other special offers.
[00:05:56.278 --> 00:06:03.022]  Visit mypatriotsupply.com forward slash Alex today, with the New World Order making rapid advances on every front.
[00:06:03.502 --> 00:06:07.544]  It is essential to prepare with My Patriot Supply today.
[00:06:10.652 --> 00:06:11.633]  Ben Swan here.
[00:06:11.893 --> 00:06:13.014]  We are winning.
[00:06:13.075 --> 00:06:20.302]  Alternative media is challenging and beating mainstream media, and it's imperative for the liberty movement to continue this momentum.
[00:06:20.802 --> 00:06:27.389]  However, independent media cannot win without the support of sponsors and advertisers like Diamond Gusset Jeans.
[00:06:27.829 --> 00:06:33.175]  For over 26 years, Diamond Gusset has been owned by patriots with products designed for patriots.
[00:06:33.675 --> 00:06:39.180]  When I put on a pair of Diamond Gusset jeans, I enjoy the quality, comfort, durability and style.
[00:06:39.701 --> 00:06:42.523]  Most importantly, my wife really likes them as well.
[00:06:43.024 --> 00:06:50.210]  From the cotton to the last stitch, Diamond Gusset bucks the industry standard by producing a 100% all-American product.
[00:06:50.530 --> 00:06:51.932]  Another reason for my endorsement.
[00:06:52.472 --> 00:06:56.654]  So, Ben Swan is asking you to go visit DiamondLiberty.com right now.
[00:06:56.995 --> 00:07:03.638]  With promo code BEN, you will receive a 20% off discount on a pair of male or female Diamond Gusset jeans.
[00:07:04.119 --> 00:07:09.922]  Remember, DiamondLiberty.com, and you are directly supporting the growth of independent media.
[00:07:10.282 --> 00:07:15.867]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[00:07:16.087 --> 00:07:23.293]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[00:07:23.473 --> 00:07:26.715]  Radioactive contamination is now in most of the food supply.
[00:07:26.815 --> 00:07:28.577]  There's only two ways to avoid this.
[00:07:28.837 --> 00:07:33.421]  Move south of the equator or properly protect your thyroid with nascent iodine.
[00:07:33.501 --> 00:07:36.264]  Looking to protect my family, I've done deep research.
[00:07:36.424 --> 00:07:42.189]  Nascent iodine is the purest, cleanest, absolute best form of iodine to protect yourself and your family.
[00:07:42.369 --> 00:07:45.852]  It's made right here in the USA, completely non-GMO.
[00:07:46.053 --> 00:07:51.117]  I searched out the best quality and now have developed a double strength form of nascent iodine.
[00:07:51.297 --> 00:07:54.260]  Exclusively available at Infowarslife.com.
[00:07:54.520 --> 00:08:00.389]  Nascent Iodine is on record as one of the only safe ways to detox from fluoride poisoning.
[00:08:00.509 --> 00:08:02.492]  Survival Shield Nascent Iodine.
[00:08:02.652 --> 00:08:08.101]  Secure your super high quality Nascent Iodine today at InfoWarsLife.com.
[00:08:08.181 --> 00:08:09.543]  That's InfoWarsLife.com.
[00:08:28.211 --> 00:08:34.296]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:08:34.697 --> 00:08:36.238]  It's Alex Jones.
[00:08:44.565 --> 00:08:47.568]  Ladies and gentlemen, thank you for joining us.
[00:08:47.588 --> 00:08:51.751]  It is the 8th day, Tuesday, the 8th of October, 2013.
[00:08:52.672 --> 00:08:54.193]  I am your host, Alex Jones.
[00:08:55.214 --> 00:08:59.017]  And I'm going to give out the toll-free number in a moment to get your breakdown on this.
[00:08:59.497 --> 00:09:08.283]  You understand the establishment is trying to go over the top to break our will so that they can get away with anything and everything under the sun.
[00:09:08.363 --> 00:09:11.726]  That is the name of the game.
[00:09:12.694 --> 00:09:19.641]  Let me just give you a few of the headlines that I have here that are up on InfoWars.com and PrisonPlanet.com.
[00:09:19.661 --> 00:09:25.626]  You can also find all these articles at DrugsReport.com on the left-hand side, all neatly stacked up in a row for you.
[00:09:26.367 --> 00:09:31.031]  CBS News runner find 100 at Valley Forge amid government shutdown.
[00:09:32.193 --> 00:09:37.598]  National Institute of Health stops therapy dogs from visiting sick children on purpose.
[00:09:39.073 --> 00:09:42.296]  The Justice Department put up a fake notice saying Amber Alerts were shut down.
[00:09:42.656 --> 00:09:43.657]  Turned out that was a fraud.
[00:09:44.918 --> 00:09:49.002]  The Congressional Gyms and Golf Courses and Jets are, of course, continuing.
[00:09:50.863 --> 00:09:59.271]  Park Service okays immigration reform rally on closed National Mall, but other citizens entering it are being arrested or ticketed.
[00:10:00.891 --> 00:10:09.033]  Again, the illegal aliens are the army to drive down wages and the political group to break up the United States down the road into the larger global system.
