[00:00:22.856 --> 00:00:24.580]  Welcome to the Infowars Nightly News.
[00:00:24.680 --> 00:00:25.321]  I'm David Knight.
[00:00:25.381 --> 00:00:27.406]  It's Monday, October 28th, 2013, and here are our top stories.
[00:00:31.397 --> 00:00:41.060]  Tonight on the InfoWars Nightly News, Barack Obama says he didn't know anything about the spying on global leaders by the NSA.
[00:00:41.420 --> 00:00:45.061]  Does ignorance of the law only include the President?
[00:00:45.461 --> 00:00:49.443]  Plus, the war on journalists is in full swing.
[00:00:49.863 --> 00:00:52.204]  We revisit the casualties.
[00:00:52.704 --> 00:00:55.725]  All that and more on the InfoWars Nightly News.
[00:01:02.432 --> 00:01:05.615]  Well, Dick Cheney just said, they don't fear us, they don't trust us.
[00:01:05.775 --> 00:01:06.315]  That's right.
[00:01:06.816 --> 00:01:14.423]  The world community has contempt for the American government, just like many American citizens, because of their illegal activities and their violations of privacy.
[00:01:15.003 --> 00:01:18.066]  And a story from the London Guardian today says Spain summons a U.S.
[00:01:18.126 --> 00:01:22.309]  ambassador over a claim that NSA tracked 60 million calls a month.
[00:01:23.010 --> 00:01:25.132]  The Spanish Prime Minister has summoned the U.S.
[00:01:25.172 --> 00:01:33.460]  Ambassador to explain the latest revelations to emerge from the files leaked by Snowden, which suggest the NSA tracked more than 60 million phone calls in just the space of a month.
[00:01:34.301 --> 00:01:43.870]  So, first we've seen this happening in Germany, then in Mexico, then in Brazil, then we found out they tracked 70,000 French calls in just one month, and now it's Spain.
[00:01:44.330 --> 00:01:47.453]  Another day, another country is annoyed with us, angry with us.
[00:01:48.214 --> 00:01:59.906]  We see also that there was surveillance of Angela Merkel, and that surveillance extended all the way back to 2002 when she was an opposition candidate, as well as 34 other world leaders.
[00:02:00.447 --> 00:02:08.215]  In a report from CNN, they say the White House stopped the phone tapping of foreign leaders this summer, and they say that Obama didn't know.
[00:02:08.895 --> 00:02:11.816]  Now, CNN is actually reporting on a Wall Street Journal story.
[00:02:11.856 --> 00:02:16.238]  They say the Wall Street Journal reported that the White House ordered a halt to eavesdropping.
[00:02:16.638 --> 00:02:17.078]  Notice that?
[00:02:17.318 --> 00:02:17.958]  Eavesdropping.
[00:02:18.178 --> 00:02:19.499]  They don't want to call it spying.
[00:02:19.879 --> 00:02:26.502]  That's just the kind of linguistic prevarication we expect from the government and from their spokespersons at CNN.
[00:02:27.942 --> 00:02:34.764]  It's to the point where incompetence has become an alibi, if not a virtue, when we see the government doing this.
[00:02:34.824 --> 00:02:37.745]  And yet we are supposed to feel better that they don't have any oversight.
[00:02:38.465 --> 00:02:41.786]  There's supposed to be oversight of a search warrant by a judge.
[00:02:42.026 --> 00:02:43.607]  But then we were told, don't worry about that.
[00:02:43.667 --> 00:02:49.049]  We've got all kinds of controls internal within the NSA as well as FISA.
[00:02:49.449 --> 00:02:50.509]  We're looking at all of this.
[00:02:50.549 --> 00:02:51.489]  There's a lot of oversight.
[00:02:51.529 --> 00:02:53.290]  It turns out that there isn't any oversight.
[00:02:53.410 --> 00:02:54.230]  Nobody's looking at this.
[00:02:54.270 --> 00:03:01.094]  The President's not looking at it, and he says he doesn't know what's going on with it any more than he knows what's going on with the health care website.
[00:03:01.835 --> 00:03:15.822]  The Constitution specifies that we get a judge, that they're specific about who and what they're looking for, but we see in this article that they don't really know, according to the Wall Street Journal, when he gave the shutdown order or who gave the shutdown order.
[00:03:15.922 --> 00:03:18.264]  Just that, oh yeah, we've taken care of that already.
[00:03:18.344 --> 00:03:21.746]  Now that you know about it, we'll kind of walk this back and say that it's been taken care of.
[00:03:22.406 --> 00:03:30.212]  But we see reports from the foreign press that Barack Obama, this is in the Telegraph, approved tapping Angela Merkel's phone three years ago.
[00:03:30.252 --> 00:03:31.713]  That's right, in 2010.
[00:03:32.153 --> 00:03:32.974]  He did know about it.
[00:03:33.334 --> 00:03:37.117]  This is according to Der Spiegel, as well as other sources in Germany.
[00:03:37.137 --> 00:03:38.938]  It says, the President allegedly allowed U.S.
[00:03:38.978 --> 00:03:47.844]  intelligence to listen to calls from the German Chancellor's mobile phone after he was briefed on the operation by Keith Alexander, director of the NSA, in 2010.
[00:03:48.985 --> 00:03:55.987]  So now again we have more lies from the Obama administration as well as the NSA giving us the least untruthful version of this.
[00:03:56.687 --> 00:03:58.828]  Now Republicans have rushed to his defense.
[00:03:59.088 --> 00:04:01.749]  You've got Mike Rogers, Marco Rubio, and Peter King.
[00:04:02.009 --> 00:04:03.110]  This is what Peter King says.
[00:04:03.150 --> 00:04:07.151]  He says the president should stop apologizing, stop being defensive.
[00:04:07.271 --> 00:04:15.914]  No, the president and neocons like Peter King should stop violating the Constitution, stop violating people's privacy, and obey the law.
[00:04:16.994 --> 00:04:23.739]  We see a very different reaction from Obama when it comes to people exposing his criminal activity, whistleblowers and journalists.
[00:04:23.799 --> 00:04:26.340]  And here to join us and talk about that is Leanne McAdoo.
[00:04:27.061 --> 00:04:36.307]  So Leanne, he doesn't think it's any big deal when he spies on people abroad as citizens as well as government leaders, yet he has a very different attitude when that happens domestically, does he?
[00:04:36.778 --> 00:04:37.299]  Absolutely.
[00:04:37.539 --> 00:04:43.344]  I mean, his administration goes out of their way to avoid scrutiny from journalists and reporters.
[00:04:44.104 --> 00:04:48.348]  They really only want everyone to look at the propaganda videos that they put out.
[00:04:48.568 --> 00:04:54.453]  And they have a very overreaching reaction when somebody blows a whistle on them or when a journalist points out something.
[00:04:54.907 --> 00:04:55.367]  Exactly.
[00:04:55.508 --> 00:05:05.075]  Obama came into office pledging to be the most open and transparent government ever, but he's actually being seen as the least transparent president we've ever had.
[00:05:05.536 --> 00:05:09.419]  And he's also very aggressive when he goes to prosecute whistleblowers.
[00:05:09.939 --> 00:05:22.750]  There have been six government employees since 2009, plus two contractors, including Edward Snowden, who have been prosecuted under the Espionage Act, which prior to that, it has happened three times.
[00:05:22.930 --> 00:05:23.931]  And that's going all the way back to 1917.
[00:05:24.672 --> 00:05:25.152]  Exactly.
[00:05:25.553 --> 00:05:32.579]  So in just a couple of years, four years or so, he's prosecuted six people when they just had three from all the presidents since 1917.
[00:05:33.040 --> 00:05:35.782]  So he's aggressively using this and expanding it.
[00:05:36.062 --> 00:05:37.164]  That's what we see with Obama.
[00:05:37.604 --> 00:05:46.853]  He's doing everything bad that we've seen, both Republican and Democrat presidential, not candidates, but presidents do, and yet he's taking it to all new extremes.
[00:05:47.443 --> 00:05:54.511]  Right, and this authoritarianism, it sort of reaches into the agencies that are underneath him.
[00:05:54.571 --> 00:06:03.762]  The DHS, we just saw they went and raided, under false pretenses, an investigative, award-winning investigative journalist, Audrey Hudson.
[00:06:04.222 --> 00:06:09.005]  And they said, oh, we're going to go in and we have a warrant to get unregistered firearms.
[00:06:09.406 --> 00:06:24.736]  Well, they didn't find any of those, but what they did do is go into her office and out of all the stacks and stacks of paperwork that she has there, they found five documents that related to some stories that were critical of the Federal Air Marshals.
[00:06:25.416 --> 00:06:27.398]  And we see them coming after Fox journalists as well.
[00:06:27.438 --> 00:06:30.340]  I mean it's just a full spectrum and yet we see just as I mentioned before the break
[00:06:46.414 --> 00:06:49.677]  That it's not just Obama, but he's got Republican apologists for him.
[00:06:49.737 --> 00:06:51.579]  He's got Mike Rogers.
[00:06:51.639 --> 00:06:53.061]  He's got Peter King.
[00:06:53.121 --> 00:06:57.385]  Marco Rubio is saying, don't worry, there's nothing at all about this that we should be concerned about.
[00:06:57.645 --> 00:06:58.526]  Everybody does it.
[00:06:58.866 --> 00:07:00.288]  And that's true in Washington.
[00:07:00.868 --> 00:07:02.970]  That's true, I'm sure it's maybe true of the French.
[00:07:02.990 --> 00:07:05.312]  They've probably got their own spying program and the Germans as well.
[00:07:05.993 --> 00:07:10.056]  But to the extent that the Americans are capable of doing it, that's the real story.
[00:07:10.136 --> 00:07:18.342]  Nobody has the kind of technology that we have, and that's what makes this so pervasive and so pernicious, is the kind of technology that we have.
[00:07:18.802 --> 00:07:32.172]  Everybody across the world is crying out and saying, something needs to be done to rein in this, and of course there should be something done to rein in the other countries as well, but it's the pervasive lack of attention paid to the rule of law,
[00:07:32.312 --> 00:07:32.832]  We're good to go.
[00:08:00.427 --> 00:08:11.375]  And what their administration does, basically they take videos of their own press, their meetings, and then they allow that to be used by journalists.
[00:08:11.395 --> 00:08:20.803]  They say, well if you have any questions, why don't you go to the whitehouse.gov website where you'll find all of our videos and content on that subject matter.
[00:08:20.823 --> 00:08:26.047]  So it's whatever propaganda they create, in fact Obama doesn't even have his
[00:08:26.687 --> 00:08:29.168]  Press meetings or anything on his public schedule.
[00:08:29.248 --> 00:08:31.850]  So reporters don't even know who he's going to be meeting with.
[00:08:32.210 --> 00:08:34.551]  So therefore, they can't even ask him any questions about it.
[00:08:34.611 --> 00:08:37.073]  And then they don't learn until after the fact.
[00:08:37.453 --> 00:08:48.479]  The Obama White House produces its own short newscast called the West Wing Week, which is basically five minutes of their own video and sound from the events that the press didn't even get to attend.
[00:08:48.979 --> 00:08:53.862]  And then there, everyone in America can find out what happened in the government that week.
[00:08:54.142 --> 00:08:54.602]  Exactly.
[00:08:54.962 --> 00:08:57.143]  Just like we find out from the NSA propaganda film.
[00:08:57.183 --> 00:08:57.744]  Thank you, Leanne.
[00:08:57.764 --> 00:08:58.344]  I appreciate that.
[00:08:58.384 --> 00:08:59.024]  Yeah, that's right.
[00:08:59.244 --> 00:09:02.306]  It's just like the NSA propaganda video on YouTube.
[00:09:02.346 --> 00:09:05.127]  Typically, they get about two or three hundred views on YouTube.
[00:09:05.587 --> 00:09:13.671]  This NSA propaganda video got over a hundred and thirty thousand votes, and about ten percent of those, about twelve and a half thousand of those, were down votes.
[00:09:13.771 --> 00:09:17.793]  That's a new record for YouTube, as Anthony Gucciardi pointed out this weekend.
[00:09:18.253 --> 00:09:19.514]  Nobody is buying it.
[00:09:20.114 --> 00:09:21.295]  Nobody's believing this.
[00:09:21.495 --> 00:09:22.535]  People are very angry.
