[00:00:40.854 --> 00:00:42.056]  Welcome, ladies and gentlemen.
[00:00:42.096 --> 00:00:43.838]  This is the InfoWars Nightly News.
[00:00:43.998 --> 00:00:45.220]  I'm your host, Aaron Dyches.
[00:00:45.560 --> 00:00:47.182]  Today is Friday, January 18th, 2013.
[00:00:47.222 --> 00:00:48.243]  Our liberties are on the line.
[00:00:53.854 --> 00:01:02.260]  Tonight on the Info Wars Nightly News, the DOJ's latest snitch campaign has Big Sis asking you to tattle on gun owners.
[00:01:02.861 --> 00:01:04.402]  Then, epic win.
[00:01:04.802 --> 00:01:07.404]  The TSA is to pull their x-ray scanners.
[00:01:07.884 --> 00:01:11.987]  And Eric Holder pumps the brakes on releasing Fast and Furious documents.
[00:01:12.407 --> 00:01:15.750]  All that, and Sheriff Mack says hell no to gun control.
[00:01:15.970 --> 00:01:17.231]  This is the most critical time.
[00:01:17.692 --> 00:01:24.318]  We are the generation right now deciding if we're going to go along with a communist agenda that's going on in Washington D.C.
[00:01:24.358 --> 00:01:30.103]  right now, or if we're going to maintain and preserve our constitutional republic.
[00:01:30.664 --> 00:01:32.826]  Coming up on the InfoWars Nightly News...
[00:01:39.102 --> 00:01:59.494]  Ladies and gentlemen, on the heels of President Obama's 23 executive orders taking on firearms in this country, on the heels of this all-out campaign to demonize guns and disarm Americans, comes a drill which characterizes, quote, disgruntled Second Amendment advocates as terrorists.
[00:01:59.634 --> 00:02:01.155]  Unfortunately, this is nothing new.
[00:02:01.475 --> 00:02:13.903]  We've already seen Homeland Security repeatedly, repeatedly, repeatedly profile Constitution-loving, law-abiding citizens as potential terrorists, as domestic extremists, as lone wolves.
[00:02:14.183 --> 00:02:28.673]  But now there's a new safety exercise in Ohio, Portsmouth, Ohio, involving police, National Guard, and other first responders, which is based around a plot to use weapons of mass destruction to terrorize a local community
[00:02:29.173 --> 00:02:35.622]  After two school employees are upset about the interpretation by the government of the Second Amendment.
[00:02:35.943 --> 00:02:37.425]  How outrageous is this?
[00:02:37.745 --> 00:02:40.890]  The scenario itself is of course completely unlikely.
[00:02:41.210 --> 00:02:44.976]  The only weapons of mass destruction are in the hands of the government itself.
[00:02:45.356 --> 00:03:00.769]  But the conditioning, the message of the drill, is what is important because it sets the mindset that Second Amendment lovers, that defenders of freedom, people who cite the Constitution, are potentially violent, are the enemy, and then if any incident does occur,
