[00:00:04.963 --> 00:00:09.785]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.785 --> 00:00:11.406]  You want answers?
[00:00:11.406 --> 00:00:12.926]  Well, so does he.
[00:00:12.926 --> 00:00:17.128]  He's Alex Jones on the GCN Radio Network.
[00:00:17.128 --> 00:00:21.230]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.492 --> 00:00:45.315]  When it comes to the general police state and world government being openly rolled out, this broadcast is basically becoming passé.
[00:00:45.315 --> 00:00:56.418]  So much of what I have specifically analyzed and warned people about, just learning how the globalists operate worldwide, is now right out in the open.
[00:00:58.303 --> 00:01:11.131]  But on their master plan, and what they're doing to our genetics, and what they're doing to the Earth's species, uh, flora.
[00:01:11.131 --> 00:01:23.119]  On that subject, my friends, the public has really no clue just how serious the situation has gotten.
[00:01:23.119 --> 00:01:24.720]  So I am going to attempt
[00:01:29.779 --> 00:01:45.403]  in the broadcast today to look at some of these different facets that we face as a civilization and as a society.
[00:01:45.403 --> 00:01:51.825]  Kathryn Albrecht, security researcher, Dr. Kathryn Albrecht will be joining us to talk about the waterfront
[00:01:53.141 --> 00:02:03.487]  of NSA spying issues, you name it, and the whole transhumanist movement coming up in the third hour today and popping in for about 15-20 minutes.
[00:02:03.487 --> 00:02:13.312]  Brandon Toye, whose resignation letter as a defense contractor has gone viral, he's going to be popping in as well, but we will also have open phones.
[00:02:18.886 --> 00:02:30.135]  Obviously we're going to get into the new expanding global terror alert and the controlled state-run media is saying obviously we've got to get rid of all freedom now.
[00:02:31.189 --> 00:02:39.053]  After this devastating, credible threat, no one has seen anything so frightening and so scary.
[00:02:39.053 --> 00:02:41.254]  Aren't you scared, General Aydin?
[00:02:41.254 --> 00:02:42.595]  Yes, I'm scared.
[00:02:42.595 --> 00:02:44.416]  Aren't you scared, General Alexander?
[00:02:44.416 --> 00:02:47.318]  Oh, I'm very scared.
[00:02:47.318 --> 00:02:48.258]  You watch this.
[00:02:48.258 --> 00:02:54.261]  It's like a Monty Python skit.
[00:02:54.261 --> 00:02:58.884]  I'm convinced that if Hitler would have said, give up your rights, America, our Muslim extremists will get you.
[00:02:59.983 --> 00:03:06.428]  That America would have run up, you know, swastikas or something and bowed to Hitler or Stalin or any other authoritarian.
