[00:00:03.522 --> 00:00:04.145]  So,
[00:00:38.087 --> 00:00:40.488]  Welcome to our July 4th edition of the Nightly News.
[00:00:40.808 --> 00:00:42.069]  We're not having news tonight.
[00:00:42.109 --> 00:00:43.689]  Instead, we're having interviews.
[00:00:43.769 --> 00:00:45.610]  We have a new interview with Charlotte Isabe.
[00:00:46.170 --> 00:00:51.812]  Now, Charlotte Isabe was the former senior policy advisor under the Reagan administration at the U.S.
[00:00:51.852 --> 00:00:53.253]  Department of Education.
[00:00:54.036 --> 00:00:56.257]  And she was appalled by what she saw there.
[00:00:56.397 --> 00:00:58.298]  And she wrote a book that's become a classic.
[00:00:58.399 --> 00:00:59.919]  We carry it here at InfoWars.
[00:01:00.440 --> 00:01:02.361]  The Deliberate Dumbing Down of America.
[00:01:02.421 --> 00:01:02.841]  That's right.
[00:01:02.961 --> 00:01:05.002]  Deliberate Dumbing Down of America.
[00:01:05.102 --> 00:01:05.903]  By design.
[00:01:06.730 --> 00:01:07.931]  It's about government control.
[00:01:07.991 --> 00:01:09.592]  It's not about educating children.
[00:01:10.152 --> 00:01:11.313]  And she makes that very clear.
[00:01:11.353 --> 00:01:13.135]  She talks about the roots and the purposes of it.
[00:01:13.995 --> 00:01:23.262]  And we also have... Charlotte has recently appeared in State of Mind, which is a new documentary that we're going to be shipping here July 17th.
[00:01:23.282 --> 00:01:24.202]  You can pre-book it now.
[00:01:24.723 --> 00:01:28.125]  InfoWars is going to have an exclusive on that for about three months.
[00:01:28.886 --> 00:01:33.169]  And she talks about education in that documentary as well because, you know, mind control
[00:01:33.909 --> 00:01:42.376]  Is really about broadly applied PSYOPs and education is probably the easiest way for them to do that.
[00:01:43.277 --> 00:01:46.580]  And we also have her new booklet that is coming back.
[00:01:46.860 --> 00:01:50.043]  It was being reprinted after being out of print for quite some time.
[00:01:50.443 --> 00:01:55.527]  And it is about back to basics reform or outcomes based education.
[00:01:56.088 --> 00:01:58.030]  Scenarion International Curriculum.
[00:01:58.590 --> 00:02:09.158]  So we're going to talk to her about those older classic titles, her new resources, a new video that she's working on right now that's going to be coming out in September, as well as this new documentary, State of Mind.
[00:02:10.419 --> 00:02:11.119]  Welcome, Charlotte.
[00:02:11.199 --> 00:02:12.560]  It's a pleasure to talk to you.
[00:02:12.620 --> 00:02:15.362]  I've seen you many times on YouTube and with Alex.
[00:02:15.463 --> 00:02:16.543]  It's great to talk to you.
[00:02:17.264 --> 00:02:18.305]  Well, thank you, David.
[00:02:18.465 --> 00:02:20.846]  Very nice hearing your voice.
[00:02:20.907 --> 00:02:23.108]  I don't think I've ever been interviewed by you before.
[00:02:23.148 --> 00:02:25.170]  Yeah, this is the first time we've talked.
[00:02:25.690 --> 00:02:26.651]  Not our last, I hope.
[00:02:27.278 --> 00:02:27.698]  That's right.
[00:02:28.339 --> 00:02:33.121]  Now, I just saw a clip of you from a new documentary that we're going to be selling here, State of Mind.
[00:02:33.301 --> 00:02:35.843]  If you remember that, you talked to the filmmakers just a little while ago.
[00:02:36.463 --> 00:02:39.765]  And that's going to be shipping on July 17th.
[00:02:39.805 --> 00:02:40.785]  We're pre-booking it now.
[00:02:40.805 --> 00:02:46.088]  We're going to have an exclusive on it for three months, I believe, at InfoWarsStore.com.
[00:02:46.569 --> 00:02:50.611]  But you had some really interesting things to say about education.
[00:02:51.551 --> 00:02:59.975]  And when we're talking about mind control, I thought it was very important that the makers of that documentary incorporate education into it.
[00:02:59.995 --> 00:03:02.696]  Let's take a look at that clip real quick and we'll talk about it after we get back.
[00:03:05.177 --> 00:03:08.978]  The education our children are going to get has nothing to do with education.
[00:03:09.058 --> 00:03:19.723]  It is training our children to be resources, human resources, that's the way they refer to us, to spin off profits for the globalists.
[00:03:21.189 --> 00:03:23.309]  The greatest barrier to discovery is not ignorance.
[00:03:23.870 --> 00:03:25.110]  It's the illusion of knowledge.
[00:03:25.130 --> 00:03:35.232]  And that's what the 15,000 hours in compulsory schooling really entrains and conditions into us, is that you've been told this story of the people in South America, and so you think you know about it.
[00:03:35.312 --> 00:03:45.374]  And it's not until later in life when you might come across more information about conquistadors and how Jesuits infiltrated all their religious systems and took all their riches out and basically harvested this whole area.
[00:03:45.414 --> 00:03:49.415]  This is an example of plunder in South America that went on for hundreds of years.
[00:03:49.815 --> 00:03:57.739]  So until you have this other piece of information to bring this into focus, you think that what you were taught in public schooling during that 15,000 hours is really what's going on.
[00:03:58.160 --> 00:04:09.466]  And it's not until you bump up against reality, as George Orwell said, usually on a battlefield, that you have to consider that which you were taught to believe versus the objective evidence that exists.
[00:04:10.066 --> 00:04:16.449]  John Taylor Gatto was an award-winning educator in New York who took kids that couldn't even read or write
[00:04:17.950 --> 00:04:21.936]  Headed for prison and made them top-level students.
[00:04:22.658 --> 00:04:29.047]  And then he discovered that he was shut down by the big tax-free foundations so that he couldn't teach the children this information.
[00:04:30.248 --> 00:04:39.434]  He discovered that it was by design that they were dumbing people down to make them subservient biological androids or replicants.
[00:04:40.055 --> 00:04:40.976]  That's what we're seen as.
[00:04:41.396 --> 00:04:42.537]  But now we're obsolete.
[00:04:42.857 --> 00:04:50.762]  We're to be phased out the new robotic systems, the drone aircraft, the drone submarines, the drone ships, the drone robots on the ground.
[00:04:51.123 --> 00:04:54.265]  We're all being conditioned, all being acclimated for this.
[00:04:57.543 --> 00:05:00.664]  So I thought it was very fascinating that they covered that.
[00:05:00.684 --> 00:05:09.165]  And of course, in the documentary, they're making the point that mind control isn't just about the high-tech, covert things that we've been hearing about since World War II.
[00:05:09.665 --> 00:05:16.427]  It really has ancient roots, and those roots are really most dangerous when they're put down in our educational system, aren't they?
[00:05:17.167 --> 00:05:26.069]  They're extremely dangerous, and it's not only persons like myself and some teachers and, you know,
[00:05:27.910 --> 00:05:38.421]  Activists and people in the universities, a few of them, right, who object to the mind control, especially through the computer.
[00:05:40.384 --> 00:05:49.353]  I'd like to make a point here because everything's computers now, they're getting rid of books in the schools, everything will be computerized through the computer with a software and
[00:05:50.290 --> 00:06:10.297]  When I leaked the project BEST, Better Education Skills Through Technology, when I was working in the Reagan administration in the Office of Educational Research and Improvement, I leaked that grant, which went out to all the states, and it was software in every area of curriculum.
[00:06:11.909 --> 00:06:12.170]  Yeah.
[00:06:23.004 --> 00:06:29.548]  Person applying for the money from my office was with the Association for Education, Computing and Technology.
[00:06:30.049 --> 00:06:33.991]  His name was Donald E. Lee, and it was terribly important grant.
[00:06:34.252 --> 00:06:40.276]  And I sort of laugh when I don't laugh at the people who are worrying about Common Core.
[00:06:41.076 --> 00:06:42.817]  You know, that's all right.
[00:06:42.957 --> 00:06:44.278]  It's really Communist Core.
[00:06:44.318 --> 00:06:44.959]  That's what it is.
[00:06:45.459 --> 00:06:52.624]  But Communist Core started in 1971, came out of the Northwest Regional Laboratory in Portland, Oregon.
[00:06:53.424 --> 00:06:55.405]  So it would be better.
[00:06:55.545 --> 00:06:56.425]  That's a diversion.
[00:06:58.185 --> 00:06:59.646]  Communist Corps is a diversion.
[00:06:59.786 --> 00:07:12.590]  And in the first place, and please, I don't mean to be diverting you at the moment, but one has to remember that the most important thing that we're dealing with right now is
[00:07:15.717 --> 00:07:17.797]  On elected boards, charter schools.
[00:07:18.358 --> 00:07:27.919]  Now, the diversion here is you've got all these wonderful people checking on math standards, English standards, etc.
[00:07:28.419 --> 00:07:30.880]  Don't worry, I'm going to get back to the Project BEST 2.
[00:07:32.320 --> 00:07:34.641]  And trying to decide whether they're academically sound.
[00:07:34.681 --> 00:07:35.461]  This is ridiculous.
[00:07:35.501 --> 00:07:36.061]  You know why?
