[00:00:05.826 --> 00:00:07.046]  They fled from tyranny.
[00:00:07.447 --> 00:00:09.587]  Your oppressions planted them in America.
[00:00:10.168 --> 00:00:20.351]  And yet, actuated by principles of true English liberty, they met all hardships with pleasure compared with those they suffered in their own country from the hands of those that should have been their friends.
[00:00:20.751 --> 00:00:26.673]  Men whose behavior on many occasions has caused the blood of those sons of liberty to recoil within them.
[00:00:26.693 --> 00:00:31.275]  I know not what costs others, but as for me, give me liberty, or give me death.
[00:00:31.975 --> 00:00:32.456]  Believe me.
[00:00:32.996 --> 00:00:34.937]  Remember, I this day told you so.
[00:00:35.318 --> 00:00:40.041]  That same spirit of freedom, which actuated that people at first, will accompany them still.
[00:00:40.401 --> 00:00:46.425]  But a people, jealous of their liberties, and who will vindicate them, if ever they should be violated.
[00:00:47.046 --> 00:00:47.906]  Sons of Liberty!
[00:00:48.347 --> 00:00:49.387]  Sons of Liberty!
[00:00:49.407 --> 00:00:51.169]  Sons of Liberty!
[00:00:51.749 --> 00:00:52.049]  Liberty!
[00:00:52.069 --> 00:00:59.735]  Is life so dear, or peace so sweet, as to be purchased at the price of chains and slavery?
[00:01:00.155 --> 00:01:01.396]  Forbid it, Almighty God!
[00:01:05.556 --> 00:01:08.379]  It appears as though something has happened in the motorcade group.
[00:01:08.459 --> 00:01:12.443]  Something, I repeat, has happened in the motorcade group.
[00:01:12.483 --> 00:01:15.226]  Who controls the past, controls the future.
[00:01:15.686 --> 00:01:18.088]  Who controls the present, controls the past.
[00:01:19.011 --> 00:01:24.555]  The death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[00:01:24.875 --> 00:01:26.957]  All you gotta do is start looking around.
[00:01:27.317 --> 00:01:28.878]  Start thinking for yourself.
[00:01:29.199 --> 00:01:30.780]  Start investigating things.
[00:01:31.180 --> 00:01:33.662]  And you will see it all right there.
[00:01:35.243 --> 00:01:36.924]  So you have the power.
[00:01:37.004 --> 00:01:38.585]  Humanity has the power.
[00:01:39.006 --> 00:01:40.127]  We have the power.
[00:01:40.147 --> 00:01:41.107]  Do you wanna fight?
[00:01:41.147 --> 00:01:43.509]  You better believe you got one!
[00:01:44.950 --> 00:01:48.752]  Let us never tolerate outrageous conspiracy theories.
[00:01:48.792 --> 00:02:00.016]  As for me, give me liberty or give me death!
[00:02:00.296 --> 00:02:01.416]  The answer to 1984 is 1776.
[00:02:08.482 --> 00:02:10.303]  Welcome to the InfoWars Nightly News.
[00:02:10.403 --> 00:02:11.704]  I'm your host, Jakari Jackson.
[00:02:11.984 --> 00:02:15.886]  This is what we have in store for you for this March 25th, 2013 edition.
