[00:00:20.285 --> 00:00:23.067]  It's Tuesday, October 8th, 2013.
[00:00:23.667 --> 00:00:24.568]  I'm Alex Jones.
[00:00:24.668 --> 00:00:30.072]  Get ready for another original edition of Teleprompter Free InfoWars Nightly News.
[00:00:30.432 --> 00:00:31.013]  Straight ahead!
[00:00:33.595 --> 00:00:44.322]  Tonight, the tyranny of selective enforcement is in full swing as senior citizens are held at gunpoint at Yellowstone National Park.
[00:00:44.742 --> 00:00:50.826]  Meanwhile, an immigration rally is allowed to continue on the closed National Mall.
[00:00:51.366 --> 00:01:00.332]  Then, a government mind control center forces sixth graders to destroy the Bill of Rights because freedom is outdated.
[00:01:00.733 --> 00:01:10.960]  And Alex Jones sits down with the founder of Oath Keepers, Stuart Rhodes, in studio up next on the InfoWars Nightly News.
[00:01:16.075 --> 00:01:26.767]  I've got to be honest, I'm really stunned by the level of flagrant arrogance, bullying and tyranny by the rogue federal government.
[00:01:28.709 --> 00:01:36.839]  I read local news articles out of the Eagle Tribune and others there in the region around Yosemite Park.
[00:01:38.573 --> 00:01:56.502]  And I read the description of the park guides and of the tourists that were visiting from Germany, Canada, Japan, you name it, of being checked into the hotel and paramilitary guards running around from the park service with guns.
[00:01:57.748 --> 00:01:59.149]  Yelling lockdown, lockdown.
[00:01:59.890 --> 00:02:09.057]  And then the scared people came out of their hotel and they said, get back in, you're not allowed to leave until basically your time is up at the hotel.
[00:02:09.077 --> 00:02:12.380]  You're not allowed to even look at the park now that things are shut down.
[00:02:12.820 --> 00:02:13.921]  Buses would pull in.
[00:02:16.058 --> 00:02:20.522]  And people would get off, seniors, and they would pull guns on them and say, get back on your bus.
[00:02:21.143 --> 00:02:26.107]  This is so absurdist, it's beyond any comedy that I could ever imagine.
[00:02:26.127 --> 00:02:27.849]  And the story's up on Infowars.com.
[00:02:28.209 --> 00:02:31.673]  Feds hold seniors at gunpoint during National Park shutdown.
[00:02:33.220 --> 00:02:36.082]  The local tour guide getting off the bus called it Gestapo tactics.
[00:02:36.102 --> 00:02:38.283]  He used it to detain tourists in a locked hotel.
[00:02:38.623 --> 00:02:42.106]  And the Germans and the Japanese and the Canadians are saying, we're never coming back to America.
[00:02:42.386 --> 00:02:43.066]  We're running.
[00:02:43.086 --> 00:02:44.167]  Your country's in trouble.
[00:02:44.827 --> 00:02:48.350]  I mean, can you imagine running around going, lockdown, lockdown, lockdown!
[00:02:48.390 --> 00:02:49.591]  Everybody's coming down in the lobby.
[00:02:49.611 --> 00:02:51.772]  What's going on in the privately run lodges?
[00:02:52.352 --> 00:02:55.574]  They're like, you know, you've got to leave or you're not allowed to come out of the hotel.
[00:02:57.496 --> 00:02:59.237]  And then people tried to leave and they wouldn't let them leave.
[00:02:59.377 --> 00:03:02.139]  I mean, this is just any excuse to lay their hands on us.
[00:03:03.334 --> 00:03:07.458]  I'm surprised America's fallen this far, but it gets worse, ladies and gentlemen.
[00:03:07.999 --> 00:03:13.224]  World War II vets are saying they're going to storm barricades surrounding Iwo Jima monument that is right off the side of the road.
[00:03:13.244 --> 00:03:14.165]  I've been there before.
[00:03:14.906 --> 00:03:18.009]  Right off the side of the road at Arlington Cemetery.
[00:03:18.690 --> 00:03:19.871]  Arlington Cemetery.
[00:03:20.591 --> 00:03:22.593]  They're even shutting parts of that down.
[00:03:23.467 --> 00:03:34.375]  Ladies and gentlemen, and after veterans walked past the barricades of the Lincoln Memorial and the World War II Memorial, they've now wired it shut and put armed guards there, and they're arresting and ticketing people.
[00:03:34.735 --> 00:03:47.425]  And now, it was in the news today, if you jog on the sidewalk of federal property, you're not allowed to use the federal property that everybody paid for with tax money, and you are ticketed or arrested.
[00:03:48.590 --> 00:03:52.854]  You cannot make this level of garbage up.
[00:03:53.375 --> 00:03:56.177]  And then, as if it can't get any more Orwellian.
[00:03:57.158 --> 00:03:58.580]  Well, forget Orwellian.
[00:03:59.180 --> 00:04:00.301]  Orwell never thought of stuff like this.
[00:04:01.442 --> 00:04:08.008]  Hundreds of thousands of illegals and their supporters were allowed to have demonstrations today on the mall.
[00:04:09.025 --> 00:04:12.628]  When no one else is allowed into it to visit any of the memorials.
[00:04:12.728 --> 00:04:18.053]  So, citizens can't visit it, but the illegals are there for their, quote, civil right to have open borders.
[00:04:18.434 --> 00:04:21.296]  The globalists really just want to drop down wages and get rid of national sovereignty.
[00:04:21.897 --> 00:04:23.058]  Nothing against the illegals either.
[00:04:23.078 --> 00:04:25.360]  They're just fleeing countries collapsed by the globalists.
[00:04:25.380 --> 00:04:26.040]  I don't even blame them.
[00:04:26.801 --> 00:04:30.186]  But the point is, is that they're allowed to have First Amendment.
[00:04:30.546 --> 00:04:31.368]  Nobody else is.
[00:04:31.408 --> 00:04:39.139]  And they've had park rangers that aren't tyrants go public and say, quote, we've been ordered by the administration to make life miserable and it makes me sick.
[00:04:40.140 --> 00:04:41.001]  And it's disgusting.
[00:04:42.054 --> 00:04:51.840]  So, this is the type of stuff that's going on, and it really shows you how rogue and out of control this government is, really trying to teach us that we're good little slaves, because they know we've woken up.
[00:04:52.060 --> 00:04:53.581]  They know the military and police are waking up.
