[00:00:08.030 --> 00:00:08.350]  We're good.
[00:00:41.060 --> 00:00:41.641]  Good evening.
[00:00:41.661 --> 00:00:45.184]  You are watching a live edition of InfoWars Nightly News.
[00:00:45.364 --> 00:00:49.248]  I am David Ortiz and it is Tuesday the 12th of February of 2013.
[00:00:51.109 --> 00:00:55.693]  Now the top story as of right now is fugitive Christopher Dorner.
[00:00:55.713 --> 00:00:59.857]  It seems that local law enforcement authorities in Big Bear, California
[00:01:00.899 --> 00:01:28.964]  seem to be surrounding him and uh... news is still incoming right now they surrounded him in a cabin in the big bear area in big bear california our very own alex jones wants to comment on the matter alex absolutely david we've got a lot of breaking the news here but if you read his manifesto it's like he went to info wars dot com and then responded to a disagree with everything worshipping hillary clinton worshipping obama worshipping by the worshipping taking the citizens guns
[00:01:29.764 --> 00:01:33.967]  And he's only mad he was kicked out of his cult because he saw a cop beat somebody up.
[00:01:34.067 --> 00:01:36.369]  He claims he goes and kills cops' daughters.
[00:01:36.809 --> 00:01:38.611]  I don't call that a vigilante or a hero.
[00:01:38.731 --> 00:01:39.672]  I call that scum.
[00:01:40.252 --> 00:01:43.014]  And more and more there are witnesses that have seen him shooting and doing things.
[00:01:43.074 --> 00:01:45.856]  It looks like he is the guy behind all this.
[00:01:45.916 --> 00:01:46.957]  It's still alleged.
[00:01:47.057 --> 00:01:48.658]  But two hours ago,
[00:01:49.879 --> 00:01:56.721]  About an hour into this crisis, when this all started and they surrounded the cabin he was reportedly in, he had this big shootout and there was video of it.
[00:01:57.421 --> 00:02:01.122]  I predicted, well quite frankly, I said, what do you think is going to happen?
[00:02:01.382 --> 00:02:05.363]  And Marcos Morales said, I bet they burn them up like Waco.
[00:02:05.383 --> 00:02:06.184]  And I said, that's right.
[00:02:06.424 --> 00:02:08.164]  And I'm shooting a video right now on that.
[00:02:08.504 --> 00:02:10.345]  Because the default is to burn them up.
[00:02:10.885 --> 00:02:15.910]  When somebody's killed cops, they burn them up and say, oh, they burned themselves up at Waco with a bunch of little kids inside.
[00:02:16.270 --> 00:02:17.872]  They could have picked Koresh up in town any time.
[00:02:17.892 --> 00:02:19.373]  They wanted a PR stunt.
[00:02:19.393 --> 00:02:23.938]  They tried to burn out Randy Weaver, but the news media was there and didn't follow orders to get back.
[00:02:23.998 --> 00:02:30.905]  And they saw a helicopter with a bladder, a controlled bucket that you can remote control at the bottom of the helicopter to open up and dump gasoline.
[00:02:31.205 --> 00:02:32.566]  Then they just simply shoot a flare.
[00:02:33.527 --> 00:02:33.907]  Into it.
[00:02:34.007 --> 00:02:35.428]  This is the real handbook.
[00:02:35.468 --> 00:02:36.429]  You burn people out.
[00:02:36.449 --> 00:02:39.770]  If they ever try to gun confiscate and start a civil war, they're going to burn gun owners out.
[00:02:39.790 --> 00:02:41.291]  That's why you can't wait at your house.
[00:02:42.011 --> 00:02:45.973]  That said, I think what has happened here and what he's alleged to have done has been disgraceful.
[00:02:45.993 --> 00:02:59.020]  I think it shows how sick the culture is and how successful the divide and conquer has been that the establishment, the foreign banks that have occupied our country, that a lot of people, even CBS News, ABC News Report, are saying he's a rock star.
