[00:00:06.449 --> 00:00:07.134]  Let's go.
[00:00:41.088 --> 00:00:43.469]  Good evening, and welcome to the InfoWars Nightly News.
[00:00:43.529 --> 00:00:49.791]  Today's date is Tuesday, March 5th, 2013, and I'm your host Rob Due, and here's a look at what we have coming up.
[00:00:52.466 --> 00:00:55.649]  Tonight, on the InfoWars Nightly News.
[00:00:56.290 --> 00:00:59.694]  FEMA censors information about their mock zombie invasion.
[00:01:00.414 --> 00:01:04.859]  Then, Ron Paul exposes the sequester as another government scam.
[00:01:05.640 --> 00:01:09.484]  And Aaron Dykes exposes prisoner training at the Austin Kite Festival.
[00:01:10.125 --> 00:01:13.688]  All that and more coming up on the InfoWars Nightly News.
[00:01:19.281 --> 00:01:19.982]  Top story.
[00:01:20.082 --> 00:01:26.207]  Well, like everything, all stories must come to an end, and it has come to an end for Venezuelan President Hugo Chavez.
[00:01:26.247 --> 00:01:35.416]  The 58-year-old died today, or at least it was reported that he died today, from the Vice President, who actually said it was an attack on his enemies.
[00:01:35.616 --> 00:01:41.361]  The headline on NBC reads, Venezuela VP Chavez's cancer was an attack by his enemies.
[00:01:42.102 --> 00:01:50.532]  There is no doubt that Commandant Chavez's health came under attack by the enemy, Vice President Nicolas Maduro said in an address to the nation from the Presidential Palace.
[00:01:51.153 --> 00:02:00.924]  He said a special commission would investigate how Chavez, 58, ended up with an unspecified cancer that months of chemotherapy, radiation and four surgeries failed to tame.
[00:02:01.485 --> 00:02:01.705]  Well...
[00:02:02.682 --> 00:02:05.484]  I'm here to offer one possible explanation.
[00:02:05.805 --> 00:02:09.147]  Is it possible that Chavez had several vaccines?
[00:02:09.187 --> 00:02:10.729]  Did he get the flu vaccine every year?
[00:02:11.069 --> 00:02:12.190]  Did he get a tetanus shot?
[00:02:12.670 --> 00:02:18.095]  Well, we know that the SV40 virus was found in the polio shot that was given to over millions of Americans
[00:02:18.695 --> 00:02:21.358]  And that it allowed those Americans to end up getting cancer.
[00:02:21.458 --> 00:02:26.163]  SV40 is the simian virus 40, and it is a virus that is known to cause cancer.
[00:02:26.183 --> 00:02:29.166]  And we're going to talk more about that later with our guest, Don Richardson.
[00:02:29.767 --> 00:02:31.969]  So, there goes Hugo Chavez.
[00:02:32.390 --> 00:02:34.652]  We'll see what puppet they put in his place.
[00:02:36.118 --> 00:02:42.702]  Moving on, FEMA censors information about bizarre zombie UFO crash exercise.
[00:02:42.762 --> 00:02:44.303]  This is from Paul Joseph Watson.
[00:02:44.863 --> 00:02:58.892]  The exercise, scheduled to take place on the 27th of April in the city of Moscow, Lutea County, will involve all first responders in the county, as well as surrounding counties, in addition to the Community Emergency Response Team under the auspices of FEMA.
[00:02:59.672 --> 00:03:04.095]  And on the subject of this zombie attack, we go to a special InfoWars News Bulletin from Jakari Jackson.
[00:03:08.453 --> 00:03:10.934]  I'm Jakari Jackson with an InfoWars news bulletin.
[00:03:11.215 --> 00:03:13.456]  We have a new article on InfoWars.com headline.
[00:03:13.916 --> 00:03:18.439]  FEMA censors information about bizarre zombie UFO crash exercise.
[00:03:18.959 --> 00:03:32.807]  The exercise, scheduled to take place on the 27th of April in the city of Moscow, will involve all first responders in the county, as well as surrounding counties, in addition to the community emergency response teams under the auspices of FEMA.
[00:03:33.167 --> 00:03:37.450]  Now this is more of the same that we've seen from our big government agencies, our viewers may recall.
[00:03:38.030 --> 00:03:41.815]  In 2011, the CDC released a zombie survival guide.
[00:03:42.336 --> 00:03:47.342]  In September 2012, DHS told citizens to prep for a zombie epidemic.
[00:03:47.823 --> 00:03:53.170]  And in October 2012, Marines and Navy forces took part in a mock zombie invasion.
[00:03:53.971 --> 00:03:57.332]  Alex Jones has shown you in movies such as World War Z how the U.N.
[00:03:57.352 --> 00:04:02.114]  took advantage of these zombie epidemics to take people's guns and gun down American citizens.
[00:04:02.675 --> 00:04:13.039]  Regardless if you see any connection between the fiction and the reality, Senator Tom Coburn of Oklahoma said the thing was a great waste of money and did little to discourage potential terrorists.
[00:04:13.519 --> 00:04:22.685]  Now, I had a chance to speak with the media relations representative for FEMA Region 10, where Idaho is based, and he said to his knowledge, FEMA had nothing to do with this actual drill.
[00:04:23.285 --> 00:04:30.590]  And I pointed out to the gentleman, Mr. Ike, that this information was available on FEMA's own website, or at least it was until it was taken down.
[00:04:31.050 --> 00:04:32.071]  So believe who you will.
[00:04:32.451 --> 00:04:37.414]  And don't forget to sign up for our free newsletter at InfoWars.com forward slash newsletter.
[00:04:37.434 --> 00:04:39.996]  I'm Jakari Jackson with an InfoWars News Bulletin.
[00:04:42.213 --> 00:04:42.853]  Well, there you go.
[00:04:43.233 --> 00:04:46.875]  FEMA's involved in the exercise, but they're not involved in the exercise.
[00:04:46.955 --> 00:04:47.595]  No comment.
[00:04:48.735 --> 00:04:49.155]  Once again.
[00:04:49.175 --> 00:04:51.096]  And here we go with Ron Paul.
[00:04:51.156 --> 00:04:53.577]  The sequester crisis and what should be done.
[00:04:53.637 --> 00:04:56.558]  This is from Ron Paul and this appeared on Infowars.com yesterday.
[00:04:57.058 --> 00:05:05.641]  Despite what the media and politicians would have us believe, the United States did not collapse last Friday when the package of spending reductions, known as sequestration, went into effect.
[00:05:06.081 --> 00:05:13.063]  The financial markets hardly blinked as they have come to be more skeptical about these periodic government hype crises, this being the third this year.
[00:05:13.944 --> 00:05:21.326]  What has been portrayed as a drastic reduction in government spending was merely a decrease in the projected rate of increase in government spending over the next decade.
[00:05:21.826 --> 00:05:28.809]  Under sequestration, the government spending increases by $2.4 trillion over the next 10 years rather than the $2.5 trillion without it.
[00:05:29.949 --> 00:05:33.512]  So we were speeding towards collapse at only 100 miles per hour instead of 110.
[00:05:33.552 --> 00:05:39.276]  And Ron Paul was actually on the news, on several news outlets, talking about this.
[00:05:39.296 --> 00:05:42.479]  How this has nothing to do with cuts that are in place.
[00:05:42.499 --> 00:05:44.440]  They're not going to be axing any programs or anything.
