[00:00:08.339 --> 00:00:10.049]  Something has happened in the motorcade group!
[00:00:10.069 --> 00:00:12.080]  Something irishy has happened in the motorcade group!
[00:00:13.837 --> 00:00:16.638]  Who controls the past, controls the future.
[00:00:17.119 --> 00:00:20.460]  Who controls the present, controls the past.
[00:00:20.480 --> 00:00:26.043]  The death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[00:00:26.323 --> 00:00:36.628]  All you gotta do is start looking around, start thinking for yourself, start investigating things, and you will see it all right there.
[00:00:36.688 --> 00:00:38.549]  So you have the power to make
[00:00:38.729 --> 00:00:39.990]  Humanity has the power.
[00:00:40.430 --> 00:00:41.551]  We have the power.
[00:00:41.571 --> 00:00:42.551]  Do you want to fight?
[00:00:42.791 --> 00:00:44.973]  You better believe you got one!
[00:00:45.273 --> 00:00:50.316]  Let us never tolerate outrageous conspiracy theories.
[00:00:50.916 --> 00:00:54.298]  As for me, give me liberty or give me death!
[00:00:54.358 --> 00:00:55.799]  The answer to 1984 is 1776.
[00:01:10.120 --> 00:01:11.841]  Welcome to the InfoWars Nightly News.
[00:01:12.001 --> 00:01:12.662]  I'm David Knight.
[00:01:12.822 --> 00:01:17.124]  It's Monday, June 3rd, 2013, and here are our top stories.
[00:01:19.306 --> 00:01:25.770]  Tonight, on the InfoWars Nightly News, InfoWars brings you the latest from Bilderberg.
[00:01:26.870 --> 00:01:30.793]  Then, Rand Paul pushes for legalization of industrial hemp.
[00:01:31.693 --> 00:01:37.037]  And Motorola introduces not only a tattoo, but a pill to track everything you do.
[00:01:38.212 --> 00:01:41.837]  All that and more coming up on the Info Wars Nightly News.
[00:01:45.908 --> 00:01:50.090]  Well, Alex Jones is now in Watford, UK, covering this year's Bilderberg meeting.
[00:01:50.110 --> 00:02:00.194]  He was concerned that he might not be allowed into the country after what happened to Michael Savage a few years ago, and in fact, Alex was hassled and delayed more than other staff who traveled separately.
[00:02:00.594 --> 00:02:08.377]  But he is there now, and he is joined by other reporters, Paul Joseph Watson, Leanne McAdoo, and staffer Richard Reeves.
[00:02:09.386 --> 00:02:15.251]  Now, the official Bilderberg attendee list has been released, and we know who's on the other side this year.
[00:02:15.792 --> 00:02:24.839]  Besides usual suspects of bankers and politicians, we have internet giant Amazon.com's Jeff Bezos is there.
[00:02:25.800 --> 00:02:28.623]  And, of course, Google's Eric Schmidt is there.
[00:02:29.204 --> 00:02:35.591]  And we also have David Petraeus there, along with his new best friend, war criminal Henry Kissinger.
[00:02:35.952 --> 00:02:41.097]  Well, if you want to know what the real world consequences of Bilderberg are, just take a look at the EU and the European Union.
[00:02:41.798 --> 00:02:44.141]  And here's a look at one of the leaders, Henry Kissinger.
[00:02:46.437 --> 00:02:49.478]  Frequent Bilderberg attendee Henry Kissinger has been in the news a lot lately.
[00:02:49.758 --> 00:02:56.700]  He was given the Intrepid Freedom Award by David Petraeus for his distinguished career defending the values of freedom and democracy.
[00:02:56.720 --> 00:03:05.202]  I am deeply honored to present the 2013 Intrepid Award to my friend and my hero, the Honorable Henry A. Kissinger.
[00:03:05.342 --> 00:03:09.445]  The press should be more careful about who he kisses and who he kisses up to.
[00:03:09.845 --> 00:03:12.687]  Defending the values of freedom and democracy?
[00:03:13.007 --> 00:03:13.828]  Henry Kissinger?
[00:03:14.288 --> 00:03:27.678]  Apart from the secret bombing of Cambodia and allegations of other Vietnam War crimes, Kissinger was intimately involved with Operation Condor, a CIA campaign of terrorist operations and assassinations conducted in the 70s in South America.
[00:03:27.718 --> 00:03:29.039]  They put me in the back of the truck.
